arrear	<font color=red>CHP:</font> acjjz\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
desviar camino, cambiar de dirección	<font color=red>CHP:</font> cjerc̈ha\n<font color=blue>AYM:</font> thakhi payachaña\n<font color=orange>ENG:</font> to go off course, to change direction
gatear	<font color=red>CHP:</font> cjerwiz\n<font color=blue>AYM:</font> kumnaqaña\n<font color=orange>ENG:</font> to crawl
eructar	<font color=red>CHP:</font> cjerz\n<font color=blue>AYM:</font> khasaña\n<font color=orange>ENG:</font> to burp
abrir (para otro)	<font color=red>CHP:</font> cjetanz\n<font color=blue>AYM:</font> sit'araña, sit'arpaña\n<font color=orange>ENG:</font> to open for somebody else
destapar, abrir	<font color=red>CHP:</font> cjetz\n<font color=blue>AYM:</font> qhaparaña\n<font color=orange>ENG:</font> to uncover, to take off lid, to open
grasa	<font color=red>CHP:</font> cjewa\n<font color=blue>AYM:</font> lik'i\n<font color=orange>ENG:</font> fat, grease
animal gordo	<font color=red>CHP:</font> cjewa\n<font color=blue>AYM:</font> lik'i\n<font color=orange>ENG:</font> fat animal
hacer engordar	<font color=red>CHP:</font> cjewkatz\n<font color=blue>AYM:</font> lik'iraña\n<font color=orange>ENG:</font> to fatten, to make fat
hacer rollo de hilo, enrollar	<font color=red>CHP:</font> cjewz\n<font color=blue>AYM:</font> khiwintaña\n<font color=orange>ENG:</font> to roll up, to wind up
liviano	<font color=red>CHP:</font> cjez̈i\n<font color=blue>AYM:</font> phisnall\n<font color=orange>ENG:</font> light (weight)
muy liviano	<font color=red>CHP:</font> cjez̈illa\n<font color=blue>AYM:</font> phisnalla\n<font color=orange>ENG:</font> very light (weight)
hacer liviano	<font color=red>CHP:</font> cjez̈inz\n<font color=blue>AYM:</font> phisnall puriyaña\n<font color=orange>ENG:</font> to make light (weight)
trenzar (cabello)	<font color=red>CHP:</font> cjiiz̈inz\n<font color=blue>AYM:</font> lak'ut k'anaña\n<font color=orange>ENG:</font> to braid (hair)
escribir (lo que otro está dictando)	<font color=red>CHP:</font> cjijranz\n<font color=blue>AYM:</font> qilqarpaña\n<font color=orange>ENG:</font> to write (what another is dictating)
rayar	<font color=red>CHP:</font> cjijrz\n<font color=blue>AYM:</font> raysuña\n<font color=orange>ENG:</font> to draw lines
marcar con raya, tarjar, tachar	<font color=red>CHP:</font> cjijrz\n<font color=blue>AYM:</font> raysuña\n<font color=orange>ENG:</font> to mark (with a line), to cross
escocer, picar	<font color=red>CHP:</font> cjijsinz\n<font color=blue>AYM:</font> t'ajaraña\n<font color=orange>ENG:</font> to sting, to itch
quemar	<font color=red>CHP:</font> cjijtchi\n<font color=blue>AYM:</font> lakhanthaña\n<font color=orange>ENG:</font> to burn
comida espesa burbujeando	<font color=red>CHP:</font> cjijtchi\n<font color=blue>AYM:</font> qhululiña\n<font color=orange>ENG:</font> thick food that bubbles when cooking
tipo de escarabajo	<font color=red>CHP:</font> cjijz̈ca\n<font color=blue>AYM:</font> pankatiya\n<font color=orange>ENG:</font> type of beetle
rallar	<font color=red>CHP:</font> cjiñi\n<font color=blue>AYM:</font> rallsuña, raxsuña\n<font color=orange>ENG:</font> to grate
llegar a ser	<font color=red>CHP:</font> cjispecñi\n<font color=blue>AYM:</font> puriña\n<font color=orange>ENG:</font> to become
decir	<font color=red>CHP:</font> cjiz\n<font color=blue>AYM:</font> sis, saña\n<font color=orange>ENG:</font> to say
robar	<font color=red>CHP:</font> cjiz\n<font color=blue>AYM:</font> lunthathaña\n<font color=orange>ENG:</font> to rob
ladrón	<font color=red>CHP:</font> cjizñi\n<font color=blue>AYM:</font> lunthatha\n<font color=orange>ENG:</font> thief
coca	<font color=red>CHP:</font> cjoca\n<font color=blue>AYM:</font> inalmama\n<font color=orange>ENG:</font> coca
coser para otro, costurar	<font color=red>CHP:</font> cjochanz\n<font color=blue>AYM:</font> yaqhataki ch'ukuña\n<font color=orange>ENG:</font> to sew for somebody else
coser	<font color=red>CHP:</font> cjotz\n<font color=blue>AYM:</font> ch'ukuña\n<font color=orange>ENG:</font> to sew
basura	<font color=red>CHP:</font> cjujchi\n<font color=blue>AYM:</font> khuchi, q'upa\n<font color=orange>ENG:</font> garbage, trash
ensuciado	<font color=red>CHP:</font> cjujchi\n<font color=blue>AYM:</font> khuchichata\n<font color=orange>ENG:</font> dirty
persona sucia	<font color=red>CHP:</font> cjujchina\n<font color=blue>AYM:</font> ch'islli jaqi\n<font color=orange>ENG:</font> dirty person
sentir insecto en la piel	<font color=red>CHP:</font> cjujrinz\n<font color=blue>AYM:</font> unuquña, t'ajaña\n<font color=orange>ENG:</font> to feel an insect on one's body
codo	<font color=red>CHP:</font> cjujts\n<font color=blue>AYM:</font> mujlli\n<font color=orange>ENG:</font> elbow
lóbulo	<font color=red>CHP:</font> cjuñ lapi\n<font color=blue>AYM:</font> jinchu laphi\n<font color=orange>ENG:</font> earlobe
oreja, oído	<font color=red>CHP:</font> cjuñi\n<font color=blue>AYM:</font> jinchu\n<font color=orange>ENG:</font> ear, sense of hearing
recordar	<font color=red>CHP:</font> cjuñz\n<font color=blue>AYM:</font> amtaña\n<font color=orange>ENG:</font> to remember
parte detrás de la oreja	<font color=red>CHP:</font> cjuñz̈ taj\n<font color=blue>AYM:</font> qhipa jinchu\n<font color=orange>ENG:</font> part behind the ear
larva de lepidóptero	<font color=red>CHP:</font> cjuri\n<font color=blue>AYM:</font> k'uru\n<font color=orange>ENG:</font> larva of moth
cola	<font color=red>CHP:</font> cjurz\n<font color=blue>AYM:</font> wich'inka\n<font color=orange>ENG:</font> tail
morder a otros animales (chancho)	<font color=red>CHP:</font> cocallz\n<font color=blue>AYM:</font> yaqha khuchi achuqiri\n<font color=orange>ENG:</font> to bite other animals (pigs only do this)
zorrillo	<font color=red>CHP:</font> cocji\n<font color=blue>AYM:</font> añathuya\n<font color=orange>ENG:</font> skunk
cauteloso	<font color=red>CHP:</font> coli coli\n<font color=blue>AYM:</font> k'umu k'umu\n<font color=orange>ENG:</font> stealthy, cautious
agachar	<font color=red>CHP:</font> cols\n<font color=blue>AYM:</font> k'uñt'aña, k'umt'aña\n<font color=orange>ENG:</font> to bow, to bend
volador	<font color=red>CHP:</font> comita\n<font color=blue>AYM:</font> wulatura\n<font color=orange>ENG:</font> kite
ciudadano, comunario	<font color=red>CHP:</font> comunz̈uñi\n<font color=blue>AYM:</font> kumun jaqi\n<font color=orange>ENG:</font> citizen
enfermedad	<font color=red>CHP:</font> cona\n<font color=blue>AYM:</font> usu\n<font color=orange>ENG:</font> illness
matar	<font color=red>CHP:</font> conz\n<font color=blue>AYM:</font> jiwayaña\n<font color=orange>ENG:</font> to kill
pito, harina molida y cocida	<font color=red>CHP:</font> coñi\n<font color=blue>AYM:</font> pitu\n<font color=orange>ENG:</font> ground and cooked quinua
cubrir (cielo con nubes, cuarto con cortinas)	<font color=red>CHP:</font> coopja\n<font color=blue>AYM:</font> ch'iwi phuqhantata\n<font color=orange>ENG:</font> to cover (sky with clouds, room with curtains)
sacar agua	<font color=red>CHP:</font> cooz\n<font color=blue>AYM:</font> uma wissuña, uma waysuña, uma qissuña\n<font color=orange>ENG:</font> to take out water (from well, river...)
río con ribera alta	<font color=red>CHP:</font> cora\n<font color=blue>AYM:</font> jawir pata\n<font color=orange>ENG:</font> high-banked river
peine	<font color=red>CHP:</font> cosñi\n<font color=blue>AYM:</font> chhaxraña\n<font color=orange>ENG:</font> comb
cuajo	<font color=red>CHP:</font> cowaja\n<font color=blue>AYM:</font> kuwaja\n<font color=orange>ENG:</font> rennet
mandar a alguien	<font color=red>CHP:</font> cuchanz\n<font color=blue>AYM:</font> khitaña\n<font color=orange>ENG:</font> to send someone
chancho	<font color=red>CHP:</font> cuchi\n<font color=blue>AYM:</font> khuchi\n<font color=orange>ENG:</font> pig
cuchillo	<font color=red>CHP:</font> cuchillu\n<font color=blue>AYM:</font> kuchillu\n<font color=orange>ENG:</font> knife
chiquero	<font color=red>CHP:</font> cuchtjura\n<font color=blue>AYM:</font> khuchi t'ijura, khuchi uta\n<font color=orange>ENG:</font> pigsty
cosecha	<font color=red>CHP:</font> cujicha\n<font color=blue>AYM:</font> kujicha, yapu aphtapi\n<font color=orange>ENG:</font> harvest
vestirse, ponerse ropa	<font color=red>CHP:</font> cujtz\n<font color=blue>AYM:</font> isintasiña\n<font color=orange>ENG:</font> to get dressed
ponerse ropa de otro	<font color=red>CHP:</font> cujtzinz\n<font color=blue>AYM:</font> yaqhan isipa añuntasiña\n<font color=orange>ENG:</font> to put on clothes of somebody else
quinua	<font color=red>CHP:</font> cula\n<font color=blue>AYM:</font> juyra\n<font color=orange>ENG:</font> quinua
colador	<font color=red>CHP:</font> culaña\n<font color=blue>AYM:</font> kulaña\n<font color=orange>ENG:</font> strainer
cólera, rabia	<font color=red>CHP:</font> culira\n<font color=blue>AYM:</font> kulira\n<font color=orange>ENG:</font> anger, fury, wrath
tener rabia	<font color=red>CHP:</font> culiraz\n<font color=blue>AYM:</font> kuliraña, rawiyt'aña\n<font color=orange>ENG:</font> to be angry/furious
colar	<font color=red>CHP:</font> culz\n<font color=blue>AYM:</font> kulaña\n<font color=orange>ENG:</font> to strain
pegar con cola	<font color=red>CHP:</font> culz\n<font color=blue>AYM:</font> lip'intaña\n<font color=orange>ENG:</font> to glue
relación entre hermanas de la misma familia	<font color=red>CHP:</font> culla konko\n<font color=blue>AYM:</font> purapat kullaka\n<font color=orange>ENG:</font> family relation between sisters
cuñado	<font color=red>CHP:</font> cullaca luco\n<font color=blue>AYM:</font> jilata\n<font color=orange>ENG:</font> brother-in-law
hermana	<font color=red>CHP:</font> cullaqui\n<font color=blue>AYM:</font> kullaka\n<font color=orange>ENG:</font> sister
paloma del Altiplano	<font color=red>CHP:</font> cullcuta\n<font color=blue>AYM:</font> kullkutaya\n<font color=orange>ENG:</font> type of dove that lives in the mountains
maíz colorado	<font color=red>CHP:</font> culli\n<font color=blue>AYM:</font> kulli\n<font color=orange>ENG:</font> red corn
arco iris	<font color=red>CHP:</font> cumari\n<font color=blue>AYM:</font> khurmi\n<font color=orange>ENG:</font> rainbow
acompañar por un ratito	<font color=red>CHP:</font> cumparaz\n<font color=blue>AYM:</font> kumpaniña\n<font color=orange>ENG:</font> to accompany for a while
convenir, conviene	<font color=red>CHP:</font> cumpinz\n<font color=blue>AYM:</font> kumpiniña\n<font color=orange>ENG:</font> to suit, to be to one's advantage
confite	<font color=red>CHP:</font> cumpisita\n<font color=blue>AYM:</font> kumpitisa\n<font color=orange>ENG:</font> sweet, candy
nombre de cariño a oveja	<font color=red>CHP:</font> cumpitisa\n<font color=blue>AYM:</font> mamala\n<font color=orange>ENG:</font> affectionate name for sheep
coser los bordes	<font color=red>CHP:</font> cumpiz = riwutiiz\n<font color=blue>AYM:</font> thiya sawuta\n<font color=orange>ENG:</font> to sew the border
confiar en	<font color=red>CHP:</font> cumpjiiz\n<font color=blue>AYM:</font> kunphiyaña, iyaqaña\n<font color=orange>ENG:</font> to trust, to entrust
cumplir	<font color=red>CHP:</font> cumpliz\n<font color=blue>AYM:</font> phuqhaña\n<font color=orange>ENG:</font> to complete, to fulfill
apenas	<font color=red>CHP:</font> cunamana cjicu\n<font color=blue>AYM:</font> sumata\n<font color=orange>ENG:</font> scarcely, barely, hardly
tal vez	<font color=red>CHP:</font> cunami = nit-iz\n<font color=blue>AYM:</font> inasa\n<font color=orange>ENG:</font> maybe
conseguir	<font color=red>CHP:</font> cunsicz\n<font color=blue>AYM:</font> kunsikiña, jikhiña\n<font color=orange>ENG:</font> to obtain
confiarse, atenerse	<font color=red>CHP:</font> cunti'iz\n<font color=blue>AYM:</font> atinisiña\n<font color=orange>ENG:</font> to trust, to have faith in, to rely on
combinación de dos colores de llama (negro/café y blanco)	<font color=red>CHP:</font> cuntili\n<font color=blue>AYM:</font> kunturi, alqa\n<font color=orange>ENG:</font> combination of two colors on llama (black/brown and white)
fantasma	<font color=red>CHP:</font> cuntina\n<font color=blue>AYM:</font> kuntinaru\n<font color=orange>ENG:</font> ghost, phantom
condenarse	<font color=red>CHP:</font> cuntinaz\n<font color=blue>AYM:</font> kuntinasiña\n<font color=orange>ENG:</font> to accuse oneself, to condemn oneself
contento, feliz	<font color=red>CHP:</font> cuntintu\n<font color=blue>AYM:</font> kuntintu, k'uchiki\n<font color=orange>ENG:</font> happy, pleased
en vez de, en cuenta de, reemplazante	<font color=red>CHP:</font> cuntiquiztan\n<font color=blue>AYM:</font> rimplasu\n<font color=orange>ENG:</font> instead of, in place of
cóndor	<font color=red>CHP:</font> cunturi\n<font color=blue>AYM:</font> kunturi\n<font color=orange>ENG:</font> condor
poner cuña	<font color=red>CHP:</font> cuñz\n<font color=blue>AYM:</font> kuñantaña\n<font color=orange>ENG:</font> to drive a wedge
copal	<font color=red>CHP:</font> cupala\n<font color=blue>AYM:</font> kupala\n<font color=orange>ENG:</font> resin, type of incense
color de oveja (mezcla de marrón, blanco y negro)	<font color=red>CHP:</font> curawara\n<font color=blue>AYM:</font> kurawara\n<font color=orange>ENG:</font> color of sheep (mixed brown, white and black)
rápido	<font color=red>CHP:</font> curinti\n<font color=blue>AYM:</font> apura\n<font color=orange>ENG:</font> fast
corregidor	<font color=red>CHP:</font> curjitura\n<font color=blue>AYM:</font> kurjirura\n<font color=orange>ENG:</font> town authority
cuerpo	<font color=red>CHP:</font> curpo\n<font color=blue>AYM:</font> kurpu, janchi\n<font color=orange>ENG:</font> body
estudiar, cursar	<font color=red>CHP:</font> cursiz\n<font color=blue>AYM:</font> kursaña\n<font color=orange>ENG:</font> to study
leche cortada, primera leche de oveja	<font color=red>CHP:</font> curta\n<font color=blue>AYM:</font> kurta, rikisuna\n<font color=orange>ENG:</font> first milk after lamb is born
cordellate, género grueso de tejido	<font color=red>CHP:</font> curtillati\n<font color=blue>AYM:</font> kurtillati\n<font color=orange>ENG:</font> thick kind of weave
curtir (cuero)	<font color=red>CHP:</font> curtiz\n<font color=blue>AYM:</font> kurtiña\n<font color=orange>ENG:</font> to tan (leather)
cerro	<font color=red>CHP:</font> curu\n<font color=blue>AYM:</font> qullu\n<font color=orange>ENG:</font> hill, peak
cruz del sur (constelación)	<font color=red>CHP:</font> curusiro\n<font color=blue>AYM:</font> kurusiru, chakana\n<font color=orange>ENG:</font> southern cross (constellation)
corbata	<font color=red>CHP:</font> curwata\n<font color=blue>AYM:</font> kurwata\n<font color=orange>ENG:</font> a tie
echar los cimientos	<font color=red>CHP:</font> curz\n<font color=blue>AYM:</font> phuqhtaña\n<font color=orange>ENG:</font> to lay a foundation
bien	<font color=red>CHP:</font> cusa\n<font color=blue>AYM:</font> kusa\n<font color=orange>ENG:</font> good, well
regresar, retornar	<font color=red>CHP:</font> cutintiz\n<font color=blue>AYM:</font> kutintaña\n<font color=orange>ENG:</font> to return
juntarse otra vez, reconciliarse	<font color=red>CHP:</font> cutiziz\n<font color=blue>AYM:</font> kutiña\n<font color=orange>ENG:</font> to get back together, to reconcile
vengarse	<font color=red>CHP:</font> cutjataz\n<font color=blue>AYM:</font> kutjataña\n<font color=orange>ENG:</font> to avenge, to retaliate
soltar	<font color=red>CHP:</font> cutz\n<font color=blue>AYM:</font> anturtaña, anturpayaña\n<font color=orange>ENG:</font> to let go, to free
tramar	<font color=red>CHP:</font> cuuz\n<font color=blue>AYM:</font> qipantaña\n<font color=orange>ENG:</font> to weave
araña pequeña	<font color=red>CHP:</font> cuza cuza\n<font color=blue>AYM:</font> kusi kusi\n<font color=orange>ENG:</font> small spider
tuberculosis	<font color=red>CHP:</font> cuztaru\n<font color=blue>AYM:</font> ch'uxu wilanti\n<font color=orange>ENG:</font> tuberculosis
invitar, costear	<font color=red>CHP:</font> cuztiyaz\n<font color=blue>AYM:</font> kustiyaña, churaña\n<font color=orange>ENG:</font> to give food, drinks to guests
uno que siempre tiene suerte	<font color=red>CHP:</font> cuzt'iñi\n<font color=blue>AYM:</font> kust'iri, surtini, awiyt'ata\n<font color=orange>ENG:</font> afortunate person, lucky person
hacer bien	<font color=red>CHP:</font> cuzt'iz\n<font color=blue>AYM:</font> kust'aña\n<font color=orange>ENG:</font> to have good fortune, to do well
costumbre	<font color=red>CHP:</font> cuztrumpi\n<font color=blue>AYM:</font> kustumpri\n<font color=orange>ENG:</font> custom, habit
acostumbrarse	<font color=red>CHP:</font> cuzturumpaz\n<font color=blue>AYM:</font> yantintaña, jichuntaña\n<font color=orange>ENG:</font> to get used to, to be accustomed to
hojas de plátano	<font color=red>CHP:</font> cuzura\n<font color=blue>AYM:</font> laphi platanu\n<font color=orange>ENG:</font> banana leaves
contar un cuento, narrar	<font color=red>CHP:</font> cwint'iz\n<font color=blue>AYM:</font> kuntaña\n<font color=orange>ENG:</font> to tell a story, to narrate
cuidarse	<font color=red>CHP:</font> cwitaz\n<font color=blue>AYM:</font> kuyrasiña\n<font color=orange>ENG:</font> to take care of oneself
cuidador	<font color=red>CHP:</font> cwitiñi\n<font color=blue>AYM:</font> awatiri\n<font color=orange>ENG:</font> caretaker
cuidar	<font color=red>CHP:</font> cwitiz\n<font color=blue>AYM:</font> kuyraña\n<font color=orange>ENG:</font> to take care of
rajadura de la piel	<font color=red>CHP:</font> c'acalli\n<font color=blue>AYM:</font> k'ak'alla, k'ak'alli\n<font color=orange>ENG:</font> little crack of the skin
rajar	<font color=red>CHP:</font> c'acchi\n<font color=blue>AYM:</font> ch'iyaña, q'aqtaña\n<font color=orange>ENG:</font> to crack
rajado	<font color=red>CHP:</font> c'acchic̈ha\n<font color=blue>AYM:</font> ch'iyata\n<font color=orange>ENG:</font> cracked
rajarse	<font color=red>CHP:</font> c'acsi\n<font color=blue>AYM:</font> ch'iyasiña, q'aqtasiña\n<font color=orange>ENG:</font> to crack (by itself)
bonito	<font color=red>CHP:</font> c'achja = c'achjalla\n<font color=blue>AYM:</font> k'acha\n<font color=orange>ENG:</font> pretty, nice
ácido, agrio	<font color=red>CHP:</font> c'ajllcu\n<font color=blue>AYM:</font> k'allk'u\n<font color=orange>ENG:</font> acid, sour
brillante	<font color=red>CHP:</font> c'ajñi\n<font color=blue>AYM:</font> lliju, k'ajir qhuyala, k'anchattata\n<font color=orange>ENG:</font> shiny
brillar	<font color=red>CHP:</font> c'ajz\n<font color=blue>AYM:</font> k'ajaraña\n<font color=orange>ENG:</font> to shine
dolor de muela	<font color=red>CHP:</font> c'ama\n<font color=blue>AYM:</font> k'ama usu\n<font color=orange>ENG:</font> toothache
chancho negro	<font color=red>CHP:</font> c'ami\n<font color=blue>AYM:</font> ch'ar khuchi\n<font color=orange>ENG:</font> black pig
señal, lana cruda teñida para señalar animales	<font color=red>CHP:</font> c'ana\n<font color=blue>AYM:</font> chimpu\n<font color=orange>ENG:</font> mark, colored wool to mark animals
señalar, amarrar un color en cuello de animales	<font color=red>CHP:</font> c'anz\n<font color=blue>AYM:</font> chimpuña, chimpuraña\n<font color=orange>ENG:</font> to mark, to tie a colored tag on the neck of animals
quejarse del dolor	<font color=red>CHP:</font> c'añartiz\n<font color=blue>AYM:</font> k'añaña, ayquña\n<font color=orange>ENG:</font> to moan in pain
reír exageradamente	<font color=red>CHP:</font> c'añartiz\n<font color=blue>AYM:</font> ancha laruña\n<font color=orange>ENG:</font> to laugh exaggeratedly
pasto	<font color=red>CHP:</font> c'apjara\n<font color=blue>AYM:</font> qura\n<font color=orange>ENG:</font> feed, fodder
medio salado	<font color=red>CHP:</font> c'ara\n<font color=blue>AYM:</font> ña k'ara, majuk'a k'aranchjata\n<font color=orange>ENG:</font> half salty
cresta	<font color=red>CHP:</font> c'ara c'ara\n<font color=blue>AYM:</font> q'araq'ara\n<font color=orange>ENG:</font> comb, crest
páncreas	<font color=red>CHP:</font> c'ari\n<font color=blue>AYM:</font> ch'ararankha\n<font color=orange>ENG:</font> pancreas
un poco bueno	<font color=red>CHP:</font> c'atalla\n<font color=blue>AYM:</font> k'atalla\n<font color=orange>ENG:</font> a little bit good
soga trenzada y apretada	<font color=red>CHP:</font> c'aya\n<font color=blue>AYM:</font> q'ayantata\n<font color=orange>ENG:</font> tightly woven rope
estomago delgado	<font color=red>CHP:</font> c'ayra\n<font color=blue>AYM:</font> k'ayra, t'uka phatanka\n<font color=orange>ENG:</font> small stomach, indented stomach
obsequio, invitación del fruto del trabajo agropecuario	<font color=red>CHP:</font> c'aytura\n<font color=blue>AYM:</font> chapara\n<font color=orange>ENG:</font> gift of the yield of agriculture and livestock production
gavilán	<font color=red>CHP:</font> c'illi\n<font color=blue>AYM:</font> k'illi\n<font color=orange>ENG:</font> sparrow hawk
hondo	<font color=red>CHP:</font> c'oru\n<font color=blue>AYM:</font> p'ujru\n<font color=orange>ENG:</font> deep
pato pequeño silvestre	<font color=red>CHP:</font> c'osara\n<font color=blue>AYM:</font> unkhallu, wislunka\n<font color=orange>ENG:</font> small wild duck
pared/ladera que protege	<font color=red>CHP:</font> c'uchu\n<font color=blue>AYM:</font> k'uchu\n<font color=orange>ENG:</font> protecting wall/slope
angosto, muy corto	<font color=red>CHP:</font> c'ujllcu\n<font color=blue>AYM:</font> k'ullk'u\n<font color=orange>ENG:</font> narrow, short
plato de madera o de calabaza	<font color=red>CHP:</font> c'ullu\n<font color=blue>AYM:</font> k'ullu, palatu, pululu, puluchuwa, tutuma\n<font color=orange>ENG:</font> plate made of wood or gourd
inteligente, trabaja bien	<font color=red>CHP:</font> c'uñchji\n<font color=blue>AYM:</font> suti, ch'iki\n<font color=orange>ENG:</font> intelligent and hard-working
tieso, duro	<font color=red>CHP:</font> c'upju\n<font color=blue>AYM:</font> k'uphu\n<font color=orange>ENG:</font> stiff, hard
quinua poco cocida	<font color=red>CHP:</font> c'utu\n<font color=blue>AYM:</font> k'atu\n<font color=orange>ENG:</font> under-cooked quinua
figura en el tejido	<font color=red>CHP:</font> c'utu\n<font color=blue>AYM:</font> k'utu\n<font color=orange>ENG:</font> weaving pattern
cortar con presión	<font color=red>CHP:</font> c'utz\n<font color=blue>AYM:</font> k'utuña\n<font color=orange>ENG:</font> to sever, to cut with pressure
debilitarse por falta de alimento	<font color=red>CHP:</font> c'uyz\n<font color=blue>AYM:</font> q'uyuña, jan ch'amani\n<font color=orange>ENG:</font> to starve, to weaken because of lack of food
disfrazado de mono	<font color=red>CHP:</font> c'uzillo\n<font color=blue>AYM:</font> k'usillu\n<font color=orange>ENG:</font> monkey costume
desvanecido	<font color=red>CHP:</font> chaachi\n<font color=blue>AYM:</font> jaqukiptata\n<font color=orange>ENG:</font> faded
desvanecer	<font color=red>CHP:</font> chaaz\n<font color=blue>AYM:</font> t'ukuña\n<font color=orange>ENG:</font> to fade, to lose strength
yerba medicinal	<font color=red>CHP:</font> chachicuma\n<font color=blue>AYM:</font> chachakuma\n<font color=orange>ENG:</font> a medicinal plant
afirmarse en un plan/un acuerdo	<font color=red>CHP:</font> chacht'iz\n<font color=blue>AYM:</font> chacht'aña\n<font color=orange>ENG:</font> to confirm a commitment/a plan
tambalear	<font color=red>CHP:</font> chajl chajlz\n<font color=blue>AYM:</font> waylunkiyaña, aylinkiña\n<font color=orange>ENG:</font> to totter, to wobble
cerrar por sí	<font color=red>CHP:</font> chajwcsi\n<font color=blue>AYM:</font> yuspaksit'aña\n<font color=orange>ENG:</font> to close by itself
puerta	<font color=red>CHP:</font> chajwcz\n<font color=blue>AYM:</font> punku\n<font color=orange>ENG:</font> door
pulgar	<font color=red>CHP:</font> chajwczmari\n<font color=blue>AYM:</font> tayka luk'ana\n<font color=orange>ENG:</font> thumb
cuerda/pita de la red para cazar aves	<font color=red>CHP:</font> chal kawñi\n<font color=blue>AYM:</font> sipit chhikhaqa\n<font color=orange>ENG:</font> cord/string of net to catch birds
red larga para cazar aves	<font color=red>CHP:</font> chala\n<font color=blue>AYM:</font> sipita\n<font color=orange>ENG:</font> big net to catch birds
arco de la red para cazar aves	<font color=red>CHP:</font> chalc̈hjujqui\n<font color=blue>AYM:</font> sipit lawa\n<font color=orange>ENG:</font> loop of bird-catching net
chalona	<font color=red>CHP:</font> chaluna\n<font color=blue>AYM:</font> chaluna\n<font color=orange>ENG:</font> sheep meat
encaje	<font color=red>CHP:</font> challcu\n<font color=blue>AYM:</font> sawukipa, thiya sawsutalla, thiya kumpatalla\n<font color=orange>ENG:</font> lace
hacha del Inca	<font color=red>CHP:</font> champi\n<font color=blue>AYM:</font> champi\n<font color=orange>ENG:</font> ax of the Inca
entallar	<font color=red>CHP:</font> chamz\n<font color=blue>AYM:</font> sum isisiña\n<font color=orange>ENG:</font> to fit well
candado, chapa	<font color=red>CHP:</font> chapa\n<font color=blue>AYM:</font> chapa\n<font color=orange>ENG:</font> padlock, lock
tiutiuco (pequeña ave de agua)	<font color=red>CHP:</font> chapinchawa = kochchawi\n<font color=blue>AYM:</font> tiwtiwku, tiwti tiwti\n<font color=orange>ENG:</font> Lesser Yellowlegs (small aquatic bird)
chaqueta, paletón	<font color=red>CHP:</font> chaquita\n<font color=blue>AYM:</font> chakita\n<font color=orange>ENG:</font> jacket, coat
cabello, pelo	<font color=red>CHP:</font> chara\n<font color=blue>AYM:</font> lak'uta\n<font color=orange>ENG:</font> hair
maniatar	<font color=red>CHP:</font> charatz\n<font color=blue>AYM:</font> maniyt'aña\n<font color=orange>ENG:</font> to manacle (to tie two legs)
viejo	<font color=red>CHP:</font> chawcwa\n<font color=blue>AYM:</font> achachila, awki\n<font color=orange>ENG:</font> old
envejecer	<font color=red>CHP:</font> chawcz\n<font color=blue>AYM:</font> achachkiptaña, awilkiptaña\n<font color=orange>ENG:</font> to grow old
pasar encima de una cosa	<font color=red>CHP:</font> chawñi\n<font color=blue>AYM:</font> chalqiña, pasaña\n<font color=orange>ENG:</font> to step over something
dar un paso	<font color=red>CHP:</font> chawz\n<font color=blue>AYM:</font> machalqi\n<font color=orange>ENG:</font> to take a step
barro negro	<font color=red>CHP:</font> chaymari\n<font color=blue>AYM:</font> ch'ar ñiq'i\n<font color=orange>ENG:</font> black mud
avestruz	<font color=red>CHP:</font> chaywa\n<font color=blue>AYM:</font> suri\n<font color=orange>ENG:</font> ostrich, rhea
tiempo de lluvia	<font color=red>CHP:</font> chazñi\n<font color=blue>AYM:</font> jallu pacha\n<font color=orange>ENG:</font> rainy season
el/la más importante	<font color=red>CHP:</font> chekanaqui\n<font color=blue>AYM:</font> wali aski\n<font color=orange>ENG:</font> the most important one
seguramente	<font color=red>CHP:</font> chekapani\n<font color=blue>AYM:</font> chiqapacha\n<font color=orange>ENG:</font> certainly, of course
¿no es cierto?	<font color=red>CHP:</font> chekay\n<font color=blue>AYM:</font> chiqati\n<font color=orange>ENG:</font> isn't it so?
temblar, sacudir	<font color=red>CHP:</font> chekjinz\n<font color=blue>AYM:</font> kharkhatiña\n<font color=orange>ENG:</font> to tremble, to shake
mirar, ver	<font color=red>CHP:</font> chekz = cherz\n<font color=blue>AYM:</font> iñaña\n<font color=orange>ENG:</font> to look, to watch, to see
medida entre el índice y el dedo mayor	<font color=red>CHP:</font> chelke\n<font color=blue>AYM:</font> chilq\n<font color=orange>ENG:</font> measurement (distance between index and middle finger)
guapo, bonito	<font color=red>CHP:</font> chercherchiz\n<font color=blue>AYM:</font> suma intani\n<font color=orange>ENG:</font> pretty, good-looking, attractive
mirar por todos lados	<font color=red>CHP:</font> chercherz\n<font color=blue>AYM:</font> iñantaña\n<font color=orange>ENG:</font> to look all around
mirar, ver	<font color=red>CHP:</font> cherz = chekz\n<font color=blue>AYM:</font> iñaña\n<font color=orange>ENG:</font> to look, to watch, to see
asombrar, dar sombra	<font color=red>CHP:</font> chewzinz\n<font color=blue>AYM:</font> ch'iwintaña\n<font color=orange>ENG:</font> to shade, to darken
