abajo	Uray, ukhu
páncreas	K'ayrapin
pantalón	Wara
panti panti (planta)	Panti panti
pantorrilla	Ch'upa
papa	Papa
papa asada	Watya
papagayo	Wakamayu
papaya	Papaya
par	Masa
paralítico	Such'u
pared	Pirqa
partir	Phatmay, rakiy
paso	Thatkiy
pastorear	Michiy
pata	Chaki
patear	Hayt'ay
pato macho	Khaka
pecado	Hucha
pecar	Pantay
pedo	Supi
pedregal	Ranra ranra
pegar con golpes	Maqay
pegar objetos	K'askachiy
peinar	Ñaqch'ay
peine, peineta	Ñaqch'a
peine de pita	Illawa
pelar	T'iqpay
pellizcar	K'ichiy, t'ipiy
pelota	Hayt'ana, qara t'iqichu
pena (tener ___ )	Anchiy, llaki
pendiente, declive	Kinray, qhata
pene	Ullu
pensar	Hamut'ay, yuyaychakuy
pequeño	Huch'uy, khullu
perder	Chinkachiy, atipachikuy
perderse	Chinkakuy
perdíz	P'isaq
perdonar	Pampachay
perro	Allqu
pesado	Llasa
pescar	Challway, hap'iy
pescuezo	Kunka
pestañas	Qhichipra
pez	Challwa
piar (pollitos)	Waqay, chiw chiw niy
picaflor	Q'inti, luli
picante	Haya, uchu
picar el ave	T'apsay, chhapchay
pico	T'apsa, chhuruna
pie	Chaki
piedra	Rumi
piedra preciosa	Umiña
piel	Qara
pierna	Chakan
pimiento, rocoto	Ruqutu
pintar	Llimp'iy
piojo	Usa
pircar	Pirqay, pirqa hatarichiy
pita de maguey	Ch'awar
planeta	Tierra Allpa
planta	Yura
plántula	Mallki
platillo de la rueca	Phillillu
plato	P'uku, chuwa
plomo	Uqi
plomo metal	Titi
pluma	Phuru
poderoso	Qhapaq
podrir	Ismuy
poema, poesía	Yarawi
poleo	Muña
polilla	Thuta
pollera	Pullira
pollo	Chiwchi
poncho	Punchu
poner	Churay
poner huevo	Runtuy
poner la olla	Churpuy, hast'ay
porra	Maqana
prado, pradera	Purun, muya
precio	Chanin
precioso	Munay
preguntar, interrogar	Tapuy
prendedor	T'ipana, tupu
préstamo	Ayni, mañay
prestar	Mañariy, manuy
primogénito	Phiwi
príncipe	Awki
probar, saborear	Malliy
procrear	Churiyay, miray
producir	Uriy, miray, wachay
profesor(a)	Yachachiq
proteger	Amachay, hark'ay
provincia	Suyucha
pueblo	Llaqta
puente	Chaka
puerta	Punku
pulga	Piki
pulga de aves	Itha
pulir	Lluchk'ayachiy, thupay
pulmones	Surq'an
puma	Puma
puna (región geográfica)	Puna
puñado	Hapt'ay
puñetear	Saqmay
pura	Llumpaq
purificar, solucionar	Ch'uyanchay
púrpura (color)	Kulli
pus	Q'iya
qué	Ima
quebrada	Wayq'u
quebrar (cerámica, vidrio)	Chhalluy
quechua (lengua)	Runa simi, qhichwa
quechua (región)	Qhichwa
quemar	Ruphachiy, Kañay
quena	Qina
querido (el ___ ), querida (la ___ )	Inka, munasqan
queso	Kisu
queuña	Qiwña
quién	Pi
quihuicha	Kiwicha, achita
quijada, mentón	K'aki
quinua	Kinuwa
quinua batida	P'isqi
quishuar (planta)	Kiswar
quispiño (comida)	K'ispiñu
quitasol	Achiwa
quizás	Icha
raíz	Saphi
rama	K'allma
rana	K'ayra
rápido	Utqay
raspar	Thupay, ñañuyachiy, k'isuy
rasgar	Llik'iy
ratón	Huk'ucha
rayo (fenómeno)	Illapa
rebalzar	Phuqchiy
rechazar, rebelarse	Kutipakuy, hatariy
recibir	Chaskiy
reciprocidad	Ayni, kutichinakuy
recitar, declamar	Yarawiy
recoger, cosechar	Pallay
red	Lluku, llika
reflexionar	Hamut'ay
regar, riego	Qarpay
región geográfica	Suyu
regresar	Kutiy
reina	Quya
reir	Asiy
reloj (solar)	Inti watana
remendado	Chhachu, ratapasqa
remendar	Ratapay
remojar	Chulluy, apiyay
remolino de viento	T'uyur wayra, muyu muyu wayra
remover	Qaywiy, harwiy, qachiy; hasp'iy
renacuajo	Huq'ullu
reñir	Anyay
repleto	Hunt'a
reprender	Anyay, k'amiy
resbaloso	Lluchk'a
resfriado	Chirisqa
respirar	Samay
resta o sustracción	Qichuy
resto	Puchu
resucitar	Kawsariy
resultado	Lluqsisqan, tukuchaynin
retirar	Anchuy, ayqiy
retoñar	Kawsariy, ch'ichiy
retornar	Kutiy, kutimuy
reventar	T'uqyay, phatay
reventar con los dedos	P'uqay
reventar el capullo	Phanchiy
rey	Inka
rincón	K'uchu
riñones	Rurun
río	Mayu
robar	Suway, suwakuy
roca	Qaqa
roca monolítica	Wanka rumi
rociar	Ch'allay, t'inkay, ch'aqchuy
rocoto	Ruqutu
rodeante	Khipu
rodilla	Qunqur, muqu
roer	K'utuy
rojo, roja	Puka
romadizo, catarro	Rumarisu, chhulli unquy
rombo	Puytu
romper	Llik'iy, p'akiy, chhalluy
roncar	Qhurquy
ropa	P'acha
rosetas de maíz	Phasanqalla
roturar, barbechar	Chakmay
rubio	P'aqu
rueca, huso	Puchka
ruiseñor	Ch'iqullu
sabio	Yachaq, amawta
sacar	Hurquy
sacar agua	Wisiy
sacudir	Chhapchiy, thalay
sal	Kachi
salir	Lluqsiy
salitre	Qullpa
saliva	Thuqay
saltar	P'itay
saludo, saludar	Napaykuy
salvaje	Sallqa
salvia	Salwiya
sangre	Yawar
sanitario	Hampikuq
sapo	Hamp'atu
sarna	Qaracha
sartén	Thiqtina
sasahui (planta)	Sasawi
saya, túnica	Aqsu
sebo	Wira
sebo del esternón	Untu, llamp'u
seboso, grasoso	Wiswi
sed	Ch'akiy
segadera, hoz	Ichhuna
segar	Rutuy
seis	Suqta
seleccionar	Akllay, pallay
selva	Yunka
sembrar, cultivar	Tarpuy, t'akay, mallkiy
sembrío	Chakra
semen	Yuma, wawsa, muhu
semilla	Muhu
seno, teta	Ñuñu
señor	Tayta, apu
señora, doña	Mama
señorita	Mamacha, sipas
sequía	Chiraw, ch'akiriy pacha, muchuy
ser, estar, haber, poseer, existir	Kay
serpiente	Amaru, miyuyuq mach'aqway
servir comida	Qaray
sesión	Huñunakuy
seso	Ñutqhun
sí	Arí, riki, aw
siembra	Tarpuy, t'akay
siembra primeriza	Maway
siete	Qanchis
sífilis	Wanthi
silbar	Huywiy
silenciar	Ch'inyachiy
silencio	Ch'in
silvestre	Sallqa
símbolo	Unancha
soasar	Harwiy, paruyachiy
sobrecarga	Palta
socio	Masa, masi
sofocarse	Ruphapakuy
soga de lana	Waskha
soga de paja	Q'ichwa, phala
sol	Inti
solitaria, tenia	K'uyka
solo	Ch'ulla, huk
soltar	Kichay, kachariy
solucionar	Ch'uyanchay
sombra	Llanthu
sombrilla	Achiwa
sonaja	Chhillchi
sonido	Kunka, uyarikuq
soplar	Phukuy
soplete, soplador	Phukuna
sordo	Ruqt'u
suave	Llamp'u, ñukñu
subir	Siqay, wichay
suche, bagre	Such'i
suciedad	Khanka, qhilli
sucio	Qhilli
sudor	Hump'i
sueño	Musquy
sufrir	Muchuy, ñak'ariy
suma o adición	Yapay
superar	Atipay
suplicar	Mink'akuy
surco	Wachu unu, pincha
suspirar	Anchiy, llakikuy
sustantivo o nombre	Suti
tabla	K'ullu
tacaño	Mich'a, maqlla
tajar	Khallay
tal vez	Icha
tallo	Tullu, tunu
tamal, humita	Humint'a
tambor	Tinya
tambor grande, bombo	Wank'ar
tapa de olla	Kirpana
tapar	Kirpay
tarántula	Apasanqa, qampu qampu
tarhui, altramuz	Tarwi
tartamudo	Akllu, k'aku
tasajear	Mat'ay
techar	Wasichay, wasi qatay
tejer en palitos	Ruray, wiq'ay
tejer en telar	Away
tejido con figuras	Pallay away
telaraña	Llika
temblar	Khatatatay
temible	Manchakuna
tender	Mast'ay
tendón	Hank'u
tenia, lombriz	K'uyka
teñir	Tullpuy, llimp'iy
terciana	Chukchu
terreno	Allpa
terrón	K'urpa
testículo	Q'uruta
teta	Ñuñu
tiempo, espacio	Pacha
tierno	Llullu
tierra	Allpa
tinieblas	Laqha
tiesto (cerámica rota)	K'arpa
tijeras	Tihira
tirar (arrojar)	Wisch'uy, chamqay, chhuqay
tirar (jalar)	Aysay
tiritar	Khatatatay
tiznado	Qhistichasqa
tizón	T'uqpina
tobillo	Chaki muqu, wich'u
tocar	Llamiy, llamkhay
todo	Llapan
tonto	Upa
torcaz (paloma)	Kukuli
torcer con mano	K'uyuy
torcer en rueca	K'antiy
torcer lana en palito	Mismiy
tordo	Chiwaku
torrar	Hamk'ay, kamchay
torrentera, aluvión	Lluqlla
tórtola	Kullku
tortuga de río	Charapa
tos	Uhu
toser	Uhuy
tostadera	K'allana
tostar	Hamk'ay, kamchay
totora, junco	T'utura, matara
trabajar	Llamk'ay, ruray
trabajo forzado por turnos	Mit'a
tragar	Mikhuy, rakray, millp'uy
trama	Mini
tranquilo	Llamp'u
tráquea	Tunqur
trasladar	Astay
trasvasar	Hillp'uy
trebol silvestre	Layu, chikmu
trenzar	Simp'ay
tres	Kimsa
tributar	Hayway
trillar	Iray
tristeza	Llaki
triunfar	Llalliy
trocar	Chhalay
trompeta	Q'ipa
trompeta de caracol	Pututu
tronco	Kurku, k'ullu
tropezar	Mitk'ay
trucha	Challwa
trueno	Pacha t'uqyay
trueque	Chhala
tuerto	Ch'ulla ñawi, lirq'u
tullido	Such'u
tuétano	Chillina
tumba antigua, chullpa	Chullpa
tumbar	Kumpay, urmachiy
tumbo	Tintin
túnica	Aqsu
tunta, chuño blanco	Tunta
úlcera labial	Lliqti
uñas	Sillu
un, uno, una	Huk, ch'ulla, sapallan
untar	Hawiy, llusiy, qhaquy
urdir para tejer	Allwiy
uretra	Hisp'ana
usado (cosas)	Mawk'a, thanta
vaca	Waka
vaciar	Hich'ay, ch'usaqyachiy, talliy
vacío	Ch'usaq
vagina	Raka
valle interandino	Qhichwa allpa
valor	Chanin
vapor	Wapsi
vaso de madera	Qiru
vedija	Phichu
venado	Taruka
venas	Sirk'a
vencedor	Atipaq
vencer	Llalliy, atipay
venir	Hamuy
ver	Rikuy, qhaway
verdad	Chiqan
verde	Q'umir
vicuña	Wik'uña
vida, vivir	Kawsay
vieja	Paya
viejo	Machu, mawk'a
viga	Kurku, k'ullu
virgen	Llumpaq, mamacha
virgen	María Mamacha Mariya
vírgenes del	Sol Akllakuna
viruela	Muru unquy
vitorear	Haylliy
vivas (gritar ___ )	Haylli
vivaracho, vivo, listo	K'uchi
víveres	Mikhuy, mikhuna
vizcacha	Wisk'acha
volar, correr	Phaway
volear pelota	T'aqllay
volumen	Winara
volver	Kutiy
voz	Kunka
yerno	Qatay
yeso	Pachas
yuca	Rumu, yuka
yunta	Masa
zampoña	Antara, siku
zancudo	Wanwa
zarigüeya	Unkaka
zarzaparrilla	Llaqi llaqi
zorrino	Añas
zorro	Atuq
zurdo	Lluq'i
