a'ạjtaba'	Mata caballo.
charqui	Charque.
chav'	Llevar, tener consigo alguna cosa u objeto.
chav'	Tener dinero (lenguaje familiar).
chavapa	Pez, curubina.
chav'jeyaqui	Guardar en el bolsillo.
chẹbebe	Gallareta.
chẹ́caqui	Chocar con el mal viento.
ch'ẹ́cje'	Golpear en el pecho a una mujer.
checreij	Forma de una palca.
chẹi'	Empalcado al medio de dos palos.
chẹi'ya'	Cerca.
chẹi'ya' yi	Acercarse, aproximarse.
chẹi'ya'taqui	Acercar, poner cerca.
chẹi'ya' tuquij	Traer cerca.
chẹi'ya'ya yequi	Ir a acercándose.
chẹi'ya'ya yeti	Venir a acercándose.
chẹi'ya'jete- je'	Acercarse demasiado a una persona.
ĉhe'yaij	Más alto o cantar con voz más fuerte.
chị'	Pando.
chị'ya'	En lo pandito.
chi'baqui	Flechear.
chi'bacva'joij	Flecheando.
ĉhibetstyi'	Lagañoso.
chijcaja'	Cachete de ganado vacuno.
chicje'	Golpear, lastimar herida.
chicnacdye'	Hacer cosquillas.
chicäjräij	Oxidar.
chicnaqui, chicñe'	Hacer cosquillas a una persona.
chicnacvajoij	Haciendo cosquilla.
chicre	Chicle.
chi'ĉan	En lo pando.
chi'ĉhe'	En lo pandito.
chịchu'tyi'	Bocón, chismoso.
chidam' jiti o in	Frase de chistear.
chidacyi	Poner los pies arriba.
chidacyi	Darse la vuelta, retroceder.
chịfrijyi	Estar petacudo (leng. familiar).
chimon'yi	Zambullir o sumergir en el agua.
chimo'naqui	Zambullir varias veces en el agua.
chịn'bis	Lizo, suave.
chinc̣haro	Chicharrón.
chiñicje'	Sacar cáscara o piel de ios animales.
chip	Malva.
chipan'je', c̣hipa'ñe'	Agarrarse del cabello.
chipje'	Flechar.
chipjeban	Flechar de nuevo o desactivar una trampa.
chi'puij	Cabello crespo.
chi'pus, chi'puty	Persona que tiene cabello crespo.
chịquidye'	Aleta del pescado.
chira'je', chira'ñe'	Llenar de flechas.
chinera	Chinelas.
chirijri	Dedo.
chiripo'	Manos, pies (leng. fam.).
chị́rui'	Gusano, vive en palo seco.
chirvajvai'	Montón de algo sin acomodar.
chirvai'tyi	Desparejos, desigual o palizada.
chito'	Planta para envenenar pescado (sacha).
chivän'jete	Hacer dalear la canoa u otra cosa.
chị've	Lo pando del agua.
chị'vejtaqui	Llevar a lo pando.
chiviya	Taracoré (Ave tipo gallina).
chiyajje'	Chisguetear agua.
chị'yedye'	Tiempo seco.
chị'yi'	Agua que baja de nivel (noria).
chobaquis	Niñera.
choben'je'	Abrazar.
choben'jete ava'	Alzar niño.
chobo'naqui	Abrazar, con el pensamiento de tener relaciones sexuales.
chobo'	Niño alzado en los brazos.
chobo'chui'	Tener alzado en los brazo.
choco'	1. Apuntar, culpar, 2. Manojo o nudo.
chọco' c̣họco' p̂eyaqui	Hablar por señas.
chọ'coij	Atado, amarrados.
chọco'te-tye'	1. Amarrar las manos, pies, etc. 2. Culpar a la persona de un delito.
chocojmaqui	Sacar una cosa de una bolsa.
chocomje'	Manosear, hurgar.
chọco'te	Atar en manojo (caña, trigo, chuchío).
choco'ti	Declararse culpable.
chọc̣ho'coco'	Amarrado, prisionero.
chọ'dyij	Sonar el estómago (de hambre, etc.).
choijje'	Arrancar de raíz.
chojc̣hoty	Ave pichón.
chojraqui	Buscar algo en un lugar para robar.
chojre'yi	Robar de una bolsa o de un jasayé.
chojvaqui	Amenazar.
chojyaqui	Arrancar yuca, etc.
chomren' yi	Mirar con desprecio.
chomren'jeyaqui vej	Mirar con disgusto.
chomro'naqui	Mirar con enojo.
chon	Perder, extraviar algún obj.
chon	Desvestirse.
chonĉhui'	Escapar, dejar caer en el suelo.
chonjeyaqui	Perder, dejar, olvidar algo propio.
chonje'	Desnudar.
chojñe'	Desvestir a una mujer.
chon'jeyaqui, c̣ho'ñe'	Mostrar, sacar algo afuera.
chon'je'	Sacar afuera.
chon'yi	Salir de la casa.
chónaqui, c̣hóñeja	Sacar, quitar la ropa.
chon'dye'	Salvación.
chon'dyedyes	Objeto para salvarse.
chonọ'macdyes	Bebida, trago.
chonom'je'	Probar bebida.
chon'ti	Aparecer.
choñij	Escapar, ser salvo.
choco'	Amarrado un jase.
chọquen'	Hacerjase.
choro'naqui	Enfriar líquido caliente.
chọro'roij	Crujido del estómago de hambre.
chọro'roij -roi'	Tener mucha hambre.
chovaj	Sicurí, víbora grande, fiera.
cho'vaqui	Sobar para sacar brujería.
chovo'	Yuca dura aguachenta.
chụ'	Tejón.
chubur'taqui	Volcar (canoa, gaveta, etc.).
chubur'yi	Echarse, acostarse de barriga.
chục	Estar lleno de comida.
chucje'	Teñir, hilo, champar en líquido.
chucujcus ojñi'	Agua estancada, que no corre.
chucu'je'	Remojar, poner al agua para ablandar.
chucu'taqui	Sumergir en líquido, (agua).
chu'c̣hu'	Picaflor.
chu'c̣huij	Callarse, esperar, retener.
chụchujdudu'	Estar echadas varias personas.
chuden'yi	Acostarse.
chuden'je'	Hacer que se acueste.
chude'naqui	Echarse cada rato en la cama.
chuj	¡Cállese!, silencio.
chụjduij	Acostado, echado.
chu'naqui, c̣hu'ñe'	Chupar algo (frutos).
chu'naqui viroj	Chupar caña.
chúna	Quinaquina, árbol.
chunu'	Cotudo.
chunu'joij	Tener bocio (coto).
chuñij	Placenta.
chuñij	Raíz recién brotada de chuchío.
chupen'	Paquete entero.
chupu' tye'	Empaquetar, envolver.
chu'puij	Cosa envuelto en algo.
chụ́qui	Satisfecho, lleno de comida.
chụra'	Mara.
chu'rui', c̣hu'ruij	Desigual (piso, suelo).
churum	Sonido de caer en el agua.
chushtaqui	Tocar hacer el amor la primera vez.
chuctacdye'	Color teñido.
chuctacdyes	Color para teñir hilo.
chäbäj	Grande.
chäc̣häjrärä'	Desparejo, desigual.
c̣häjñi -ñi'	Enfermarse de la boca (utuó).
chäjräij, chäjräi'	Esparcido.
ĉhạbán	Bajar.
ĉhabanya'	En la bajada.
ĉhaba'jeyaqui	Hablar en secreto, mentir de algo.
ĉhaba'naqui	Hablar para otro en secreto.
ĉhabaqui	Sacar la espiga de maíz.
ĉhacbaty	Blanco, de piel blanco.
ĉhạĉhajoi'	Avión que baja del aire.
ĉhaĉhanjoij	Endurar, secar (cemento, etc.).
ĉhạdye'	Bajada o barranco.
ĉhạij	Vomitar.
ĉhạij	Bajar ir abajo o tender ropa.
ĉhạ́ja'	Bajemos o vomitemos.
ĉhaijje'	Abrir, extender.
ĉhaijti	Abrirse (flor, ala, etc.).
ĉhajĉhajyi	Canoa sobrecargada.
ĉhajje'	Hacer rebalsar agua en la canoa.
ĉhajjete	Ladear canoa (hacer entrar agua).
ĉham	Ralo.
ĉhámety -mes	Amarillo.
ĉhami	Arralar.
ĉhanam'si'	Lugar seco.
ĉhañej	Seco.
ĉhantaqui	Pez en un poso secándose.
ĉhañejyejoi'	Secando, seco.
ĉhañety -nes	Seco.
ĉhañij - ñi'	Secarse.
ĉhap chique'	Saber entender bien.
ĉhap p̂eyaqui	Hablar bien un idioma.
ĉhapje'	Abrir.
ĉhapa'jeyaqui	Callapear canoa.
ĉhasa'saij	Navegar en el río.
ĉhastyeij, chasyi	Nadar rápido (casco, cosa sobre agua).
ĉhash	Vómito.
ĉhashdyes	Remedio para vómito.
ĉha'she'	Alcanzar, llegar en el lugar.
ĉháta'	Así es, en verdad, que lastima.
ĉhata'dye me'	De verdad es así.
ĉhayen' tŝọi'	Caída de agua (cascada).
ĉhe' tsun	Sol alto, por la mañana.
ĉhe'ĉhuqui	Sostener, tener alzado.
ĉhe'je'	Suspender, alzar poner arriba.
ĉhe'jetye'	Ayudar a alguien alzarle algo.
ĉhenaqui	Dividir, despengar plátano.
ĉhenje'	Descuartizar a un animal.
ĉhen'	División de carne de animales (pierna) plátano; gajo.
ĉhen'je', ĉhe'ñe'	Despengar plátano.
ĉhet	Mitad, por la mitad.
ĉhetaqui	Partir.
ĉhetacsi'	Partido.
ĉhetaijje'	Deshacer.
ĉhétaqui	Partir, rajar leña.
ĉhete'	Rajar.
ĉheti'tii'	Partirse de por si mismo.
ĉhetjeyete	Dar la mitad de algunas cosas.
ĉhevyi	Abrir las alas para volar.
ĉhe've	Arriba.
ĉhe'vety-ves	Lo de arriba.
ĉhidaquistyi'	Hambriento.
ĉhị́dye'	Sabiduría, conocimiento.
ĉhidyi'ĉanya'	En medio, en la mitad.
ĉhidyi'ĉanyas	Lo del medio.
ĉhifajje'	Rociar, regar.
ĉhifajnaqui	Rociar, regar plantas.
ĉhiba' me'o	Peor así no vas a tener nunca.
ĉhịbi'	Brotar germinar una planta.
ĉhibin	Tres.
ĉhic	Orina.
ĉhicaqui	Entender, obedecer.
ĉhicaqui dáquis	Sentir hambre.
ĉhicvadye'	Enfermedad urinaria.
ĉhicvaqui	Estar enfermo de los órganos sexuales.
ĉhicon'je'	Lavar.
ĉhiĉushtyi' - si'	Dormilón, uno que duerme mucho.
ĉhiĉhi'	Mono chichilo.
ĉhiĉhim'	Pestaña.
ĉhiĉhimec	Parte iguales.
ĉhifrity	Petacudo.
ĉhịj	Saber, conocer.
ĉhijtyi'	Sabio, conocedor, experto.
ĉhij	Palo diablo, árbol.
ĉhị́jam'	Adivinen.
ĉhị́joij	Aprender, llegar a saber.
ĉhijo'metydye	Parecido, igualito, semejante.
ĉhijuchaty	Pecador.
ĉhijäm'	Por fin.
ĉhim	Ceniza.
ĉhimajmaty	Uno que les gusta jugar.
ĉhị́maraty	Dos persona flaca.
ĉhime', chime'dye	También.
ĉhime'jetedye	Vengarse, hacer lo mismo.
ĉhime'jeyacdye	Vengarse, castigar.
ĉhịmo'dye	La misma.
ĉhimu'dye	El mismo.
ĉhin	Clara, ralo.
ĉhintyi' - si'	Agua bien clara.
ĉhịpdye'	Retoño.
ĉhipe're	Plátano bellaco.
ĉhịptaqui	Retoñar, que brota la semilla.
ĉhíqui	Orinar.
ĉhị́qui peyacdye'	Conocer una nueva noticia, enterarse.
ĉhisje'	Sacudir el polvo.
ĉhị́va'joij	Estar atento.
ĉhị́va!	¡Adivine!
ĉhivejyi	Admirar.
ĉhivo'coty	Petacudo, barrigón.
ĉhivo'voty -s	Adúltero (mujeriego).
ĉhị́yactyi'	Bien conocido, amigo.
ĉhị́yaqui	Conocer.
ĉhiyi'dye	Decir lo mismo.
ĉhoc	Mitad, por la mitad.
ĉhocaqui	Cortar en pedazos (plátanos, palos, etc.).
ĉhocje'	Cortar por la mitad.
ĉhof	Reventar.
ĉhofjeyaqui	(leng. familiar) Carnear.
ĉhofjeyaqui	Reventar algo propio (pelota).
ĉhoyei'tyi'	Extender esparcido (no muy junto).
ĉhoji'vaqui	Echar líquido en vasijas, regar.
ĉhojjiti	Echar agua al cuerpo.
ĉhojjeyaqui	Derramar líquido,
ĉhojonaqui	Echar agua en vasija.
ĉhojo'daqui	Regar plantas.
ĉhojo'dye'	Echar agua a las plantas.
ĉhojjotaqui	Derramar líquido.
ĉhojtaqui	Bautizar.
ĉhojtacdye'	Bautizo, echar agua al cuerpo.
ĉhojtyin yụ	Me bautizó.
ĉhomin'dye'	Caracha, roncha.
ĉhojmuñi' añej	Lluvia fuerte por un rato.
ĉhoquin'je'	Ir o pasar por la mitad de un terreno.
ĉhore'naqui - ñe'- je'	Enfriar líquido caliente con dos vasijas.
ĉhoriti	Gotear, fluir, sudar.
ĉhómiñi	Tener carachas.
ĉhoquin' tyei'	Hacer una línea en la mitad de un terreno, cruzar el río.
ĉhoqui'naqui	Cortar por piezas.
choqui'vaqui	Cortar por pedazo.
ĉhosh, ĉhoshje'	Quebrar algo o huesos.
ĉhọsho'	Ratón.
ĉhoshoityi' - si'	1. Tener tumor en la pierna o cuerpo. 2. Comido por ratón.
ĉhọshoij	Comido por el ratón.
ĉhotoc	Soltar un hilo, cuerda.
ĉhoyaqui	Jalar canoa.
ĉhoyen'yi	Saltar.
ĉhoyen'je'	Brincar en algo.
ĉhoyojyoij	Dejar templado el mosquitero.
ĉhúdye'	Comida, algo en contacto con la boca.
ĉhufruty -rus	Petacudo, petacuda, panzón, barrigón.
ĉhụi'	Directo.
ĉhui'buty -bus	Blanco, limpio.
ĉhụi' bu'yi	Ir directamente.
ĉhụi'chuqui	Poner directo en line.
ĉhui'	Pegar a manazos.
ĉhui'	Recibir algo de regalo.
ĉhụ'	Boca.
ĉhucdye'	Ganancia, lo que saca uno por el trabajo.
ĉhuc	Usar una cosa.
ĉhucsi', ĉhuctyi'	Usado, usada.
ĉhujijcai'	Rescatar.
ĉhujbi	Hinchado.
ĉhujbi vejya'	Se hinchó la cara.
ĉhun	Oreja.
ĉhunyi	Alumbra.
ĉhunyis	Linterna.
ĉhuñem	Ver a través de un objeto transparente.
ĉhupyi-yi'	Escupir.
ĉhuquí	Le pegó, lo agarró.
ĉhu'ruruty -rus	Grueso: clavo, chuchío.
ĉhushen'	Animal que corre con la cola levantada (ardilla, zorro, oso bandera).
ĉhu'shus	Animal peluda, oso bandera.
ĉhutye'	Quitar o sacar cosas de alguien.
ĉhutej	Raspadura de olla.
ĉhushu'je'	Dejar palo caído.
ĉhushujshuij	Árbol que queda parado después de un chaqueo.
chuta' - tas	Planta cargada de fruta.
ĉhushu'shuij	Animal que viene con la cola suspendida.
ĉhuju'juij	Cruzar el río a pie.
ĉhutidye'	Pelea, enfrentamiento.
ĉhutidyedyety	Arma para la guerra.
ĉhụ'ya'	Por la boca.
ĉhu'ya' jete	Reprender con la boca.
ĉhụyujyuij	Bejuco que viene de arriba hacia abajo.
ĉhụi'je', ĉhụi'taqui	Enderezar.
ĉhụi' yụ'taqui	Corregir.
ĉhụi'dye'	Puerta.
ĉhujịjcaqui	Agarrar lo escapado, salvar del agua.
ĉhuijrity	Cuello largo.
ĉhụi'tye'	Enderezar.
ĉhäĉän	Sanar, recuperar.
ĉhäcdyi	Vivísimo.
ĉhäcdyiĉa'	Ser vivísimo.
ĉhädye'	Manteca, gordura.
ĉhädyedye'	Tiempo cuando los animales están gordos.
ĉhäij	Gordo.
ĉhäjäm'	Al fin.
ĉhäquiti	Sentir algo de dolor.
ĉhäsh	Sangre, resina de árbol.
ĉhäshi	Sangrar.
ĉhä'täij - teij	Conocido, bien claro; en negativo: oculto.
ĉhäti	Arisco.
ĉhätidye'	Familiar, de la familia, de la misma raza, pariente.
ĉhäyiti	Reconocer su personalidad.
dabaj	Maní.
daca'	Palca.
daque'	Pillar alguna cosa.
dạcaqui	Hallar, encontrar algún objeto.
daquiri	Concha.
dai'	Mucho.
dai'dye'	Caravana, persona blanco.
dai'je'	Multiplica o que tenga varios.
dajje'	Desatar algo.
dajtaqui	Desatar alguna cosa u objeto amarrado.
dam'	Poco.
dam' momo'	Menos, mínimo.
dadam' muju'cha'	Palabra comparativa: más, peor, etc.
damamaj	Poco a poco.
dam'che'	En la punta (del árbol, etc.).
dam'dye	Comparativo, mejor, peor.
dam'dye jäm' me'	Mejor así.
dam'dyety	Casi, falta poco.
da'mi jorojĉan	Escasamente que se puede ver.
damjeyaqui	Cosa que gasta de a poco.
dam'je'	Probar un poco.
damje' va'tacdye'	Ser castigado.
dam'jo'meban	Un poco mejor, recuperar.
damtui'	Traer poco.
damtuqui momo'	Persona que va a un lugar por corto tiempo.
dáqui	Tener hambre.
dáquis	Hambre.
dạquique'	Encontrar a alguien.
dạquishajte	Encuentro de una persona visitante con el dueño de la casa.
dáshu	Cuerno.
dáshuij -shui'	Brotar los cuernos.
dayi'	Aumentar, multiplicarse, reproducirse.
dẹvje'	Tocar campana.
dẹjvaqui	Golpear cosa.
dẹvyis	Toca campana.
déve	Cuenta o deuda.
deveij	Tiene deuda.
dévetute	Le debe.
dijrity	Guatoco y petacudo.
dijris	Guatoca y petacuda.
dochaquity	Singa.
dochco'	Tronco.
dochdyij	Singular.
dochje'	Apuntalar algún objeto con palo.
dochjetaqui	Trancar no dejar pasar persona ajena.
dochtaqui	Apuntalar, sostener.
dochti've	Rincón, esquina, curva del camino.
dochtuqui, dochti	Doblar, ir por curvas (zigzag).
dofocje'	Aflojar.
doijro' bu'va'joij	Cuidar, velar, estar mirando.
doijrodye'ĉan	Hacer señas con los ojos, realizar alguna actividad en pública.
doijroij	Mirando.
doijroja'	Cuidar, velar una cosa.
doijrojtaqui	Fijar algo es de uno.
doijrojtye'	Fijarse en algo.
doijroi'tyi -tyi'	Que esta mirando.
doijrojyi	Abrir los ojos.
doijrojtyejcaqui	Mirar cada rato alguna cosa.
doijrojyetaqui	Fijarse antes de irse.
dọj	Nombre de un sapo.
dojchaqui	Tender el mosquitero.
dojchaquity	Varilla para mosquitero.
dojity	Dios mitológico de los caimanes.
dojity	Nombre de víbora color amarillo azulado.
do'nos	Flema (en heces).
doq̂ui'	Nuez de la garganta o bocio.
dọraj	Hernia.
dọraij	Herniado.
doroi'jeĉunaqui	Discriminar o despreciar.
doroi'	Desprecio.
doroi'yity	Persona que desprecia o discrimina a otros.
dọ́roj	Perrito de Dios.
dosijsiij	Ave, persona parada de piernas largas.
dosi'siij	Estar andando con piernas largas.
dosi' bu'yi	Estar parado con piernas largas (como ave).
dóto	Chumiri (árbol).
dótsaqui	Picotear, pellizcar.
do'tsity -sis	Con piernas largas.
dotsomje'	Picotea.
dui'rij	Amontonado, enroscado (víbora).
dui'ris	Loma, amontonada.
dui'rii'tyi'	Amontonado, montón de cosas.
dujdujyi	Sonido de bombo o de nadar.
dujje'	Dar un golpe en la espalda.
dujren'yi	Flotar, bogar.
dujren'yis	Flotador, bogador.
dujrij	1. Hincharse del estómago. 2. masa para pan.
dujrity	Hinchado, madurado (masa de harina).
dụjru'naqui	Nadar sin champarse la cabeza, estar en el agua sin zambullirse.
dujrujrui'si' -tyi'	Una cosa flotando, bogando sobre el agua.
dujrujrujquemunsi' -tyi'	Muchas cosas flotando en el agua.
dujru'ruij	Que va bogando o flotando.
dujtete, dujte'	Herir con flecha o golpear sin avisar.
dúnanaj	Candirú (pez).
durduryi	Gruñido (puerco).
durdyij	Gruñido de chanchos.
dụri'dụri'	Amontonados.
dụri'je'	Amontonar.
dụrijriij	Muchos animales amontonados en un árbol.
duri'ñiti in	Juntarse en un lugar, reunirse para una reunión.
dụri'naqui	Acumular, tener mucho, recolectar.
dụri'ñejcaqui	Tener mucha carga.
duri'ñe' p̂en	Tener varias mujeres.
dụri' yu'taqui	Amontonar cosas.
dụrijriquen	Tener muchos montones (como plátanos maduros).
durja' durja'dyi	Gruñido, rugido de gato.
dururujyi	Bramado de tigre.
duru'ruij	El sonido del viento fuerte como el sur.
däcrä'joi'	Árbol que se está cayendo las hojas.
däcräjräty- ras	Palo que tiene pocas hojas.
däcren' yetac	Marchitarse de hojas.
där	Grande.
därtyi'- si'	Grande.
därä'	Monte, árbol, vegetación.
dạ̈rä'	Vacío, sin nada, pobre.
därä'che'dyety tsun	Atardecer, cuando el sol se está ocultando.
däräij	Cazar en el monte.
däräijtyi'	Hombre cazador.
därejrei'	Monte alto.
däräjräi'tyi	Conjunto de árboles grandes.
därästyi väsh	Comer fruta del monte.
därjeyaqui	Hacerlo más grande.
därvejyu'taqui	Ampliar la anchura.
därve, därves, därvety	Ancho.
därvedyem'	Anchura.
dyebacdye'	Costura.
dyebaqui	Costurar.
dyebaquis	Máquina de costurar.
dye'chei'- cheij	Arma o trampa preparada.
dyeche'jeyaqui	Preparar arma, trampa.
dyecher'je'	Abrir: tijera, etc.
dyeij	Sujo, clase de paja.
dyetse'	Persona anda con las piernas abiertas.
dye'tsei'tyij -tyi'	Con las piernas abierta.
dye'tsety	Que tiene pierna abierta.
dye'jeyaqui	Separar el fuego para que no siga quemando.
dye'je'	Sacar palo del fuego.
dyen	Abrir paso.
dyen bu'yi	Estar separado, tener espacio.
dyenjeyacsi	Darle paso, abrir paso en la muchedumbre, dar paso a otro.
dyete'ĉan	En medio monte, sin senda.
dyeten'je'	Abrir para dar paso entre medio de otras cosas.
dyets	Dar paso.
dyetsacdye'	Embrujado por el arco iris.
dyetsaĉa'	Flechado o embrujado por el arco iris.
dyetse'	Flechar (animal, ave).
dyi'	Ano.
dyi'ĉanya'	En medio.
dyicba'badye'	Neblina.
dyichchuti	Aguantar, reflexivo.
dyichjetye'	Aguantar o resistir de algo.
dyichmen'yi	Ponerse en cuclillas.
dyidyijyejoij	Captar poco a poco.
dyídyir	Ave pequeño.
dyijbu'yi	Alerta, ser vigilante, estar atento.
dyijjeyaqui	Acordarse de alguien.
dyijyeban	Recordar, pensar de algo pasado.
dyijtucdye'	Recuerdo o pensamiento en alguien.
dyijyi juchajĉhe'	Arrepentirse del pecado.
dyijyedye'	Pensamiento, inteligencia.
dyijyedye'	Idea, conocimiento.
dyijyi jen'che'	Pensar en Dios.
dyijyi	Pensar en algo o extrañar a alguien.
dyidyijjoij	Adquirir conocimientos.
dyijdye' - dyijyedye'	Pensamiento, idea.
dyiji'ji'yequi	Pensar en algo, pensar mal de uno.
dyijtuqui carijtacdye'	Pensar en su trabajo.
dyíjmi'	Murciélago, vampiro pequeño.
dyijtuqui	Pensar continuamente de algo prometido.
dyijtŝọi'	Sentir dolor tremendo en la cabeza.
dyimacdye'ĉan	Tesorería.
dyimaqui, dyimja'	Escoger alguna cosa.
dyimacdye'	Reclutamiento.
dyimruij	Desvelado, borracho.
dyim'tacdye'	Escoger, elección.
dyin'	Cuña da mujer a mujer.
dyíñe'jeyaqui	Poner desnudo, usar ropa muy corta.
dyíñeij	Chiraposo de pobreza.
dyíñe'ñeij -nei'	Chiraposo, usar ropa muy corta (mujer), ave sin pluma (pichón), desnudo.
dyíñety	Ropa indecente (muy corto).
dyiñeya	Guineo.
dyịri'rii'	Lloviznar.
dyiri'ris	Insecto pequeño.
dyiro'	Chancho grande.
dyis	Jipurí de la hoja de motacú flecha pequeña.
dyisa'yity	Chistoso.
dyisa'yi	Que ríe mucho.
dyisa'tye'	Chistear con la mujer.
dyisactacsi	Reírse de otro, burlarse.
dyisa'tacsi	Bromear con otros.
dyisdye'	Risa.
dyisdyen'je'	Sonreír.
dyidyista'	Sonriente, coqueto.
dyisij	Reír (el hombre).
dyisi'	Reír (la mujer).
dyisi'sijtyi'	Uno que para riendo.
dyisharje'	Hacer chispear los brasas.
dyitum	Rocoroco.
dyitsi' dyitsi'yi	Toser.
dyitsi'tsij	Tener escozor, picazón del cuerpo.
dyitsi'tsijtyi' quị'si'	Ropa que pica.
dyi'ves	Trasero, lo de atrás.
dyu'	Pene, miembro varonil.
dyufarje'	Asar algo de carne o plátano entre los brasas y cenizas.
dyufín	Clase de chuchío.
dyudyes	Bañero o ducha.
dyúquij	Se fue ha bañarse.
dyuij	Bañar.
dyụjtsị	Tigrecillo.
dyujtsijtsijyi	Silbido imitando al tigrecillo.
dyụrtyi'	Maíz blando.
dyụru'je'	Tumbarlo al suelo y ensuciar de tierra.
dyụru'naqui	Embarrándose.
dyụ'rurus	Nombre del palo que sirve para hacer casa.
dyuts	Luna llena.
dyutsyi	Arrodillarse.
dyụ'tsaqui	Arrodillar en adoración.
dyu'tse'	Adorar a una cosa (virgen y otros).
dyụ́tsedye'	Donde termina la tierra.
dyutsen' tsedyedye'	Toda la noche.
dyutsen' mayedye'	Todo el día.
dyutsen'je'	Tardar el día y la noche.
dyutsquiti	Arrodillarse para adorar.
dyäcje'	Paralizar, poner alto.
dyäcjeĉuñe'	Pararlo, detenerlo.
dyäcyi	Pararse, detenerse.
dyä'chäij	1. Sentado en un objeto Ej: tronco, canoa, etc. 2. Ave sentada en una rama.
dyä'chaqui	Cocinar en olla común.
dyä'chacdye'	Excursión.
dyächen' tyeij	Ir sentado en algo (canoa, carretón, camión).
dyächä'chäi'	Llevar cosa en la cabeza.
dyächä'chäij	Bajar en callapo.
dyä'chäij	Sentado en un objeto Ej: Estar sentado en (árbol, plataforma).
dyäch bu'yi	Base en lo que apoye algo.
dyächjeyaqui	Poner, asentar olla en el fuego, etc.
dyächtye'	Sancochar yuca, plátanos, etc.
dyäjtsi	Clase de ave.
dyä'tsi'	Camarón.
dyäquedye'	Pascana, campamento, alojamiento.
dyäqui	Alojarse, parar a descansar.
dyäshi'tyeij	Caminar rengo.
dyäshídye'	Rengo, cojo.
e'bina	Hamaca.
e'binai'	Hacer hamaca.
edoj	Hueso de la cara.
edojdyety	Hueso de la cara, significa que es bien flaco.
e'emdyij - dyi'	Llamar desde la puerta, con limpiar la garganta.
e'fe	Pecho.
e'feya'	En el pecho.
eijnaqui	Canto del hechicero.
eje'	Toser.
eje'yi	Tuese.
eje'naqui	Estar tosiendo.
eje'vacdye'	Tos de ahogo o tuberculosis.
eje'vaqui	Enfermarse con tos de ahogo.
éjojyi	Gritar.
éjojquedye'	Grito.
éjojdyi	Gritar varias veces como un borracho.
éjojo	Guajojó.
éjojyejoij	Tormenta, excitación de ánimo.
emej	Pava roncadora.
ẹmẹjrẹque'	Pájaro carpintero vientre rojo.
emoñico	Muñeca, santo o amo de los animales.
ena'yi	Hacer un gesto de desprecio con la lengua.
e'naij	Lengua afuera de cansado.
ena'naij	Venir con la lengua afuera.
ẹ'nas	Machete angosto (viejo).
enam'je'	Lamer.
ena'maqui	Lamber algo dulce.
énojno	Pez como regla.
epan'je'	Montar.
epa'ñe'	Montar continuamente algún animal (caballo, etc.).
epa'paij	Venir montado en la balsa bajando por el río.
epetsje'	Hacer subir; sacar fuera del agua.
epe'tsaqui	Trepar, subir en el árbol.
epoj	Gemelo, tojo, mellizo.
etspei'tyi-tyi'	Varios animales estar trepados.
ẹreij	Parabachi hombro rojo.
erepaj	Tutuma.
ere'	Avisillo.
escuera	Escuela.
escueraij	Asiste en la escuela.
escueraijtyi'	Alumno.
ei'shoty	Jetón.
ẹyeye'	Frio (ave, pequeño de color amarillo).
e'yi	Vomitar, estar con arcadas.
eyo	Lengua de panza.
eyodye'	Clase de ají.
fạ́cacdyety	Enemigo, el aborrecido, despreciado.
fạ́cactyi' - si'	Uno que siempre es odiado, aborrecido o despreciado.
facajje'	Desparramar, regar alguna cosa.
facajnaqui	Sembrar regando la semilla.
fạ́caqui	Enojarse con alguien de la familia.
fạ́ĉoij	Enojarse.
fạ́ĉoijtyeij	Enojarse de inmediato.
facse'	Tragar.
fachtyetye'	Cavar la cueva en busca de algún animal.
fadacdye'	Poso, cavado.
fada'cacdye'	Garfio de flecha.
fadai'jeyaqui	Armar el arco (conectar la pita).
fai'dai'tyi -tyi'	Preparado para disparar flechar.
fadaqui, fadye'	Cavar, escarbar tierra.
faijjan'	Llamar a alguien.
faijte	Llamar a una persona.
faj	Urucú.
fajche'	Estar arriba del urucú.
fạjche'	Encima, arriba, sobre algo.
fạjchety	Lo de encima.
fajraqui	Rozar.
fajve	Al otro lado.
famje'	Mezclar.
famtyity	Mezclado de distintas clases.
fáquitidye'	Enojo, odio.
faraj bä'yity	Persona libre, tranquila.
farajtyity	Persona libre sin control.
farajje'	1. Abandonar, 2. Jonear con algo.
farajjeyaqui	Dejar algo que tenía.
fạra'jeyaqui	Retear alguien de su familia.
fạra'naqui	Retear, gritonear, reprender, hacer escándalo.
faraij	Asar plátanos, yuca, etc.
faraj	Libre.
faraj farajsis sánacdye'	Letra imprenta, tipografía.
faraj vuca' me'	Ojala que se a así.
farajjeyaqui	Botar, poner, dejar, abandonar.
farajnaqui	Jonear, botar algo.
farajjetaque'	Abandonar.
farajnacdyety perota	Básquetbol (pelota).
farajñe'	Joneando, o dejarlo cada rato.
farajnaquity	Persona que pasa algún objeto, cosa a otra persona.
farajtye'	Embrujar.
farajtacsity	Brujo, hechicero.
faratucsi'	Cosido en brasa.
faratucsi' jac	Ladrillo.
fạra'tum	Hablar con fuerza con entusiasmo, en manera ruidosa.
faratuqui	Asarlo algo propio.
fari'joij	Intestino de animal con tumores.
fa'rity	Tener mucha caracha.
fatsujjeyaqui	Regar hacer remojar.
