a	vocal baja central.
aqharana	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Diafragma, músculo ancho y delgado que separa la cavidad del pecho de la del vientre <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
aqharaña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo transitivo.</span> Descuartizar. Dividir una cosa en cuartos para repartir <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
aqhi	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Cueva. Gruta <span foreground="#696969">(Fuente: Juan Luis Ayala Loayza, Diccionario Español-Aymara, Aymara-Español, Lima, 1988)</span>.
aqhillaya	<span foreground="#228B22">sustantivo.</span> Espantador, espantapájaros, espanta-zorros.
aqhillayaña	<span foreground="#228B22">verbo intransitivo.</span> Colocar un espantador en el chiquero contra le zorro o contra las aves en el sembrío.
aqhillt'äña	Instalar un espantador con ahínco.
aqhuya	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo.</span> Tener ojos lagrimados (<span foreground="#228B22">vocablo antiguo.</span>).
ara	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Canto, emisión de sonidos modulados de la voz humana expresados con armonía musical <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
ära	<span foreground="#228B22">sustantivo.</span> Quinua silvestre.
ärachi	Danza folklórica. Danzan con zampoñas y cánticos alrededor de una madera vertical y sobre la que al danzar trenzan cintas, la misma que desatan también girando al revés <span foreground="#660099">(Aroma)</span>.
araku	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo.</span> Imbécil, escasa de razón <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
araña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo intransitivo.</span> Cantar, formar con la voz sonidos modulados con armonía <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
araqu	<span foreground="#228B22">No estandarizado.</span> (np). <span foreground="#228B22">adjetivo y sustantivo.</span> Niña que aún no tiene uso de razón. // Persona tonta y sin seso <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
arara	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo y sustantivo.</span> Parlanchín, hablador (<span foreground="#228B22">vocablo antiguo.</span>).
arasa	<span foreground="#228B22">sustantivo.</span> Estertor, respiración fatigosa del moribundo. Estertores de la muerte.
aru churaña	<span foreground="#228B22">verbo transitivo.</span> Inducir. Incitar, instigar, mover a uno. <span foreground="#228B22">Sinón:</span> <i>amtayaña, ch'iqachaña.</i>
arch'ukiña	<span foreground="#228B22">verbo transitivo.</span> Provocar. Desafiar o retar con palabras. <span foreground="#228B22">Sinón:</span> <i>arnaqjaña.</i>
ari	<span foreground="#228B22">adjetivo.</span> Agudo. Delgado, afilado. <span foreground="#228B22">Sinón:</span> <i>yära.</i>
ari	<span foreground="#228B22">sustantivo.</span> Filo. Borde agudo de un objeto cortante.
aricha	<span foreground="#228B22">adjetivo.</span> Lasciva, sensual (insulto para humanos).
aricha	<span foreground="#228B22">adjetivo.</span> Porcina cuando está en celo.
arichaña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo transitivo.</span> Amolar. Afilar. Aguzar. <span foreground="#228B22">Sinón:</span> <i>mulaña <span foreground="#660099">(de castellano)</span>.</i>
arikuma	<span foreground="#228B22">sustantivo.</span> Yacón, tubérculo jugoso y dulce que se come crudo.
Ariña	<span foreground="#228B22">verbo transitivo.</span> Estrenar objetos de alfarería, poniendo primero grasa de ganados y agua para que dure.
ariptayaña	<span foreground="#228B22">verbo transitivo.</span> Afilar. Sacar filo o punta. Aguzar. <span foreground="#228B22">Sinón:</span> <i>mulaña, aricht'aña.</i>
arjaña	<span foreground="#228B22">verbo transitivo.</span> Vaticinar, predecir, agorar, presagiar. Augurar un hecho malo o bueno, que por haber sido mencionado en hora nefasta o buena puede cumplirse. <span foreground="#228B22">Sinón:</span> <i>aruqaña, simpaña.</i>
arjiri	<span foreground="#228B22">adjetivo.</span> Agorero, -ra. Que predice por agüeros. <span foreground="#228B22">Sinón:</span> <i>yatiri.</i>
arkaña	<span foreground="#228B22">verbo transitivo.</span> Perseguir. Seguir al que huye intentando alcanzarle. <span foreground="#228B22">Sinón:</span> <i>arktaña.</i>
arkanaqaña	<span foreground="#228B22">verbo transitivo.</span> Perseguir o acosar, estar siempre detrás de una persona. <span foreground="#228B22">Sinón:</span> <i>arknaqaña.</i>
arkantaña	<span foreground="#228B22">verbo transitivo.</span> Seguir hasta adentro.
arkiri	<span foreground="#228B22">adjetivo y sustantivo.</span> Perseguidor, -ra. <span foreground="#228B22">Sinón:</span> <i>arktiri.</i>
arkiri	<i>Alisnaqiri</i>. Perseguidor, el que persigue haciendo correr de un lado a otro.
arkiri	<i>Arknaqiri</i> <span foreground="#660099">proviene de </span><i>arkanaqiri</i>. Perseguidor quien sigue a alguien por donde quiera que vaya.
arkiri	<span foreground="#228B22">adjetivo y sustantivo.</span> Seguidor, -ra. Que sigue.
arkiri	<span foreground="#228B22">sustantivo.</span> Discípulo, -la. Persona que recibe la enseñanza de un maestro.
arknaqaña	<span foreground="#228B22">verbo transitivo.</span> Acosar. Perseguir. <span foreground="#228B22">Sinón:</span> <i>arkanaqaña, qhamiyaña.</i>
arknuqaña	Colocar ordenadamente al piso o suelo. <span foreground="#228B22">Sinón:</span> <i>chullanuqaña.</i>
arktayaña	<span foreground="#228B22">figurado.</span> Ayudar a alguien al paso.
arku	<span foreground="#228B22">sustantivo.</span> Rimero de ladrillos o adobes.
arku	<span foreground="#228B22">sustantivo.</span> Ramada, adorno que se prepara para las fiestas y actos ceremoniales. // <i>Wayllüta</i>. <span foreground="#228B22">sustantivo.</span> Ramada para matrimonio.
arkuña	<span foreground="#228B22">verbo transitivo.</span> Emparvar. Poner en parva las gavillas. <span foreground="#228B22">Sinón:</span> <i>kallchaña.</i>
arkuña	<span foreground="#228B22">verbo transitivo.</span> Dar en reciprocidad dinero o en especie al pasante de una fiesta. Responder al <i>ayni</i>. <span foreground="#228B22">Sinón:</span> <i>apxataña.</i>
arkuqaña	<span foreground="#228B22">verbo transitivo.</span> Recibir poniendo las cosas en orden.
aru kutt'äña	<span foreground="#228B22">sustantivo.</span> Réplica. Respuesta.
arma	<span foreground="#228B22">sustantivo.</span> Arado.
armaña	<span foreground="#228B22">verbo transitivo.</span> Olvidar. Perder el recuerdo de una cosa. <span foreground="#228B22">Sinón:</span> <i>armt'aña.</i>
armaqaña	<span foreground="#228B22">verbo transitivo.</span> Omitir. Dejar de hacer una cosa. <span foreground="#228B22">Sinón:</span> <i>jaytarpayaña.</i>
armasiña	<span foreground="#228B22">pronominal.</span> Olvidarse. <span foreground="#228B22">Sinón:</span> <i>armt'asiña.</i>
armayaña	<span foreground="#228B22">verbo transitivo.</span> <span foreground="#228B22">figurado.</span> Distraer. Quitar una idea. Hacer olvidar.
armt'a	<span foreground="#228B22">sustantivo.</span> Olvido. Falta de memoria.
arnaqaniña	<span foreground="#228B22">verbo transitivo.</span> Anunciar o comunicar gritando del otro lado hacia ésta.
arnaqaniña	<span foreground="#228B22">verbo transitivo.</span> Ir a gritarle a alguien.
arnaqaña	<span foreground="#228B22">verbo transitivo.</span> Vociferar. Gritar, publicar, pregonar algo con jactancia para mal de alguien. <span foreground="#228B22">Sinón:</span> <i>arnaqjaña.</i>
arnaqaña	<span foreground="#228B22">verbo transitivo.</span> Anunciar o comunicar algo en voz alta.
arnaqaña	<span foreground="#228B22">verbo transitivo.</span> Gritar para llamar la atención.
arnaqasiña	<span foreground="#228B22">verbo intransitivo.</span> Vocear, gritar. Pedir auxilio.
arnaqjaña	<span foreground="#228B22">verbo transitivo.</span> Difamar. Desacreditar a una persona. <span foreground="#228B22">Sinón:</span> <i>p'inqachjaña.</i>
arphaña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#660099">(Muñecas)</span> <span foreground="#228B22">verbo transitivo.</span> Hacer sacrificios a los dioses. // Sacrificarse <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
arphuña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo transitivo.</span> Pelar aves o conejos con agua hirviente <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>. <i>Lluch'uña, lliphiña</i>.
arqhaña	<span foreground="#228B22">verbo transitivo.</span> Copular de la llama.
arqhaña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo transitivo.</span> Exclamación que equivale a una negativa risueña y cortés <span foreground="#696969">(Fuente: Manuel Rigoberto Paredes, Vocabulario de la lengua aymara, La Paz, 1971)</span>.
arqhiña	<span foreground="#228B22">verbo intransitivo.</span> Jadear. <span foreground="#228B22">Sinón:</span> <i>samaqiña.</i>
arst'aña	<span foreground="#228B22">verbo intransitivo.</span> <span foreground="#228B22">figurado.</span> Disertar. Razonar sobre una materia. <span foreground="#228B22">Sinón:</span> <i>parlt'aña <span foreground="#660099">(de castellano)</span></i>
arsuña	<span foreground="#228B22">verbo intransitivo.</span> Hablar. Articular, proferir palabras para darse a entender. <span foreground="#228B22">Sinón:</span> <i>parlaña <span foreground="#660099">(de castellano)</span></i>
arsuña	<span foreground="#228B22">verbo transitivo.</span> Expresar. Manifestar con palabras lo que uno quiere dar a entender. <span foreground="#228B22">Sinón:</span> <i>arst'aña, qhananchaña.</i>
arsuña	<span foreground="#228B22">verbo transitivo.</span> Confesar. Declarar. Dar a conocer. // <i>Ulaqaña</i> <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>. <span foreground="#228B22">verbo intransitivo.</span> Parlar. Hablar. <span foreground="#228B22">Sinón:</span> <i>arsxaña.</i>
arsuña	<span foreground="#228B22">verbo intransitivo.</span> Perorar. Pronunciar un discurso u oración.
arsuña	<span foreground="#228B22">verbo intransitivo.</span> Articular. Pronunciar las palabras claramente.
arsusiña	<span foreground="#228B22">pronominal.</span> Protestar por algo y/o contra alguien que comete injusticia.
arsuwi	<span foreground="#228B22">sustantivo.</span> Adagio. Proverbio, sentencia breve. <span foreground="#228B22">Sinón:</span> <i>arusiwi, sawi.</i>
arsuwi	<span foreground="#228B22">sustantivo.</span> Dentro de la boca. La caja sonora.
arsuwi	<span foreground="#228B22">sustantivo.</span> Modo de pronunciación. Pronunciación.
arsuwi	<span foreground="#228B22">sustantivo.</span> Lugar de expresión o exposición. // Sitio donde está el atril.
arsuyaña	Hacer hablar. <span foreground="#228B22">Sinón:</span> <i>parlayaña.</i>
arsuyaña	<span foreground="#228B22">verbo transitivo.</span> Interpretar, leer un texto, un ideograma, etc.
art'aña	<span foreground="#228B22">verbo transitivo.</span> Gritar. Llamar a gritos.
art'aña	<span foreground="#228B22">verbo transitivo.</span> Encarar gritando. Decir la verdad en cara de alguien.
aru!	<span foreground="#660099">(de aymara)</span>. Interjección con que se interrumpe a los que cantan o bailan, presentándoles copas de licor. ¡Aro!
aru	<span foreground="#228B22">sustantivo.</span> Voz. Sonido que produce el aire expelido de los pulmones al hacer vibrar las cuerdas vocales.
aru	<span foreground="#228B22">sustantivo.</span> Palabra. Vocablo.
aru	<span foreground="#228B22">sustantivo.</span> Lengua. Idioma. Lengua de un país o nación.
arucha	<span foreground="#228B22">sustantivo.</span> Sílaba.
aruchawi	<span foreground="#696969">(Fuente: UMSA-OEA, Jach'a sarta, Yatichañ arunaka (Lexicopedagógico), La Paz, 1990)</span>. Morfosintaxis.
aru kamana	<span foreground="#228B22">adjetivo.</span> Locuaz, hablador, -ra. <span foreground="#228B22">Sinón:</span> <i>arunqalla.</i>
aru kamana	<span foreground="#228B22">sustantivo.</span> <span foreground="#228B22">neologismo.</span> Moderador.
arukipa	<span foreground="#228B22">adjetivo.</span> Comunicador, -ra.
arukipaña	<span foreground="#228B22">verbo transitivo.</span> Comunicar.
aruma	<span foreground="#228B22">sustantivo.</span> Noche.
arumanthi	<span foreground="#228B22">sustantivo.</span> Mañana.
arumarji	<span foreground="#228B22">sustantivo.</span> Mañana. <span foreground="#228B22">Sinón:</span> <i>arumirja.</i>
aru masi	<span foreground="#228B22">adjetivo y sustantivo.</span> Sinónimo. Vale decir, nombre compañero de otro. Dícese de los vocablos que tienen una misma o muy parecida significación. <span foreground="#228B22">Sinón:</span> <i>kikpa aru.</i>
arumirja	<span foreground="#228B22">adverbio.</span> Mañana. Futuro, tiempo que transcurre entre el amanecer y el mediodía.
arumt'aña	<span foreground="#228B22">verbo intransitivo.</span> Anochecer. Empezar a faltar la luz del día, venir la noche. <span foreground="#228B22">Sinón:</span> <i>arumthapiña.</i>
arumthapi	<span foreground="#228B22">sustantivo.</span> Anochecer. <span foreground="#228B22">Sinón:</span> <i>chhapthapi, sujsthapi.</i>
aruncha	<span foreground="#228B22">sustantivo.</span> Verbo.
aruni	<span foreground="#228B22">adjetivo.</span> Facundo, -da. Fácil y afluente en el hablar. <span foreground="#228B22">Sinón:</span> <i>ancha aruni.</i>
arunqalla	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo y sustantivo.</span> Parlanchín, hablador <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>. <span foreground="#228B22">Sinón:</span> <i>arunqati <span foreground="#660099">(Muñecas)</span></i>
arunta	<span foreground="#228B22">sustantivo.</span> Salutación. Saludo. <span foreground="#228B22">Sinón:</span> <i>aruntawi, aruntasiña.</i>
aruntaña	<span foreground="#228B22">verbo transitivo.</span> Saludar.
aruntt'aña	<span foreground="#228B22">verbo transitivo.</span> Cumplimentar. <span foreground="#228B22">verbo transitivo.</span> Dar parabién o hacer visita de cumplimiento a uno con motivo de algún acaecimiento próspero o adverso. Felicitar.
aruña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo intransitivo.</span> Hablar <span foreground="#696969">(Fuente: Juan Luis Ayala Loayza, Diccionario Español-Aymara, Aymara-Español, Lima, 1988)</span>.
aruña	<span foreground="#228B22">verbo intransitivo.</span> Cantar los gallos.
aru pirwa	<span foreground="#228B22">neologismo.</span> <span foreground="#228B22">sustantivo.</span> Diccionario. Libro en que por orden comúnmente alfabético se contienen y explican las dicciones de uno o más idiomas.
arusiña	<span foreground="#228B22">figurado.</span> Versar.
arusiña	<span foreground="#228B22">verbo intransitivo.</span> Monologar. Recitar soliloquios o monólogos.
aruskipaña	<span foreground="#228B22">verbo intransitivo.</span> Dialogar, considerar, conversar. Hablar en diálogo. <span foreground="#228B22">Sinón:</span> <i>parlakipaña, parlaña <span foreground="#660099">(de castellano)</span>.</i>
aruskipawi	<span foreground="#228B22">sustantivo.</span> Diálogo, concertación.
aruskipt'aña	<span foreground="#228B22">verbo intransitivo.</span> Departir. Hablar, conversar. <span foreground="#228B22">Sinón:</span> <i>parlaña, parlt'aña <span foreground="#660099">(de castellano)</span></i>
arusnaqaña	<span foreground="#228B22">verbo transitivo.</span> Hablar aquí y allá, en todas partes. Campaña electoral.
arust'aña	<span foreground="#228B22">verbo transitivo.</span> Estipular. Convenir, hacer contrato verbal.
arutama	<span foreground="#228B22">sustantivo.</span> Léxico. Conjunto de las palabras de una lengua.
aru tanta	<span foreground="#228B22">sustantivo.</span> Vocabulario.
aru thakhincha	<span foreground="#228B22">No estandarizado.</span> <span foreground="#696969">(Fuente: UMSA-OEA, Jach'a sarta, Yatichañ arunaka (Lexicopedagógico), La Paz, 1990)</span> <span foreground="#228B22">sustantivo.</span> <span foreground="#228B22">neologismo.</span> Gramática. <span foreground="#228B22">Sinón:</span> <i>arukamachi.</i>
aruwata	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo.</span> Famoso en bien y en mal <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>.
aruwi	<span foreground="#660099">(de castellano)</span> <span foreground="#228B22">sustantivo.</span> Adobe. <span foreground="#228B22">Sinón:</span> <i>tika.</i>
aruwisa	<span foreground="#228B22">adjetivo.</span> Mudo, -da. Sin palabra.
arxataña	<span foreground="#228B22">verbo transitivo.</span> Defender. Proteger, abogar. Defender a una persona con palabras.
arxatiri	<span foreground="#228B22">adjetivo y sustantivo.</span> Defensor. Abogado. Que defiende.
arxayaña	entretener hablando. <span foreground="#228B22">Sinón:</span> <i>parlxayaña <span foreground="#660099">(de castellano)</span></i>
arxayaña	<span foreground="#228B22">verbo transitivo.</span> Insinuar.
aru thakhincha	<span foreground="#228B22">sustantivo.</span> Gramática.
aru yatxatawi	<span foreground="#228B22">sustantivo.</span> Lingüística. Estudio científico de la lengua. <span foreground="#228B22">Sinón:</span> <i>arxata yatxatäwi.</i>
asa	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo.</span> Igual. Parecido. <span foreground="#228B22">Ejem:</span> A<i>saja</i>. Mi parecido. <span foreground="#228B22">Ejem:</span> <i>Asaraki</i>. De igual forma. <span foreground="#228B22">Ejem:</span> A<i>sawa</i>. Es igual <span foreground="#696969">(Fuente: Juan Luis Ayala Loayza, Diccionario Español-Aymara, Aymara-Español, Lima, 1988)</span>.
asamuchuña	Abandonar un sombrero, plato, jarro o una cosa parecida. <span foreground="#228B22">Sinón:</span> <i>asawachaña, asanukuña, asamukuña.</i>
asaniña	<span foreground="#228B22">verbo transitivo.</span> Traer una cosa cóncava.
asaña	<span foreground="#228B22">verbo transitivo.</span> Llevar una cosa cóncava.
asanka	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Aparejo de palos donde se colocan las tinas para evitar que se rompan <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>. Cosas de llevar (aperos) (12).
asanku	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Adorno de plumas que se usa al contorno de la copa del sombrero en bailes como: <i>chuqila, lipi</i>, etc. <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
asanqu	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Plumaje como escudilla <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>.
asanqu	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Plumaje, penacho <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
asantaña	<span foreground="#228B22">verbo transitivo.</span> Introducir una cosa cóncava.
asaqaña	Bajar o excluir una cosa cóncava de otras o de alguien.
asaraña	Arrebatar o confiscar una cosa cóncava, como: plato o sombrero.
asasqara	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo.</span> Flojo, holgazán <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
asati	<span foreground="#228B22">No estandarizado.</span> (Loa.) <span foreground="#228B22">sustantivo.</span> Aluvión, avenida fuerte de agua, piedras y lodo <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
asayaña	<span foreground="#228B22">verbo transitivo.</span> Enviar una cosa cóncava.
asi	<span foreground="#228B22">sustantivo.</span> Urdimbre, hebra urdida.
asiliju	<span foreground="#228B22">adjetivo.</span> Jumento de color plomo claro en la barriga y algo oscuro el lomo.
asiliju	<span foreground="#228B22">adjetivo.</span> Azul ceniciento.
asiña	<span foreground="#228B22">verbo transitivo.</span> Urdir. Preparar los hilos de la urdimbre de una tela. <span foreground="#228B22">Sinón:</span> <i>tilaña <span foreground="#660099">(de castellano)</span></i>
asiru	<span foreground="#228B22">sustantivo.</span> Serpiente. Reptil sin pies. Culebra. \n <i><b> katari</b></i>. Serpiente cascabel. \n <i><b> saqapa</b></i>. Cascabel. \n <i><b> mullut'uma</b></i>. Serpiente venenosa, coral. \n <i><b> palli</b></i>. Víbora venenosa bastante grande.
askataña	<span foreground="#228B22">verbo transitivo.</span> Adosar o guardar una cosa cóncava.
aski uru	<span foreground="#228B22">sustantivo.</span> Día favorable.
aski	<span foreground="#228B22">adjetivo.</span> Perfecto, -ta. Bueno. Que tiene el mayor grado posible de las cualidades requeridas. <span foreground="#228B22">Sinón:</span> <i>kusa, yäni.</i>
aski	<span foreground="#228B22">sustantivo.</span> Bien, valor moral.
askichaña	<span foreground="#228B22">verbo transitivo.</span> Decorar. <span foreground="#228B22">Sinón:</span> <i>k'achachaña.</i>
askichaña	<span foreground="#228B22">verbo transitivo.</span> Solucionar. Resolver un asunto. <span foreground="#228B22">Sinón:</span> <i>t'aqaña.</i>
askichaña	<span foreground="#228B22">verbo transitivo.</span> Arreglar. Componer. Corregir. Enmendar.
askichiri	<span foreground="#228B22">adjetivo.</span> y<b> </b><span foreground="#228B22">sustantivo.</span> Reparador, -ra. Que repara o mejora una cosa.
askichkaña	<span foreground="#228B22">verbo transitivo.</span> Arreglar mientras tanto.
askichkaya	<span foreground="#228B22">adjetivo.</span> Componible. Que se puede arreglar.
askina	<span foreground="#228B22">adverbio.</span> Bien hecho.
askinkaña	<span foreground="#228B22">sustantivo.</span> Bienestar. Tener comodidad. <span foreground="#228B22">Sinón:</span> <i>sumankaña.</i>
asnaqaña	<span foreground="#228B22">verbo transitivo.</span> Manejar una cosa cóncava, como plato o sombrero.
asnu	<span foreground="#660099">(de castellano)</span> <span foreground="#228B22">sustantivo.</span> Jumento. Asno.
asnuqa	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo.</span> Muy llano <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>.
asnuqaña	<span foreground="#228B22">verbo transitivo.</span> Colocar una cosa cóncava o parecida.
aspirja	<span foreground="#228B22">adjetivo.</span> Algunos filamentos ásperos que hay en la lana.
asq'araña	<span foreground="#228B22">verbo transitivo.</span> Temer. <span foreground="#228B22">Sinón:</span> <i>axsaraña.</i>
assuña	<span foreground="#228B22">verbo intransitivo.</span> Extraer una cosa cóncava o parecida.
astaña	<span foreground="#228B22">verbo transitivo.</span> Alzar una cosa cóncava o parecida.
asthapiña	<span foreground="#228B22">verbo intransitivo.</span> Juntar dos cosas cóncavas.
asthapraña	<span foreground="#228B22">verbo intransitivo.</span> Acopiar cosas cóncavas.
asu	<span foreground="#228B22">sustantivo.</span> Bebé. Niño recién nacido. <span foreground="#228B22">Sinón:</span> <i>irqi, asuku.</i>
asu	<span foreground="#228B22">sustantivo.</span> Párvulo, -la.
asu	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Vesícula biliar. Bilis <span foreground="#696969">(Fuente: Juan Luis Ayala Loayza, Diccionario Español-Aymara, Aymara-Español, Lima, 1988)</span>.
asukara	<span foreground="#660099">(de castellano)</span> <span foreground="#228B22">sustantivo.</span> Amb. Azúcar. Sustancia dulce hecha de caña.
asut'iña	<span foreground="#228B22">verbo transitivo.</span> Azotar, dar latigazos.
asxaraña	<span foreground="#228B22">verbo transitivo.</span> Recelar. Temer. <span foreground="#228B22">Sinón:</span> <i>axsaraña, chhijuña.</i>
asxarayaña	<span foreground="#228B22">verbo intransitivo.</span> Dar una cosa cóncava. <span foreground="#228B22">Sinón:</span> <i>asq'arayaña.</i>
asxaruña	<span foreground="#228B22">verbo intransitivo.</span> Agarrar una cosa cóncava.
asxataña	<span foreground="#228B22">verbo intransitivo.</span> y <span foreground="#228B22">verbo transitivo.</span> Adicionar con un objeto cóncavo
atamaña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo transitivo.</span> Decir, deferir <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>.
atamaña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo transitivo.</span> Relacionar. Referir.
atamiña	<span foreground="#228B22">verbo transitivo.</span> Relatar. Narrar, contar, referir. <span foreground="#228B22">Sinón:</span> <i>atamaña, jawariña.</i>
atamiña	<span foreground="#228B22">verbo transitivo.</span> Traducir. Expresar en una lengua lo que está expresado antes en otra.
atamiri	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo y sustantivo.</span> Relator, -ra. Que refiere, cuenta o narra. <span foreground="#228B22">Sinón:</span> <i>jawariri <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>.</i>
atamiri	<span foreground="#228B22">adjetivo y sustantivo.</span> Traductor, -ra. Que traduce.
atamiri	<span foreground="#228B22">sustantivo.</span> <span foreground="#228B22">neologismo.</span> Computadora.
atamiwi	<span foreground="#228B22">sustantivo.</span> Traducción. Acción y efecto de traducir.
atamulu	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Protuberancia occipital <span foreground="#696969">(Fuente: Educación Bilingüe/Puno, Diccionario Aymara-Castellano, Lima 1984)</span>.
atana	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo.</span> General, lo que es común, lo que es universal. El frío es general <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
ataña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo transitivo.</span> Atribuir, imputar, achacar actos censurables a quien no los hizo <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
atani	<span foreground="#228B22">No estandarizado.</span> (cen.) <span foreground="#228B22">adjetivo y sustantivo.</span> Persona encargada de servir la comida en un banquete <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
atapallu	<span foreground="#228B22">sustantivo.</span> Ortiga. <span foreground="#228B22">Sinón:</span> <i>itapallu.</i>
ataqu	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Bledo, yerba comestible <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>.
ataraya	<span foreground="#228B22">No estandarizado.</span> <span foreground="#660099">(Muñecas)</span> Coleta, cabello largo que hasta 1952 llevaban los campesinos de la provincia muñecas <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
atataw!	interj. De dolor. <span foreground="#228B22">Sinón:</span> <i>atatay!.</i>
atawallpa	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Gallina. // <i>Urqu atawallpa</i>. Gallo (<span foreground="#228B22">vocablo antiguo.</span>).
Atawallpa	<span foreground="#228B22">sustantivo.</span> Último inca del <i>tawantinsuyu</i>. Uno de los hijos del <i>inka Wayna Qhapaq</i>, asesinado en 1533 por Francisco Pizarro en la Cajamarca (Ecuador).
