a	mew, mu; pvle.
enojarse	ijkun, jazkvn; <font color="blue"><i><b>*montar en cólera</b></i></font> ijkukonvn.
enramada	kvni.
enredadera	foki.
enredarse	cirwan.
enseguida	feykamvten, pvrvm, mvcay mvten.
enseñar	kimvlvn, kimelvn.
entender	kimvn, azvmvn.
entero	felen.
enterrar	rvgalvn, kvgalvn, rvkvftukun; (a un muerto) elvn.
entonces	fey mew, fey mu, fey wvla.
entrada	wvbgiñ, vbgiñ.
entrar	konvn; (con dificultad) gejukonvn; (a pie) xekakonvn; <font color="blue"><i><b>*volver a e.</b></i></font> kontun.
entregar	calintukun.
entristecer	jazkvzuamvn, weñagkvn.
entristecerse	jazkvn.
entumirse	cokon.
enturbiarse	xufvn.
entusiasmarse	yeñpvramvn.
enviar	werkvlvn; (mensajero) werkvn; (mensaje) amulzugun.
envidia	vxir.
envidiar	vxirvn.
envolver	impobvn, iwvzvn.
equivocarse	welulkawvn.
era	(terreno para trillar) lila.
erizo	(marino) yupe.
esa/e	tvfey, fey; tvfeyci, feyci.
ésa/e	tvfeyci, feyci.
escama	bvbi.
escaparse	montun.
escarbar	kaypvn, keypvn.
escarmentar	kufvn.
escasez	(de víveres) fija.
escatimar	rvkvn.
escoba	lepvwe.
escoger	zujin.
escogido	zujiñ.
esconder	ejkan.
esconderse	ejkawvn.
escondido	(a escondidas) ejkankeci; (detrás) furi.
escribir	wirin, cijkatun; <font color="blue"><i><b>*poner por escrito</b></i></font> wirintukun; <font color="blue"><i><b>*dejar escrito</b></i></font> wirikvnun.
escritor	wirife.
escuchar	ajkvtun.
escupir	tofkvn, tofkvtun.
esférico	mogkol.
eso	tvfeyci, feyci; <font color="blue"><i><b>*e. es</b></i></font> fey.
esófago	rulmewe.
espacio	(lugar) mapu.
espalda	furi; <font color="blue"><i><b>*de e.</b></i></font> payba; <font color="blue"><i><b>*tendido de e.</b></i></font> paybalen.
espantarse	xupefvn, xepewvn.
español	(idioma) wigkazugun.
esperar	vgvmvn.
espeso	pez, mvza.
espina	wayun, wayuh.
espino	(arbusto) wayun, wayuh.
espíritu	pvjv.
esposa	kure.
espuma	xor, xorfan.
esputo	tofkvh.
esta/e	tvfa; tvfaci, faci.
ésta/e	tvfaci.
estaca	vgko; <font color="blue"><i><b>*plantar estacas</b></i></font> vgkolvn.
estampido	xofvn.
estandarte	wenufoye.
estar	mvlen; <font color="blue"><i><b>*e. bien</b></i></font> kvmelen; (de salud) xemolen; <font color="blue"><i><b>*e. así</b></i></font> felen.
este	(oriente) puel.
esternón	xari rvku.
estiércol	me.
estimar	poyen, falintun.
estimular	gvcalvn.
estirado	vhib.
estirarse	wihvn.
esto	tvfaci, faci.
estomago	pvxa.
estornudar	eciwvn.
estornudo	eciw.
estrella	wagvben.
estremecer(se)	geykufvn.
estrujar	kuxvn.
estudiar	cijkatun; (lugar donde se estudia) cijkatuwe.
eventualmente	agkantu.
evidente	(ser) cañalen.
examinar	gvneytun; mabvn, mabvh.
excremento	me.
existir	<font color="blue"><i><b>*no existe</b></i></font> gelay.
expectativa	<font color="blue"><i><b>*estar a la e.</b></i></font> pewvtulen
expropiar	(con engaños y vejaciones) gagen.
extendido	vhib.
exterminar	cewpvzvn.
extranjero	kamojfvñce, kaxipace, wigka; (opresor) wigka.
extraviarse	(del camino) ñuwin.
extremadamente	fentepun.
extremo	wecuñ.
fabricar	zewman.
fábula	(cuento) epew, apew.
fácil	zuguno.
falsedad	gvnen, koibazugu; <font color="blue"><i><b>*levantar falsedades</b></i></font> gvnekvnuzugun.
falta(s)	(cometer) werilkan, yafkan.
familia	(biológica) reñma; (seres queridos) fvren.
fantasma	am.
favor	<font color="blue"><i><b>*por f.</b></i></font> fvrenyen, fvreneafen.
favorecerse	fvrenyewvn.
fecha	<font color="blue"><i><b>*la f. indicada</b></i></font> elantv.
feliz	ayvw.
femenino	zomo.
feo	(ser) wesa azgen.
fermentar	fayvn.
ficha	(de juego) kow.
fierro	pañilwe.
fiesta	kawiñ.
fijarse	(observar) gvnezuamvn.
fila	wixvn, wiftun; (de a uno) wihwih.
filtrar	caytun.
finalmente	feywaj, zewaj, inageci.
flaco	xogli.
flamenco	pixal.
flatulencia	perkvn.
flecha	pvlki.
flexible	gvfvgefvn, vñaz.
flojera	(tener) cofvh, cofvn.
flojo	cofv.
flor	rayen.
florecer	rayvn.
fluctuar	bvfayvn.
fogón	kvxaltuwe.
forastero	ñañ.
forma	az; <font color="blue"><i><b>*dar f.</b></i></font> wizvn.
formal	(serio) gvnel.
fortín	malal.
forzar	newentun.
frazada	gvtantu; ponxo.
freír	fvrin.
frente	tob; (colocado de frente) relmalen.
fresco	fvskv; <font color="blue"><i><b>*tomar el f.</b></i></font> fvskvtun.
frío	wvxe, uxe; <font color="blue"><i><b>*muy f.</b></i></font> axeq; <font color="blue"><i><b>*entumirse de f.</b></i></font> cokon; (tiritar) yafyafvn.
fruta/o	fvh.
frutilla	jaweñ, kejeñ.
frutos	yaj.
fucsia	cilko.
fuego	kvxal; (hacer fuego) kvxaltun.
fuente	(manantial) wvfko.
fuera	(afuera) wekun wekuntu.
fuerte	(ser) newengen; (fortín) malal; (sabor) fvre.
fuerza	newen; <font color="blue"><i><b>*hacer f.</b></i></font> newentun; <font color="blue"><i><b>*estar sin f.</b></i></font> wancon.
fumar	pvxemtun.
gallina	acawaj; <font color="blue"><i><b>*g. araucana</b></i></font> pojonka.
gallo	alka acawaj; alka.
galopar	wirafvn.
ganar	wewvn; (de nuevo) wiñowewtun.
gancho	cag; (para colgar algo sobre el fuego) pvlxvwe, pvlxvntukuwe.
garfio	kvjpvwe.
gargajo	kaqvl.
garganta	rulmewe; (cuello) peb.
gárgaras	walwalvn.
garrote	karoti.
gastar	apvmtukun.
gatear	winolvn.
gato	ñarki, narki; <font color="blue"><i><b>*g. montés</b></i></font> kozkoz.
gaviota	cvje.
gemelo	kvñe.
gemir	eyvtun.
gente	ce.
gobernar	gvnewvn.
gofio	mvrke.
golondrina	pilmayken, wicijkoñ.
golpear	xawawvn, xayayvn; (la cabeza con un objeto duro) xalofvn; (con un palo) mvxogvn; <font color="blue"><i><b>*cortar a golpes</b></i></font> rvpun.
gordo	moxiñ, moxin.
gotear	bvykvn.
gracias	kvmey mi fvrenyefiel, caltu.
grande	fvxa; fvxañma; (ser grande) pvxvn.
granizar	piren.
granizo	pire, piren.
grasa	yiwiñ, iwiñ.
greda	raq; (trabajar la greda) wizvn.
grieta	xow.
grillo	kuhihkuhih, kuninkunin.
gris	cufkeñ; (ceniciento) kazv, kasv.
gritar	wirarvn.
grueso	fvxarume; (ser) rvgen.
gruñir	kogkvlvn.
grupo	xokiñ; (aparte en grupo) wicuke.
guanaco	buah, buan.
guardar	elvn.
guardián	kamañ.
guerra	awkan; (combate) weycan.
guerrear	weycatun.
guerrero	weycafe.
guiar	guyvlvn.
gusano	piru.
gustar	kvmentun.
gustosamente	ayvnkeci; <font color="blue"><i><b>*si gustan</b></i></font> ayvlmvn.
haba	awar; <font color="blue"><i><b>*juego de las habas</b></i></font> awarkuzen.
habilidad	(practica) azvm.
habitar	rukawkvlen, anvmvwkvlen.
hablar	zugun, zvgun; (por otro) zuguñman, zvguñman, zuguñpen, zvguñpen; (mal de alguien) zuguyen, zvguyen.
hace	<font color="blue"><i><b>*h. dias</b></i></font><b> </b>cumvl, cumuej; <font color="blue"><i><b>*h. muchos días</b></i></font><b> </b>fvxa cumvl, fvxa cumuej; <font color="blue"><i><b>*h. mucho tiempo</b></i></font><b> </b>fvxa kuyfi; <font color="blue"><i><b>*h. mucho rato</b></i></font><b> </b>fvxa tayi.
hacer	zewman; <font color="blue"><i><b>*h. fuerza</b></i></font> newentun; <font color="blue"><i><b>*¡y que le voy a h.!</b></i></font> ¡cumafun kay!; <font color="blue"><i><b>*soler h.</b></i></font> cumken.
hacha	toki.
hacia	pvle; mew, mu.
hallar	pen, petun; (casualmente) azman; (algo que otro perdió) pezan; <font color="blue"><i><b>*h. bueno</b></i></font> azentun.
hambre	(tener) gvñvn, qvñin.
harina	(cruda) rvgo; (tostada) mvrke.
hartarse	(estar satisfecho) wezan.
hasta	kvtu; mew, mu; <font color="blue"><i><b>*¿h. cuando?</b></i></font> tuntepu; <font color="blue"><i><b>*h. la vista</b></i></font> pewkajal.
hastiarse	ñon.
hay	<font color="blue"><i><b>*no hay</b></i></font> gelay, geno, geho.
hechicería	kalku zugu.
hechicero	kalku.
hecho	<font color="blue"><i><b>*estar h.</b></i></font> zewvn.
helada	xagliñ, piliñ.
hembra	zomo.
hemorragia	(en la nariz) wawyun.
hender	xvlan.
hendidura	xow.
herida	ajfeñ.
herir	ajfvlvn; (ser herido) ajfvn.
hermana	(h. masc.) lamgen, zeya; (h. fem.) lamgen.
hermano	(h. masc.) peñi; (h. fem.) lamgen.
hermoso	kvme azgen.
herramienta	kvzawpeyvm.
hervir	wazkvn.
hiel	vxum.
hierro	pañilwe.
hígado	ke.
hija	(h. masc.) ñawe; (h. fem.) zomo pvñeñ.
hijo	(h. masc.) fotvm; (h. fem.) wenxu pvñeñ.
hijos	(h. masc.) yaj; (h. fem.) pvñeñ; (“retoños”) coyvn.
hilo	fvw.
hipo	(tener) vxorvn.
historiador	wewpife.
hocico	wvh.
hola	mari mari.
hollín	mulpuh.
hombre	wenxu.
hombro	falke; <font color="blue"><i><b>*encogido de hombros</b></i></font> ponor.
honda	(arma) wixuwe.
hondo	jufv.
hongo	<font color="blue"><i><b>*h. comestible</b></i></font> (del roble) ñegvm, ziweñ; (los grandes con forma de riñón) pvna.
honrar	sakin, ekun.
hora	<font color="blue"><i><b>*¿que h. es?</b></i></font> cumtey antv, tuntey antv, cumte koni antv, tunte koni antv.
hormiga	kojaja, kojeja.
hoy	faciantv.
hoyo	lolo; (en la cancha de chueca) zigijwe, svgvjwe; (hacer hoyos) rvgan.
huella	pvnon.
huérfano	paraway.
hueso	foro.
huevo	kuram.
huir	lefmawvn; (con algo) lefyen.
humear	fvcon; <font color="blue"><i><b>*hacer h.</b></i></font> fvcotun.
humedecer	vremvn, narfvn.
humilde	genozuamgen.
humillarse	jejipun.
humo	fixun.
hundirse	(irse a pique) lanvn.
hurtar	weñen.
ideograma	ñimiñ.
idioma	cezugun; ce kewvh.
igual	ka femgen.
igualar	civmvn.
iluminado	pelo.
imagen	(reflejo) aywiñ.
imitar	inafemvn, inawentun; azentun.
impacientarse	(el caballo) vñan.
imperfectamente	wej, wejkeci.
incisivos	(dientes) ayeweforo.
incitar	gvcalvn.
inclinarse	(el cuerpo hacia adelante) wajonaqvn.
incluso	ka.
inconsciente	(travieso) weswes.
increíble	feyentufalay.
incursión	(ataque) malon.
indicar	zikon; (con señas) vwvmvn.
indomable	awka.
ingle	jawe.
inicio	(parte inicial) ñizo.
inmediatamente	pvci mvcay.
inspeccionar	gvneytun.
insultar	piyawvlvn.
intención	zuam.
intentar	xokitun.
interesante	ayvfal.
interior	<font color="blue"><i><b>*en el i.</b></i></font> pu.
intestinos	kvjce, kvlce; <font color="blue"><i><b>*i. grueso</b></i></font> fvxa rume kvlce, fvxa rume kvjce.
intruso	(ser) fijmagen.
inundación	magiñ.
invierno	pukem.
ir	amuh, amun; (para luego volver) gemen; (a buscar) yemen.
isla	wapi.
izquierda	wele; <font color="blue"><i><b>*a la i.</b></i></font> wele pvle.
jaguar	nawel.
jamás	cumkaw no rume.
jarra	metawe.
jefe	logko; ñizol; (en tiempo de guerra) toki.
joroba	gvxufuri.
jote	kanin.
joven	(varón) wece; (mujer) vjca.
joyero	(platero) rvxafe.
jugar	awkantun; (con juguete) azgejuwvn; (apostar, competir) kuzen; (chueca) palin.
jugo	korv.
junquillo	rvme; <font color="blue"><i><b>*entre los junquillos</b></i></font> rvmentu.
junta	xawvn.
juntar	xawvlvn; xapvmvn; gvlvm, gvlvmvn; (armar) xvrvmvn.
juntarse	xawvluwvn, xawvn.
junto	kiñewvn; (cerca) ina; <font color="blue"><i><b>*j. a la pared</b></i></font> xafruka.
justamente	yoci.
juzgar	feyelvn.
labios	mejfvwvh.
ladear	kvlvn.
ladearse	kalvnaqvn.
lado	az; <font color="blue"><i><b>*al l.</b></i></font> ina pvle, af; <font color="blue"><i><b>*al otro l.</b></i></font> home, hometu; <font color="blue"><i><b>*de este l.</b></i></font> hopa; <font color="blue"><i><b>*recostado de l.</b></i></font> rekvl; <font color="blue"><i><b>*hacia el otro l.</b></i></font><b> </b>ka az pvle; <font color="blue"><i><b>*por todos lados</b></i></font> fij pvle.
ladrar	wagkvn.
ladrón	weñefe; (opresor) wigka.
lagaña	kabe.
lagartija	fijkuñ.
lagarto	palvm.
lago	bafkeh, bafken.
lagrima	kvjeñu.
laguna	bafkeh, bafken.
lamentar	gvmayen.
lana	kab.
lanzar	vxvfvn; (desparramar) pacvqvn.
lápiz	wiriwe.
largo	wif.
laringe	(y la traquea) kvbolkvbol.
lastima	(tener) kuñiltun, kuñvlvn, kuxanzuamyen; <font color="blue"><i><b>*¡que l.!</b></i></font><b> </b>mvna wesa.
lastimarse	ajfvn.
lateral	kazil, kazij; <font color="blue"><i><b>*linea l.</b></i></font> (en el juego de chueca) kaxilwe.
laurel	xiwe.
lavar	kvcan.
lazo	(de junquillo) zef.
leche	lici.
lechuza	pekeñ; <font color="blue"><i><b>*l. cordillerana</b></i></font> yarken; <font color="blue"><i><b>*lechucita de las vizcacheras</b></i></font>; kijkij.
leer	cijkatun.
legua	lewa.
legumbres	(cocidas) pizku
lejos	abv mapu, ka mapu.
lengua	kewvh; (idioma) zugun.
lentamente	ñoci, ñocikeci.
lenteja	jvgi, jancika.
lento	ñoci, ñocikeci.
leña	mamvj; <font color="blue"><i><b>*l. partida</b></i></font> iran; <font color="blue"><i><b>*partir l.</b></i></font> iran.
león	(león americano, puma) pagi, xapial.
lerdo	hape.
levantar	wenuntun, wixañpvramvn, wixapvramvn (poder levantar) lemvn.
levantarse	wixan.
librar	montulvn.
librarse	montun.
líder	logko.
liebre	mara.
liendre	vxen.
ligero	(veloz) yewmewvn, matu.
limosna	(pedir) wvfkvn.
limpiar	liftun.
limpio	lif.
linaza	liñu, jiñu.
lindo	kvme.
liso	yus, payus; (resbaladizo) meyuz.
listo	zew, eluwvn; mvñal.
lobo	<font color="blue"><i><b>*l. marino</b></i></font> bame.
loco	wezwez; “pirulogko”.
locro	(de maíz o cebada) cvkvl
loro	coroy; <font color="blue"><i><b>*l. barranquero</b></i></font> rawijma; <font color="blue"><i><b>*lorito de los pinares</b></i></font> kacaña.
lucero	yepuh, uñelfe.
luchar	mvxatun.
luego	mvcay, mvcay mvten; feykamvten; fey mew, fey mu; feywvla; pvrvm.
lugar	(dirección) ñom; <font color="blue"><i><b>*en l. de</b></i></font> welu.
luhua	buwa.
lumbrera	kvze.
luna	kvyeh; <font color="blue"><i><b>*luz de l.</b></i></font> ale, alen; <font color="blue"><i><b>*l. nueva</b></i></font> we kvyeh; <font color="blue"><i><b>*l. creciente</b></i></font> apoy pvrapan kvyeh; <font color="blue"><i><b>*l. llena</b></i></font> apoy kvyeh; <font color="blue"><i><b>*l. menguante</b></i></font> naq kvyeh.
lustre	(tener) buyvfvn.
luz	anci.
llamar	mvxvmvn, guxumvn.
llamarse	pigen.
llano	laf.
llanura	laf mapu.
llegar	(aquí) akun; (allí) puwvn.
llenar	apolvn.
llenarse	apon.
lleno	apon; <font color="blue"><i><b>*estar ll.</b></i></font> apolen.
llevar	yen; (un recado) yezugun; <font color="blue"><i><b>*ll. consigo</b></i></font><b> </b>yenien; <font color="blue"><i><b>*ll. en ancas</b></i></font> agkazvn.
llorar	gvman.
llover	mawvhvn.
lluvia	mawvh; <font color="blue"><i><b>*protegerse de la ll.</b></i></font> cvjkumtukun.
machacar	xahan; <font color="blue"><i><b>*piedra para m.</b></i></font> xahaxapiwe.
macho	wenxu, alka.
machucar	cajofvn.
madera	mamvj.
madre	ñuke.
madrugada	epe wvh.
madurar	afvmvn; (los granos) xewvn.
maestro	kimeltupelu
magnifico	tutelu.
maíz	uwa; (asado) kucen.
mal/o	wesa, weza; <font color="blue"><i><b>*ando m.</b></i></font> wesayawvn.
maltratar	awvkan, piñmalkan
mallín	majiñ.
mama	moyo.
mamá	papay.
manantial	wvfko.
mandar	werkvn.
manejar	<font color="blue"><i><b>*saber m.</b></i></font><b> </b>pepilvn.
manera	<font color="blue"><i><b>*de esta m.</b></i></font> faleci; <font color="blue"><i><b>*de esa m.</b></i></font> feleci; <font color="blue"><i><b>*de otra m.</b></i></font><b> </b>kageci; (ser) kagen; <font color="blue"><i><b>*de varias maneras</b></i></font> kakerumeci; <font color="blue"><i><b>*de buena m.</b></i></font> kvmekeci; <font color="blue"><i><b>*de mala m.</b></i></font><b> </b>wezakeci; <font color="blue"><i><b>*de ninguna m.</b></i></font> cumgeci no rume, cumueci no rume.
mangrullo	azkintuwe.
manifiesto	(evidente) cañalen.
mano	kuwv; (dar la mano derecha) mankuwvlvn.
manosear	mabvtun.
manso	ñom.
manta	makuñ.
manteca	yiwiñ, iwiñ.
mañana	(al salir el sol) liwen, liweh; (en el transcurso) puliwen; (el día siguiente) wvle, wile, ule; <font color="blue"><i><b>*pasado m.</b></i></font> epuwe.
mapuche	mapuce; (idioma) mapuzugun, mapucezugun.
maqui	(árbol) kvboh.
mar	bafkeh, bafken.
mara	(liebre patagónica) mara.
maravillarse	afmatun.
maravilloso	afmatufal; tutelu.
marca	gvnel.
margen	vpvl.
marido	fvta, wenxu.
mariposa	jampvzkeñ; (nocturna) tohtoh.
marrón	kolv.
más	zoy, yoz, yaf, yom; <font color="blue"><i><b>*¿que m.?</b></i></font> ¿ka cem?
masajear	gvtamvn.
mata	(planta) kajwe.
matar	bagvmvn.
mate	mate.
matear	(tomar mate) matetun.
materia	(pus) xar.
matorral	rvxontu.
mayor	unen, wvnen, wvnel.
mayores	(ancestros) kuyfikece.
medianamente	eja.
mediano	mvha, eja.
medianoche	ragi puh.
medico	zacefe, zatucefe.
medio	(mitad) ragiñ, ragi; <font color="blue"><i><b>*en el m.</b></i></font><b> </b>ragiñma, ragiñtu; <font color="blue"><i><b>*m. de comunicación</b></i></font> amulzuguwe.
mediodía	ragi antv; <font color="blue"><i><b>*después del m.</b></i></font><b> </b>zoy ragi antv, rupan antv.
medula	(espinal) vzkifuri.
membrillo	emperiju.
memorando	wirikvnun.
memoria	<font color="blue"><i><b>*tener buena m.</b></i></font><b> </b>kvme logkogen.
mencionar	(nombrar) konvmpan.
mendigar	wvfkvn.
menor	inan; <font color="blue"><i><b>*el m. de todos</b></i></font> zoy inan.
menospreciar	ijamvn.
mensaje	zugu; <font color="blue"><i><b>*enviar un m.</b></i></font> amulzugun.
mensajero	werken; <font color="blue"><i><b>*enviar un m.</b></i></font> werkvn.
mentir	koybatun.
mentira	koyba, gvnen.
mes	kvyeh.
meta	(en la chueca) xipalwe.
metal	pañilwe.
meter	tukun.
mezclar(se)	reyvn.
mezquinar	rvkvn.
mezquino	rvkv.
mi(s)	ñi.
miedoso	jvkanten.
miel	miski.
mientras	petu, metu.
mil	waragka.
millón	mijon.
mirador	azkintuwe.
mirar	lelin; (con curiosidad) leliwvlvn; (observar) azkintun; (hacia arriba) pvrakintun; (hacia abajo) naqkintun; (hacia adentro) konkintun; (hacia atras) wiñokintun; (dar un vistazo) kintuwvlvn.
miseria	fija.
mitad	ragiñ, ragi
moco	merun.
modo	<font color="blue"><i><b>*de este m.</b></i></font> famueci, fameci, famgeci;<font color="blue"><i><b>*de ese m.</b></i></font> femueci, femgeci; <font color="blue"><i><b>*de un m. raro/de otro m.</b></i></font> kageci.
mofarse	ayetun.
moho	perkan.
mojarse	kvlcafvn.
molares	vlgaforo.
moler	aten; <font color="blue"><i><b>*piedra de m.</b></i></font> kuzi.
molesto	vñfi; (ser) fijazgen.
mollera	wiyulogko, wiyologko.
momento	<font color="blue"><i><b>*en un breve m.</b></i></font> azo; <font color="blue"><i><b>*en otro m.</b></i></font> mvcay wvla.
montaña	mawiza, wigkul.
monte	mawiza.
montón	wirkon; (cosas) wvxul, fuxul.
montoncito	xumaw.
montura	cija.
morder	vnatun.
morir	ban.
mosca	pvbv.
moscardón	ziwjiñ.
mostrar	pegelvn.
mote	kako.
moverse	hegvmvn.
muchacha	mabeh, vjca zomo.
muchísimo	mvna fenxen.
mucho	rume, abv, abvn; fenxen, fenten; wera; (tiempo) fenxentu; <font color="blue"><i><b>*no m.</b></i></font> ajvwe.
mudo	kexo.
muela	vlga, vlgaforo.
muerte	ban.
mujer	zomo; (esposa) kure.
mundo	wajontu mapu.
muñeca	(de la mano) gvñunkuwv, xoy kuwv.
murmullo	kvfvkvfvn.
murmurar	(sobre alguien) zuguyen, zvguyen.
murtilla	vñi.
músculo	fvnilo.
muslo	jike.
mutuamente	welukon, weluke; epuñpvle.
muy	rume, mvte, mvna.
nacer	jeqvn, akun.
nada	cem no rume; <font color="blue"><i><b>*no es n.</b></i></font> cem zugu no tati; pifalay.
nadar	weyvlvn, weyvbvn; (cruzar a nado) weyvlhopan.
nadie	iney no rume.
nalga	kvnvfvncag.
nariz	yu; <font color="blue"><i><b>*hemorragia en la n.</b></i></font> wawyun.
nauseas	(tener) vbgun, vhun.
navegar	zehoyvn.
neblina	ciway, xukvr.
necesidad	zuam.
necesitar	zuamvn, zuamyen; (urgentemente) rume zuamvn.
necio	joy.
negro	kurv.
nevar	piren.
nido	zañe.
niebla	xukvr.
nieto/a	baku, kuku, cezki, cucu.
nietos	yom.
nieve	piren, pire.
ninguna/o	iney no rume, iñey no rume; <font color="blue"><i><b>*de n. manera</b></i></font> cumgeci no rume, cumueci no rume.
niño	pici ce, pici wenxu.
niña	pici ce, pici zomo.
no	se utilizan las partículas -la-(modo real); -no- (modo hipotetico); -kel- (modo volitivo) para formar el negativo de los verbos, Ej. <i>xekan</i> caminar, caminé; <i>xeka</i><font color="blue"><i><b>la</b></i></font><i>n</i> no caminé.
noble	(persona rica y generosa) vbmeh.
noche	puh; <font color="blue"><i><b>*buenas noches</b></i></font> puh may; <font color="blue"><i><b>*toda la n.</b></i></font> kiñe puh.
nomás	mvten.
nombrar	(mencionar) konvmpan; (poner nombre) vytun.
nombre	vy.
norte	pikun, pikum.
nosotros	iñciñ, iñcin; (dual) iñciw.
notar	juwan.
noticia	we zugu;<font color="blue"><i><b>*dar una n.</b></i></font> kimelvn
novedad	we zugu.
novia	gapiñ; vñam.
novio	vñam.
nube	xomv.
nublado	(día) bobma.
nuca	topeb.
nudo	pvron.
nuera	(h. masc.) pvñmo; (h. fem.) hahvg.
nuestro	yiñ; (de nos. dos) yu.
nueve	ayja.
nuevo	we.
numerar	rakin.
nunca	cumkaw no rume, turpu.
nutria	koypu.
ñandú	coyke.
o	kam.
obedecer	feyentun, mvgeltun; tagkvn; yezugun.
observar	azkintun; gvnezuamvn, inazuamvn; inarumen.
obstruirse	gvfvn.
ocaso	kon antv, koni antv.
ocioso	re felepvran.
ocre	palaw.
ocultar	jumvmvn.
ocupado	(estar) zuamgelen, zuamkameken.
ocupar	pvhen.
ocho	pura.
odiar	vzen.
oeste	gulu.
ofender	bukatun.
oficio	kvzaw.
oír	ajkvn.
ojalá	(desear) pewmagen.
ojo	ge; (parte interna) kuralge; <font color="blue"><i><b>*tener los ojos cerrados</b></i></font> umerkvlen.
ojota	okota.
ola	rew.
oler	hvmvtun.
olfatear	hvmvtun
olivillo	tvke.
olor	(tener) hvmvn, hvmvh.
olvidar	goyman, goyin, guyvn; upen, upezuamvn.
olvido	upezuam; <font color="blue"><i><b>*como por o.</b></i></font><b> </b>upezuamkeci.
olla	caja.
ombligo	fvzo.
opresor	wigka.
oprimido	(en apuros) fijmawvn.
oprimir	(con la mano) gvxarvn.
orcón	orkon.
ordenado	<font color="blue"><i><b>*dejar o.</b></i></font> azkvnun.
ordenar	werkvn.
ordinario	(con costumbres wingkas) yana.
oreja	pilun.
origen	(familiar) kvmpeñ; (geografico) tuwvn.
orilla	vpvl; <font color="blue"><i><b>*en la o.</b></i></font><b> </b>inal, inaltu.
orina	wijen, wijeñ.
orinar	wijvn.
oro	mija.
oruga	pvxew.
osar	<font color="blue"><i><b>*no o.</b></i></font> yofvn.
oscurecer	(al anochecer) zum zum.
oscuridad	zumiñ.
oscuro	zumiñ.
otoño	xafkem, rvmv, remvgen.
otro	ka, kagelu; (otros) kake; (personas) kakelu; <font color="blue"><i><b>*al o. lado</b></i></font> home, hometu; <font color="blue"><i><b>*de o. modo</b></i></font> kageci; <font color="blue"><i><b>*en otra parte</b></i></font> kañpvle.
oveja	ufisa.
ovillo	xvko.
pacer	vtan.
pacientemente	ajwe, ajwekeci.
padecer	kuxankawvn.
padre	caw.
pagar	kujin.
país	mapu.
paja	pinu; (para construir casas) kvha.
pájaro	vñvm, qvñvm; <font color="blue"><i><b>*p. carpintero</b></i></font> rere.
palabra	hemvl.
palma	(de la mano) pvbay.
palo	mamvj; <font color="blue"><i><b>*bicho p.</b></i></font> xagvren.
palote	(insecto) xagvren.
paloma	maykoño.
palpar	mabvh, mabvn.
pan	kofke; (horneado) ronotunkofke; (cocido en ceniza) rvmulkofke; (comer pan) kofketun.
páncreas	jikanten, jvkanten.
panecillo	(cocido en agua) svmita, simita; (de arvejas y condimentos) mvjokiñ; (frito) yiwiñkofke.
pantano	foxa; jozko.
pantorrilla	kvmon, komofvhmaxa.
panza	pvxa.
pañal	pici ekuj.
papa	poñv, poñi; (asada) kuwe; (fermentada) funa poñv; <font color="blue"><i><b>*asar papas</b></i></font><b> </b>kuwen; <font color="blue"><i><b>*sembrar papas</b></i></font> poñilvn.
papá	cacay.
par	mvr.
para	mew, mu; <font color="blue"><i><b>*p. qué</b></i></font> cumal, cumael.
parado	wixan.
pararse	wixakvnuwvn, wixapvran.
pardo	kolv.
parecido	erke, reke.
pareja	mvr; afkazi.
parejo	xvr, laf.
parentesco	az.
pariente	mogeyel.
parir	koñin; (mujer) pvñeñvn.
parlamentar	wewpin, koyaqtun.
parte	wvzkan, jaq; <font color="blue"><i><b>*por todas partes</b></i></font> muñku, fij pvle; <font color="blue"><i><b>*en p.</b></i></font> wej, wejkeci; <font color="blue"><i><b>*en otra p.</b></i></font> kañpvle.
partera	pvñeñelcefe.
partir	wvzkan, wvzamvn; xvlan (leña) iran.
partirse	xvlan.
pasado	<font color="blue"><i><b>*p. mañana</b></i></font> epuwe; <font color="blue"><i><b>*el año p.</b></i></font> kamel.
pasar	rulvn, rupan; (hacia acá) rulpan, rupapan; (hacia allá) rumen; (agachado por debajo) siñumrumen; cvñvlrumen; (por encima) pvrarupan; (atravesar) hon; (de una mano a otra) raxon; <font color="blue"><i><b>*no dejar p.</b></i></font> gvrvf; <font color="blue"><i><b>*p. a buscar</b></i></font> yerpun.
paso	<font color="blue"><i><b>*venir de p.</b></i></font> gepan.
pasto	kacu; (paja para hacer casas) kvha.
pastor	kamañ.
pastorear	vtalvn.
pata	hamuh.
patear	mahkvn.
patente	(evidente) cañalen.
patilla	geziñ.
patio	lepvn; (anterior) ixoxipa; (trasero) furiruka.
pato	patu; <font color="blue"><i><b>*p. marrón</b></i></font> kvjfv, kvyfv; <font color="blue"><i><b>*p. de los ríos</b></i></font> wala; <font color="blue"><i><b>*p. nocturno</b></i></font> weraf; <font color="blue"><i><b>*p. picazo</b></i></font> xawa xawa; <font color="blue"><i><b>*p. chucao</b></i></font> cukaw; <font color="blue"><i><b>*patito marrón</b></i></font> pojoj.
paulatinamente	ajwe, ajwekeci.
pavo	pafu; <font color="blue"><i><b>*p. macho</b></i></font> kolkol.
pecho	rvku; (mama) moyo.
pedazo	wvzkan, kaxvn; <font color="blue"><i><b>*hacerse pedazos</b></i></font> cafozvn.
pedernal	likan.
