
achalay	<span fgcolor="#228B22">(r).</span> Sumaq qawakunanpaq allinchay utaq llimpiy. Sumaqchay. <span fgcolor="#ff0000">Adornar, hermosear.</span>\n<span fgcolor="#a403fb">- Yachay wasinchikta achalasun.</span>\n<span fgcolor="#0000ff">- Adornemos nuestra escuela.</span>
kiri	<span fgcolor="#228B22">(s).</span> Kawsaqpa panchisqa utaq kuchusqa aychan. <span fgcolor="#ff0000">Herida, úlcera, llaga.</span>\n<span fgcolor="#a403fb">- Kiriy nanawachkan.</span>\n<span fgcolor="#0000ff">- Me duele mi herida.</span>
kirkinchu	<span fgcolor="#228B22">(s).</span> Ñawchi chuñu, kutu rinri, mana kiruyuq, rumi rumi qarayuq, taksa ataka, kuchi uya, yunkapi kawsaq purun uru. <span fgcolor="#ff0000">Armadillo.</span>\n<span fgcolor="#a403fb">- Kirkinchu piskaqa rumiy rumi waqram.</span>\n<span fgcolor="#0000ff">- La bolsa del armadillo es dura como el cuerno.</span>
kirpana	<span fgcolor="#228B22">(s).</span> Manka utaq imapas wichqana. <span fgcolor="#ff0000">Tapadera.</span>\n<span fgcolor="#a403fb">- Chay kirpanata maylliy.</span>\n<span fgcolor="#0000ff">- Lava esa tapadera.</span>
kirpay	<span fgcolor="#228B22">(r).</span> Ima uchkupas wichqay. <span fgcolor="#ff0000">Tapar.</span>\n<span fgcolor="#a403fb">- Pirqapa uchkunkunata mituwan kirpay.</span>\n<span fgcolor="#0000ff">- Tapen los huecos de la pared con barro.</span>
kiru	<span fgcolor="#228B22">(s).</span> Simipi sarakaqlla tullukuna, chaywanmi mikuyta kachunchik. <span fgcolor="#ff0000">Diente.</span>\n<span fgcolor="#a403fb">- Kirunchiktaqa puñunapaqmi aywina.</span>\n<span fgcolor="#0000ff">- Antes de dormir debemos lavar nuestros dientes.</span>
kispiñu	<span fgcolor="#228B22">(s).</span> Llukinapaq rurasqa uchuy tantacha. Puyllu. <span fgcolor="#ff0000">Panecillo.</span>\n<span fgcolor="#a403fb">- Awilaymi kispiñuta llukiykamuwan.</span>\n<span fgcolor="#0000ff">- Mi abuela me ha invitado panecillos.</span>
kisu	<span fgcolor="#228B22">(s).</span> Lichimanta lluklluyasqa mikuna. Kachipa. <span fgcolor="#ff0000">Queso.</span>\n<span fgcolor="#a403fb">- ¿Kisu tiqtita mikurqankichu?</span>\n<span fgcolor="#0000ff">- ¿Has comido queso frito?</span>
kiswar	<span fgcolor="#228B22">(s).</span> Yuraq kullu, punakunapi yachaq sacha. <span fgcolor="#ff0000">Quishuar (arbusto serrano).</span>\n<span fgcolor="#a403fb">- Kiswartaña yantarqusun.</span>\n<span fgcolor="#0000ff">- Hagamos leña de quishuar.</span>
kituy	<b>1.</b> <span fgcolor="#228B22">(r).</span> Imapapas karkankuna hurquy, lluchkachay. Chuyanchay. <span fgcolor="#ff0000">Limpiar, pulir.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Papapa, uqapa, maswapa chikllipankuna, sapinkuna wituy. <span fgcolor="#ff0000">Quitar los retoños.</span>\n<span fgcolor="#a403fb">1. Karka papata kituy.</span>\n<span fgcolor="#0000ff">- Limpia la papa sucia.</span>\n<span fgcolor="#a403fb">2. Tarpunapaq papapa sapichankunata kituy.</span>\n<span fgcolor="#0000ff">- Quiten las raíces de la papa para sembrarlas.</span>
kiwicha	<span fgcolor="#228B22">(s).</span> Kinwa kaqlla ñutu ruru kawsay; hamkapi, upitupi, machkapi, allin kallpayuq kanapaq mikuna kawsay. Achita. <span fgcolor="#ff0000">Quihuicha.</span>\n<span fgcolor="#a403fb">- Allin yuyaysapa kanapaq kiwichata mikusun.</span>\n<span fgcolor="#0000ff">- Comamos quihuicha para tener buena memoria.</span>
kuchi	<span fgcolor="#228B22">(s).</span> Winti chuñu, qanra mikuq wasi uywa. Wiranrayku, chicharunrayku uywasqa. <span fgcolor="#ff0000">Cerdo, chancho.</span>\n<span fgcolor="#a403fb">- Kuchita nakakusun.</span>\n<span fgcolor="#0000ff">- Degollemos el chancho.</span>
kuchpay	<b>1.</b> <span fgcolor="#228B22">(r).</span> Imapas waqta allpapi kurpahina kuyuy.<span fgcolor="#ff0000"> Rodar.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Pitapas pampaman wichichiy. <span fgcolor="#ff0000">Tumbar.</span>\n<span fgcolor="#a403fb">1. Rumi kuchpakamuchkan.</span>\n<span fgcolor="#0000ff">- La piedra está rodando.</span>\n<span fgcolor="#a403fb">2. Uywata kuchpaykuy</span>\n<span fgcolor="#0000ff">- Tumba al animal.</span>
kuchus	<b>1.</b> <span fgcolor="#228B22">(s).</span> Maki pataraq muquchu.<span fgcolor="#ff0000"> Codo.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Iskay siqi chakatapa ñawchin. <span fgcolor="#ff0000">Ángulo.</span>\n<span fgcolor="#a403fb">1. Kuchusninta llaqllarukusqa.</span>\n<span fgcolor="#0000ff">- Se había desollado el codo.</span>\n<span fgcolor="#a403fb">2. Allichananpaq kuchusta apan.</span>\n<span fgcolor="#0000ff">- Lleva el ángulo para que guarde.</span>
kuchuy	<span fgcolor="#228B22">(r).</span> Kuchilluwan utaq ima kuchunawanpas wituy, kuchpay, chitqay. <span fgcolor="#ff0000">Cortar.</span>\n<span fgcolor="#a403fb">- Sansapi kankanapaq aychata kuchuykuy.</span>\n<span fgcolor="#0000ff">- Corta la carne para asar en la brasa.</span>
kukuli	<span fgcolor="#228B22">(s).</span> Hatun urpitu, urpitu kaqlla hatun uqi pisqu. Ququtuwa. <span fgcolor="#ff0000">Torcaza.</span>\n<span fgcolor="#a403fb">- Kukulikunaqa sumaqtam kuyanakunku.</span>\n<span fgcolor="#0000ff">- Las torcazas se cuidan muy bien.</span>
kullancha	<b>1.</b> <span fgcolor="#228B22">(s).</span> Ischu qipichanapaq awasqa. <b>2.</b> Challwanapaq awasqa llika. Lluku. <span fgcolor="#ff0000">Red.</span>\n<span fgcolor="#a403fb">- Chay kullanchata challwanapaq apasun.</span>\n<span fgcolor="#0000ff">- Llevaremos esa red para pescar.</span>
kulli	<span fgcolor="#228B22">(s).</span> Sani llimpi, yana quyu llimpi. <span fgcolor="#ff0000">Morado.</span>\n<span fgcolor="#a403fb">- Kulli saramanta aqakurqusun.</span>\n<span fgcolor="#0000ff">- Preparemos chicha de maíz morado.</span>
kullku	<span fgcolor="#228B22">(s).</span> Taksa urpitucha, puka chuspa purun uywa. <span fgcolor="#ff0000">Tórtola.</span>\n<span fgcolor="#a403fb">- Parischanwanmi kullku purin.</span>\n<span fgcolor="#0000ff">- La tórtola anda de par en par.</span>
kullu	<span fgcolor="#228B22">(s).</span> Sachapa raku kaspin. <span fgcolor="#ff0000">Tronco.</span>\n<span fgcolor="#a403fb">- Wak kulluta yantarqusun.</span>\n<span fgcolor="#0000ff">- Hagamos leña de ese tronco.</span>
kumuy	<span fgcolor="#228B22">(r).</span> <b>1.</b> Umata kurkuy.<span fgcolor="#ff0000"> Agacharse.</span> <b>2.</b> Pinqakuspa mana kutipakuy, saruchikuy. <span fgcolor="#ff0000">Humillarse, subestimarse.</span>\n<span fgcolor="#a403fb">1. Pinqakuspanqa uman kumusqan purin.</span>\n<span fgcolor="#0000ff">- Al avergonzarse camina con la cabeza agachada.</span>\n<span fgcolor="#a403fb">2. ¡Amawtapas manam kumuchisunkimanchu!</span>\n<span fgcolor="#0000ff">- ¡Ni aún el profesor te debe humillar!</span>
kunan	<span fgcolor="#228B22">(p).</span> Kay punchaw, kananpuni. <span fgcolor="#ff0000">Hoy, ahora.</span>\n<span fgcolor="#a403fb">- Kunanmi qillqa likayta yachachisqayki.</span>\n<span fgcolor="#0000ff">- Ahora te voy a enseñar a leer un texto.</span>
kunka	<span fgcolor="#228B22">(s).</span> Umawan qasqu huñuq; qasqupa hananpi, kakichupa uranpi kaq. <span fgcolor="#ff0000">Cuello, pescuezo.</span>\n<span fgcolor="#a403fb">- Kunkasapa llamata puquchisun.</span>\n<span fgcolor="#0000ff">- Engordemos a la llama de cuello largo.</span>
kuntur	<span fgcolor="#228B22">(s).</span> Yana puru, yuraq kunka, kurku tuspa, anka kaqlla aycha mikuq hatun hatun purun pisqu. <span fgcolor="#ff0000">Cóndor.</span>\n<span fgcolor="#a403fb">- Kuntur muyuchkan wañusqa uywata.</span>\n<span fgcolor="#0000ff">- El cóndor está dando vueltas buscando animales muertos.</span>
kuraq	<span fgcolor="#228B22">(s).</span> Aswan hatun, aswan watasapa kaq. <span fgcolor="#ff0000">Mayor.</span>\n<span fgcolor="#a403fb">- ¡Kuraq churiyta qayarqamuy!</span>\n<span fgcolor="#0000ff">- ¡Llama a mi hijo mayor!</span>
kurku	<span fgcolor="#228B22">(s).</span> Muqu, kumu. Qipirayachkaqhina wasa. <span fgcolor="#ff0000">Joroba, jorobado.</span>\n<span fgcolor="#a403fb">- Wak runaqa yurisqanmantapunim kurku.</span>\n<span fgcolor="#0000ff">- Ese señor es jorobado de nacimiento.</span>
kurnita	<span fgcolor="#228B22">(s).</span> Kastillanumanta hamuq simi; pututu, Qipa waqra puku. <span fgcolor="#ff0000">Trompeta.</span>\n<span fgcolor="#a403fb">- Kurnitata warmakuna waqachin.</span>\n<span fgcolor="#0000ff">- Los niños tocan la trompeta.</span>
kurpa	<span fgcolor="#228B22">(s).</span> Rumiyasqa allpa. <span fgcolor="#ff0000">Terrón.</span>\n<span fgcolor="#a403fb">- Kurpawanqa amam chamqanakunachu.</span>\n<span fgcolor="#0000ff">- No hay que tirarse con terrones.</span>
kurpay	<span fgcolor="#228B22">(r).</span> Putquypi kisu ruray. <span fgcolor="#ff0000">Hacer quesillo en forma de terrones.</span>\n<span fgcolor="#a403fb">- Mamaymi kisilluta kurpan.</span>\n<span fgcolor="#0000ff">- Mi madre hace quesillo.</span>
kuru	<span fgcolor="#228B22">(s).</span> Aqaruway urukuna, mikunakunapa ukunpi wiñaq urukuna. <span fgcolor="#ff0000">Uru, gusano.</span>\n<span fgcolor="#a403fb">- Papa kurutaqa wañuchinam.</span>\n<span fgcolor="#0000ff">- Hay que eliminar los gusanos de la papa.</span>
kurur	<span fgcolor="#228B22">(s).</span> Ruyrupi muyuchasqa qaytu. <span fgcolor="#ff0000">Ovillo.</span>\n<span fgcolor="#a403fb">- Tawa kururmi punchuykipaq kanman.</span>\n<span fgcolor="#0000ff">- Cuatro ovillos alcanzan para tu poncho.</span>
kururay	<span fgcolor="#228B22">(r).</span> Qaytuta muyuchispa kurur ruray. <span fgcolor="#ff0000">Ovillar.</span>\n<span fgcolor="#a403fb">- Puka qaytuta kururaychik.</span>\n<span fgcolor="#0000ff">- Ovillen el hilo rojo.</span>
kusikuy	<span fgcolor="#228B22">(r).</span> Alli allin kay; asi asilla kawsay. <span fgcolor="#ff0000">Alegrarse.</span>\n<span fgcolor="#a403fb">- Allin kasqaykiwan anchata kusikuni.</span>\n<span fgcolor="#0000ff">- Me alegro mucho con tu bienestar.</span>
kusiy	<span fgcolor="#228B22">(s).</span> Mana sasachakuykunawan hawka kawsakuy. <span fgcolor="#ff0000">Alegría.</span>\n<span fgcolor="#a403fb">- Kusiy pacha.</span>\n<span fgcolor="#0000ff">- Tiempos de alegría.</span>
kuta	<span fgcolor="#228B22">(s).</span> Ñutu aku. <span fgcolor="#ff0000">Molido.</span>\n<span fgcolor="#a403fb">- Sara kutata rantikusun.</span>\n<span fgcolor="#0000ff">- Vamos a vender maíz molido.</span>
kutay	<span fgcolor="#228B22">(r).</span> Maraypi tunaywan utaq makinawanpas ñutuchiy. <span fgcolor="#ff0000">Moler.</span>\n<span fgcolor="#a403fb">- Chuqlluta kutasun humintapaq.</span>\n<span fgcolor="#0000ff">- Vamos a moler el choclo para hacer humitas.</span>
kuti	<b>1.</b> <span fgcolor="#228B22">(s).</span> Qaspa chukcha.<span fgcolor="#ff0000"> Crespo.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Yapa ruray. <span fgcolor="#ff0000">Repetitivo.</span>\n<span fgcolor="#a403fb">1. Kuti chukcha warmachatam rikurqamuni.</span>\n<span fgcolor="#0000ff">- He visto un niñito crespo.</span>\n<span fgcolor="#a403fb">2. Takipi kuti niptinqa iskay kutim takinki.</span>\n<span fgcolor="#0000ff">- Si en la canción dice «kuti» entonarás dos veces.</span>
kutichinakuy	<span fgcolor="#228B22">(r).</span> Ayninakuy. <span fgcolor="#ff0000">Devolverse un favor mutuamente.</span>\n<span fgcolor="#a403fb">- Llamkayninkuta kutichinakunku.</span>\n<span fgcolor="#0000ff">- Se devuelven el favor que se hicieron en el trabajo.</span>
kutipakuy	<b>1.</b> <span fgcolor="#228B22">(r).</span> Maqakuqta sarukuqta aswan kutichiy.<span fgcolor="#ff0000"> Rebelarse.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Pipas qaqchakuqta harkakuynin. <span fgcolor="#ff0000">Defenderse.</span>\n<span fgcolor="#a403fb">1. Manam warmakunaqa tayta mamanta kutipakunanchu.</span>\n<span fgcolor="#0000ff">- Los hijos no deben rebelarse contra sus padres.</span>\n<span fgcolor="#a403fb">2. Llumpay maqasqa allquqa kutipakunmi.</span>\n<span fgcolor="#0000ff">- Si el perro es muy maltratado tiende a defenderse.</span>
kutiy	<span fgcolor="#228B22">(r).</span> Maypiña kaspapas kasqanman hamuy. <span fgcolor="#ff0000">Volver.</span>\n<span fgcolor="#a403fb">- ¡Maypiña kaspapas kutimuy!.</span>\n<span fgcolor="#0000ff">- ¡De donde estés regresa!</span>
kutkuy	<span fgcolor="#228B22">(r).</span> Kakichuta muyuchispa imapas ñutuy. Kutuy. <span fgcolor="#ff0000">Roer.</span>\n<span fgcolor="#a403fb">- Ukucham sarata kutkuchkan.</span>\n<span fgcolor="#0000ff">- El ratón está royendo el maíz.</span>
kututu	<span fgcolor="#228B22">(s).</span> Urqu quwi. <span fgcolor="#ff0000">Cuy macho.</span>\n<span fgcolor="#a403fb">- Mincham kututukunata mana maqanakunanpaq rakisun.</span>\n<span fgcolor="#0000ff">- Pasado mañana separaremos a los cuyes machos para que no peleen.</span>
lakawiti	<span fgcolor="#228B22">(s).</span> <span fgcolor="#ff0000">Kalawasata qaway.</span>
lani	<span fgcolor="#228B22">(s).</span> Qari qarikaynin. <span fgcolor="#ff0000">Ulluta qaway.</span>
laqu	<b>1.</b> <span fgcolor="#228B22">(s).</span> Mana ñawchiyuq, mana allin kuchuq.<span fgcolor="#ff0000"> Desafilado.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Yaku hawapi wiñaq qura, qaytu hina yuraq sapiyuq. <span fgcolor="#ff0000">Alga.</span>\n<span fgcolor="#a403fb">1. Laqu kuchilluta ñawchichay.</span>\n<span fgcolor="#0000ff">- Afila ese cuchillo motoso.</span>\n<span fgcolor="#a403fb">2. Laqutaqa uywakuna mikunmi.</span>\n<span fgcolor="#0000ff">- Los animales acostumbran comer alga.</span>
lasta	<span fgcolor="#228B22">(s).</span> Millwahina llampu tikayasqa para. <span fgcolor="#ff0000">Nevada.</span>\n<span fgcolor="#a403fb">- Lastarqamuptinqa uywakunaqa yarqaymantam purinku.</span>\n<span fgcolor="#0000ff">- Cuando nieva los animales caminan con hambre.</span>
lawa	<span fgcolor="#228B22">(s).</span> Yakuyuq, kachiyuq, muruyuq, kutachayuq yanusqa mikuy. Chupi. <span fgcolor="#ff0000">Sopa.</span>\n<span fgcolor="#a403fb">- Sara lawachata mikumuni.</span>\n<span fgcolor="#0000ff">- He comido sopita de maíz.</span>
lawsa	<span fgcolor="#228B22">(s).</span> Pusuqu suturiq yaku. <span fgcolor="#ff0000">Baba.</span>\n<span fgcolor="#a403fb">- ¡Lawsaykita pichakuy!</span>\n<span fgcolor="#0000ff">- ¡Límpiate la baba!</span>
liqichu	<span fgcolor="#228B22">(s).</span> <span fgcolor="#ff0000">Liqliqata qaway.</span>
liqliqa	<span fgcolor="#228B22">(s).</span> Yana wasa, yuraq qasqu, urqukunapi tiyaq pisqu; «liq liq liq» nispa waqaq pisqu. Liqichu. <span fgcolor="#ff0000">Ave centinela.</span>\n<span fgcolor="#a403fb">- Liqliqam lliwqata mikun.</span>\n<span fgcolor="#0000ff">- El ave centinela come lombrices.</span>
lirpu	<span fgcolor="#228B22">(s).</span> Wirpupa llantuynin qawanapaq rurasqa qispi, huk llaqtakunapiqa rirpuwanmi riqsinku. <span fgcolor="#ff0000">Espejo.</span>\n<span fgcolor="#a403fb">- Hatun lirpupim lliw wirpuy rikukun.</span>\n<span fgcolor="#0000ff">- En un espejo grande se ve todo mi cuerpo.</span>
lirqu	<span fgcolor="#228B22">(s).</span> Huklaw qawaq; wiksunpaman qawaq. Qiwsu. <span fgcolor="#ff0000">Bizco.</span>\n<span fgcolor="#a403fb">- Lirqu wawata hampichimuy.</span>\n<span fgcolor="#0000ff">- Haz curar al niño bizco.</span>
liwi	<b>1.</b> <span fgcolor="#228B22">(s).</span> Umanpi hiru muquchuyuq utaq chawa qara muquchuyuq waska.<span fgcolor="#ff0000"> Boleadora.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Patarakuq, mana suni sayaq, qiwiykachakuq, mana kallpayuq. <span fgcolor="#ff0000">Laxo, flácido.</span>\n<span fgcolor="#a403fb">1. Umanpim liwiwan waqtarqun.</span>\n<span fgcolor="#0000ff">- Le ha golpeado con una boleadora en la cabeza.</span>\n<span fgcolor="#a403fb">2. Liwi siki warayuqmi purichkan.</span>\n<span fgcolor="#0000ff">- Camina con un pantalón holgado.</span>
liwru	<span fgcolor="#228B22">(s).</span> Ñawinchanapaq qillqasqa; achka rapipi maytusqa qillqakuna. Kunan punchawkunaqa Qillqa maytuwanñam riqsinku. <span fgcolor="#ff0000">Libro, texto.</span>\n<span fgcolor="#a403fb">- Yachaq masiy qillqa maytuta ñawinchaychik.</span>\n<span fgcolor="#0000ff">- Lean el texto Yachaq masiy.</span>
luqma	<span fgcolor="#228B22">(s).</span> Qumir qarayuq, miski qillu machka mikuy ruruyuq sacha. <span fgcolor="#ff0000">Lúcuma.</span>\n<span fgcolor="#a403fb">- Wantapiqa sumaqllañam luqma wiñan.</span>\n<span fgcolor="#0000ff">- Hermosas lucumas crecen en la ciudad de Huanta.</span>
luqsu	<span fgcolor="#228B22">(s).</span> Qaripapaq, urqu uywapapas qurutan. <span fgcolor="#ff0000">Escroto, testículo.</span>\n<span fgcolor="#a403fb">- Turupa luqsunqa allin mikuymi.</span>\n<span fgcolor="#0000ff">- El escoroto del toro es buen alimento.</span>
llaki	<span fgcolor="#228B22">(s).</span> Nanayniyuqhina qawakuy; waqaq uya kay. <span fgcolor="#ff0000">Tristeza.</span>\n<span fgcolor="#a403fb">- Llakim hapiruwan.</span>\n<span fgcolor="#0000ff">- Me dio una tristeza.</span>
llaklla	<span fgcolor="#228B22">(s).</span> Manchaq sunqu runa, imawanpas manchakuq runa. <span fgcolor="#ff0000">Cobarde, tímido.</span>\n<span fgcolor="#a403fb">- Llaklla runakunaqa manam wasi punkutapas lluqsiyta munanchu.</span>\n<span fgcolor="#0000ff">- Los hombres cobardes no quieren salir ni a la puerta de su casa.</span>
llama	<span fgcolor="#228B22">(s).</span> Ñawchi rinri, kunkasapa, asnu sayay, millwayuq, qipi apaq, kaspi chaki, taka chupa, punapi yachaq wasi uywa. <span fgcolor="#ff0000">Llama.</span>\n<span fgcolor="#a403fb">- Llama rutuy chayaramuchkanña.</span>\n<span fgcolor="#0000ff">- Ya está llegando la esquila de llamas.</span>
llamkay	<span fgcolor="#228B22">(r).</span> Imapas ruray. <span fgcolor="#ff0000">Trabajar.</span>\n<span fgcolor="#a403fb">- Yarqa aspiypi llamkamusun.</span>\n<span fgcolor="#0000ff">- Trabajemos en la limpieza de la acequia.</span>
llampu	<b>1.</b> <span fgcolor="#228B22">(s).</span> Mana qachqachikuq millwahina imakuna.<span fgcolor="#ff0000"> Suave.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Iskuniraq rumi, chayta turpaspa Tayta Urquman, Apukunaman pukuna. <span fgcolor="#ff0000">Piedra caliza.</span>\n<span fgcolor="#a403fb">1. Palta Rumiman llamputa pukuykuy.</span>\n<span fgcolor="#0000ff">- Sopla la piedra caliza a Palta Rumi.</span>\n<span fgcolor="#a403fb">2. Wawapa uyanqa llampullam.</span>\n<span fgcolor="#0000ff">- El rostro del niño es suave.</span>
llanki	<span fgcolor="#228B22">(s).</span> Chakiman churakuspa purinapaq carro llantanmanta rurasqa. <span fgcolor="#ff0000">Ojota.</span>\n<span fgcolor="#a403fb">- Kay wata iskaytañam llankita taytay tukurqun.</span>\n<span fgcolor="#0000ff">- En el presente año mi padre terminó dos ojotas.</span>
llantu	<span fgcolor="#228B22">(s).</span> Imapapas rupaypa akchipa kanchanwan yupin rikukuq.<span fgcolor="#ff0000"> Sombra.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Rupaymanta, paramanta amachakuy. <span fgcolor="#ff0000">Protegerse de la sombra o de la lluvia.</span>\n<span fgcolor="#a403fb">- Llantunwan mancharikuni.</span>\n<span fgcolor="#0000ff">- Me asusté con su sombra.</span>\n<span fgcolor="#a403fb">- Paramanta machaypi llantukun.</span>\n<span fgcolor="#0000ff">- Se protege de la lluvia en la cueva.</span>
llañu	<span fgcolor="#228B22">(s).</span> Mana rakuchu, aswan tullulla. <span fgcolor="#ff0000">Delgado.</span>\n<span fgcolor="#a403fb">- Llañu waskatam kuchi tipirun.</span>\n<span fgcolor="#0000ff">- El chancho arrancó la soga delgada.</span>
llapchay	<span fgcolor="#228B22">(r).</span> Mana hapispalla tupaykuy. Llamiy. <span fgcolor="#ff0000">Tocar con la mano.</span>\n<span fgcolor="#a403fb">- Llapchaykuptiymi qaparin.</span>\n<span fgcolor="#0000ff">- Apenas lo toqué, gritó.</span>
llapiy	<span fgcolor="#228B22">(r).</span> Imatapas makiwan hapispa apiyachiy. <span fgcolor="#ff0000">Aplastar con los dedos.</span>\n<span fgcolor="#a403fb">- Sinqantam llapirqun.</span>\n<span fgcolor="#0000ff">- Le aplastó la nariz</span>
llaqi llaqi	<span fgcolor="#228B22">(s).</span> Raku tulluyuq kichka chapra qura. <span fgcolor="#ff0000">Zarzaparrilla.</span>\n<span fgcolor="#a403fb">- ¡Llaqi llaqita timpurqachiy!</span>\n<span fgcolor="#0000ff">- ¡Haz hervir la zarzaparrilla!</span>
llaqllay	<span fgcolor="#228B22">(r).</span> Asuylawan qirupa qarantawan kulluchanta sumaqllata hurquy. <span fgcolor="#ff0000">Labrar.</span>\n<span fgcolor="#a403fb">- Qiruta tumpata llaqllaykuy.</span>\n<span fgcolor="#0000ff">- Labra un poquito el palo.</span>
llaqta	<span fgcolor="#228B22">(s).</span> Llapa runakunapa tiyasqan allpa; niraqlla runakunapa tiyasqan marka. <span fgcolor="#ff0000">Pueblo.</span>\n<span fgcolor="#a403fb">- Hatun llaqtakunapiqa manañam kawsay wiñanñachu.</span>\n<span fgcolor="#0000ff">- En las ciudades ya no crece la sementera.</span>
llaqway	<span fgcolor="#228B22">(r).</span> Qalluwan lluspiy. <span fgcolor="#ff0000">Lamer.</span>\n<span fgcolor="#a403fb">- Chitanchik kachita llaqwachkan.</span>\n<span fgcolor="#0000ff">- Nuestras ovejas están lamiendo la sal.</span>
llasaq	<span fgcolor="#228B22">(s).</span> Mana huqariy atina, sasa huqarina. <span fgcolor="#ff0000">Pesado.</span>\n<span fgcolor="#a403fb">- Llasaq rumim kasqa.</span>\n<span fgcolor="#0000ff">- Había sido una piedra pesada.</span>
llasay	<span fgcolor="#228B22">(r).</span> Llapa imakunapa sayayninmanhina ñitiy. <span fgcolor="#ff0000">Pesar.</span>\n<span fgcolor="#a403fb">- Hatun rumiqa llumpaytam llasan.</span>\n<span fgcolor="#0000ff">- La piedra grande pesa demasiado.</span>
llata	<span fgcolor="#228B22">(s).</span> Mitu aywina. Chapa. <span fgcolor="#ff0000">Lavador de arcilla.</span>\n<span fgcolor="#a403fb">- Llatata allinchasun.</span>\n<span fgcolor="#0000ff">- Arreglemos el lavador de arcilla.</span>
llatan	<span fgcolor="#228B22">(s).</span> Hamkayuq, kisu kutayuq, tumpan uchuyuq, wakatayniyuq kutaspa pitusqa mikuy. <span fgcolor="#ff0000">Guiso picante.</span>\n<span fgcolor="#a403fb">- Llatanniyuq quwi tiqtiqa miskisum.</span>\n<span fgcolor="#0000ff">- El cuy chactado con guiso picante es riquísimo.</span>
llika	<span fgcolor="#228B22">(s).</span> Lawtahina laqakuyuq qaytuhinawan awasqa tuqlla. <span fgcolor="#ff0000">Telaraña.</span>\n<span fgcolor="#a403fb">- Qampupa llikanta awan mikuynin hapinanpaq.</span>\n<span fgcolor="#0000ff">- La araña está tejiendo su telaraña para atrapar sus alimentos.</span>
llikiy	<span fgcolor="#228B22">(r).</span> Imatapas chillpiy, latapata utaq rapita kallpawan llikchiy. <span fgcolor="#ff0000">Romper, rasgar.</span>\n<span fgcolor="#a403fb">- Ama qillqa rapiykichikta yanqapuni llikiychikchu.</span>\n<span fgcolor="#0000ff">- No rompan sus hojas por las puras.</span>
lliklla	<span fgcolor="#228B22">(s).</span> Qipikunapaq utaq llikllatakunapaq awasqa pacha. <span fgcolor="#ff0000">Manta.</span>\n<span fgcolor="#a403fb">- Achka llikllakunata awaspa rantikuchwan.</span>\n<span fgcolor="#0000ff">- Podríamos tejer muchas mantas y venderlas.</span>
llilli	<span fgcolor="#228B22">(s).</span> Llumpay rupaywan panchisqa runapa utaq uywapa aychan. <span fgcolor="#ff0000">Escaldadura.</span>\n<span fgcolor="#a403fb">- Wawapa llillintaqa akuwanmi hampina.</span>\n<span fgcolor="#0000ff">- La escaldadura del niño se cura con harina.</span>
llimpi	<span fgcolor="#228B22">(s).</span> Imarikuq kay. Kanmi: qillu, puka, yuraq, kulli, imarikuqpas. <span fgcolor="#ff0000">Color.</span>\n<span fgcolor="#a403fb">- Puka llimpim yawarqa.</span>\n<span fgcolor="#0000ff">- La sangre es de color rojo.</span>
llimpiy	<span fgcolor="#228B22">(r).</span> Imarikuq llimpiwanpas llusiy, mismichiy. <span fgcolor="#ff0000">Pintar, colorear.</span>\n<span fgcolor="#a403fb">- Kay riqita qumirwan llimpisun.</span>\n<span fgcolor="#0000ff">- Vamos a pintar con verde esta figura.</span>
llinki	<span fgcolor="#228B22">(r).</span> Chakirikuq mitu; manka rurana, sañu rurana, ima ruranapaqpas mitu allpa. <span fgcolor="#ff0000">Arcilla.</span>\n<span fgcolor="#a403fb">- Puka llinkiwan ruyruchakunata rurasun.</span>\n<span fgcolor="#0000ff">- Moldeemos bolitas con arcilla roja.</span>
llipipi	<span fgcolor="#228B22">(s).</span> Intipa kanchayninwan qurihina qawakuq, qurihina akchiq. Anchaq. <span fgcolor="#ff0000">Brillo, brillante.</span>\n<span fgcolor="#a403fb">- Llipipi quchatam riqsimuniku.</span>\n<span fgcolor="#0000ff">- Hemos conocido una laguna reluciente.</span>
lliqti	<span fgcolor="#228B22">(s).</span> Llillisqa hita, mata hita. <span fgcolor="#ff0000">Úlcera en los labios.</span>\n<span fgcolor="#a403fb">- Kay simiypi lliqtita imawanraq hampiruyman.</span>\n<span fgcolor="#0000ff">- No sé con qué curaría la úlcera de mis labios.</span>
lliwqa	<span fgcolor="#228B22">(s).</span> Llañu waskahina mana chakiyuq, wiksapi utaq uqu allpapi yachaq uru. Kuyka. <span fgcolor="#ff0000">Lombriz.</span>\n<span fgcolor="#a403fb">- Challwanapaq lliwqata hurqumusun.</span>\n<span fgcolor="#0000ff">- Vamos a sacar lombrices para pescar.</span>
