a	Vocal baja central.
kalluta, QULLUTA	<i>s.</i> Mano de almirez o mortero (JL).
kama	<i>s.</i> Potestad, facultad, poder de mando. || Obligación, tarea. || Aptitud, habilidad. || Ocupación, oficio.
kamachakuy	<i>tr. y prnl.</i> Tomar una persona la responsabilidad de un cargo.
kamachi	<i>fig.</i> <i>s.</i> Decreto o disposición de Dios. || Voluntad. Amor, afición, benevolencia o afecto. Munay. || Gana o deseo de hacer una cosa. Munay.
kamachi	<i>s.</i> Ley. Precepto de la autoridad suprema. Orden. Mandato. Ordenanza.
kamachi	<i>s.</i> Niño en edad de cooperar en tareas agrícolas, mandados (Pot.).
kamachikuy	<i>prnl.</i> Hacerse obedecer (JL).
kamachiq apu	Mallku (<i>&lt;A</i>). <i>s.</i> Presidente, -ta. Quien preside o gobierna.
kamachiq wasi	<i>s.</i> Palacio. Casa destinada para la residencia de los reyes, autoridades o grandes personajes.
kamachiq	<i>s.</i> Autoridad. Potestad. Carácter o representación de una persona por su mérito o poder.
kamachiq	<i>s.</i> Jefe, el que ejerce el mando. || Conductor, -ra. El que conduce a las personas. Pusaq.
kamachiq	<i>s.</i> Mandatario, el que dirige u ordena. || Gobierno. Acción de gobernar. Kamachiy.
kamachiy, kamay	<i>tr.</i> Mandar. Ordenar. || Remitir, enviar. Apachiy, kachay.
kamachiy	<i>tr.</i> Administrar. Gobernar, regir.
kamachiy	<i>tr.</i> Decretar. Dictar decretos, ordenar. || Decretar correctamente. Chaninchay.
kamamaq, qhallallaq	<i>adj.</i> Planta de hojas brillantes.
kamamay, qhallallay	<i>intr.</i> Lozanear un vegetal.
kamana	<i>adj.</i> Gobernable.
kamanakuy	<i>rec. y prnl.</i> Repartirse por igual el trabajo. Distribuirse equitativamente una labor común grande.
kamanay	<i>tr.</i> Manejar la lanzadera al tejer en un telar.
kamanchaka (JL)	Pukutay. <i>s.</i> Neblina. Niebla espesa y baja.
kamanchaka, pukutay	<i>s.</i> Niebla. Nube en contacto con la tierra.
kamani	<i>s.</i> Caporal. Capataz, gamonal.
kamanpa	<i>s.</i> <i>neol.</i> Ordenador, computadora, computador.
kamaq	<i>adj. y s.</i> El o la que gobierna. || Mandante, el que manda y ordena.
kamaqi, wallpaq, wallpaqi	<i>adj. y s.</i> Creador, -ra. Que crea. || Hacedor. Ruwaqi, ruwaq. || Dios creador. Pacha kamaq.
kamaqi	<i>adj. y s.</i> Gobernante, el o la que gobierna.
kamarichiy	<i>tr.</i> Obligar. Compeler.
kamarisqa	<i>adj.</i> Dispuesto, -ta. Pronto, listo.
kamariy	<i>tr.</i> Disponer. Preparar, deliberar lo que ha de hacerse.
kamay, kamachiy	<i>tr.</i> Mandar. Ordenar. || Remitir, enviar. Apachiy, kachay.
kamay, wallpay	<i>tr.</i> Crear. Inventar, producir de la nada.
kamay, wamariy	<i>tr.</i> Inventar. Crear algo nuevo.
kamay, willay	<i>tr.</i> Dar parte, informar.
kamay	<i>s.</i> Deber. Obligación.
kamay	<i>s.</i> Ocupación. Trabajo, empleo, oficio o dignidad.
kamayku, mapas	<i>s.</i> Amenaza. Acción de amenazar.
kamaykuy	<i>tr.</i> Amenazar, mostrarle a uno los puños. || Encargar, dar ocupación, comisionar con algún quehacer.
kamayuq	<i>adj. y s.</i> El o la que tiene potestad, facultad, mando. || Persona que ejerce algún oficio, profesión u ocupación.
kamichi	<i>s.</i> Género de aves zancudas que viven en América del Sur.
kana	<i>s.</i> Fogata.
kana	Sin embargo, empero, pero. || Finalmente, por último, así que.
kanal (	<i>s.</i> <i>amb.</i> Canal. Conducto, vía. || Acueducto. Witkhu. || Cauce artificial de agua. Rarq'a, larq'a, yarqha.
kanaq, k'ana, sansaq	<i>adj.</i> Incandescente, Candente, al rojo.
kanaq	<i>adj y s.</i> Persona que quema o hace fogata.
kanay, ruphachiy	<i>tr.</i> Incendiar. Poner fuego, quemar.
kanay, ruphachiy	<i>tr.</i> Quemar. Atizar, abrazar con fuego. || Calentar en demasía. Ruphachiy. || Quemar o calentar mucho una cosa. Ruphay.
kanay	<i>s.</i> Fogata, quema, incineración.
kancha	<i>s.</i> Cancha de fútbol, fulbito, etc.
kancha	<i>s.</i> Cerco. Marco o muro que rodea alguna cosa. Kancha.
kancha	<i>s.</i> Corral. Cerca. || Corral para pastar animales. Muya.
kancha	<i>s.</i> Plaza. Lugar o espacio cercado.
kanchay, qinchay	<i>tr.</i> Cercar. Poner cercas o cerco. || Rodear. Tumay.
kanchay	<i>tr.</i> Cercar un espacio, formar un recinto. || Trabajar o hacer una cancha.
kanipu	<i>s.</i> Adorno de plata que usaban en la frente los hombres de la nobleza cusqueña (JL).
kaniy, KHANIY, khachuy	<i>tr.</i> Morder. Asir con los dientes. || Dar mordiscos un animal que pelea o ataca. Qhamsay. || Romper y arrancar con los dientes. P'atay.
kanka	<i>s.</i> Asado. Carne asada.
kankana	<i>s.</i> Asador. Utensilio para azar.
kankay	<i>tr.</i> Asar. Someter un manjar al fuego.
kanqan, kanan	<i>adj.</i> Futuro, venidero.
kantu (	<i>s.</i> Extremo. Punta.
kantu (	<i>s.</i> Margen. Borde, canto. Zona marginal.
kantu samay	<i>adj.</i> <i>Fon.</i> Lateral.
kapujay, phawaykuy	<i>tr.</i> Asaltar. Acometer alevosamente.
kapuy, jap'iy, jat'alliy	<i>tr.</i> Poseer. Tener uno algo en su poder.
kapuy, kay, tiyay, tiyapuy	<i>v.</i> Haber. Tener. || Ser, existir. Kay. || <i>v.</i> Tener enemistad. Awqanakuy. || Tener hambre. Yarqay. || Tener miedo. Manchakuy, manchariy. || Tener pareja. Yananchakuy. || Tener pena. Llakikuy, phutikuy. || Tener sed. Ch'akiy.
kaq	<i>adj. y s.</i> Sujeto, ser, ente.
karachu!	<i>interj.</i> ¡Caramba!
karka, karkancha (JAL)	Esqueleto que representa la muerte, alegoría de la muerte. || Esqueleto. Saqru.
karka	<i>s.</i> Osamenta. Esqueleto.
karma	<i>s.</i> Unidad de medida en la compra venta de forraje que equivale a la cantidad de pasto seco (JH).
karmay	<i>tr.</i> Hacinar. Poner en hacina, apilomar.
karpa	<i>s.</i> Toldo. Cubierta de tela para dar sombra.
karu runa, jawa runa	<i>adj. y s.</i> Forastero, -ra. Persona que es o viene de fuera.
karu	<i>adj.</i> Distante. Muy apartado.
karu	<i>adv.</i> Lejos. A gran distancia.
karuncha	<i>s.</i> Alejamiento. Acto y efecto de alejar o alejarse.
karunchay, karuyachiy	<i>tr.</i> Alejar. Poner lejos o más lejos.
kasay, KACHKAY, kasyay	<i>cop.</i> Estar. // ¿Cómo estás?: Imaynalla kachkanki? || Estar presente. Sayay.
kasiki	<i>s.</i> Gamonal. Cacique de pueblo.
kaski, warawa, achhalana, sanana	<i>s.</i> Adorno.
kaskichay, k'achanchay, achhalay, sañay	<i>tr.</i> Adornar. Engalanar con adornos. || Adornar con banderines o flores. T'ikachay, t'ikanchay.
kastilla simi	<i>s.</i> Castellano, idioma castellano.
kasuy, kasukuy (	Uyay. <i>tr.</i> Obedecer. Cumplir lo ordenado.
kata	<i>s.</i> Suegro respecto del yerno.
katachillay, katachilla	<i>s.</i> Cruz del sur.
katari	<i>s.</i> Víbora. || Culebra. Serpiente. Mach'aqwa, mach'aqway. || Boa, ofidio de tamaño considerable. Amaru.
kawallu (	<i>s.</i> Caballo.
kawitu	<i>s.</i> Barbacoa.
kawitu	<i>s.</i> Hamaca. Mecedora, columpio.
kawsachiy	<i>tr.</i> Sustentar. Mantener.
kawsana	<i>s.</i> Ambiente.
kawsaq	<i>adj. y s.</i> Vivo, -va. Que vive o que tiene vida.
kawsaripuy (GH)	<i>s.</i> Resurrección. Acto de resucitar.
kawsariy	<i>intr.</i> Revivir. Resucitar, volver a la vida.
kawsay kamayni	<i>s.</i> <i>Curriculum </i><i>vitae.</i>
kawsay pacha	<i>s.</i> Globo terráqueo.
kawsay pacha	<i>s.</i> Naturaleza. Conjunto de seres creados.
kawsay	<i>intr.</i> Existir. Vivir.
kawsay	<i>intr.</i> Vivir. Tener vida.
kawsay	<i>s.</i> Vida.
kay, kapuy, tiyay, tiyapuy	<i>v.</i> Haber. Tener. || Ser, existir. Kay.
kay	<i>adj. dem.</i> Estos, estas. // Estas chicas habían jugado. Kay imillakuna pukllasqanku.
kay	<i>adj. dem.</i> Este, esta. // Esta casa es mía. Kay wasiqa nuqapta wasiy.
kay	<i>cop.</i> Ser. // ¿De dónde eres?: Maymantataq kanki?
kay	<i>pron. dem.</i> Éste, ésta, esto. // ¿Qué es esto?: Imataq kay?
kay	<i>v.</i> Ser, existir. || Haber. Tener. Kay, kapuy, tiyay, tiyapuy.
kayapi, k'allapa, k'allapi	<i>s.</i> Camilla. Parihuela.
kaykuna	<i>pron.</i> <i>dem.</i> <i>pl.</i> Éstos, éstas.
kayman	<i>adv.</i> A este lugar. || Kaypi. Acá. En este lugar.
kayman	<i>s.</i> <i>Zool.</i> Caimán. Saurio de los ríos de América, parecido al cocodrilo, de hocico más corto y ancho.
kaypi	<i>adv.</i> Acá. En este lugar. || A este lugar. Kayman.
kaytraw	<i>adv.</i> Acá. || Kaypi. Acá. En este lugar. || A este lugar. Kayman.
kichariq, kicharina	<i>adj. y s.</i> Abridor. Instrumento que abre.
kichariy, kichay, ichilliy	<i>tr.</i> Abrir. || <i>prnl.</i> Abrirse la flor. Phanchiy, phanchay.
kichasqa rimanpa	<i>Fon.</i> Vocal abierta.
kichasqa, kicha	<i>adj.</i> Abierto.
kichay, kichariy, ichilliy	<i>tr.</i> Abrir. || <i>prnl.</i> Abrirse la flor. Phanchiy, phanchay.
kichay, llat'ay	<i>tr.</i> Descubrir, destapar. || Destapar. Quitar la tapa. Kirparay.
kikillan	<i>s.</i> Sinonimia. Igual no más.
kikin, suf	-pacha. <i>adj.</i> Mismo, -ma. Que indica ser una persona o cosa la propia de que se trata.
kikin	<i>adj.</i> Idéntico, -ca. Exactamente igual.
kikin	<i>adj.</i> Igual. De la misma naturaleza o cantidad. || Parejo. Khuska.
kikin	<i>adj.</i> Propio, -pia. Mismo.
kikin	<i>adj. y s.</i> Sinónimo.
kikinchay, masichay	<i>tr.</i> Asemejar. Representar una cosa como semejante a otra.
kikinchay	<i>tr.</i> Comparar, equiparar.
kikinchay	<i>tr.</i> Identificar. Hacer que dos o más cosas que en realidad son distintas aparezcan y se consideren como una misma.
kikinchay	<i>tr.</i> Igualar. Poner al igual. || Allanar. Khuskachay.
kikiqay	<i>tr.</i> Copiar.
killa wañuy	<i>s.</i> Novilunio, fase de conjunción de la luna con el sol.
killa	<i>s.</i> Luna. || Luna llena. Pura killa. || Luna nueva. Unu killa. || Cuarto creciente. Chawpi killa. || Cuarto menguante. Wañu killa.
killa	<i>s.</i> Mes. Cada una de las doce partes en que se divide el año.Qhaqmiy killa. Enero.Jatun puquy killa. Febrero.Pacha puquy killa. Marzo.Ariwaki killa. Abril.Aymuray killa. Mayo.Jawkay kuskiy killa. Junio.Chakra qunakuy killa.Inti raymi killa. Julio.Chakra yapuy killa. Agosto.Tarpuy killa. Septiembre.Pawqar wara killa. Octubre.Aya marq'ay killa. Noviembre.Qhapaq inti raymi killa.Qhapaq raymi killa. Diciembre.
killachaw	<i>s.</i> <i>neol.</i> Lunes.
killaka	<i>adj.</i> Lunado, que tiene figura de media luna.
killaku kay, mich'a kay	<i>s.</i> Mezquindad. Avaricia.
killaku, mich'a	<i>adj.</i> Mezquino, -na. Avaro, tacaño.
killariy	<i>impers.</i> Despuntar la luna, acrecentarse más. || Alumbrar la luz lunar.
killay	<i>intr.</i> Alumbrar la luna en la noche.
killi, q'aytuncha, q'iqu	<i>s.</i> Fleco. Adorno de hilos colgantes.
killi	<i>s.</i> Franja, tira, lista.
killi	<i>s.</i> Ribete. Cinta que refuerza el borde de una cosa.
killiskachi	<i>s.</i> Funcionario encargado de capturar a los nobles en casos de haber estos quebrantado alguna ley (JAL).
killiy	<i>tr.</i> Ribetear, poner ribetes. || Enflecar, poner flecos.
kilu (	<i>s.</i> Kilo. Kilogramo.
kimra	<i>adj.</i> Amplio. Extenso, dilatado. || Ancho. Miqa.
kimran	Manya, waqta, waqtira, chiru. <i>s.</i> Costado. Flanco, lado.
kimray, kinray	<i>s.</i> Anchura, latitud.
kimray	<i>adj.</i> Ancho.
kimsa chunka	<i>adj.</i> Treinta. Tres veces diez.
kimsa k'uchu	<i>s.</i> Triángulo. Figura que consta de tres ángulos.
kimsa ch'iku	<i>Gram.</i> Puntos suspensivos.
kimsachay	<i>tr.</i> Triplicar. Hacer tres veces una misma cosa.
kimsañiqi, kinsañiqin	<i>adj.</i> Tercero, -ra.
kimsañiqin	<i>adj. y s.</i> Tercero, -ra. Que sigue en orden al o a lo segundo.
kincha	<i>s.</i> Seto, tabique de cañas, empalizada.
kinchamali	<i>s.</i> Herbolario inca de este nombre, y planta que lleva su nombre (JAL).
kinchaw	<i>s.</i> Especie de cancel de caña u otro material con que se divide una habitación.
kinchay	<i>tr.</i> Hacer seto o tabique de cañas. || Empalizar.
kinran	Manya, waqta, waqtira, chiru. <i>s.</i> Costado. Flanco, lado.
kinray, KIMRAY	Anchura (<i>sinón:</i> Latitud).
kinray, KIMRAY	<i>s.</i> Ladeo, acción de ladear o inclinarse a un lado.
kinray, KIMRAY	<i>s.</i> Ladera. Declive lateral de un monte. || Falda de colina o cerro. Qhata (JAL).
kinray, KIMRAY	<i>tr.</i> Ladear, inclinar o torcer a un lado, poner una cosa lateralmente. || <i>intr.</i> Ladearse, inclinarse de lado, ponerse de costado. || Andar por laderas.
kinsa, KIMSA	<i>adj.</i> Tres.
kintu	<i>s.</i> Racimo. Conjunto de frutas que pende de un eje común. || Racimo de banano. Wayunka, chuqllunka.
kintukuy	<i>prnl.</i> Arracimarse. Unirse algunas cosas en forma de racimo.
kintuy	<i>intr.</i> Echar racimos una planta. || Prender los racimos en su rama.
kinuwa, KINWA	<i>s.</i> Quinua (<i>&lt;Q</i>).
kipi (	<i>s.</i> Kepis. Quepis, kepí, gorro militar.
kipu, KHIPU	<i>s.</i> Matemática.
kiriku, qhilla, qilla	<i>adj. y s.</i> Ocioso, -sa. Que no trabaja, flojo, perezoso, poltrón, haragán.
kirkichakuy	<i>prnl.</i> Encapricharse, ponerse caprichoso.
kirkiña	<i>s.</i> Planta de la familia de las compuestas. Es aromática y se emplea como condimento culinario.
kirpa, kirpana	<i>s.</i> Tapa. Pieza que cierra por encima objetos de boca ancha.
kirpana, kirpa	<i>s.</i> Tapa. Pieza que cierra por encima objetos de boca ancha.
kirparay	<i>tr.</i> Destapar. Quitar la tapa. || Descubrir, destapar. Kichay, llat'ay.
kirpay	<i>tr.</i> Tapar. Poner tapa.
kiru aycha, lluch'a	<i>s.</i> Encía. Carne que rodea la dentadura.
kiru nanay	<i>s.</i> Dolor de muela.
kiru pichana	<i>s.</i> Cepillo dental.
kiru qhipa	<i>adj. y s.</i> Alveodental.
kiru sik'iq	<i>adj. y s.</i> Dentista.
kiru	<i>s.</i> Diente. Órgano óseo de la masticación.
kirup patan	<i>Fon.</i> Palatal.
kirusin, kirusina (	<i>s.</i> Kerosén. Queroseno. Petróleo refinado y destilado.
kisa, itapallu, itana	<i>s.</i> Ortiga. Planta urticácea.
kiska, khiska, khichka	<i>s.</i> Espina. Púa vegetal.
kisma, aqi	<i>s.</i> Suegra.
kiswar	<i>s.</i> Álamo, árbol salicíneo, cuya madera es según las especies a que pertenece.
kiti (JL)	K'iti. <i>s.</i> Lugar. || Quito.
kitu	<i>s.</i> Pequeña paloma muy parecida a la tortolilla que vive en las tierras altas.
kiwa, ch'iki	<i>s.</i> Pasto (JL). Forraje, hierba.
kiwachi	<i>s.</i> Suegra respecto de la nuera.
kiway	<i>tr.</i> Recoger forraje.
kiwi	<i>s.</i> Un ave parecida a la perdiz.
kiwiqay (JL)	Apuykachay. <i>tr.</i> Dominar. Ejercer dominio.
kuchu, KHUCHU	<i>s.</i> Corte, cortadura. Arte y acción de cortar.
kuchuch, kuchuchu	K'ukuchu. <i>s.</i> Codo. Parte posterior y prominente de la articulación del brazo con el antebrazo.
kuchuna, KHUCHUNA	<i>s.</i> Cualquier instrumento cortante o para cortar. || Cuchillo. Tumi.
kuchusqa, KHUCHUSQA	<i>p.p.</i> Cortado.
kuchuy, KHUCHUY	<i>tr.</i> Cortar. Separar una cosa con un instrumento afilado. || Cortar cabellos. Rutuy, ruthuy. || Cortar las mieses o la hierba. Ruthuy. || Cortar con tijeras. Khuchuy. || Cercenar, mutilar. Qhuruy. || Cortar la pulpa de la carne. Mat'ay.
kuka	<i>s.</i> Coca.
kukayu	<i>s.</i> Provisión de coca en ración.
kuki	<i>s.</i> Comején. Termes.
kuku	<i>s.</i> Duende, fantasma.
kukuma	<i>s.</i> Mazorca de maíz seco y asado (JAL).
kukupa	<i>s.</i> Lividez, amoratamiento producido por el frío intenso.
kukupay	<i>tr. e intr.</i> Poner lívido, amoratar el frío intenso.
kukupin, k'iwicha, k'iwchan	<i>s.</i> <i>Anat.</i> Hígado. Glándula digestiva de gran tamaño y de funciones muy complejas, que se encuentra en todos los vertebrados.
kukhi, qarapati, qarap'ati	<i>s.</i> Caspa. Escama del cuero cabelludo.
kulla	<i>s.</i> <i>pl.</i> Cosquillas. Sensación que provoca la risa. || Sentir cosquillas. Kullakuy.
kullachay, ruq'ay	<i>tr.</i> Beneficiar la tierra para el cultivo. || Wanuchay. <i>tr.</i> Abonar. Echar en tierra laborable materias que aumenten su fertilidad.
kullachiy, kullariy	<i>tr.</i> Cosquillear. Hacer cosquillas.
kullakuy	<i>prnl.</i> Sentir cosquillas.
kullana, llamkhana	<i>s.</i> Sentido del tacto.
kullancha	<i>s.</i> Nasa. Arte de pesca, formada por un cilindro de juncos, alambres plásticos o carrizos.
kullaq, khullaq	<i>adj. y s.</i> Cosquilloso. || <i>fig.</i> Sensitivo, que excita la sensibilidad.
kullay, khullay	<i>intr.</i> Sentir cosquillas.
kullay, khullay	<i>s.</i> Cosquilleo, sensación de cosquillas.
kullay, khullay	<i>tr.</i> Hacer cosquillas. || Palpar. Tocar conlas manos para percibir por el tacto. Llamiy, llankhay, llukchiy.
kullcha, wanu, amu, ruq'a	<i>s.</i> Abono. Sustancia con que se abona la tierra.
kullchay	<i>tr.</i> Abonar, fertilizar la tierra para el cultivo.
kulli	<i>adj. y s.</i> Morado, -da. De color entre carmín y azul.
kullichay, kulliyachiy	Saniyachiy. <i>tr.</i> Amorotar. Poner o volver morado. || <i>prnl.</i> Amoratarse. Kulliyay, saniyay.
kulliyay, saniyay	<i>prnl.</i> Amoratarse. || Amoratar. Poner o volver morado. <i>tr.</i> Kullichay, kulliyachiy. Saniyachiy.
kullku	<i>s.</i> Cuculí, especie de paloma de color ceniza que vive en las tierras del altiplano.
kulluja	<i>s.</i> Lote o camellón que se concede a los pobres para cosechar (JAL).
kulluna (JL)	<i>s.</i> Jofaina de arcilla. || Jofaina. Vasija de gran diámetro y poca profundidad, que sirve principalmente para lavarse la cara y las manos. Llata, armaka.
kulluna	<i>s.</i> Silo para troje bajo tierra.
kullunay	<i>tr.</i> Guardar productos agrícolas en troje subterráneo.
kullunkay	<i>tr.</i> Augurar contratiempos, confiar en superar contratiempos.
kumana	<i>s.</i> Lanzadera. Instrumento de telar para pasar la trama por la urdimbre.
kumpa (	<i>s.</i> Compañero, -ra. || Amigo. Atillcha, sukna.
kumpa	<i>s.</i> Almádena. Mazo de hierro con mango largo, para romper piedras.
kumpay, maray, urmachiy	<i>tr.</i> Tumbar. Derribar.
kumpay	<i>tr.</i> Golpear y destrozar una cosa sólida con el combo o almádena.
kuna, kunay, suchi	<i>s.</i> Encargo. Lo encargado, remesa.
kuna	<i>s.</i> Encargo, mandado. || Comisión.
kunachiy, kunay	<i>tr.</i> Encomendar. Encargar. || Remitir, enviar. Suchiy, apachiy.
kunan pacha	<i>adv.</i> Actualmente. En el tiempo presente. Ahora mismo.
kunan p'unchaw, kunan	<i>adv.</i> Hoy. En el presente día. // Desde hoy nos conoceremos: Kunanmanta riqsinakusunchik.
kunan, kunan p'unchaw	<i>adv.</i> Hoy. En el presente día. // Desde hoy nos conoceremos: Kunanmanta riqsinakusunchik.
kunan, kunanpa	<i>adj.</i> Actual. Presente.
kunan	<i>adv.</i> Ahora.
kunawa, yuyay quq	<i>adj. y s.</i> Consejero, -ra. El que aconseja.
kunay, kunachiy	<i>tr.</i> Encomendar. Encargar. || Remitir, enviar. Suchiy, apachiy.
kunay, k'amiy, anyay	<i>tr.</i> Reprender. Corregir, amonestar a uno.
kuncha	<i>s. m.</i> Sobrino de varón. || <i>s.</i> Sobrino, -na. Hijo o hija de la hermana o del hermano. Mulla. || Sobrino o sobrina de las primas y de las tías paternas. Mulla (JAL).
kunka qhuruy, umannay, qhuruy, qhuruchiy, muruy	<i>tr.</i> Decapitar. Cortar la cabeza.
kunka	<i>fig.</i> <i>s.</i> Voz. Sonido que el aire expelido de los pulmones produce en la laringe.
kunka	<i>s.</i> <i>Anat.</i> Cuello. Parte del cuerpo que une la cabeza con el tronco.
kunka	<i>s.</i> <i>fig.</i> Garganta, voz del hablante o cantante.
kunka	<i>s.</i> Pescuezo. Parte del cuerpo desde la nuca hasta el tronco.
kunkasapa, suni kunka	<i>adj.</i> Cuellilargo, -ga.
kunti	Inti chinay. <i>s.</i> Oeste. Occidente, poniente.
kunti	<i>s.</i> Occidente. Oeste, poniente.
kuntisuyu	<i>s.</i> Región oeste. Territorio que ocupa la parte occidental del Tawantinsuyu.
kuntu, q'apachi, quntu	<i>s.</i> Perfume. Aroma.
kuntu, q'apay	<i>s.</i> Fragancia. Olor suave y delicioso.
kuntuchiy, q'apachiy, quntuchiy	<i>tr.</i> Perfumar. Dar un buen olor.
kuntur, mallku (	<i>s.</i> Cóndor (<i>&lt;A-Q</i>).
kunturillu	<i>adj.</i> De color blanquinegro. Se refiere solamente a animales. Kunturillu waka: vaca blanquinegra (JH).
kuntuy, q'apachiy	<i>tr.</i> Aromatizar. Dar aroma a alguna cosa.
kunuñunu, kunununu	<i>s.</i> Trueno. Ruido producido en las nubes por una descarga eléctrica.
kunuñunuy, kunununuy	<i>impers.</i> Tronar. Haber o sonar truenos.
kunya	<i>s.</i> Llamarada impetuosa del fuego.
kuraka	<i>s.</i> Gobernador principal de una provincia en el Tahuantinsuyo (JL).
kuraq ayllu	<i>s.</i> Conjunto de varias familias. || Familia. Ayllu. || Conjunto de consanguíneos. Yawar masi.
kuraq kaynin, ancha kaynin, yallin	<i>s.</i> Demasía. Exceso.
kuraq mama umu	<i>s.</i> Abadesa. Superiora en ciertas comunidades religiosas.
kuraq umu wasi	<i>s.</i> Abadía. Monasterio regido por un abad o una abadesa.
kuraq umu	<i>s.</i> Abad. Dignidad superior de algunas colegiatas.
kuraq	<i>adj.</i> Mayor. // Hijo mayor: Kuraq wawa.
kuraq	<i>adj. y s.</i> Adulto.
kuraw	<i>s.</i> Viga, madero para armar techumbres.
kurku, ukhu	<i>s.</i> Cuerpo humano. || Cuerpo. Tronco. Kurku.
kurku	<i>adj.</i> <i>fig.</i> Fornido.
kurku	<i>s.</i> Tronco. Cuerpo humano o de cualquier animal, prescindiendo de la cabeza y las extremidades.
kurku	<i>s.</i> Viga. Madero largo y muy grueso.
kurku	<i>s.</i> Tronco. Tallo leñoso de las plantas arbustivas y árboles. || Madero. K'ullu.
kurqa	<i>s.</i> Asaduras, conjunto de las entrañas del animal.
kuru kuru	<i>s.</i> Regalar cosas menudas arrojándolas al público.
kuru, khuru, uru	<i>s.</i> Gusano. // Gusano acuático:Yaku khuru. || Lombriz de tierra. K'uyka, sillwi khuru.
kurur, murq'u	<i>s.</i> Ovillo. Bola de hilo, lana, etc.
kururuy, khiwiy	<i>intr.</i> Ovillar. Hacer ovillos.
kururuy, khiwiy	<i>tr.</i> Devanar. Disponer el hilo en ovillos.
kusa	<i>adj.</i> Aplícase al alimento vegetal asado al rescoldo.
kusa	<i>adj.</i> Muy bueno.
kusa	<i>adv.</i> Muy bien.
kusaq, sumaq, misk'i	<i>adj.</i> Agradable. Que agrada.
kusay	<i>tr.</i> Asar alimentos vegetales al rescoldo.
kusi kusi	<i>s.</i> Araña. Arácnido que segrega un hilo sedoso.
kusi kusilla, kusilla	<i>adv.</i> Alegremente.
kusi qillpu, sami, qillpu, ataw	<i>s.</i> Dicha. Ventura, suerte feliz.
kusi qillpu	<i>s.</i> Gloria. Bienaventuranza. || Dicha, ventura, felicidad. Qillpu.
kusi, chama	<i>s.</i> Alborozo. Muestras de gran regocijo.
kusi, kusisqa	<i>adj.</i> Contento, -ta. Alegre, satisfecho.
kusi, qapa, chama	<i>s.</i> Alegría. Júbilo, contento.
kusi, q'uchu	<i>s.</i> Regocijo. Júbilo.
kusi, sami, qillpu, ataw	<i>s.</i> Ventura. Felicidad, dicha.
kusi, sami	<i>s.</i> Contento. Alegría, satisfacción.
kusi	<i>adj.</i> Feliz. Que tiene felicidad. || Alegre, contento. Kusisqa.
kusichiy, chamachiy	<i>tr.</i> Alborozar. Causar gran placer o alegría. || <i>prnl.</i> Alborozarse. Chamay, chamakuy, kusikuy.
kusichiy, qapachay	<i>tr.</i> Alegrar. Causar alegría. || <i>prnl.</i> Alegrarse. Kusikuy, qapakuy.
kusikuy, kusi kay	<i>s.</i> Felicidad. Satisfacción del ánimo. || Dicha, ventura. Sami, qillpu, ataw.
kusikuy, qapakuy	<i>prnl.</i> Alegrarse. || Qapachay, kusichiy. <i>tr.</i> Alegrar. Causar alegría.
kusilla, kusi kusilla	<i>adv.</i> Alegremente.
kusinnaq, qhincha	<i>adj.</i> Aciago. Infausto, de mal agüero.
kusirichikuy	<i>tr.</i> Deleitar. Complacer.
kusirikuy, q'uchukuy, jawkay, jawkakuy	<i>prnl.</i> Divertirse, regocijarse, recrearse. || Esparcirse. Extenderse por todas partes lo que más antes estaba junto. Ch'iqiy, ch'iqiriy.
kusisqa	<i>adj.</i> Alegre, contento. || Feliz. Que tiene felicidad. Kusi.
kuska, KHUSKA, khuchka	<i>adj.</i> Parejo, -ja. Igual, llano.
kuskachay, KHUSKACHAY, pampayachiy, kuchkachay	<i>tr.</i> Nivelar. Poner plano o parejo.
kuskachay, khuskachay, kuchkachay	<i>tr.</i> Aparear. Ajustar una cosa con otra, de forma que queden iguales. Igualar. || Separar por parejas. Yananchay. || Hacer o formar pareja. Pituchay. || Unir una cosa con otra formando par. T'inkiy, k'intiy.
kuskan, khuskan, khuchkan	<i>adj. y s.</i> Mitad, parte que resulta de una división igual. || Mediodía. Centro. Chawpi.
kuskan, khuskan, khuchkan	<i>s.</i> Mitad. Cualquiera de las dos partes iguales de un todo.
kuskanachiy, KHUSKANACHIY, kuskapuray, khuchkanachiy	<i>tr.</i> Yuxtaponer. Poner una cosa junto a otra o inmediata a ella.
kuskapuray, KHUSKAPURAY, kuskanachiy, khuchkapuray	<i>tr.</i> Yuxtaponer. Poner una cosa junto a otra o inmediata a ella.
kuski, chakma	<i>s.</i> Roturación de la tierra. || Barbecho. Tierra de labor que no se siembra durante uno o más años. Uqharisqa jallp'a.
kuskiy, chakmay	<i>tr.</i> Barbechar. Arar la tierra.
kuskuy	<i>tr.</i> Esmaltar, matizar. || Pintar.   Representar con colores. Llimphiy, llimp'iy.
kuskuy	<i>tr.</i> <i>fig.</i> Esmaltar. Matizar. Adornar de varios colores y matices una cosa.
kusma	<i>s.</i> Camisa de mujer.
kutakipay	<i>tr.</i> Moler ligeramente, sin triturar mucho.
kutama	<i>s.</i> Bolsa o saco grande, costal. || Bolsa. Talega, saquillo. Wayaqa. || Bolsa pequeña para llevar coca. Ch'uspa.
kutana, tunay, tunaw, maran uña	<i>s.</i> Piedra en forma de media luna con que se muele sobre la piedra plana llamada maran.
