Árbol de guapomó	Que crece en los llanos orientales de Bolivia. <font color=ForestGreen><b>bot.s.:</b></font> A'gi
¡Bésense!	<font color=ForestGreen><b>vtr.imper.:</b></font> Atsukka
Tela	Tejido hecho con fibras textiles, fabricado en un telar o a máquina, que se utiliza para confeccionar ropa, hacer labores, forrar diversos objetos, etc. <font color=ForestGreen><b>n.f.:</b></font> Attaji
¿Están con hipo?	Preguntar si están afectados ante el movimiento convulsivo e involuntario del diafragma que se va repitiendo a intérvalos. <font color=ForestGreen><b>n.m.interrog.pl.:</b></font> ¿Atuk'o?
Forzudo/a	Persona que tiene gran fuerza física. <font color=ForestGreen><b>adj.n.f.m.:</b></font> Atukroo'o
Fuerza	Capacidad física para realizar un trabajo o un movimiento. <font color=ForestGreen><b>n.f.:</b></font> Atúmewo
Reforzarse	Añadir nuevas fuerzas físicas mediante el alimento o bebida. <font color=ForestGreen><b>vtr.:</b></font> Atúmewina
Sus cuchillos	<font color=ForestGreen><b>adj.dem.:</b></font> ¿Atumra? <font color=purple>/</font> atumra
¡Pónganse de pie!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Atup'egia
Sus dones	Cualidad o habilidad que alguien posee. <font color=ForestGreen><b>adj.:</b></font> Atup'o
¡Cuenten!	Numerar uno por uno los objetos o los grupos de objetos de un conjunto para determinar su cantidad. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Atúpacha
¿Ya contaron?	<font color=ForestGreen><b>vtr.interrog.pl.:</b></font> ¿Atupachopka?
Su cargo	Función de la cual una persona(s) tiene la responsabilidad en una organización, un organismo o una empresa. <font color=ForestGreen><b>n.m.adj.dem.:</b></font> Atupara'o
¡Chóquenlo!	<font color=ForestGreen><b>vintr.imper.:</b></font> Atupchegia
Sus pechos	Zona externa y delantera correspondiente a una parte del cuerpo. <font color=ForestGreen><b>adj.dem.n.f.:</b></font> Atupo
Ir al rumbo	Ir por un camino o dirección. <font color=ForestGreen><b>vtr.:</b></font> Atuppuegia
¡Arrojen!	Lanzar con fuerza una cosa con la mano hacia una determinada dirección. <font color=ForestGreen><b>vtr.pl.imper.:</b></font> Atupsigia
¡Sáquenlo!	Persona que da orden de sacar un objeto o cosas. <font color=ForestGreen><b>vtr.imper.:</b></font> Ave'a
¡Tienen que sacarlo!	Orden a un grupo sacar animales u objetos <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ave'ajno
¿Lo sacaron?	<font color=ForestGreen><b>vtr.interrog.:</b></font> Ave'po
Zafar la soga de la cabeza de un animal	<font color=ForestGreen><b>vtr.:</b></font> Avechjusgia
¡Pelen la fruta!	Quitar la piel, la cáscara, la corteza o la envoltura de una fruta. <font color=ForestGreen><b>vtr.imper.:</b></font> Avejcho'igia
¡Descascaren el palo!	Quitar la cáscara a una cosa, en especial la de un árbol. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Avejchogie'a
¡Záfenlo!	Ayudar a liberarse de algo desagradable o de alguien molesto. <font color=ForestGreen><b>vintr.pron.imper.:</b></font> Avejchu'a
¡Tráiganlo!	Orden de una persona a otras de traer una cosa u objeto. <font color=ForestGreen><b>vtr.imper.:</b></font> Avejna
¡Deberían traerlo!	Suposición o posibilidad de que tienen que traer algún objeto. <font color=ForestGreen><b>vtr.imper.:</b></font> Avejnaa'ini
¿Ya lo trajeron?	<font color=ForestGreen><b>vtr.interrog.:</b></font> ¿Avejnoripo?
¡Cosechen!	Orden de cosechar frutas de la planta. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Avejtaka
¡Québrenlo el gajo!	Desgajar una rama del árbol. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Avechtawocha
¡Vaciénlo!	Ordenar sacar el contenido de un recipiente o lugar, o verterlo en otra parte. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Avek'a
¡Desensíllenlo!	Ordenar quitar la silla de montar a un caballo u otra caballería. <font color=ForestGreen><b>vtr.imper.:</b></font> Avekgiecha
¡Desháganlo!	Orden de una persona a un grupo de deshacer, un lugar, como vivienda o pascana. <font color=ForestGreen><b>vtr.imper.:</b></font> Avettaka
Abadesa	Mujer adulta y viuda que se encarga de la limpieza de la iglesia. <font color=ForestGreen><b>n.f.:</b></font> Awaresa
¡Mandenlo!	Persona que ordena a otra persona para un mandado. <font color=ForestGreen><b>vtr.imper.sing.:</b></font> Awonigia
Agosto	Octavo mes del año. <font color=ForestGreen><b>n.m.:</b></font> Awosto
Son conversadores	Personas que tienen la facultad de hablar bien con fluidez. <font color=ForestGreen><b>adj.n.f.m.pl.:</b></font> Awoyora'i
¡Se pasaron!	Excederse al hacer algo. <font color=ForestGreen><b>v.prnl.pl.imper.:</b></font> Awoyuchpo
¡Vayan!	Orden a un grupo de que tienen que ir a algún lugar. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ayana
¡Descansen!	Orden de hacer una pausa en el trabajo o en otra actividad para recuperar fuerzas. <font color=ForestGreen><b>vintr.imper.pl.:</b></font> Ayópapo
¡Apúrense!	Meter prisa a un grupo de personas en ejecutar algo con urgencia. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ayoyuchapo
¡Súnchenlo!	Ordenar clavar un objeto puntiagudo o punzante en una superficie o persona. <font color=ForestGreen><b>vtr.imper.:</b></font> Ayuchchegia
Su cerco	<font color=ForestGreen><b>pron.dem.:</b></font> Ayuchmo
¡Dispárenle!	Orden de una persona a un grupo disparar a un animal o persona. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ayúka
¡Ensarten!	Atravesar una cosa con un objeto acabado en punta: ensartar pescado, chaquira, semilla u otro objeto. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ayukjoka
¡Escóndanlo!	Poner una cosa o a una persona en un lugar en el que no pueda ser vista. <font color=ForestGreen><b>vtr.imper.sing.:</b></font> Ayumruka
¡Pónganle soporte!	Orden de colocar soporte a un objeto, árbol, cerco que se está por caerse. <font color=ForestGreen><b>vtr.imper.:</b></font> Ayupcha
Su cántaro	<font color=ForestGreen><b>adj.poses.:</b></font> Ayupi
Su batidora	<font color=ForestGreen><b>adj.poses.:</b></font> Ayuprora
Su singa	<font color=ForestGreen><b>adj.poses.:</b></font> Ayupuiigi
Clavar algo con punta en alguna cosa colgada	<font color=ForestGreen><b>vtr.:</b></font> Ayutawaka
¡Zunchar!	<font color=ForestGreen><b>vtr.imper.:</b></font> Ayutspegia
¡Complétenlo!	Orden de completar el trabajo, medida, peso, o volcar una canoa. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ayuutigia 
Que transmite una connotación negativa de desprecio o poco respeto	<font color=ForestGreen><b>adj.:</b></font> Aatattaji
¡Tóquenle!	Orden de tocar una puerta o ventana. <font color=ForestGreen><b>vtr.imper.:</b></font> Etaka
Tienen que saberlo	Afirmación de saber sobre un determinado mensaje o acontecimiento y decir a otras. <font color=ForestGreen><b>vtr.afirm.pl.:</b></font> Echa
¡Repitan!	Orden a un grupo de repetir acciones como lectura y aprendizaje. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Echaarijgia
Sus carnes	<font color=ForestGreen><b>adj.poses.:</b></font> Écheji
¡Córtenlo!	Orden a un grupo de cortar un árbol. <font color=ForestGreen><b>vtr.imper.:</b></font> Echka
Lo saben	Afirmación de saber un mensaje, comunicado <font color=purple>/</font> Puede funcionar como pregunta. <font color=ForestGreen><b>vtr.afirm.:</b></font> Echo
Objeto especial	preparado para personas en un acontecimiento especial. <font color=ForestGreen><b>adj.:</b></font> Échosi
¡Cuídenlo!	Orden un grupo para que cuiden una persona, objeto o animal. <font color=ForestGreen><b>vtr.imper.:</b></font> Echpojrigia
¡Cuídense!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Echpojrigiapo
¡Levántense!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Echpuka
¡Enlácenlo!	Persona que ordena aprisionar a un animal con un lazo: vaca, buey, caballo. <font color=ForestGreen><b>vtr.imper.:</b></font> Eesaka
¡Peguen la puerta!	Accionar el cerrojo o seguro de una puerta. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Eetaka
Pesadilla	Sueño desagradable que produce angustia, ansiedad, miedo o terror. <font color=ForestGreen><b>n.f.:</b></font> Eeye
¡Sientense!	<font color=ForestGreen><b>vtr.prnl.imper.:</b></font> Ejaka
¡Siéntense bien!	Orden de sentarse adecuadamente. <font color=ForestGreen><b>vtr.imper.adj.pl.:</b></font> Ejakagnenajicha
¡Despierten temprano!	Orden de despertar a temprana hora. <font color=ForestGreen><b>vtr.imper.pl.adv.:</b></font> Ejamigiawne
¡Buenos días!	Saludo por la mañana. <font color=ForestGreen><b>n.m.:</b></font> Ejamikpo
¡Siéntense en la cabeza!	Orden de una persona a otras de sentarse encima de la cabeza de un animal como toro, caballo. etc. <font color=ForestGreen><b>vtr.prnl.:</b></font> Ejasgia
¿Lo extrañan?	Pregunta a un grupo de personas si extrañan a otras personas del lugar. <font color=ForestGreen><b>vtr.interrog.:</b></font> ¿Ejepono?
Sus delitos	Acción contraria de una persona hacia la ley. <font color=ForestGreen><b>adj.dem.n.:</b></font> Ejiiwo
Sus errores	Afirmación de una persona a otras que sus acciones, ideas, opiniones, expresiones no están correctas. <font color=ForestGreen><b>adj.dem.n.:</b></font> Ejkojwo
Ubillo	Árbol que nace en región montañosa y que sirve para correas de amarre. <font color=ForestGreen><b>bot.n.m.:</b></font> Ejteeyeregi
Se huelen	Afirmación de percibir el olor que emana de una cosa o persona a través del olfato. <font color=ForestGreen><b>vtr.afirm.pl.:</b></font> Ejvemeko
Ventosidad	<font color=ForestGreen><b>n.m.:</b></font> Ejwako
Él	Es la forma del pronombre personal en tercera persona, en género masculino. <font color=ForestGreen><b>pron.pers.:</b></font> Ema
¡Conozcan!	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> Emoti
Ellos/ellas	Forma del pronombre personal en tercera persona del plural, en género masculino o femenino. <font color=ForestGreen><b>pron.pers.:</b></font> Eno
¡Échenlo!	orden de derramar tierra en un lugar determinado. <font color=ForestGreen><b>vtr.imper.:</b></font> Epraka
¡Échenle confite, arroz, serpentina!	Exclusivo de una boda. <font color=ForestGreen><b>vtr.imper.:</b></font> Eprasgia
Bejuco	Nombre genérico con que se designa a diversas especies de plantas tropicales de tallos largos, delgados y flexibles que se utilizan en la elaboración de tejidos de cestería y fabricación de muebles y cuerdas. <font color=ForestGreen><b>bot.n.m.:</b></font> Epre
Bejucal	Terreno lleno de bejucos. <font color=ForestGreen><b>adj.n.:</b></font> Epreji
Bejucal que se cría por encima de una chapapa	<font color=ForestGreen><b>bot.n.:</b></font> Epremo
Tienen asco	Sensación de desagrado que produce alguien o algo y que impulsa a rechazarlo. <font color=ForestGreen><b>n.m.pl.afirm.:</b></font> Epru
¡Beban!	Orden de una persona a otras beber agua, cerveza, chicha, refresco, etc. <font color=ForestGreen><b>vintr.imper.pl.:</b></font> Era
No lo molesten	<font color=ForestGreen><b>n.m.neg.:</b></font> Esamijrigia
Su chaco	<font color=ForestGreen><b>adj.dem.:</b></font> Ésane
Escuela / colegio	Institución destinada a la enseñanza, en especial la primaria, que proporciona conocimientos que se consideran básicos en la alfabetización. <font color=ForestGreen><b>n.f.:</b></font> Eskaera
Escalera	Estructura constituida por una sucesión de escalones que sirve para subir y bajar o para poner en comunicación dos superficies a distinto nivel. <font color=ForestGreen><b>n.m.:</b></font> Eskarera
¡Zambúllanse!	Orden de una persona a otras de que se metan al agua. <font color=ForestGreen><b>vtr.prnl.pl.:</b></font> Esmuka
¡Guasquéenlo!	Orden de dar uno o varios golpes a personas. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Estaka
Estancia	Establecimiento rural destinado a la producción agrícola o ganadera; suele componerse de una vivienda y una extensión de tierra. <font color=ForestGreen><b>n.f.:</b></font> Estas'io
¡Azoten!	Orden de una persona a otras de ahuyentar a ciertos insectos como ser moscas, mosquitos, etc. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Estasgia
Salpicar	Acción de lanzar la vara de pescar repetitivamente al agua para atraer a los peces. <font color=ForestGreen><b>vtr.:</b></font> Estatéko
Estera	Tejido de cogollo de motacú, hoja de chuchío, junquillo, etc. <font color=ForestGreen><b>n.f.:</b></font> Estera
¡Corten!	Orden de una persona a otras de talar árbol, cortar carne. <font color=ForestGreen><b>vtr.imper.:</b></font> Estigia
¡Corten palo o trocen!	Orden de una persona a otras de trozar un árbol, picar y hueso. <font color=ForestGreen><b>vtr.imper.:</b></font> Estirigia
Ella	Forma del pronombre personal en tercera persona del singular en género femenino. <font color=ForestGreen><b>pron.pers.f.:</b></font> Esu
¡Remojen!	Orden de una persona a otras para que remojen cuero, bolsa o ropa. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Etamu'egia
¡Dénle en la cabeza!	Orden de una persona a otras golpear en la cabeza a un animal con el fin de matarlo. <font color=ForestGreen><b>vtr.imper.:</b></font> Etasgia
¡Salten!	orden de una persona a otras de saltar. <font color=ForestGreen><b>vintr.imper.pl.:</b></font> Eteregia
Ustedes	Pronombre personal en plural en segunda persona. <font color=ForestGreen><b>pron.pers.pl.:</b></font> Eti
Un, una	Indica indeterminación al referirse a personas o cosas. det.indef.m.f.: Etna
Éso, Ésa	Indica una cosa no determinada que está cerca de la persona a la que se habla o en un lugar no muy alejado de la persona que habla o escribe.  <font color=ForestGreen><b>pron.dem.:</b></font> Eto.  <font color=purple>Ej1:</font> Dame eso que está sobre la mesa. <font color=purple>/</font> <font color=blue>Pyoma eto tyow'o te mesa.</font>  <font color=purple>Ej2:</font> Trae esa silla. <font color=purple>/</font> <font color=blue>Pyoma eto siya.</font>
¡Eso nomás!	Equivalen a oraciones que expresan un sentimiento vivo. <font color=ForestGreen><b>interj.:</b></font> Etochujcha
Uno	Es el primer número natural y también es el número entero que sigue al cero y precede al 2. <font color=ForestGreen><b>adv.num.:</b></font> Etona
¡Uno nomás!	Frase exhortativa coloquial de dar mayor énfasis algo. <font color=ForestGreen><b>interj.:</b></font> Etonarichu
Enumerar: un, uno, una	un fierro, un clavo, una flecha, aguja, anzuelo. <font color=ForestGreen><b>adv.cant.:</b></font> Etopa.  <font color=purple>Ej1.</font> Una aguja <font color=purple>/</font> <font color=blue>etopa priipa.</font>  <font color=purple>Ej2.</font> Un clavo <font color=purple>/</font> <font color=blue>etopa krawo.</font>
Debería ser eso/esa	Se utiliza cuando no esta satisfecho en alguna compra o negocio.  <font color=purple>Ej.</font> Debería ser esta vaca que hubieras comprado. <font color=purple>/</font> <font color=blue>Etori'ini pjoka waka jwachrigiari'ini.</font> <font color=ForestGreen><b>vtr.cond.:</b></font> Etori'ini
¡Eso nomás quiere!	Se utiliza para referirse a un animal que solo quiere comer, estar en un solo lugar, ya sea por gusto o por dañino.  <font color=purple>Ej.</font> El caballo eso nomas quiere comer. <font color=purple>/</font> <font color=blue>Etoyumja tawoo'o tanigia to kwoyu.</font> <font color=ForestGreen><b>interj.:</b></font> Etoyumja
¡Agáchense!	Orden de una persona a otras de que se agachen. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Etpuegia
¡Siembren!	Orden de una persona a otras de que siembren en su chaco. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ewka
¡Mezan!	Orden de una persona a otra de mecer la hamaca. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ewko
Plato	Utensilio para servir alimento comestible. <font color=ForestGreen><b>n.m.:</b></font> Krujo
Mantel	Pieza de tela, papel o plástico con que se cubre la mesa para comer. <font color=ForestGreen><b>n.m.:</b></font> Mantéresi
Sagrado	Que merece un respeto excepcional y no puede ser ofendido. <font color=ForestGreen><b>adj.:</b></font> Muemmo
Monte virgen	Monte, bosque, laguna, pampa, que no ha sido alcanzado por el hombre. <font color=ForestGreen><b>n.m.:</b></font> Myujto
Virginidad	Estado de la persona que es virgen, que no ha tenido nunca relaciones sexuales. <font color=ForestGreen><b>n.f.:</b></font> Mjoore, myutta
Violación	Delito que consiste en tener relaciones sexuales con una persona sin su consentimiento o con un consentimiento obtenido mediante la violencia o la amenaza. <font color=ForestGreen><b>n.f.:</b></font> Napikucha
¡Alineen!	Orden de sembrar, alambrar, postear en línea recta. <font color=ForestGreen><b>n.f.imper.pl.:</b></font> Nápikucha
Amor	Sentimiento de vivo afecto e inclinación hacia una persona o cosa a la que se le desea todo lo bueno. <font color=ForestGreen><b>n.m.:</b></font> Taemnarapi
Asilo	Lugar de acogida de ancianos. <font color=ForestGreen><b>n.m.:</b></font> Takomjírawo
Violador	Persona que comete una violación sexual, física y psicológica. <font color=ForestGreen><b>adj.m.:</b></font> Tapikúra'i
Apodo	Nombre que se da a una persona en vez del suyo propio y que, generalmente, hace referencia a algún defecto, cualidad o característica particular que lo distingue. <font color=ForestGreen><b>n.m.:</b></font> Tkiijaja'okre
Agua	Elemento líquido que es indispensable para la vida. <font color=ForestGreen><b>n.f.:</b></font> Une
Árbol o planta de tronco leñoso, grueso y elevado	que se ramifica a cierta altura del suelo formando la copa. <font color=ForestGreen><b>n.m.:</b></font> Wkugi
Hacha	Herramienta para cortar madera, en especial árboles y ramas, que consiste en una pieza de metal. <font color=ForestGreen><b>n.f.:</b></font> Eywoti
¡Miren, observen!	Mirar algo o alguien con atención y detenimiento para adquirir conocimiento. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Im'a
¡Vayan a verlo!	Orden de una persona a otras que vayan a ver.  <font color=purple>Ej.</font> Vayan ver la canoa. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Imojna
¡Muéstrenlo!	Exponer una cosa de manera que pueda ser vista. <font color=ForestGreen><b>vtr.imper.:</b></font> Imerigia
¡Muéstrenme!	<font color=ForestGreen><b>vtr.imper.:</b></font> Imechanu
¡Muéstrense!	Orden de una persona a otras para que se muestren en un lugar determinado. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Imerígiapo
¡Llámenme!	Orden de una persona a otras de que tienen que comunicarse con él o ella. <font color=ForestGreen><b>vtr.imper.:</b></font> Ich'anu
¡Llámalo!	Persona que ordena a otra a que convoque a cierta persona. <font color=ForestGreen><b>vtr.imper.:</b></font> Ich'a
¡Deténganse!	Orden de una persona a un grupo para que paren la actividad que están realizando. <font color=ForestGreen><b>vtr.prnl.imper.:</b></font> Ichigia
¡Deténganse inmediatamente!	Persona que ordena a otras que se detengan de inmediato. <font color=ForestGreen><b>vtr.prnl.imper.:</b></font> Ichígiapo
¡Tienen que revivir!	<font color=ForestGreen><b>vintr.imper.:</b></font> Itorigiapo
¡Lleguen!	Persona que sugiere a otras a que lleguen al lugar. <font color=ForestGreen><b>vintr. Imper.pl.:</b></font> Itekpa.  <font color=purple>Ej.</font> Lleguen a pescar a la laguna. <font color=purple>/</font> <font color=blue>Itekpa engia te kogiure.</font>
¡Tienen que llegar!	Orden de una persona a otras que tienen que llegar si o si al lugar. <font color=ForestGreen><b>cond.imper.pl.:</b></font> Itekpajnotse
¿Conocen?	Pregunta de la acción de conocer. <font color=ForestGreen><b>vtr.interrog.pl.:</b></font> ¿Imoti?  <font color=purple>Ej.</font> ¿Conocen el Instituto? <font color=purple>/</font> <font color=blue>¿Imoti to takarawo'irare?</font>
¡Gánenlo!	Ordenar ganar un concurso, juego, competencia, etc. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ito'aka
¿Perdieron?	Dejar de poseer determinada cosa a causa de alguna circunstancia. <font color=ForestGreen><b>vtr.interrog.pl.:</b></font> ¿Íto'a?
Sangre	Líquido, de color rojo en los vertebrados, que, impulsado por el corazón. <font color=ForestGreen><b>n.f.:</b></font> Iti
Comida exótica elaborada con sangre de la vaca	<font color=ForestGreen><b>n.f.:</b></font> Ítipa
¡Amárrenlo!	Atar o asegurar una cosa o persona por medio de cuerdas, cadenas, etc. <font color=ForestGreen><b>vtr.imper.:</b></font> Itipaka
Cabeza ensangrentado	Persona, animal que tiene la cabeza con sangre ya sea por alguna herida. <font color=ForestGreen><b>adj.:</b></font> Ítisi
Ensangrentado	Exclusivo para persona, animal manchado de sangre. <font color=ForestGreen><b>adj.:</b></font> Itiripo
Agua ensangrentada	<font color=ForestGreen><b>adj.:</b></font> Ityomo
Espacio o piso manchado de sangre	<font color=ForestGreen><b>adj.:</b></font> Ichchoropa'i
Manechi	Nombre genérico con que se designa a cualquiera de los primates oriundos del Beni. <font color=ForestGreen><b>zool.n.m.:</b></font> Ichi
Gusano burro	Gusano venenoso que es peludo de diferentes colores. <font color=ForestGreen><b>zool.n.m.:</b></font> Ichijiyo'o
¡Terminen!	Orden de terminar un trabajo o actividad. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ita
¡Termínenlo ya!	Orden de terminar de inmediato la actividad o trabajo. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Itapo
Mono Martín	Mamífero que habita en las selvas del oriente, Chaco y Amazonía. <font color=ForestGreen><b>zool.n.m.:</b></font> Iyo
¡Visiten!	Persona que ordena a otras que vayan a visitar. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Imorigia
¡No dejen de mirar!	<font color=ForestGreen><b>adv.neg.imper.pl.:</b></font> Imooroka
¿Conocen?	<font color=ForestGreen><b>vtr.interrog.pl.:</b></font> IImoti
¿Lo vieron?	<font color=ForestGreen><b>vtr.interrog.:</b></font> Im'o
¿Ya lo vieron?	<font color=ForestGreen><b>vtr.interrog.:</b></font> Im'oripo
¿Tienen que cuidarlo?	<font color=ForestGreen><b>vtr.interrog.:</b></font> Im'ajnotsero
¡Envuélvanlo!	Cubrir completamente una cosa o a una persona rodeándola o ciñéndola con algo. <font color=ForestGreen><b>vtr.imper.:</b></font> In'oka
¡Háganle entender!	<font color=ForestGreen><b>vtr.imper.:</b></font> Imnekpa
¡Pónganse a envolver!	Orden para que se pongan a envolver como ser: encomienda, alimento, etc. <font color=ForestGreen><b>vtr.imper.:</b></font> In'origia
¿Ya lo envolvieron?	<font color=ForestGreen><b>vtr.interrog.:</b></font> In'okripo
No se olviden de envolverlo	Encargo por otra persona de que tienen que envolver algo. <font color=ForestGreen><b>vtr.cond.:</b></font> In'okajnotsero
¿Lo enrollaron?	<font color=ForestGreen><b>vtr.interrog.:</b></font> In'okpo
¡Báñenme!	Persona que solicita que lo bañen. <font color=ForestGreen><b>vtr.prnl.imper.:</b></font> Ikchanu
¡Báñenlo!	Orden de una persona a otra para bañen a una persona o animal. <font color=ForestGreen><b>vtr.imper.:</b></font> Ikcha
¡Échenle agua a su cuerpo!	<font color=ForestGreen><b>vtr.imper.:</b></font> Ikcho'oka
¿Terminaron de hablar?	<font color=ForestGreen><b>vtr.interrog.pl.:</b></font> Itempo
¿Ya dejaron de hablar?	<font color=ForestGreen><b>vtr.interrog.pl.:</b></font> Itemripo
¿Entendieron?	<font color=ForestGreen><b>vtr.interrog.pl.:</b></font> Itemchoripo
¿Están carpiendo?	Limpiar o sacar hierba inútil o perjudicial. <font color=ForestGreen><b>vtr.interrog.pl.:</b></font> Iso'o
¿Ya están carpiendo?	<font color=ForestGreen><b>vtr.interrog.pl.:</b></font> Iso'oripo
Certificado de Bautismo	Documento o escrito en el que se certifica o da por verdadera una cosa. Bautizado en una religión. <font color=ForestGreen><b>adj.:</b></font> Ikchosi
¿Están regando?	<font color=ForestGreen><b>vtr.interrog.pl.:</b></font> Ikchoriko
¡Bailen!	Orden de que tienen que bailar o danzar. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Iimuigia
Ponerse apodos	Poner un nombre o un apodo a una persona, animal o cosa. <font color=ForestGreen><b>vtr.afirm.:</b></font> Iijajakwo
¡Enseñenlo!	<font color=ForestGreen><b>vtr.imper.:</b></font> Imitka
¡Duerman!	Orden para que reposar. <font color=ForestGreen><b>vtr.imper.:</b></font> Imka
Sus suegros	<font color=ForestGreen><b>adj.dem.pl.m.:</b></font> Imchuko
Sus suegras	<font color=ForestGreen><b>adj.dem.pl.f.:</b></font> Imse
¡Aprendan!	Orden de que tienen que aprender. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Itka
¡Entiéndase!	Orden que tienen que llegar a un acuerdo o solución entre ellos. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Itkoka
¿Están tejiendo? / Están tejiendo.	Afirmación de que están tejiendo <font color=purple>/</font> Pregunta si están tejiendo. <font color=ForestGreen><b>vtr.interrog.afirm.pl.:</b></font> Itsmeriko <font color=purple>/</font> ¿Itsmeriko?
Cambiar frecuentemente	Orden de cambiar algo, como ser música, vestimenta, objeto. <font color=ForestGreen><b>vtr.imper.:</b></font> Itswowojigia
Cada rato cambian	Persona que afirma que cada vez o momento cambian como ser: vestimenta, comida, música. <font color=ForestGreen><b>vtr.adv.:</b></font> Itswowojiko
¡Amarren!	Atar o asegurar una cosa por medio de cuerdas. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Itinukcha <font color=purple>/</font> itnukcha
¿Van a terminar?	Interrogativo para saber si lo acabaran alguna actividad. <font color=ForestGreen><b>vtr.interrog.pl.:</b></font> Ittoo'oyre
¡Consigan algo!	Mandato de obtener algo que se pretende. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Itpapajgiapo
Tienen que conseguir algo	<font color=ForestGreen><b>vtr.cond.:</b></font> Itpapajkowyore
Lo tienen que poder / ¿Lo van a poder?	<font color=ForestGreen><b>vtr.cond.afirm.pl.:</b></font> Itrukyore
¡Cambien!	Entregar o cambiar algo al vendedor.  <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Itswocha
¡Muéstrenlo!	<font color=ForestGreen><b>vtr.imper.:</b></font> Imecha
¿Ya lo mostraron?	<font color=ForestGreen><b>vtr.interrog.:</b></font> Imechripo
Cambiar	Poner una cosa o una persona en el lugar o puesto de otra. <font color=ForestGreen><b>vtr.:</b></font> Itswojgia
Arcoíris	Banda luminosa con forma de arco que presenta los colores del espectro solar y aparece a veces en el cielo, debido a la refracción y reflexión de la luz del sol en las gotas de lluvia. <font color=ForestGreen><b>n.m.:</b></font> O'e
Urina	Animal silvestre de las pampas y selvas. <font color=ForestGreen><b>zool.:</b></font> Ona
Allá, allí	Indica de forma poco precisa un lugar alejado de la persona que habla y de la que ecucha. <font color=ForestGreen><b>adv.l.:</b></font> Onogi
Pica, pica	Planta. Existen dos tipos de plantas, que se encuentra en la Amazonia como también en la serranía y que sirve de medicina natural. <font color=ForestGreen><b>bot.:</b></font> Ótino
Hormigas negras	Insecto de color negro, tienen mal olor y caminan en grupo. Su aparición anuncia mal tiempo (lluvia). <font color=ForestGreen><b>zool.n.f.:</b></font> Ososori
Aquí	Indica el lugar en el que está la persona que habla o escribe, o un lugar próximo a él. <font color=ForestGreen><b>adv.l.:</b></font> Oni
Borochi	Animal silvestre de pampas. <font color=ForestGreen><b>zool.:</b></font> Okromo
¿Cuánto?	Introduce una pregunta sobre la cantidad, el tamaño, el número, etc. determ.num.interrog.: Oyna
¿Dónde estás?	Introduce una pregunta de lugar. <font color=ForestGreen><b>adv.l.interrog.:</b></font> Oyvi
Más acá	Indica de forma poco precisa el lugar donde se encuentra una persona. <font color=ForestGreen><b>adv.l.:</b></font> Oniye'e
¿Dónde es?	Persona que pregunta donde queda la dirección, ruta o lugar de una persona, objeto o cosas. <font color=ForestGreen><b>adv.l.interrog.:</b></font> Oypuka
Desprecio	Falta de aprecio hacia una persona o algún animal. <font color=ForestGreen><b>n.m.:</b></font> Oytataji
Jucumari	Personaje mítico de la selva. Similar a un hombre salvaje. <font color=ForestGreen><b>mit.:</b></font> U'ari
Capibara	Mamífero roedor. Animal silvestre de las pampas y ríos de mojos. <font color=ForestGreen><b>zool.n.m.:</b></font> Uchu
Agua	Elemento líquido y esencial para la supervivencia de toda la humanidad. <font color=ForestGreen><b>n.f.:</b></font> Une
