acjjz	<font color=#2E8B57>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=#FF8C00>ENG:</font> to herd
jalantiz	<font color=#2E8B57>ESP:</font> entrar en un sitio equivocado\n<font color=blue>AYM:</font> pantjasis mantaña\n<font color=#FF8C00>ENG:</font> to enter a place by mistake
jalarz	<font color=#2E8B57>ESP:</font> separar, apartar\n<font color=blue>AYM:</font> jalaraña, apartaña\n<font color=#FF8C00>ENG:</font> to separate
jaljiz	<font color=#2E8B57>ESP:</font> partir\n<font color=blue>AYM:</font> jaljaña\n<font color=#FF8C00>ENG:</font> to divide
jaljjtiz	<font color=#2E8B57>ESP:</font> divorciarse, separarse\n<font color=blue>AYM:</font> jaljtaña\n<font color=#FF8C00>ENG:</font> to divorce, to separate
jalnakz	<font color=#2E8B57>ESP:</font> correr de un lugar a otro, inquietarse\n<font color=blue>AYM:</font> jalnaqaña tannaqaña\n<font color=#FF8C00>ENG:</font> to run from one place to another, to worry
jalt'as	<font color=#2E8B57>ESP:</font> caer en algún problema sin culpa\n<font color=blue>AYM:</font> jalt'asiña, jaqt'asiña\n<font color=#FF8C00>ENG:</font> to have problems which are not your fault
jalz	<font color=#2E8B57>ESP:</font> moler con piedra redonda\n<font color=blue>AYM:</font> iyaña\n<font color=#FF8C00>ENG:</font> to mill with round stone
jalz	<font color=#2E8B57>ESP:</font> atropellar\n<font color=blue>AYM:</font> taqxataña\n<font color=#FF8C00>ENG:</font> to run over
jalzuri	<font color=#2E8B57>ESP:</font> vertiente\n<font color=blue>AYM:</font> jalsuri, uma jalsu\n<font color=#FF8C00>ENG:</font> spring (of water)
jalla	<font color=#2E8B57>ESP:</font> así\n<font color=blue>AYM:</font> jalla\n<font color=#FF8C00>ENG:</font> so
jalla nuz̈	<font color=#2E8B57>ESP:</font> es así\n<font color=blue>AYM:</font> jalla ukhama\n<font color=#FF8C00>ENG:</font> that's the way it is
jallc'a	<font color=#2E8B57>ESP:</font> débil de salud, delicado\n<font color=blue>AYM:</font> kanwa\n<font color=#FF8C00>ENG:</font> weak, frail
jallc'a	<font color=#2E8B57>ESP:</font> tímido\n<font color=blue>AYM:</font> jiwtawxaru\n<font color=#FF8C00>ENG:</font> timid
jamachaca	<font color=#2E8B57>ESP:</font> desconfiado\n<font color=blue>AYM:</font> jamachaka\n<font color=#FF8C00>ENG:</font> distrustful, suspicious
jamana	<font color=#2E8B57>ESP:</font> sobrio en la borrachera\n<font color=blue>AYM:</font> jan machjata, talu\n<font color=#FF8C00>ENG:</font> sober
jamana	<font color=#2E8B57>ESP:</font> persona que se amanece temprano\n<font color=blue>AYM:</font> sanuki\n<font color=#FF8C00>ENG:</font> early-riser
jamchi	<font color=#2E8B57>ESP:</font> producto para hacer chicha\n<font color=blue>AYM:</font> qunchu\n<font color=#FF8C00>ENG:</font> product to make chicha
jamchis	<font color=#2E8B57>ESP:</font> masticar comida para dar a las crías\n<font color=blue>AYM:</font> jamch'iña\n<font color=#FF8C00>ENG:</font> to chew food to give to children/offspring
jamilla = pjamilla	<font color=#2E8B57>ESP:</font> familia\n<font color=blue>AYM:</font> phamilya\n<font color=#FF8C00>ENG:</font> family
jamiri	<font color=#2E8B57>ESP:</font> el que da adivinanzas\n<font color=blue>AYM:</font> jamasaki\n<font color=#FF8C00>ENG:</font> person who tells riddles
jamp'ali	<font color=#2E8B57>ESP:</font> ala del sombrero\n<font color=blue>AYM:</font> jamp'ala lamp'a\n<font color=#FF8C00>ENG:</font> brim on hat
jampiz	<font color=#2E8B57>ESP:</font> embrujar\n<font color=blue>AYM:</font> jamp'iña, layqaña\n<font color=#FF8C00>ENG:</font> to bewitch, to cast a spell on
jamuziri	<font color=#2E8B57>ESP:</font> curandero\n<font color=blue>AYM:</font> qulliri\n<font color=#FF8C00>ENG:</font> traditional healer
jamz	<font color=#2E8B57>ESP:</font> adivinar\n<font color=blue>AYM:</font> jamasat qhanaña\n<font color=#FF8C00>ENG:</font> to predict, to guess
jananiz	<font color=#2E8B57>ESP:</font> apurarse\n<font color=blue>AYM:</font> apurasiña, jank'achasiña, laqaki\n<font color=#FF8C00>ENG:</font> to hurry
janchi	<font color=#2E8B57>ESP:</font> piel del cuerpo humano\n<font color=blue>AYM:</font> janchi\n<font color=#FF8C00>ENG:</font> human skin
janchuri	<font color=#2E8B57>ESP:</font> animal líder del grupo\n<font color=blue>AYM:</font> jañachu\n<font color=#FF8C00>ENG:</font> animal that's the leader of the group
jante	<font color=#2E8B57>ESP:</font> ¿no cierto?, ¿verdad?, ¿no ve?\n<font color=blue>AYM:</font> janti\n<font color=#FF8C00>ENG:</font> ...isn't it so?
janziz + janantiz	<font color=#2E8B57>ESP:</font> cambiar pañales\n<font color=blue>AYM:</font> janant k'irsuña\n<font color=#FF8C00>ENG:</font> to change diapers
jañintiz	<font color=#2E8B57>ESP:</font> gemido de camélidos\n<font color=blue>AYM:</font> jañi jañi\n<font color=#FF8C00>ENG:</font> bray of cameloids
jar	<font color=#2E8B57>ESP:</font> otro tiempo\n<font color=blue>AYM:</font> yaqha\n<font color=#FF8C00>ENG:</font> another time
jara	<font color=#2E8B57>ESP:</font> chiquero\n<font color=blue>AYM:</font> khuchi uta\n<font color=#FF8C00>ENG:</font> pigsty
jaraña	<font color=#2E8B57>ESP:</font> lugar donde tropas pasan la noche\n<font color=blue>AYM:</font> jaraña\n<font color=#FF8C00>ENG:</font> place where herds spend the night
jarc'az	<font color=#2E8B57>ESP:</font> proteger\n<font color=blue>AYM:</font> jark'asiña, jark'aña\n<font color=#FF8C00>ENG:</font> to protect
jariru	<font color=#2E8B57>ESP:</font> acompañante de la tropa que ayuda a cargar y guiar\n<font color=blue>AYM:</font> jariru, kumpañiri yanapt'iri\n<font color=#FF8C00>ENG:</font> person who accompanies a herd to help load and guide
jarjarz	<font color=#2E8B57>ESP:</font> estar con rabia/enojado\n<font color=blue>AYM:</font> kulirata, tiptata, tiputa\n<font color=#FF8C00>ENG:</font> to be angry/furious
jarjiz	<font color=#2E8B57>ESP:</font> ser amargado\n<font color=blue>AYM:</font> kallk'u jaqi, jarujaqi\n<font color=#FF8C00>ENG:</font> to be bitter
jarkaizjiiz	<font color=#2E8B57>ESP:</font> tiempo de monta\n<font color=blue>AYM:</font> jarqaña\n<font color=#FF8C00>ENG:</font> mating period
jarkatz	<font color=#2E8B57>ESP:</font> poner chuño/quinua en el agua para sacar lo amargo\n<font color=blue>AYM:</font> jariña\n<font color=#FF8C00>ENG:</font> to put chuño/quinua in water to remove the bitterness
jarkatz	<font color=#2E8B57>ESP:</font> lavar\n<font color=blue>AYM:</font> jariña\n<font color=#FF8C00>ENG:</font> to wash
jarkawi	<font color=#2E8B57>ESP:</font> viento del este\n<font color=blue>AYM:</font> arqawi\n<font color=#FF8C00>ENG:</font> the east wind
jark'az	<font color=#2E8B57>ESP:</font> defenderse\n<font color=blue>AYM:</font> jark'aqasiña, tuwaqasiña\n<font color=#FF8C00>ENG:</font> to defend oneself
jarkjayz	<font color=#2E8B57>ESP:</font> monta de los camélidos\n<font color=blue>AYM:</font> jarqayaña, takxaña\n<font color=#FF8C00>ENG:</font> mating of cameloids
jarma	<font color=#2E8B57>ESP:</font> tipo de color oscuro de un animal\n<font color=blue>AYM:</font> jarma\n<font color=#FF8C00>ENG:</font> dark color of animal
jarma	<font color=#2E8B57>ESP:</font> mineral\n<font color=blue>AYM:</font> jarma\n<font color=#FF8C00>ENG:</font> mineral
jarq'uiz	<font color=#2E8B57>ESP:</font> atajar\n<font color=blue>AYM:</font> jarkaña\n<font color=#FF8C00>ENG:</font> to intercept, to halt
jaru	<font color=#2E8B57>ESP:</font> amargo, picante\n<font color=blue>AYM:</font> xaru\n<font color=#FF8C00>ENG:</font> bitter, spicy
jaru	<font color=#2E8B57>ESP:</font> bilis\n<font color=blue>AYM:</font> xaru\n<font color=#FF8C00>ENG:</font> bile
-jaru	<font color=#2E8B57>ESP:</font> por, por medio de\n<font color=blue>AYM:</font> uknama, ukataypit\n<font color=#FF8C00>ENG:</font> by means of
-jaru	<font color=#2E8B57>ESP:</font> atrás de\n<font color=blue>AYM:</font> ukjaru\n<font color=#FF8C00>ENG:</font> behind
jarz	<font color=#2E8B57>ESP:</font> construir chiquero\n<font color=blue>AYM:</font> utachaña khuchitaki\n<font color=#FF8C00>ENG:</font> to build a pigsty
jarz	<font color=#2E8B57>ESP:</font> poner chuño/quinua en el agua para sacar lo amargo\n<font color=blue>AYM:</font> jariña\n<font color=#FF8C00>ENG:</font> to put chuño/quinua in water to remove the bitterness
jata	<font color=#2E8B57>ESP:</font> (plato de) mucha carne, cuerpo musculoso\n<font color=blue>AYM:</font> phatu, ancha aychani\n<font color=#FF8C00>ENG:</font> (dish with) a lot of meat, muscular body
jatz	<font color=#2E8B57>ESP:</font> afilar\n<font color=blue>AYM:</font> aphilaña, arichaña\n<font color=#FF8C00>ENG:</font> to sharpen
jawarcjujzñi	<font color=#2E8B57>ESP:</font> pequeña mariposa nocturna\n<font color=blue>AYM:</font> thutha\n<font color=#FF8C00>ENG:</font> moth
jawaza	<font color=#2E8B57>ESP:</font> haba\n<font color=blue>AYM:</font> jawasa\n<font color=#FF8C00>ENG:</font> lima bean, fava bean
jawi	<font color=#2E8B57>ESP:</font> diarrea\n<font color=blue>AYM:</font> q'ichalira\n<font color=#FF8C00>ENG:</font> diarrhea
jawiiz	<font color=#2E8B57>ESP:</font> regar\n<font color=blue>AYM:</font> uma irpantaña\n<font color=#FF8C00>ENG:</font> to water, to sprinkle water
jawinz = jawunz	<font color=#2E8B57>ESP:</font> moler\n<font color=blue>AYM:</font> qhunaña, piqatataña\n<font color=#FF8C00>ENG:</font> to grind
jawiri	<font color=#2E8B57>ESP:</font> cobarde\n<font color=blue>AYM:</font> q'iwsa\n<font color=#FF8C00>ENG:</font> cowardly
jawiri	<font color=#2E8B57>ESP:</font> enfermo con diarrea\n<font color=blue>AYM:</font> qichalirinti\n<font color=#FF8C00>ENG:</font> having diarrhea
jawk'aña	<font color=#2E8B57>ESP:</font> palo para desgranar (quinua, trigo)\n<font color=blue>AYM:</font> jawq'aña\n<font color=#FF8C00>ENG:</font> stick to thresh (quinua, wheat)
jawkjatz	<font color=#2E8B57>ESP:</font> dar miedo a alguien, asustar\n<font color=blue>AYM:</font> sustjaña\n<font color=#FF8C00>ENG:</font> to scare
jawkjatz	<font color=#2E8B57>ESP:</font> ayudar a alguien con diarrea al baño\n<font color=blue>AYM:</font> yanapt'aña\n<font color=#FF8C00>ENG:</font> to help a person with diarrhea to the bathroom
jawkjatz	<font color=#2E8B57>ESP:</font> cobrar más a personas ricas\n<font color=blue>AYM:</font> mayjasiña, waqjasiña\n<font color=#FF8C00>ENG:</font> to charge rich people more
jawkt'az	<font color=#2E8B57>ESP:</font> cocinar juntos\n<font color=blue>AYM:</font> purap phayaña\n<font color=#FF8C00>ENG:</font> to cook together
jawktita	<font color=#2E8B57>ESP:</font> sacrificio, ya sacrificado\n<font color=blue>AYM:</font> wilanchata\n<font color=#FF8C00>ENG:</font> sacrifice, already sacrificed
jawktiz	<font color=#2E8B57>ESP:</font> sacrificar\n<font color=blue>AYM:</font> wilanchaña\n<font color=#FF8C00>ENG:</font> to sacrifice
jawkulla	<font color=#2E8B57>ESP:</font> medicina para diarrea\n<font color=blue>AYM:</font> ithapa, kursuqulla, wich'utak qulla\n<font color=#FF8C00>ENG:</font> medicine to treat diarrhea
jawkz	<font color=#2E8B57>ESP:</font> aullar\n<font color=blue>AYM:</font> awllaña\n<font color=#FF8C00>ENG:</font> to howl
jawuna	<font color=#2E8B57>ESP:</font> jabón\n<font color=blue>AYM:</font> jawuna\n<font color=#FF8C00>ENG:</font> soap
jawunz = jawinz	<font color=#2E8B57>ESP:</font> moler\n<font color=blue>AYM:</font> qhunaña, piqatataña\n<font color=#FF8C00>ENG:</font> to grind
jawz	<font color=#2E8B57>ESP:</font> tener diarrea\n<font color=blue>AYM:</font> qhichalirinti\n<font color=#FF8C00>ENG:</font> to have diarrhea
jaycht'iñi	<font color=#2E8B57>ESP:</font> llorar para hacer sentir culpa\n<font color=blue>AYM:</font> jacht'asiña\n<font color=#FF8C00>ENG:</font> to cry to make someone feel guilty
jaycht'iz	<font color=#2E8B57>ESP:</font> sentirse mal porque otra persona ha hablado mal de él\n<font color=blue>AYM:</font> jacht'aña\n<font color=#FF8C00>ENG:</font> to feel bad because someone has said bad things about you
jayra	<font color=#2E8B57>ESP:</font> flojo\n<font color=blue>AYM:</font> jayra\n<font color=#FF8C00>ENG:</font> lazy
jayraz	<font color=#2E8B57>ESP:</font> flojear\n<font color=blue>AYM:</font> jayraña\n<font color=#FF8C00>ENG:</font> to be lazy
jayri	<font color=#2E8B57>ESP:</font> nueva luna\n<font color=blue>AYM:</font> jayri\n<font color=#FF8C00>ENG:</font> new moon
jaytarz	<font color=#2E8B57>ESP:</font> abandonar\n<font color=blue>AYM:</font> jaytaraña\n<font color=#FF8C00>ENG:</font> to abandon
jaz	<font color=#2E8B57>ESP:</font> ¿...verdad?, ¿...no ve?\n<font color=blue>AYM:</font> janti\n<font color=#FF8C00>ENG:</font> ...no?, ...isn't it so?
jaziqui = añz	<font color=#2E8B57>ESP:</font> ahora\n<font color=blue>AYM:</font> jichha\n<font color=#FF8C00>ENG:</font> now
jazta	<font color=#2E8B57>ESP:</font> reciente\n<font color=blue>AYM:</font> jichätimpu, jichapashpa\n<font color=#FF8C00>ENG:</font> recent
jecmi	<font color=#2E8B57>ESP:</font> cualquier\n<font color=blue>AYM:</font> khitipas\n<font color=#FF8C00>ENG:</font> anyone, anything
jecmi	<font color=#2E8B57>ESP:</font> alguien\n<font color=blue>AYM:</font> khiti, kawkirisa\n<font color=#FF8C00>ENG:</font> someone
jecz	<font color=#2E8B57>ESP:</font> aparecer\n<font color=blue>AYM:</font> instaña\n<font color=#FF8C00>ENG:</font> to appear
jecz̈quiñi	<font color=#2E8B57>ESP:</font> retoño\n<font color=blue>AYM:</font> alintata\n<font color=#FF8C00>ENG:</font> sprout, bud of leaves
jeecu	<font color=#2E8B57>ESP:</font> cerca\n<font color=blue>AYM:</font> jak'aki\n<font color=#FF8C00>ENG:</font> near
jeepz	<font color=#2E8B57>ESP:</font> cargar animal\n<font color=blue>AYM:</font> khumuña\n<font color=#FF8C00>ENG:</font> to load an animal
jeez	<font color=#2E8B57>ESP:</font> sí\n<font color=blue>AYM:</font> jisa\n<font color=#FF8C00>ENG:</font> yes
jeja	<font color=#2E8B57>ESP:</font> respiro\n<font color=blue>AYM:</font> samaña\n<font color=#FF8C00>ENG:</font> breath
jejz	<font color=#2E8B57>ESP:</font> descansar\n<font color=blue>AYM:</font> samarasiña\n<font color=#FF8C00>ENG:</font> to rest
jepz	<font color=#2E8B57>ESP:</font> cargar (animal, persona)\n<font color=blue>AYM:</font> khumuña, ankasaña\n<font color=#FF8C00>ENG:</font> to load (animal, person)
jequi	<font color=#2E8B57>ESP:</font> ¿quién?\n<font color=blue>AYM:</font> khiti?\n<font color=#FF8C00>ENG:</font> who?
jeranz	<font color=#2E8B57>ESP:</font> amarrar\n<font color=blue>AYM:</font> chinuña\n<font color=#FF8C00>ENG:</font> to tie (up), to fasten
jes	<font color=#2E8B57>ESP:</font> sacar\n<font color=blue>AYM:</font> apsuña\n<font color=#FF8C00>ENG:</font> to take out, to remove, to obtain
jicz	<font color=#2E8B57>ESP:</font> camino\n<font color=blue>AYM:</font> thakhi\n<font color=#FF8C00>ENG:</font> road
jichu	<font color=#2E8B57>ESP:</font> acostumbrado\n<font color=blue>AYM:</font> jichuntata\n<font color=#FF8C00>ENG:</font> accustomed
jiiz	<font color=#2E8B57>ESP:</font> luna, mes, deidad feminina\n<font color=blue>AYM:</font> phaxsi, killa\n<font color=#FF8C00>ENG:</font> moon, month, female goddess
jiiztupc̈ha	<font color=#2E8B57>ESP:</font> cuando el sol se pone y la luna sale al mismo tiempo + viceversa\n<font color=blue>AYM:</font> intinti phaxsinti jikhisipxi\n<font color=#FF8C00>ENG:</font> when sun sets and moon rises at the same time + viceversa
jijcz	<font color=#2E8B57>ESP:</font> frotar/pisar/descascarar...bien\n<font color=blue>AYM:</font> sumsillp'iraña, qaqt'aña\n<font color=#FF8C00>ENG:</font> to rub/to press/to peel...well
jijptaiz	<font color=#2E8B57>ESP:</font> avanzar rápido\n<font color=blue>AYM:</font> jiptayaña\n<font color=#FF8C00>ENG:</font> to advance quickly
jijptiñi	<font color=#2E8B57>ESP:</font> trabajo que avanza rápido\n<font color=blue>AYM:</font> jiptaña\n<font color=#FF8C00>ENG:</font> work that advances rapidly
jijtz	<font color=#2E8B57>ESP:</font> recorrer lentamente\n<font color=blue>AYM:</font> jittaña\n<font color=#FF8C00>ENG:</font> to move/to walk along slowly
jijtz	<font color=#2E8B57>ESP:</font> cernidor, rollador\n<font color=blue>AYM:</font> sirasu, rallarura\n<font color=#FF8C00>ENG:</font> sieve
jila	<font color=#2E8B57>ESP:</font> mucho\n<font color=blue>AYM:</font> jila, ancha\n<font color=#FF8C00>ENG:</font> much, a lot
jila	<font color=#2E8B57>ESP:</font> caro\n<font color=blue>AYM:</font> jila\n<font color=#FF8C00>ENG:</font> expensive
jila	<font color=#2E8B57>ESP:</font> hermano\n<font color=blue>AYM:</font> jilata\n<font color=#FF8C00>ENG:</font> brother
jila zullca	<font color=#2E8B57>ESP:</font> ser hermanos\n<font color=blue>AYM:</font> jila sullka\n<font color=#FF8C00>ENG:</font> to be brothers
jilala	<font color=#2E8B57>ESP:</font> saludo entre hermanos\n<font color=blue>AYM:</font> jilalla\n<font color=#FF8C00>ENG:</font> greeting among brothers
jilall	<font color=#2E8B57>ESP:</font> ola, ¿qué tal? (saludo a un hombre)\n<font color=blue>AYM:</font> jilallaq, jilatay\n<font color=#FF8C00>ENG:</font> hello, how are you? (greeting to a man)
jilanaca	<font color=#2E8B57>ESP:</font> saludo a hermanos religiosos\n<font color=blue>AYM:</font> jilanaka\n<font color=#FF8C00>ENG:</font> greeting to religious brothers
jilinz	<font color=#2E8B57>ESP:</font> moverse (algo inestable)\n<font color=blue>AYM:</font> unxtata\n<font color=#FF8C00>ENG:</font> to move (something unstable)
jilir majchz	<font color=#2E8B57>ESP:</font> primer hijo/hermano\n<font color=blue>AYM:</font> jilir yuqa\n<font color=#FF8C00>ENG:</font> first son/brother
jilir majt	<font color=#2E8B57>ESP:</font> primera hija/hermana\n<font color=blue>AYM:</font> jilir phucha\n<font color=#FF8C00>ENG:</font> first daughter/sister
jiliri	<font color=#2E8B57>ESP:</font> autoridad\n<font color=blue>AYM:</font> jiliri\n<font color=#FF8C00>ENG:</font> authority
jiliri	<font color=#2E8B57>ESP:</font> hermano/a mayor\n<font color=blue>AYM:</font> jiliri\n<font color=#FF8C00>ENG:</font> oldest brother/sister
jiljalla	<font color=#2E8B57>ESP:</font> un poco más\n<font color=blue>AYM:</font> jiljallanti\n<font color=#FF8C00>ENG:</font> a bit more
jilnatc̈ha	<font color=#2E8B57>ESP:</font> avisar que algo está inseguro/suelto\n<font color=blue>AYM:</font> unuqtashi\n<font color=#FF8C00>ENG:</font> to warn that something is insecure/loose
jilwich	<font color=#2E8B57>ESP:</font> hermanos de una chica\n<font color=blue>AYM:</font> jilatanaka\n<font color=#FF8C00>ENG:</font> brothers of a girl
jilz	<font color=#2E8B57>ESP:</font> subir el precio\n<font color=blue>AYM:</font> jilantaña\n<font color=#FF8C00>ENG:</font> to raise the price
jilz̈ ocjala	<font color=#2E8B57>ESP:</font> sobrino/sobrina\n<font color=blue>AYM:</font> suwrinu\n<font color=#FF8C00>ENG:</font> nephew/niece
jilz̈ tjun	<font color=#2E8B57>ESP:</font> cuñada\n<font color=blue>AYM:</font> kuñara\n<font color=#FF8C00>ENG:</font> sister-in-law
jinchiya	<font color=#2E8B57>ESP:</font> costal lleno\n<font color=blue>AYM:</font> kustal phuqhantata\n<font color=#FF8C00>ENG:</font> sack which is full
jinchiz	<font color=#2E8B57>ESP:</font> agarrar de las orejas\n<font color=blue>AYM:</font> jinchu tiraña\n<font color=#FF8C00>ENG:</font> to grab by the ears
jinzins	<font color=#2E8B57>ESP:</font> aumentar líquido al cocinar\n<font color=blue>AYM:</font> wisxataña\n<font color=#FF8C00>ENG:</font> to add water while cooking
jinz̈inta	<font color=#2E8B57>ESP:</font> huevo prendido\n<font color=blue>AYM:</font> k'anwa katt'ata\n<font color=#FF8C00>ENG:</font> fecundated egg
jiña	<font color=#2E8B57>ESP:</font> caldo\n<font color=blue>AYM:</font> kaltu\n<font color=#FF8C00>ENG:</font> soup, broth
jiñz	<font color=#2E8B57>ESP:</font> derretir\n<font color=blue>AYM:</font> umatataña\n<font color=#FF8C00>ENG:</font> to melt
jiq'uiz	<font color=#2E8B57>ESP:</font> hipo\n<font color=blue>AYM:</font> jipt'aña\n<font color=#FF8C00>ENG:</font> hiccups
jira	<font color=#2E8B57>ESP:</font> montón de guano\n<font color=blue>AYM:</font> jira\n<font color=#FF8C00>ENG:</font> pile of dung
jirjirz	<font color=#2E8B57>ESP:</font> corretear\n<font color=blue>AYM:</font> t'ijuña, tannaqaña, jirjasiña\n<font color=#FF8C00>ENG:</font> to run around
jirquiz	<font color=#2E8B57>ESP:</font> algo que está en el guano\n<font color=blue>AYM:</font> jira\n<font color=#FF8C00>ENG:</font> something which is in the guano
jiru	<font color=#2E8B57>ESP:</font> hierro\n<font color=blue>AYM:</font> jiru\n<font color=#FF8C00>ENG:</font> iron
jirwiñi	<font color=#2E8B57>ESP:</font> madre que rechaza a sus crías\n<font color=blue>AYM:</font> jiwruña\n<font color=#FF8C00>ENG:</font> mother who rejects offspring
jirwiz	<font color=#2E8B57>ESP:</font> rechazar cría\n<font color=blue>AYM:</font> jiwruyaña\n<font color=#FF8C00>ENG:</font> to reject offspring
jirz	<font color=#2E8B57>ESP:</font> correr (grupo de personas o animales)\n<font color=blue>AYM:</font> t'ijuña, chhuktaña, arkantaña\n<font color=#FF8C00>ENG:</font> to run (group of persons, animals)
jirz	<font color=#2E8B57>ESP:</font> marchitarse pronto\n<font color=blue>AYM:</font> qasawsxaki\n<font color=#FF8C00>ENG:</font> to wilt quickly
jirz	<font color=#2E8B57>ESP:</font> perseguir\n<font color=blue>AYM:</font> arkaña\n<font color=#FF8C00>ENG:</font> to pursue, to chase
jiwantiz	<font color=#2E8B57>ESP:</font> ansiar\n<font color=blue>AYM:</font> jiwantaña\n<font color=#FF8C00>ENG:</font> to crave, to long for
jiwaña	<font color=#2E8B57>ESP:</font> hacer algo con ansia/rápidamente\n<font color=blue>AYM:</font> jiwaña, chiqapini\n<font color=#FF8C00>ENG:</font> to do something eagerly/quickly
jiwata	<font color=#2E8B57>ESP:</font> adormecido, dormido profundamente, anestesiado\n<font color=blue>AYM:</font> k'uk'ulljata\n<font color=#FF8C00>ENG:</font> sleepy, fast asleep, numb
jiwazquiri	<font color=#2E8B57>ESP:</font> mendigo vicioso\n<font color=blue>AYM:</font> mayiri yatintata\n<font color=#FF8C00>ENG:</font> depraved beggar
jiwjatz	<font color=#2E8B57>ESP:</font> temer\n<font color=blue>AYM:</font> jiwjataña\n<font color=#FF8C00>ENG:</font> to fear
jiwtjjara	<font color=#2E8B57>ESP:</font> temeroso\n<font color=blue>AYM:</font> jiwjatiri\n<font color=#FF8C00>ENG:</font> timid
jjilli	<font color=#2E8B57>ESP:</font> vicioso\n<font color=blue>AYM:</font> jilluku\n<font color=#FF8C00>ENG:</font> incorrect, depraved
jjojjz	<font color=#2E8B57>ESP:</font> desgranar con las manos\n<font color=blue>AYM:</font> muchharaña\n<font color=#FF8C00>ENG:</font> to shell with the hands
jjojjz	<font color=#2E8B57>ESP:</font> masticar algo duro\n<font color=blue>AYM:</font> t'uruna\n<font color=#FF8C00>ENG:</font> to chew something hard
jjora	<font color=#2E8B57>ESP:</font> garganta\n<font color=blue>AYM:</font> malq'a\n<font color=#FF8C00>ENG:</font> throat
jjora	<font color=#2E8B57>ESP:</font> voz\n<font color=blue>AYM:</font> malq'a\n<font color=#FF8C00>ENG:</font> voice
jjoranz	<font color=#2E8B57>ESP:</font> roncar\n<font color=blue>AYM:</font> qhurqhuña\n<font color=#FF8C00>ENG:</font> to snore
jjorcanz	<font color=#2E8B57>ESP:</font> poner algo al cuello\n<font color=blue>AYM:</font> warkhantasiña\n<font color=#FF8C00>ENG:</font> to put something around the neck
jjorzñi	<font color=#2E8B57>ESP:</font> cascada\n<font color=blue>AYM:</font> phaxcha\n<font color=#FF8C00>ENG:</font> waterfall
jjoz̈a	<font color=#2E8B57>ESP:</font> bosta\n<font color=blue>AYM:</font> phusnu\n<font color=#FF8C00>ENG:</font> manure
jochi	<font color=#2E8B57>ESP:</font> estancia\n<font color=blue>AYM:</font> istansha\n<font color=#FF8C00>ENG:</font> house in the field
jochi	<font color=#2E8B57>ESP:</font> laguna\n<font color=blue>AYM:</font> quta\n<font color=#FF8C00>ENG:</font> small lake, pond
joka	<font color=#2E8B57>ESP:</font> pato, jerga\n<font color=blue>AYM:</font> unkhayllu\n<font color=#FF8C00>ENG:</font> a small duck
joo	<font color=#2E8B57>ESP:</font> ¡así es!\n<font color=blue>AYM:</font> jälla, ukhamawa\n<font color=#FF8C00>ENG:</font> is that right?, you don't say?
joo	<font color=#2E8B57>ESP:</font> ¡no me diga!, ¡cómo es posible! (sorpresa)\n<font color=blue>AYM:</font> jä, jan sasmati\n<font color=#FF8C00>ENG:</font> that's impossible! (surprise)
joocan	<font color=#2E8B57>ESP:</font> arrastrar sin notar\n<font color=blue>AYM:</font> qatatiña\n<font color=#FF8C00>ENG:</font> to drag without noticing
joocan	<font color=#2E8B57>ESP:</font> llevar de la mano\n<font color=blue>AYM:</font> apaña\n<font color=#FF8C00>ENG:</font> to take by the hand
joochi	<font color=#2E8B57>ESP:</font> colgado, prendido\n<font color=blue>AYM:</font> warkhantata, lip'jata\n<font color=#FF8C00>ENG:</font> hung
joochinc̈ha	<font color=#2E8B57>ESP:</font> arrastrado\n<font color=blue>AYM:</font> qatattwa\n<font color=#FF8C00>ENG:</font> dragged/pulled
joojooz	<font color=#2E8B57>ESP:</font> manejar\n<font color=blue>AYM:</font> apnaqaña\n<font color=#FF8C00>ENG:</font> to handle
joozincha	<font color=#2E8B57>ESP:</font> sacado\n<font color=blue>AYM:</font> apsuña\n<font color=#FF8C00>ENG:</font> taken out, recovered
jorjoranzquic̈ha	<font color=#2E8B57>ESP:</font> estar tronando\n<font color=blue>AYM:</font> arnaqaña\n<font color=#FF8C00>ENG:</font> to thunder
jorjorñi	<font color=#2E8B57>ESP:</font> trueno\n<font color=blue>AYM:</font> arnaqiri\n<font color=#FF8C00>ENG:</font> thunder
jork'oto	<font color=#2E8B57>ESP:</font> manzana de Adán\n<font color=blue>AYM:</font> t'unqhuri\n<font color=#FF8C00>ENG:</font> Adam's apple
jork'oto	<font color=#2E8B57>ESP:</font> tumor en el cuello\n<font color=blue>AYM:</font> amallu\n<font color=#FF8C00>ENG:</font> tumor in the neck
jorok'otu	<font color=#2E8B57>ESP:</font> quinua roja\n<font color=blue>AYM:</font> wila juyra\n<font color=#FF8C00>ENG:</font> red quinua
jorquiz̈a	<font color=#2E8B57>ESP:</font> collar\n<font color=blue>AYM:</font> wallqa\n<font color=#FF8C00>ENG:</font> necklace
jort'ullu	<font color=#2E8B57>ESP:</font> tráquea\n<font color=blue>AYM:</font> t'ullu\n<font color=#FF8C00>ENG:</font> trachea
jorz	<font color=#2E8B57>ESP:</font> extender (hilo)\n<font color=blue>AYM:</font> chhikhattaña\n<font color=#FF8C00>ENG:</font> to extend thread
