a	Aka arsuxa laka manqhata arsuña sallawa.
chikachaña	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Chikachañaxa taqi kunansa saransa, luransa, yatiñansa khuskhaki chikapura sarañawa. <font color=blue>// Tiriwu k'ichiwinxa chikakiwa k'ichipxtha, janiwa mayni atipirisa utjkiti ukhamaraki khuskha sukatkamawa sapa maynisa sarapxtha. </font>
chikanchaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Chikanchañaxa chikanampi chikata chika waytasa waylunkiyasa tupüña. <font color=blue>// Ch'uqi aljañataki chikanchañampi chikanchayä, waytasa waytasa tupuña.  Uka jupha chikanchasawa waraqäta.</font>
chikana	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chikanaxa waytasa tupuña uñanchiri yäwa. Yänaka, achunaka pupuñatakiwa wakisi. <font color=blue>// Qhathuru yarana waytasa tupurasa alxaniña.  Janiwa tantiyt'asaki aljañäkiti, chikanampi kunsa waytasawa alxaña. </font>
chikanchayaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Chikanchayañaxa wilamasinakapawa marka irpiriruwa purt'aña chika marana phunchhawi lurañataki, ukana saniña suma marakïpanaya maramaxa, jani kuna llakisiñasa tukuyañkama utjkpati, sasina ch'allt'apxi. <font color=blue>// Juwana chikanchayañapa wawa sutiyañataki.</font>
chiki	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chikixa yapuchasiñataki mä jisk'a sataña uraqi jani uraqiniru, wajcharu mayt'atawa, ukawa chiki sata. <font color=blue>// Jichhüruxa tiwulajaxa chikipxa llamaysusiwayxiwa. Ukhamarusa nayaruxa yanapt'awärakituwa.  Istikuxa Taykaxaruwa chikipa llamayuña yanapt'awayi. Sataqa.</font>
chikilla	<font color=ForestGreen>sm.</font> Qhachhilayaña. <font color=ForestGreen>/</font> Chikillaxa qhachhillayasiñawa. Chhuy!!! Kunatsa ukataqi larta, kunacha qhachhillaytma. <font color=blue>// Jilajaxa sinti chikillawa.  Juwanchu chikilla jaqiwa, tantachawinakansa laruki laruski.</font>
chikilla	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chikillaxa yaqha kasta ch'uqiru, niya wila samini, ukaruwa ukhama sata. Yaqhaxa qhini ch'uqi, qhina wila samini. Uka ch'uqinaka phayataxa wali phuskawa qhathi. <font color=blue>// Imilla, uka chikilla ch'uqi phayañataki apanita.  Chikilla ch'uqi alasiriwa saräxa.</font>
chikiruña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Chikiruñaxa uywanakata millk'i ch'awaña. Iwija, waka qallunaka ñukuntayasa, jani taykanakapata millk'i mallt'añapawa. Yaqhipaxa waka, iwija qallu yaqharu anantapxi, ukhamata jani millk'i ñunsusiñapataki. Yaqhipaxa yaqha uyuru ikiyapxi. Chikiruñaxa uywanakata millk'i ch'awañataki qallunaka taykanakapata yaqhachiqaru anaqasa ikiyañawa. <font color=blue>// Jichha jayp'uxa iwija qallunakxa chikirüwa, ukata millk'i tika manq'añäni.  Uka iwija qallu chikiruñawa. </font>
chikjaña	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chikataru puriña. Chikata. Chikjañaxa kuna irnaqawi lurawinsa chikata lurañawa, jani ukaxa chikaru puriñawa. Taqpacha ukch'pachata kunaymana lurawinakampi jank'acht'asisa chikawjaru kuna ch'ama tukusasa puriña, ukawa. <font color=blue>// Jichhüruxa ch'uqi llamayuwinxa chikaruwa purtana, ukhamaxa jank'akiwa tukxañäni.</font>
chiküru	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Chiküruxa inti jalsuta inti jalantkama taypïkixa, ukaruwa chiküru sata. Chika uruxa inti jalsuta inti jalantkama taypi pachawa. Qhanjta, willjta inti jalsu, akhulli pacha, ukata chika urüskixa. <font color=blue>// Chiküruxiwa samarañaniya, mirinta manq'asiñäni. Chika urüxiwa ququsiña pachäxiwa.</font>
chikuti	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chikutixa uywanaka anakiñatakiwa, ukhamarusa jani kasurinakaru jawq'añatakiwa. Waka, qarwa kunka lip'ichita jach'a sinkaki kharitata k'anatawa, lawaru chhithkat'atawa. Aymara markana chiqa thakhi sarnaqañapataki ukaxa chima lawaru aliqata lip'ichi k'anatampi chinkatata luratawa. <font color=blue>// Qhullirixa aliqa chikutinikiwa yunta qhiphäxa sarañapa armasa katt'ata chiqa sarayañapa.  Jilaqata, Mallku chikutinipiniwa sarnaqi. Jawq'aña.</font>
chila	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Puquta q'alluta. Chilaxa ch'uxña jisk'ata jisk'ata q'allunuqasa wañt'ayatawa. <font color=blue>// Chila wañacht'añataki apsunma jani ukaxa ñusantxaniwa. </font>
chili	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chilixa kuna yänakasa ñut'üki, ukawa. Thayaru ukhama satakirakiwa. <font color=blue>// Lawaru sarä, ukata chili jak'uta t'ant'a lurañani. Ñut'u.</font>
chilacha	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Apillanaka imañataki suma juch'usa q'allunuqt'asa lupiru wañsuyata, ukawa. <font color=blue>// Juwanchu chilacha wañsuta phayasiñataki apanïta.</font>
chilinki	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chilinkixa utankiriru jawsañataki chilinkiriwa. Utaru liq'intañataki ukhamata jaqixa ist'añapataki, jichha pachanxa jaqixa chilinki apnaqxapxi, chi… chi… chi… sasa. <font color=blue>// Chuqi Apu markanxa yaqhipa utanakaxa jani liq'iskañatakixa chilinkirinïpxiwa. Chilinka.</font>
chiltu	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chiltuxa junt'u uraqina achu. Uka achuxa jisk'a wawanaka arsuyañatakiwa qulla. Jisk'a q'illu muruq'uwa. <font color=blue>// Jisk'a wawanakaru chiltu manq'ayañamawa. Chiltuxa wawanakaru ratukiwa aru arsuyiri achuwa.</font>
chilwi/chhiwchhi	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Phuyuni jamach'i kasta uywawa. Chilwixa k'awnata mistsuta uywawa. Chhiqhani jisk'a wallpa qalluwa. <font color=blue>// Uka chilwixa jiwañampirakisä, manq'a churatapï.  Jichhüruxa qhaturu chilwi alasiri saräxa.</font>
chillami	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chillamixa taruru uñtatjama ñiq'ita lurata chhuxuña yäwa. <font color=blue>// Arumaxa Liwuryu jani kayuta thayt'ayasiñatakixa chillami asantaniwayätawa. Mara qhathuta chillami tirijumpi turkasiwaytha. // Aruma jani thayt'ayasiñatakixa chillami asantaniwayätawa. Ch'illami. </font>
chillaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Lakaru Nukhuntaña. Chillañaxa lakaru nukhuntañawa. Kunampisa nukkataña katuqayxä sasa jani munkiriru chillaskakiñawa. Jaqi lakaru kuna manq'anaksa muna jani muna churaskakiña, ukawa. <font color=blue>// Wawanaru kunatakisa jani munkïpana chillta. </font>
chillaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jaqiru qullqi, jani walinaka lurasa, jani arsuñapataki, chillantañawa. Kunjamatsa katuqayxä, sasa chillañawa. Jani munkïpansa jumaki katusxma, sasa munkiri jani munkiri churaskañakiwa. Ukawa chillañaxa. <font color=blue>// Jani munkchi ukaxa kunatakisa chillaskta.</font>
chillaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Uñachayaña. Chillañaxa ajanuparu jani wali luratapata uñjama akhamarakisa, sasa uñachayaña, ukawa. <font color=blue>// Jani walpuni waru waru sawunitayna, uñjama sasa chillaniwayta. Uka imillaru ajanuparu chillaña, kunatsa janiwa uñjkthti sasina arusitu.</font>
chillantaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Mantayaña. Chhaqhantayaña. Ñit'intaña. Ñiqintaña. Chillantañaxa kuna jisk'a yäsa manqharu apantañawa. P'iyarusa kuna yänaksa apantañawa, jani ukaxa qullqi jaqiru k'arintañatakisa chillantaña. <font color=blue>// Jupaxa wulsikuruwa qullqi chillantasi. Uka yuqallaxa kullakaparu k'arintañataki qullqi wayaqaru chillantatayna. Qullqjamaksa wulsikumaru chillanttaxä.</font>
chillantaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Isinakapsa ukhamaraki yänaka umaru apantaña. Q'añu isinaka t'axsuñataki umaru llupaña, ukawa. <font color=blue>// Taykajaxa isinaka t'axsiñataki umaru chillantaski. Llupantaña.</font>
chillantaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jamasata yanapa mayinataki qullqi churañawa. <font color=blue>// Istikuna yuqapaxa, jach'a yatiqaña utaru mantañataki, qullqi chillanti, siwa. Chilltaña.</font>
chillaqa	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Juch'usa mismita ch'ankhata suma wakt'ayata k'ant'ata qarwanakaru kunkata chint'añataki. Ukaxa uywanakaru kunkata chiñuñataki, ukata jiyt'asa irpnaqapxi. <font color=blue>// Juwanchu uka chillaqa apapxätawa. </font>
chillchiña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jaqixa kuna k'uchirt'awinsa janchi unuqt'ayi, wali k'uchiki jayllt'asa thuqht'i. <font color=blue>// Jichhüru Juwanchu chillchiriwa sañäni.  Nayaxa Juwanchumpiwa chillchiriri sarapxäxa.</font>
chillantañaxa	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Pixtuna. Imantaña. Chillta. chijina kamachinakata arxatiriruwa qullqi chillantaña ukata pixtunxa atipjaña mayni kijiriru. <font color=blue>// Uka jaqiru qullqi chillantañaxa jani arsuñapati. Awichajaxa qullqi chillantañaxa uka jach'a yatiqaña utaru mantañataqixa. </font>
chillami/ch'illami	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chillamixa chhuxuñataki k'ink'u ñiq'ita luratawa, niya taruru uñtatjama yäwa. <font color=blue>// Mara qhathuru sarasina chillami alt'asiñatakixa tirijumpiwa turkasiniwayta. Mama Juwana aruma jani anqaru mistuñatakixa chillami asantaniwayätawa.</font>
chillaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>(Pacha aru)</font> Lakaru nukhuntaña. <font color=ForestGreen>/</font> Chillañaxa lakaru nukhuntañawa, munkiri jani munkiri amparampi nukt'asa chillantaña.  Jisk'a wawana lakaparu kuna manq'anaksa muna jani muna churaskakiña, ukawa. <font color=blue>// Wawaru kunatakisa jani munkïpana chillta. </font>
chillaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>(Ajayu aru)</font> Jaqiru chilltaña. <font color=ForestGreen>/</font> Jani walinaka lurasa, jani ukaxa atipañataki qullqi chillantaña. Kunjamatsa katuqayxä, sasa chillañawa. Jani munkipansa munkiri jani munkiri churaskañaki. <font color=blue>// Jani munkchi ukaxa kunatakisa chillaskta.</font>
chillaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>(Ajayu aru)</font> Uñachayaña. <font color=ForestGreen>/</font> Chillañaxa ajanuparu jani wali luratapata akhamarakisa uñjama, sasa uñachayañawa. <font color=blue>// Jani walpuni waru waru sawunitayna, uñjama sasa chillaniwayta. Uka imillana ajanuparu chillañawa, kunatsa janiwa uñjkti sasina arusitu.</font>
chillantaña	<font color=ForestGreen>ar.</font> Mantayaña. Chhaqantayaña. Ñit'intaña. Ñiqintaña. <font color=ForestGreen>/</font> Chillantañaxa kuna jisk'a yäsa manqharu apantañawa. P'iyaru kuna yänaka mantayaña. Qullqi jaqiru k'arintañataki chillantaña. <font color=blue>// Uka yuqallaxa kullakaparu k'arintañataki qullqi wayaqaru chillantatayna.</font>
chillantaña	<font color=ForestGreen>ar.</font> Apantaña. Llupantaña. <font color=ForestGreen>/</font> Isinaka ukhamaraki yänaka umaru apantaña. Q'añu isinaka t'axsuñataki umaru llupaña, ukawa. <font color=blue>// Taykajaxa isinaka t'axsiñataki umaru chillantaski.</font>
chillantaña	<font color=ForestGreen>ar.</font> Chilltaña. <font color=ForestGreen>/</font> Jamasata yanapa mayiñataki qullqi churañawa. <font color=blue>// Istikuna yuqapaxa, jach'a yatiqaña utaru mantañataki qullqi chillanti, siwa.</font>
chillaqa	<font color=ForestGreen>st.</font> Chinuña. <font color=ForestGreen>/</font> Juch'usa mismita ch'ankha suma wakt'ayata k'ant'ata, qarwanakaru kunkata chint'añataki. Uywanakaru kunkata chiñuñataki, ukata jiyt'asa irpnaqapxi. <font color=blue>// Juwanchu uka chillaqa apapxätawa. </font>
chillchiña	<font color=ForestGreen>ar.</font> Thuqhuña. <font color=ForestGreen>/</font> Jaqixa kuna k'uchirt'awinsa janchi unuqt'ayi, wali k'uchiki jayllt'asa thuqhunti. <font color=blue>// Jichhüruxa markana chillchirawiwa utjani. Nayaxa Juwanchumpiwa chillchiriri sarapxäxa.</font>
chillantañaxa	<font color=ForestGreen>ar.</font> Pixtuna. Imantaña. Chillta. <font color=ForestGreen>/</font> chijina kamachinakata arxatiriruwa qullqi chillantaña ukata pixtunxa atipjaña mayni kijiriru. <font color=blue>// Uka jaqiru qullqi chillantañaxa jani arsuñapati. // Awichajaxa qullqi chillantañaxa uka jach'a yatiqaña utaru mantañataqixa.</font>
chillaranttaña	<font color=ForestGreen>ar.</font> Mantarantaña. <font color=ForestGreen>/</font> Chillaranttañaxa jaqimpi khuskha jani amuki mantañawa. Tantachawinakaru muna jani muna mantantaña, ukawa. <font color=blue>// Jach'a tantachawiru ñakapiniwa chillrantawayta. Tanchawiru uka jaqixa muna jani muna chillarantawayi.</font>
chillutaña	<font color=ForestGreen>ar.</font> Llupantaña. <font color=ForestGreen>/</font> Chillutañaxa p'iyanaka jank'aki kunampisa qhaphantaña, sit'antañawa. <font color=blue>// Juwanita, uka p'iyaru niq'impi chilluntañawa. Chillpaxa uta utachapxi ukaru achkatayañawa. <font color=purple>[Am.: Chillantaña]</font></font>
chillpa	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chillpaxa pirqasa jani ukaxa kuna unuqirirusa jani unuqiñapataki mä kuna jisk'a yämpi acht'ayañawa. Chillpaxa suma uñtani wakisiri ch'ullqhi k'ulluta wakt'ayatawa; jani ukaxa qalata, acht'ayañapataki thaqhatawa. <font color=blue>// K'añaskuruxa qalampiwa chillpt'aña jani sartañapataki.  Uka lawampi, punku chillpt'ma. </font>
chillpaña	<font color=purple>[May.: CHILLPIÑA]</font> <font color=ForestGreen>ar.</font>  Chillpa. <font color=ForestGreen>/</font> Chillpañaxa pirqa, jani ukaxa, kuna unuqiri chillpampi jani unuqiñapataki uskuñawa. <font color=blue>// Uka qala uyu pirqa unuqiskakirakisä, jani unuqiñapataki chillparañawa wakisi, jani ukaxa allirmuchtxaniwa. Uka jach'a qalaxa unuqiskiwa jisk'a qalampi chillpt'añawa. <font color=purple>[Am.: Chillpt'aña, Chillpi]</font></font>
chilli	<font color=ForestGreen>sm.</font> Ukch'pacha. <font color=ForestGreen>/</font> Chillixa maypacha uraqi sataña, ukch'pacha yapuchañataki wakiyapxi. Kawkniritixa mä jaqina uraqipa uñtasa uñt'ata. <font color=blue>// Uka qhini ch'uqi chillita uraqiruwa satañäni. Mä markaxa innuqarakiwa wali suma chilli sarañapataki. <font color=purple>[Am.: Chillchiri]</font></font>
chillchi	<font color=ForestGreen>st.</font> Thuqu. <font color=ForestGreen>/</font> Chillchixa taqi kasta thuqhunaka thuqhuñawa. Jaqixa wali k'uchiki unuqranti kuna k'uchirt'awinaksa thuqt'i. <font color=blue>// Markana mara maykuti phunchhawitaki, nayaxa chillchiña unuqrantañataki wali wakichasixa.  Nayra pachanxa chillchi wali thuqupxäna, jichhaxa armatakixiwa.</font>
chillisä	<font color=ForestGreen>st.</font> Ch'ullqhi qala. <font color=ForestGreen>/</font> Chillisaxa khuchhuri ari kasta thuru ch'ullqi qalawa. Uka ari qalaxa askiwa kuna yänaksa lurañataki khuchhuña. <font color=blue>// Achachilajaxa chillisä qalampiwa iwija t'arwa khuchhuri. Jichhaxa kuchillumpiwa khuchjapxi.  Uka pirqa Chillisa qalampiwa lurapxi.</font>
chillka	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chillkaxa ch'iyara churi wakawa. Wakaxa churi wila ch'iyara, ukawa. <font color=blue>// Justinuna chillka wakapaxa wali nuwasiri wakawa. Taykajana jisk'a waqaqallupaxa chillkawa wawachatayna. Chillka wakaxa q'usñi wakampiwa nuwasiski.</font>
chillka	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chillka satakirakiwa jaqina kulira q'illu kutiyaña usuru. Jaqixa kuna kuliratasa q'illuki waq'aqxapxi. <font color=blue>// Uka yuntaxa phiñasiyituwa, janiwa sartaña munkiti, wali phiñasiyitu, ukata jichha janq'u q'illuki kutiyaskta.  Awichajaxa q'ala phiñasitawa nayampi chillkaki kutiyaski, janiwa kuna maq'sa acht'aykxiti. </font>
chillki	<font color=ForestGreen>st.</font> Jisk'a ali. <font color=ForestGreen>/</font> Chillkixa qallpa yapuna jupha phawata, satantatata llullu jisk'a alinaka alinuqkixa ukawa. Ukakipkaraki yapuna jupha phawataxa llullu jisk'a alinaka alinuqkixa ukarakiwa. Yapu yapuchatata suma achunañapatakixa jisk'a yaqha alinaka jik'irasa apamukupxi. <font color=blue>// Chillkixa yapuna pä laka lakakiwa alinuqanita, uraqita wali uñartanitawa janiwa jiwaratäkiti. Nayra pacha jaqinakaxa chillimpikiwa uraqi tupupxirïtayna. Chillki juphaxa alinuqatawa, wali sumawa.<font color=purple>[Am.: Chillksu]</font></font>
chillkiña	<font color=ForestGreen>ar.</font> Chillki. <font color=ForestGreen>/</font> Chillkiñaxa jathata kuna alisa qallpana sata pachana aliranitakisa ukawa. Qallpana ajara, quranakaxa wali aliranitarakisa inasa nayra marachiniya achunakataki. <font color=blue>// Jichhüru nayaxa yapu chillkiriwa saräxa. </font>
chillqi	<font color=ForestGreen>st.</font> Tupt'a. <font color=ForestGreen>/</font> Chillqixa mä kaptana maysa kayu luk'anata maysa tayi tayi wintukama kawkch'asa ukawa. Paypacha kayuta sayaskasina maya kayu aysuña, ukata yaqhawjaru takiña, uka jayawa chillqixa. <font color=blue>// Imicha phisqha chillqi jitt'äta. Kullakajaxa pä chillqi uraqita mäkipanitütu. <font color=purple>[Am.: Chaqa, sawi, jaya]</font></font>
chillqiña	<font color=ForestGreen>ar.</font> Tupt'aña. <font color=ForestGreen>/</font> Chillqiñaxa kayu jach'aru kaptasa kaptasa saraña. Chillqiñaxa kayu jach'aru jach'aru sartasa kachañawa; ch'iqa, kupi, kayumpi sarnaqaña. <font color=blue>// Jichhüruxa achachilajaxa tunka chillqikamaki taqiniru uraqi jali. Tatajaxa jawasa yapxa tunkakama chillqt'asawa yapuchi. <font color=purple>[Am.: Chillqirpäña, chillqtaña, chillqirt'aña]</font></font>
chilltaña	<font color=ForestGreen>ar.</font> Qullqi churaña. <font color=ForestGreen>/</font> Chilltañaxa qullqsa yänaksa jamasata, kuna jikiñataki mayniru churañawa. K'arisirinakaxa, lunthatanakasa qullqi chilltasakiwa taripirinakampi mayachasxiri, jani taripayasiñataki. <font color=blue>// Antukuxa jach'a yatiqa utaru mantañatakixa qullqi chilltatayna.</font>
chilltañaxa	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Chilltañaxa qhathi watiya phasaru chilltasa manq'añawa. Sapxarakiwa kuna q'añu isi umaru t'axsuñataki uchantapxi. <font color=blue>// Ipalaxa axawiri qhathi phasaru chilltasa wali suma manq'i. Achachilajaxa janq'u phasa qhathimpi chilltañataki wakiyatayna.</font>
chillqtaña	<font color=ForestGreen>ar.</font> Sarnaqaña. <font color=ForestGreen>/</font> Chillqtañaxa chiqaki sayt'asina nayraqataru sarantañawa. Kayumpi ch'iqa kupi mächiqata yaqhachiqaru sartapxi, jaqisa uywasa nayraqataru kupi kayu jani ukaxa ch'iqa kayu aytasa sartañawa. <font color=blue>// Jach'a markaru kayuki sarkasina samaraña utjawina samaranta. Uka kullakaxa janiwa umana chillqtaña atkiti. Awkijaxa kuna lurata phuqhañasa mä chillqtawa, siriwa. </font>
chillqintaña	<font color=ForestGreen>ar.</font> Mantantaña. <font color=ForestGreen>/</font> Chillqintañaxa manqharu, aynacharu chillqintañawa. Kunarusa jani asxarasa mantañawa. <font color=blue>// Nayaxa aka qullu patxata khä aynacha manqhakamawa chillqintayätxa. Kullakajaxa juriruwa kayu chillqintatayna.</font>
chillqinuqawi	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chillqinuqawixa kayu uraqiru takt'atawa. Jaqixa sarnaqasa maysaru jani munasa kayu ayamukupxi, ukawa. <font color=blue>// Jichha arumaxa lariwa iwija apsutayna, ukata kayu ayamukutatxa. Wasüruwa markajana uraqi chillqinuqawiwa utjäna.</font>
chillu	<font color=ForestGreen>st.</font> Qala. <font color=ForestGreen>/</font> Chilluxa mä janq'u kasta qalawa, ukhama sapxarakiwa jach'a qalarusa. <font color=blue>// Chillu qalaxa apachitanakana utji. Markajana waliwa chillu qalaxa utji.</font>
chilu	<font color=ForestGreen>st.</font> Machura. <font color=ForestGreen>/</font> Jani urqu janiraki qachu, ukawa; jani ukaxa urqu uywanaka janchi manqhana, purakaru lip'katata mä q'urutani. <font color=blue>// Uka chilu iwija aljaniñawa. Taykajaxa chilu waka alasinitayna. <font color=purple>[Am.: Chipuluna, chipluna]</font></font>
chimala	<font color=ForestGreen>st.</font> Juyra. <font color=ForestGreen>/</font> Chimalaxa janiraki wila, janiraki q'illu qañawa achuwa. Chimala millk'impi ch'uqimpi phayasitaraki. <font color=blue>// Awichajaxa chimala jaru qañawa alasinitayna. Chimala qañawata lurt'ata akuxa sumapiniwa.</font>
chimpu	<font color=ForestGreen>st.</font> Chimpuña. <font color=ForestGreen>/</font> Chimpuxa uywana p'iqiparu amuyu samincha yäparu uñtata chimpumpi sutinchatawa. Qarwa, iwija, waka uywanakaruwa anatana jinchuru t'arwata t'ikhampi apkatasa, uruyañawa. <font color=blue>// Irpiri mallkunakana isinakapaxa kasta kasta sami chimpunakaniwa, sañäni: wila punchu, ch'uxña punchu, wari punchu, ukhamanaka. Qharüruxa iwijanakaruwa t'ikhanchañäni.</font>
chimpu	<font color=ForestGreen>st.</font> Suti chimpu. <font color=ForestGreen>/</font> Chimpuxa taqi jaqina suti lanti, jullipampi uskt'ata qillqata qhananchiriwa. <font color=blue>// Kullakajaxa suti chimpu armasiniwayatayna.</font>
chimpuña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Chimpuñaxa uywanaka, yänaka, uñt'añataki kunampisa chimpt'aña qhanäñapataki uskt'añawa. <font color=blue>// Nina nakhayaña (lakhayaña) p'uñumpisa chimpt'awayätawa jani uñt'añjamaspawa, kikpakamakïchixaya. Uka jaruchi qhana uñt'añataki chimpuñawa. Janiraki uñt'aña yatxsnati chimpt'awayatawa.</font>
chimpjaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Chimpjañaxa chiqanchaña, chimpt'aña, uñtayaña, uñanchayaña, uñt'ayaña kuna uraqi uywanaka, yänaka chimpjañawa. Anata k'illpha urunakawa iwija qallunaka jisk'a wawanakaru uywa uñjawipata chiqanchaña ukaxa jumankani khayaxa jupankaniwa, sasa uñachayaña. <font color=blue>// Jichhüruxa uraqi t'aqawiwa utji chimpjasiñäniwa siwa. Tatajawa jawsayapxitu, uraqi chimpjasiñäni siwa. Awichajaxa iwijanaka chimpjañäni, situwa.</font>
chimputa	<font color=ForestGreen>ar.</font> Chimputaxa yänaka uywanakata niya chiqañcht'ata, sutimpi  chimpt'ata uñt'asxañapataki. <font color=blue>// Uka ch'uqixa chimputäxiwa. Imilla janiwa uka yarana unuqiyaskätati chimputäxiwa.</font>
chimpjasiña	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chimpjasiñaxa kuna irnaqawina, uraqina, uywawina, yänaka jaljasiña, khitinkanisa sasa. <font color=blue>// Satuku Qharüruxa qallpanaka chimpjaniñäni.</font>
chimpsuña	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chimpsuñaxa kuna yänakaru, uywanakaru kunampisa taqpacha chimpurañawa. Iwijaru ukhamaraki wakaruxa qallunka jinchuta k'illphapxi, sarsillu, ukhama jinchuru apkataña, ukawa chimpuñaxa. Anata phaxina uywanakaru jinchunakata k'illpharaña, ukata wila t'arwampi chimpurapxi. Ukhamata uywanakaru jasaki uñt'aña. <font color=blue>// Uka qurpa, ujunaxa chimpsuñawa, uywanakasa mantanikispawa.</font>
chinchilla	<font color=ForestGreen>st.</font> Uywa. <font color=ForestGreen>/</font> Chinchillaxa wisk'acharu uñtata, ch'ikhu, uqi t'arwani pampa uywawa; jisk'pacha, jani ukaxa wank'uru uñtata pampa uywa. Jichha pachana chinchilla lip'ichixa wali thaqhatawa, isinaka lurañatakiwa aljapxi, jach'a jaya qullunakana chinchillaxa utji. <font color=blue>// Achachilajaxa janiwa chinchilla katurañäkiti sasawa ixwasiri. <font color=purple>[Am.: Chinchi]</font> </font>
chinchirkuma	<font color=ForestGreen>st.</font> Qulla ali. <font color=ForestGreen>/</font> Chinchirkumaxa mä jisk'a ch'uxña ali, qullu irana k'uchunakana jakasiri aliwa, pacha sarayirirakiwa. Ch'akhanaka t'ijitakixa wali kusa qulla aliwa. <font color=blue>// Imilla, chinchirkuma qullunakata pallanita.</font>
chinjasiña	<font color=ForestGreen>st.</font> Katxasiña. <font color=ForestGreen>/</font> Chinjasiñaxa jaqi masiru wali aruskipasa katxasiña. Uywarusa awatisina jark'xataña, ukata katxäsiña, ukawa. <font color=blue>// Uka istikuxa wawa katxäsiraqitu. <font color=purple>[Am.: Jark'antaña]</font></font>
chinkana	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chinkanaxa uraqi manqhana lluskhuya mä p'iya sarkixa uka tijiwa. Qhuyana sinti manqhata p'iysusa quri, qullqi apsupxi. <font color=blue>// Nayraxa Ispañulanakawa chinkanata qhuyalanaka apsupxäna. </font>
chinuqaña	<font color=ForestGreen>ar.</font> Jararaña. <font color=ForestGreen>/</font> Chinuqañaxa kuna ch'ankha, wiskha, q'urawa payaru jaljata uka chinthapiñawa, ukampirusa tukuyaru chinuqasa muqu lurt'añawa. Ukhamaraki kunsa chint'atäki uka jararasa, jaljasa chinthapiña. <font color=blue>// Lasiyuxa yuntaru jiykami t'aqasxarakisa, chint'xakchixaya kamacharakïxa. <font color=purple>[Aa.: Jaljaña, t'aqxaña, chinuraña]</font></font>
chinkataña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Chinkatañaxa kunasa jarartatäkïpana chinthapiña, mä uywa pikuta chinuñaparu katkataña. <font color=blue>// Satuku, waka jaraqtatäna, siwara manq'sutayna, chinkatanima ampi. Uka wakaxa sinti sarnaqi chinkatañawa. </font>
chinqi	<font color=ForestGreen>st.</font> Chupila. <font color=ForestGreen>/</font> Chinqixa warminakana chhuxurasiñapawa. Uka p'iyata wawasa yurki, ukawa. <font color=blue>// Chinqi usuta qullirixa jach'a qullana utanakana utji. Awichajaxa jani ist'asitatxa chinqi apkatama siriwa.</font>
