acjjz	<font color=green>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
ch'orawi	<font color=green>ESP:</font> tiempo frio\n<font color=blue>AYM:</font> ch'urawi\n<font color=orange>ENG:</font> cold weather
ch'oritu	<font color=green>ESP:</font> diseño, figura en el tejido\n<font color=blue>AYM:</font> ch'urulla\n<font color=orange>ENG:</font> design, weaving pattern
ch'oru	<font color=green>ESP:</font> pito, silbato\n<font color=blue>AYM:</font> pitu\n<font color=orange>ENG:</font> whistle
ch'oyz	<font color=green>ESP:</font> llorar en empatía\n<font color=blue>AYM:</font> jachjasiña\n<font color=orange>ENG:</font> to cry in sympathy
ch'ucja	<font color=green>ESP:</font> poco salado\n<font color=blue>AYM:</font> k'arjama\n<font color=orange>ENG:</font> a bit salty
ch'ucu	<font color=green>ESP:</font> costura\n<font color=blue>AYM:</font> ch'uku\n<font color=orange>ENG:</font> seam
ch'uj z̈ela	<font color=green>ESP:</font> ¡cállase!\n<font color=blue>AYM:</font> amuki!\n<font color=orange>ENG:</font> keep silent!, quiet!
ch'ujcje	<font color=green>ESP:</font> hacer callar, callar\n<font color=blue>AYM:</font> amukt'aña\n<font color=orange>ENG:</font> to silence, to quiet
ch'ujllkje	<font color=green>ESP:</font> seco y duro (madera, maiz, piedra)\n<font color=blue>AYM:</font> thuru, ch'ullqi\n<font color=orange>ENG:</font> hard and dry (wood, corn, rock)
ch'ujtz	<font color=green>ESP:</font> cortar cola\n<font color=blue>AYM:</font> wich'inka khuchuqaña\n<font color=orange>ENG:</font> to cut animal's tail
ch'uju	<font color=green>ESP:</font> callado, silencio\n<font color=blue>AYM:</font> amuki, ch'ujtata\n<font color=orange>ENG:</font> silent, quiet, silence
ch'ullpji	<font color=green>ESP:</font> granos muy duros\n<font color=blue>AYM:</font> ch'ullphi\n<font color=orange>ENG:</font> very hard grains
ch'ullpji	<font color=green>ESP:</font> tipo de quinua dura\n<font color=blue>AYM:</font> ajara\n<font color=orange>ENG:</font> type of hard quinua
ch'ullu	<font color=green>ESP:</font> gorro\n<font color=blue>AYM:</font> ch'ullu, lluch'u\n<font color=orange>ENG:</font> cap (clothing)
ch'ullz	<font color=green>ESP:</font> ponerse gorro\n<font color=blue>AYM:</font> ch'ulltasiña\n<font color=orange>ENG:</font> to put on a cap
ch'umpji	<font color=green>ESP:</font> color café\n<font color=blue>AYM:</font> ch'umphi\n<font color=orange>ENG:</font> brown
ch'umz	<font color=green>ESP:</font> chupar\n<font color=blue>AYM:</font> ch'umaña\n<font color=orange>ENG:</font> to suck
ch'uñ jaru	<font color=green>ESP:</font> agua en que se han lavado chuños\n<font color=blue>AYM:</font> ch'uñu uma\n<font color=orange>ENG:</font> water in which chuños have been washed
ch'uñu	<font color=green>ESP:</font> chuño, papa deshidratada\n<font color=blue>AYM:</font> ch'uñu\n<font color=orange>ENG:</font> dried potato
ch'uñuri	<font color=green>ESP:</font> helado, muy frio\n<font color=blue>AYM:</font> ch'uñuri\n<font color=orange>ENG:</font> frozen, freezing, icy
ch'uñz	<font color=green>ESP:</font> hacer chuños\n<font color=blue>AYM:</font> ch'uñuchaña\n<font color=orange>ENG:</font> to make dried potatoes
ch'uñz̈quic̈ha	<font color=green>ESP:</font> sentir frio\n<font color=blue>AYM:</font> ch'uñur amayuña\n<font color=orange>ENG:</font> to feel the cold
ch'utju	<font color=green>ESP:</font> ropa apretada\n<font color=blue>AYM:</font> mat'i\n<font color=orange>ENG:</font> tight clothes
ch'utju	<font color=green>ESP:</font> animal con cola pequeña\n<font color=blue>AYM:</font> mut'u\n<font color=orange>ENG:</font> animal with short tail
ch'utu	<font color=green>ESP:</font> loma\n<font color=blue>AYM:</font> ch'utu\n<font color=orange>ENG:</font> hillock, knoll
ch'uuchi = ch'uwanzkatz	<font color=green>ESP:</font> posarse\n<font color=blue>AYM:</font> ch'uwachaña\n<font color=orange>ENG:</font> to settle (liquid)
ch'uus	<font color=green>ESP:</font> cocinar grasa para hacer manteca pura\n<font color=blue>AYM:</font> lik'i phayaña\n<font color=orange>ENG:</font> to cook grease to make pure butter/lard
ch'uuz	<font color=green>ESP:</font> ordeñar, sacar leche\n<font color=blue>AYM:</font> ch'uwaña\n<font color=orange>ENG:</font> to milk
ch'uwanz	<font color=green>ESP:</font> ordeñar, sacar leche (para ayudar a otra persona)\n<font color=blue>AYM:</font> ch'uwaña, ch'uwachaña\n<font color=orange>ENG:</font> to milk (to help somebody)
ch'uwanzkatz = ch'uuchi	<font color=green>ESP:</font> posarse\n<font color=blue>AYM:</font> ch'uwachaña\n<font color=orange>ENG:</font> to settle (liquid)
ch'uwarz	<font color=green>ESP:</font> destilar, desaguar\n<font color=blue>AYM:</font> ch'uwaraña, kulantaña\n<font color=orange>ENG:</font> to drain, to distill
ch'uyi	<font color=green>ESP:</font> salado\n<font color=blue>AYM:</font> k'ara\n<font color=orange>ENG:</font> salty
c̈hajcz	<font color=green>ESP:</font> pegar, golpear\n<font color=blue>AYM:</font> ch'akurtaña\n<font color=orange>ENG:</font> to hit, to beat
c̈hajcz	<font color=green>ESP:</font> tirar\n<font color=blue>AYM:</font> jaqurtaña\n<font color=orange>ENG:</font> to throw
c̈hajczinz	<font color=green>ESP:</font> poner cuña\n<font color=blue>AYM:</font> chillpaña, chillpt'aña\n<font color=orange>ENG:</font> to drive a wedge
c̈hajczinz	<font color=green>ESP:</font> sostener\n<font color=blue>AYM:</font> katjasiña\n<font color=orange>ENG:</font> to sustain, to support
c̈hajpc̈hajpa	<font color=green>ESP:</font> sonido de arrastrar los pies\n<font color=blue>AYM:</font> qatatiña\n<font color=orange>ENG:</font> sound of shuffling feet
c̈hara	<font color=green>ESP:</font> piedra calcárea\n<font color=blue>AYM:</font> q'ataw qala\n<font color=orange>ENG:</font> limestone
c̈heljz	<font color=green>ESP:</font> atar\n<font color=blue>AYM:</font> ch'intaña\n<font color=orange>ENG:</font> to tie, to fasten
c̈heri amanta	<font color=green>ESP:</font> comida favorita\n<font color=blue>AYM:</font> manq'a jajllita\n<font color=orange>ENG:</font> favorite food
c̈hjaajs	<font color=green>ESP:</font> reconocer por la voz\n<font color=blue>AYM:</font> arut int'aña\n<font color=orange>ENG:</font> to recognize by voice
c̈hjaawjkatz	<font color=green>ESP:</font> insultar\n<font color=blue>AYM:</font> sik'acht'aña\n<font color=orange>ENG:</font> to insult
c̈hjaawjz	<font color=green>ESP:</font> odiar\n<font color=blue>AYM:</font> iñisiña\n<font color=orange>ENG:</font> to hate
c̈hjacz	<font color=green>ESP:</font> sembrar\n<font color=blue>AYM:</font> sataña, yapuchaña\n<font color=orange>ENG:</font> to sow, to plant
c̈hjajjta	<font color=green>ESP:</font> áspero\n<font color=blue>AYM:</font> khankha\n<font color=orange>ENG:</font> rough
c̈hjajjtz	<font color=green>ESP:</font> estar sucio con comida\n<font color=blue>AYM:</font> ch'isllichasita, qhirqhintasita\n<font color=orange>ENG:</font> to be dirty from eating
c̈hjajp c̈hjajpa	<font color=green>ESP:</font> caminar arrastrando los pies\n<font color=blue>AYM:</font> kayu qatatiña\n<font color=orange>ENG:</font> to shuffle the feet when walking
c̈hjajpa	<font color=green>ESP:</font> arrastrando los pies\n<font color=blue>AYM:</font> qatatiña, latt'aña\n<font color=orange>ENG:</font> shuffling feet
c̈hjajri	<font color=green>ESP:</font> rajado\n<font color=blue>AYM:</font> ch'iyartata, taxa\n<font color=orange>ENG:</font> cracked, old with fine hairline cracks
c̈hjajrins	<font color=green>ESP:</font> rajarse\n<font color=blue>AYM:</font> ch'iyart'asiña\n<font color=orange>ENG:</font> to crack
c̈hjakz	<font color=green>ESP:</font> chocarse, toparse\n<font color=blue>AYM:</font> thuqhthapiña, waxrtapiña\n<font color=orange>ENG:</font> to bump into, to crash
c̈hjapunz	<font color=green>ESP:</font> poner marca en oreja de animal con aguja\n<font color=blue>AYM:</font> chimpuña, chhitsuña\n<font color=orange>ENG:</font> to put a thread in animal's ear to mark
c̈hjapz	<font color=green>ESP:</font> punzar, clavar\n<font color=blue>AYM:</font> chhuqhuntaña, ch'akuntaña\n<font color=orange>ENG:</font> to prick, to nail, to pierce
c̈hjata	<font color=green>ESP:</font> sandalia\n<font color=blue>AYM:</font> wiskhu\n<font color=orange>ENG:</font> sandal
c̈hjatz	<font color=green>ESP:</font> ponerse sandalias\n<font color=blue>AYM:</font> wiskhuntasiña\n<font color=orange>ENG:</font> to put on sandals
c̈hjawjwa	<font color=green>ESP:</font> piedra liviana y blanca\n<font color=blue>AYM:</font> phaña phaña\n<font color=orange>ENG:</font> light and white stone
c̈hjawkz	<font color=green>ESP:</font> comer con las manos\n<font color=blue>AYM:</font> amparanti manq'aña, muk'untaña\n<font color=orange>ENG:</font> to eat with hands
c̈hjeetz	<font color=green>ESP:</font> estirarse, tesar\n<font color=blue>AYM:</font> jalatataña\n<font color=orange>ENG:</font> to stretch oneself, to extend
c̈hjejkjallu	<font color=green>ESP:</font> haba\n<font color=blue>AYM:</font> jawasa\n<font color=orange>ENG:</font> lima bean
c̈hjekanz	<font color=green>ESP:</font> babear\n<font color=blue>AYM:</font> llawsakipaña\n<font color=orange>ENG:</font> to drool
c̈hjela	<font color=green>ESP:</font> cochinillo\n<font color=blue>AYM:</font> khuchi qallu\n<font color=orange>ENG:</font> piglet
c̈hjeranz	<font color=green>ESP:</font> pisar quinua\n<font color=blue>AYM:</font> juyra taksuña\n<font color=orange>ENG:</font> to press quinua (by stepping on it)
c̈hjeri	<font color=green>ESP:</font> comida\n<font color=blue>AYM:</font> manq'a\n<font color=orange>ENG:</font> food
c̈hjetinz	<font color=green>ESP:</font> sanar\n<font color=blue>AYM:</font> walikipaña\n<font color=orange>ENG:</font> to heal, to make well
c̈hjijcz	<font color=green>ESP:</font> peinar\n<font color=blue>AYM:</font> chhaxrasiña\n<font color=orange>ENG:</font> to comb
c̈hjijlc̈hjijlz	<font color=green>ESP:</font> sentir una sensación suave\n<font color=blue>AYM:</font> t'ajaña\n<font color=orange>ENG:</font> to feel a soft sensation
c̈hjijlinz	<font color=green>ESP:</font> cosquillear suavemente\n<font color=blue>AYM:</font> qhichiliraña\n<font color=orange>ENG:</font> to tickle real softly
c̈hjijpz	<font color=green>ESP:</font> trasquilar\n<font color=blue>AYM:</font> llawiraña\n<font color=orange>ENG:</font> to shear
c̈hjijtchi	<font color=green>ESP:</font> oxidado\n<font color=blue>AYM:</font> sarruta\n<font color=orange>ENG:</font> rusty
c̈hjijts	<font color=green>ESP:</font> echar pedos\n<font color=blue>AYM:</font> siraña\n<font color=orange>ENG:</font> to pass gas
c̈hjijts	<font color=green>ESP:</font> lanzar un líquido fétido (mofeta)\n<font color=blue>AYM:</font> sirakipaña\n<font color=orange>ENG:</font> to stink (skunk)
c̈hjijtz	<font color=green>ESP:</font> oxidar\n<font color=blue>AYM:</font> sarruntaña\n<font color=orange>ENG:</font> to rust
c̈hjojra	<font color=green>ESP:</font> Playerito (ave acuática con patas negras)\n<font color=blue>AYM:</font> chhuxra\n<font color=orange>ENG:</font> Baird's Sandpiper (waterbird with black feet)
c̈hjojri	<font color=green>ESP:</font> pulmón\n<font color=blue>AYM:</font> chuyma\n<font color=orange>ENG:</font> lung
c̈hjojz	<font color=green>ESP:</font> gotear\n<font color=blue>AYM:</font> ch'aqaña\n<font color=orange>ENG:</font> to drip
c̈hjoyi	<font color=green>ESP:</font> lazo preparado para enlazar\n<font color=blue>AYM:</font> lasu\n<font color=orange>ENG:</font> lasso prepared to catch animals
c̈hjoyz	<font color=green>ESP:</font> enlazar\n<font color=blue>AYM:</font> lasuntaña\n<font color=orange>ENG:</font> to lasso
c̈hjujc ata	<font color=green>ESP:</font> párpado\n<font color=blue>AYM:</font> nayra phichu\n<font color=orange>ENG:</font> eyelid
c̈hjujc tsems	<font color=green>ESP:</font> pestaña\n<font color=blue>AYM:</font> nayra chhipchu\n<font color=orange>ENG:</font> eyelash
c̈hjujqui	<font color=green>ESP:</font> ojo\n<font color=blue>AYM:</font> nayra\n<font color=orange>ENG:</font> eye
c̈hjujqui	<font color=green>ESP:</font> diseño en el tejido\n<font color=blue>AYM:</font> nayra\n<font color=orange>ENG:</font> weaving pattern
c̈hjujquic̈hjujqui	<font color=green>ESP:</font> soga de 16 caitos\n<font color=blue>AYM:</font> taypi q'urawa\n<font color=orange>ENG:</font> rope of 16 threads
c̈hjujs	<font color=green>ESP:</font> afeitar\n<font color=blue>AYM:</font> aphiytasiña\n<font color=orange>ENG:</font> to shave
c̈hjujz	<font color=green>ESP:</font> limpiar\n<font color=blue>AYM:</font> pichaña\n<font color=orange>ENG:</font> to clean
c̈hjul jjapa	<font color=green>ESP:</font> ¿para qué?\n<font color=blue>AYM:</font> kunataki?\n<font color=orange>ENG:</font> what for?
c̈hjul tjuuchiz ni	<font color=green>ESP:</font> ¿cómo se llama?\n<font color=blue>AYM:</font> kunamas sutmax?\n<font color=orange>ENG:</font> what's his name?, what's this called?
c̈hjulo	<font color=green>ESP:</font> ¿qué cosa?\n<font color=blue>AYM:</font> kunasa?\n<font color=orange>ENG:</font> what?, what's up?
c̈hjulora	<font color=green>ESP:</font> ¿cuándo?, ¿a qué hora?\n<font color=blue>AYM:</font> kunuru?, kuna urasa?\n<font color=orange>ENG:</font> when?, at what time?
c̈hjultaki	<font color=green>ESP:</font> todas las cosas, todo\n<font color=blue>AYM:</font> taqikuna\n<font color=orange>ENG:</font> everything
c̈hjulu	<font color=green>ESP:</font> ¿qué?\n<font color=blue>AYM:</font> kuna?\n<font color=orange>ENG:</font> what?
c̈hjulumi	<font color=green>ESP:</font> cualquiera\n<font color=blue>AYM:</font> kawkipasa\n<font color=orange>ENG:</font> whichever, whatever
c̈hjulut iya	<font color=green>ESP:</font> ¿qué más?\n<font color=blue>AYM:</font> juk'anti kuna?\n<font color=orange>ENG:</font> what else?
c̈hjuuz	<font color=green>ESP:</font> amasar pan\n<font color=blue>AYM:</font> chapuña\n<font color=orange>ENG:</font> to knead bread
c̈hjuuz	<font color=green>ESP:</font> soñar\n<font color=blue>AYM:</font> samkaña, muspaña\n<font color=orange>ENG:</font> to dream
c̈hojk komi	<font color=green>ESP:</font> muslo\n<font color=blue>AYM:</font> chara\n<font color=orange>ENG:</font> thigh
c̈hokja	<font color=green>ESP:</font> grueso, gordo\n<font color=blue>AYM:</font> phatu\n<font color=orange>ENG:</font> thick, fat
c̈hoqui	<font color=green>ESP:</font> espina en la piel\n<font color=blue>AYM:</font> ch'apintata\n<font color=orange>ENG:</font> thorn in the skin
c̈horinz	<font color=green>ESP:</font> inarmónico\n<font color=blue>AYM:</font> q'ayma\n<font color=orange>ENG:</font> disharmonious
c̈h'aaz	<font color=green>ESP:</font> tapar\n<font color=blue>AYM:</font> llupantaña\n<font color=orange>ENG:</font> to cover
c̈h'ajlz	<font color=green>ESP:</font> partir con las manos\n<font color=blue>AYM:</font> p'achjaña, jaljaña\n<font color=orange>ENG:</font> to break/to divide with the hands
c̈h'atz	<font color=green>ESP:</font> morder\n<font color=blue>AYM:</font> achuqaña\n<font color=orange>ENG:</font> to bite
c̈h'eja	<font color=green>ESP:</font> voz ronca\n<font color=blue>AYM:</font> ch'axa\n<font color=orange>ENG:</font> hoarse voice
c̈h'eka	<font color=green>ESP:</font> talón\n<font color=blue>AYM:</font> kayu wintu\n<font color=orange>ENG:</font> heel
c̈h'etz	<font color=green>ESP:</font> gimotear, lloriquear\n<font color=blue>AYM:</font> jachjasiña\n<font color=orange>ENG:</font> to whine, to whimper
c̈h'icz	<font color=green>ESP:</font> dar codazo para silenciar\n<font color=blue>AYM:</font> amukt'aña\n<font color=orange>ENG:</font> to nudge, to poke with elbow to silence
c̈h'iwu	<font color=green>ESP:</font> vena\n<font color=blue>AYM:</font> sirka\n<font color=orange>ENG:</font> vein
c̈h'ujlñi	<font color=green>ESP:</font> fiebre\n<font color=blue>AYM:</font> junt'u\n<font color=orange>ENG:</font> fever
c̈h'utu	<font color=green>ESP:</font> espuma\n<font color=blue>AYM:</font> jupuqu\n<font color=orange>ENG:</font> foam
c̈h'utz	<font color=green>ESP:</font> remojar para tostar\n<font color=blue>AYM:</font> ch'ulluchaña jimp'itaki\n<font color=orange>ENG:</font> to soak in order to toast
eca	<font color=green>ESP:</font> dejado\n<font color=blue>AYM:</font> jaytata\n<font color=orange>ENG:</font> left
ecliz	<font color=green>ESP:</font> quedar\n<font color=blue>AYM:</font> kirasiña, ukhamankaña\n<font color=orange>ENG:</font> to stay
ecz	<font color=green>ESP:</font> dejar\n<font color=blue>AYM:</font> jaytaña\n<font color=orange>ENG:</font> to leave
eecz̈	<font color=green>ESP:</font> tener hambre\n<font color=blue>AYM:</font> manq'at awtjayasiña\n<font color=orange>ENG:</font> to be hungry
ejcks	<font color=green>ESP:</font> miedo\n<font color=blue>AYM:</font> jiwtaña\n<font color=orange>ENG:</font> fear
ejcksnuc̈ha	<font color=green>ESP:</font> temer\n<font color=blue>AYM:</font> jiwtasiña\n<font color=orange>ENG:</font> to fear, to be afraid of
ejks	<font color=green>ESP:</font> tener miedo\n<font color=blue>AYM:</font> jiwtayasiña\n<font color=orange>ENG:</font> to fear
ejp	<font color=green>ESP:</font> padre, papá\n<font color=blue>AYM:</font> tata\n<font color=orange>ENG:</font> father
ejtz	<font color=green>ESP:</font> hincharse\n<font color=blue>AYM:</font> puquraña\n<font color=orange>ENG:</font> to swell
eka	<font color=green>ESP:</font> cuerda para medir\n<font color=blue>AYM:</font> iqa\n<font color=orange>ENG:</font> string to measure distance
ekaña	<font color=green>ESP:</font> soga larga\n<font color=blue>AYM:</font> wiskha, (iqaña)\n<font color=orange>ENG:</font> long rope
ekara	<font color=green>ESP:</font> grasa alrededor de organos internos\n<font color=blue>AYM:</font> lik'i\n<font color=orange>ENG:</font> fat on organs
enke	<font color=green>ESP:</font> buche\n<font color=blue>AYM:</font> kutu, q'utu\n<font color=orange>ENG:</font> crop (birds)
erke erke	<font color=green>ESP:</font> cuernito de vaca usado como instrumento de música en carnaval\n<font color=blue>AYM:</font> irqi irqi\n<font color=orange>ENG:</font> small horn of cow used as musical instrument during carnival
ewi	<font color=green>ESP:</font> el año pasado\n<font color=blue>AYM:</font> mimara\n<font color=orange>ENG:</font> last year
ewjiz	<font color=green>ESP:</font> encargar\n<font color=blue>AYM:</font> iwxaña\n<font color=orange>ENG:</font> to advise, to entrust, to order
ewjt'iz	<font color=green>ESP:</font> recomendar\n<font color=blue>AYM:</font> iwxt'aña\n<font color=orange>ENG:</font> to recommend
ewu	<font color=green>ESP:</font> nuevo\n<font color=blue>AYM:</font> machaqa\n<font color=orange>ENG:</font> new
ez	<font color=green>ESP:</font> caer\n<font color=blue>AYM:</font> jaquqtaña, tinktaña\n<font color=orange>ENG:</font> to fall, to lay back
ezezñi	<font color=green>ESP:</font> caerse a cada rato\n<font color=blue>AYM:</font> jaqukiptaña\n<font color=orange>ENG:</font> to fall all the time
icliza	<font color=green>ESP:</font> iglesia\n<font color=blue>AYM:</font> iklisha\n<font color=orange>ENG:</font> church
icz	<font color=green>ESP:</font> vientre\n<font color=blue>AYM:</font> puraka, (qhalampaña)\n<font color=orange>ENG:</font> belly
icz	<font color=green>ESP:</font> preñar\n<font color=blue>AYM:</font> walq'iraña\n<font color=orange>ENG:</font> to impregnate (animals)
ich	<font color=green>ESP:</font> mamar\n<font color=blue>AYM:</font> ñuñuña\n<font color=orange>ENG:</font> to suckle, to nurse
ijcz	<font color=green>ESP:</font> raspar\n<font color=blue>AYM:</font> khitsuña\n<font color=orange>ENG:</font> to scrape
ijcz	<font color=green>ESP:</font> tocar la guitarra\n<font color=blue>AYM:</font> qhalampaña, kitarjat'iña\n<font color=orange>ENG:</font> to play the guitar
ijtz	<font color=green>ESP:</font> dar\n<font color=blue>AYM:</font> churaña\n<font color=orange>ENG:</font> to give
ilu	<font color=green>ESP:</font> hilo\n<font color=blue>AYM:</font> q'aytu\n<font color=orange>ENG:</font> thread
illawa	<font color=green>ESP:</font> palo envuelto con hilo para levantar los urdimbres\n<font color=blue>AYM:</font> illawa\n<font color=orange>ENG:</font> stick with thread to raise the warps (weaving)
illmaz	<font color=green>ESP:</font> amuleto de piedra relacionado con la fertilidad\n<font color=blue>AYM:</font> illa\n<font color=orange>ENG:</font> fertility amulet made of stone
ills	<font color=green>ESP:</font> escoger, seleccionar\n<font color=blue>AYM:</font> jajlliña\n<font color=orange>ENG:</font> to choose, to select
illz	<font color=green>ESP:</font> levantar uno por uno\n<font color=blue>AYM:</font> pallsuña\n<font color=orange>ENG:</font> to pick up/to raise one by one
imazi	<font color=green>ESP:</font> todavía\n<font color=blue>AYM:</font> janira\n<font color=orange>ENG:</font> still, not yet
imill kiza	<font color=green>ESP:</font> papa morada\n<font color=blue>AYM:</font> imill ch'uqi\n<font color=orange>ENG:</font> purple potato
impuru	<font color=green>ESP:</font> embudo\n<font color=blue>AYM:</font> impuru\n<font color=orange>ENG:</font> funnel
ina	<font color=green>ESP:</font> nunca\n<font color=blue>AYM:</font> inapini, janipini\n<font color=orange>ENG:</font> never
inakaz	<font color=green>ESP:</font> en vano, sin éxito\n<font color=blue>AYM:</font> inaki\n<font color=orange>ENG:</font> in vain, unsuccessfully
inapampa	<font color=green>ESP:</font> sin sentido\n<font color=blue>AYM:</font> inaki\n<font color=orange>ENG:</font> meaningless
inapan	<font color=green>ESP:</font> en vano\n<font color=blue>AYM:</font> inakipini\n<font color=orange>ENG:</font> in vain
inapankaz	<font color=green>ESP:</font> en vano, sin mucho motivo\n<font color=blue>AYM:</font> inaki\n<font color=orange>ENG:</font> in vain, without reason or purpose
inaugurz	<font color=green>ESP:</font> inaugurar\n<font color=blue>AYM:</font> inawuraña\n<font color=orange>ENG:</font> to inaugurate
inca	<font color=green>ESP:</font> Inca\n<font color=blue>AYM:</font> inka\n<font color=orange>ENG:</font> the Inca people
incallz	<font color=green>ESP:</font> engañar\n<font color=blue>AYM:</font> impataña\n<font color=orange>ENG:</font> to deceive
intaz	<font color=green>ESP:</font> mirar\n<font color=blue>AYM:</font> intaña\n<font color=orange>ENG:</font> to watch
intintiz	<font color=green>ESP:</font> entender\n<font color=blue>AYM:</font> intintiña\n<font color=orange>ENG:</font> to understand
intirjiz	<font color=green>ESP:</font> entregar\n<font color=blue>AYM:</font> churaña\n<font color=orange>ENG:</font> to deliver, to hand over
intiru	<font color=green>ESP:</font> entero\n<font color=blue>AYM:</font> intiru\n<font color=orange>ENG:</font> entire, complete
inurinti	<font color=green>ESP:</font> ignorante\n<font color=blue>AYM:</font> janiwa\n<font color=orange>ENG:</font> ignorant
inzinz̈u	<font color=green>ESP:</font> incienso\n<font color=blue>AYM:</font> insinshu\n<font color=orange>ENG:</font> incense
iñaráz	<font color=green>ESP:</font> mirarse si se está vestido bien\n<font color=blue>AYM:</font> iñarasiña\n<font color=orange>ENG:</font> to check if one is dressed properly, to primp
iñarz	<font color=green>ESP:</font> pensar mal al observar\n<font color=blue>AYM:</font> iñaraña\n<font color=orange>ENG:</font> to have negative thoughts when looking at sth./sb.
iñarz	<font color=green>ESP:</font> despreciar\n<font color=blue>AYM:</font> iñaraña\n<font color=orange>ENG:</font> to despise, to disdain
iñi ziz	<font color=green>ESP:</font> sentirse no tratado bien, resentirse\n<font color=blue>AYM:</font> iñisita, chuyma ust'ata\n<font color=orange>ENG:</font> to feel poorly treated, to feel hurt
ipali	<font color=green>ESP:</font> tía, hermana del padre\n<font color=blue>AYM:</font> ipala\n<font color=orange>ENG:</font> aunt on father's side
iquimutz	<font color=green>ESP:</font> dormir fuera de la casa por algún motivo\n<font color=blue>AYM:</font> ikimuchaña\n<font color=orange>ENG:</font> to sleep away from home for some reason
ir irz	<font color=green>ESP:</font> ponerse y sacarse la ropa\n<font color=blue>AYM:</font> kisiña, isi apsusiña\n<font color=orange>ENG:</font> to put on and off clothes
ira	<font color=green>ESP:</font> túnica\n<font color=blue>AYM:</font> ira\n<font color=orange>ENG:</font> tunic
ira	<font color=green>ESP:</font> guía de instrumentos musicales\n<font color=blue>AYM:</font> ira\n<font color=orange>ENG:</font> leading musical instrument
irakaz	<font color=green>ESP:</font> sueño que se cumple\n<font color=blue>AYM:</font> chiqa samka\n<font color=orange>ENG:</font> dream which comes true
irantiz	<font color=green>ESP:</font> llegar\n<font color=blue>AYM:</font> irantaña\n<font color=orange>ENG:</font> to arrive
iraquipz	<font color=green>ESP:</font> negar\n<font color=blue>AYM:</font> janiw saña\n<font color=orange>ENG:</font> to deny
iraquipz	<font color=green>ESP:</font> resentirse\n<font color=blue>AYM:</font> sintisiña\n<font color=orange>ENG:</font> to feel resentful/sad
irata	<font color=green>ESP:</font> igual\n<font color=blue>AYM:</font> kijpa\n<font color=orange>ENG:</font> equal, alike
irinsa	<font color=green>ESP:</font> herencia\n<font color=blue>AYM:</font> tuti\n<font color=orange>ENG:</font> inheritance
irjatz	<font color=green>ESP:</font> llegar\n<font color=blue>AYM:</font> irjataña, puriña\n<font color=orange>ENG:</font> to arrive
irjatz	<font color=green>ESP:</font> acertar\n<font color=blue>AYM:</font> irjataña\n<font color=orange>ENG:</font> to predict
irjiz	<font color=green>ESP:</font> pegar hasta atemorizar\n<font color=blue>AYM:</font> irjaña\n<font color=orange>ENG:</font> to hit a person till frightened
irjt'iz	<font color=green>ESP:</font> pegar hasta desmayar\n<font color=blue>AYM:</font> irjt'aña\n<font color=orange>ENG:</font> to beat a person till unconscious
irke ocjala	<font color=green>ESP:</font> niño despechado\n<font color=blue>AYM:</font> irqi wawa\n<font color=orange>ENG:</font> child who doesn't nurse anymore
irpakz	<font color=green>ESP:</font> separar a un niño de sus padres\n<font color=blue>AYM:</font> irpaqaña\n<font color=orange>ENG:</font> to separate a child from parents
irpakz	<font color=green>ESP:</font> raptar a la novia\n<font color=blue>AYM:</font> irpaqaña\n<font color=orange>ENG:</font> to abduct one's fiancée
irpantiz	<font color=green>ESP:</font> ir a vivir juntos sin registro/sin ritos\n<font color=blue>AYM:</font> irpantaña\n<font color=orange>ENG:</font> to go live together without registration or ceremony
irpiñi	<font color=green>ESP:</font> guía\n<font color=blue>AYM:</font> irpiri\n<font color=orange>ENG:</font> a guide
irpiz	<font color=green>ESP:</font> guiar\n<font color=blue>AYM:</font> irpaña\n<font color=orange>ENG:</font> to guide
irpjatz	<font color=green>ESP:</font> hacer conocer, presentar\n<font color=blue>AYM:</font> irpjataña, int'ayaña\n<font color=orange>ENG:</font> to introduce, to present
irpsas	<font color=green>ESP:</font> fugarse para vivir juntos\n<font color=blue>AYM:</font> irpsuña\n<font color=orange>ENG:</font> to elope
irpzuz	<font color=green>ESP:</font> separarse luego de fugarse de casa (pareja)\n<font color=blue>AYM:</font> irpsuña\n<font color=orange>ENG:</font> to separate after having run away from home (couple)
irt'iz	<font color=green>ESP:</font> comprar para compartir\n<font color=blue>AYM:</font> irt'aña, iräña\n<font color=orange>ENG:</font> to buy something to share
iru	<font color=green>ESP:</font> tieso, duro\n<font color=blue>AYM:</font> iru (iru wichhu) (iru lak'utu)\n<font color=orange>ENG:</font> stiff, hard
irz	<font color=green>ESP:</font> abrigo, abrigarse\n<font color=blue>AYM:</font> awriwu, awayrant'asiña, puncht'asiña\n<font color=orange>ENG:</font> coat, to put on a coat
is	<font color=green>ESP:</font> lamer\n<font color=blue>AYM:</font> aqaraña, llawraña\n<font color=orange>ENG:</font> to lick
iscaso	<font color=green>ESP:</font> escaso\n<font color=blue>AYM:</font> pisi\n<font color=orange>ENG:</font> scarce, limited
isñi	<font color=green>ESP:</font> uña\n<font color=blue>AYM:</font> sillu\n<font color=orange>ENG:</font> nail
ispiju	<font color=green>ESP:</font> espejo\n<font color=blue>AYM:</font> ispiju\n<font color=orange>ENG:</font> mirror
