abadesa	Aware:sa.
cuánto cuesta?	Jankarimeła'a.
cuánto son? ¿cuánto hay?	Jankara'is.
cuatro	Oyka:ra.
cubrí	Pakałe.
cuchara	Kucha:ra.
cuchara	Sawła.
cucharon de tutuma conocido como matato	Do'la.
cuchichear	Ława'cheł.
cuchillito	Kachirampiń.
cuchillo	Kachi:ra.
cuco o cigarra	Riri:ya.
cuco o cigarra	Yariya:ri.
cuello de los dedos	Chovajdimpo.
cuello de una prenda de estir	Woro:keł.
cuentero	Ajasi:pa.
cuento narración	Ajarawa:nas.
cuerno	Chankwa.
cuero	Bebeńkwa.
cuero de capibara	Niyo:beń.
cuero de gato montés	Chuyuwambeń.
cuerpo	Loba:ba.
cuerpo grueso	Powlo:ba.
cuervo margullón	Chosdi.
cueva	Siłkwa.
cueva	Wala:si.
cuidado	Cho:ne.
cuidar	Velna.
cuidar un sembradío	Ayaye:na.
cumplir año	Imtinonake:łe.
cuñada	Chejta.
cuñado	Kweńtuj.
cura	Pa:'i.
curandero	Lawajeschaye:pa.
curandero	Lawajeschaye:pa.
curi	Kavosdi.
curiche	Jaya:cho.
curichi fangoso	Betełkwa.
curichón	Jayacho:mo.
curucusí o luciérnaga	Deta:di.
curupaú	(árbol) Małaḿ.
cusi	Wajle.
cusisal	Wajle:mo.
cuyabo	Baw'i.
da lastima	Beyka.
da rabia	Jalayni.
dar a luz o parir	Tami:ti'.
dar ánimo	Use:łe.
dar campo	Tata:choł.
dar consejo	Bokowe:łe.
dare cuenta	Onabaycho.
dar en el blanco	Bisi'na.
dar instrucciones	Vatalo:maj.
darle algo	Kaya:łe.
darle crédito	Wawasinapojna.
darle de chupar	Nona:poj.
darle de comer a alguien	Kaya:poj.
darle el pecho	Nona:ye.
darle el pecho al bebé	Nona:poj.
darle huasca	Masna.
darle la forma a algo redondo	(por ejemplo hacer tinaja) Paya:ba.
darle la vuelta a algo	Dapilna.
dar media vuelta	Volkwa.
dar nombre	Bań'ełe.
dar nombre	Kema:'eł.
dar paliza a alguien	Baya:ye.
dar paso	Dowajdes.
dar patadas	Łeke:łe.
darse a la fuga	Jay'asłe.
darse la mano	Tolacho:pa.
darse la vuelta con todo el cuerpo	Sapilcho:ni.
darse por vencido	Kwaybaycho.
dar vuelta por algo	Japa:łe.
dar vuelta por algo redondo	Japilna.
dar vuelta por la plaza	Japalo:los.
dar vueltas alrededor de algo	Jaḿkałe:na.
dar vueltas por algo	Jula:łe.
de adrede	Kwajrada:ni.
de a poquito	Beyka:ra.
debajo de algo	Dayko.
debajo de algo	Deyko.
debajo de un mueble	Chodo:wi.
de buenas ideas	Jirankabaycho.
de buen tamaño	Manne.
decente	Si'way.
decir	Jankwa.
decir la verdad	Chona:ra.
decir la verdad	Wawasi:na.
decirle a alguien lo que tiene que hacer	Kemalo:maj.
de color bonito	Jiranlo:we.
de conducta intachable	Wa:yes.
dedo de las manos	Dimpa.
dedo del pie	Dimpoj.
de donde se viene	Jeyna.
de este tamaño	Ya:desna.
defecar	Momo:kwa.
defecar sangre	Momodonna.
defecarse	Momo:cheł.
defender algo	Bore:na.
degollado	Da'tu.
degollar	Daka:tu.
degollarse	Da'tucheł.
dejá!	Chu'.
déjalo	Cheła'a.
déjame	Ka'cheł.
deja! ¡no!	Ka'.
dejar atrás	Ela:na.
dejar de existir	Ya:loma:maj.
dejar en el monte	Daya:moł.
dejar fermentar una masa o un barro	Daya:buń.
dejarle hacer algo a alguien	Ka'pojcheł.
dejar o asentar una cosa en el suelo	Daykara:na.
dejar pasar el agua	Chilo:lo.
de la misma altura	Imkalo:ni.
de la misma edad	Imbaycho.
de la misma fuerza	Imkakatejni.
de la misma idea	Imkabaycho:ni.
delante	Bura:da.
delgado	(por ejemplo una tela) So:roy.
delito	Ko:vij.
del medio de la madera incorruptible	Terescho:ma.
del mismo precio	Imkarimełni.
del otro lado	Aldimmajye.
de mala calidad	Jeysi.
de mañana	Ima:yoj.
de nada	Manra.
de noche	Imayni.
dentro de la casa	Roya:cho.
denunciar	Kema:si.
denunciar algo	Dita:toł.
de otra forma	Sońlo:wes.
de otra persona	So:tełe.
de parado	Ena'.
de paso	Pajas.
de pocas palabras	Beysineł.
de preocuparse	Rujałni:ra.
de primero	Naykachin.
derecho	Bo:łoḿ.
de repente	Bu'karani.
de repente	Ji:nana'.
de rodillas	Enchina:mo.
derramado	Jopa'si.
derretirse	Mańlo:lo.
desangrarse	Ba:do:don.
desaparecer	Ba:kaloma:maj.
desaparecer	Dayima'ni.
desatar	Mańna.
desatarse	Mańłe:łe.
desayuno	Ya'muj.
desbaratado	Raka:ba.
desbarrancar	Ło'cho:cho.
descansar	Ajtejni.
descendencia	Jeyłe.
descocer algo	Matadineł.
descocer algo	Raładineł.
descocerse	Rałdinełe.
descolgado	Lemłe:łe.
descolgar una cosa	Lemlem.
descolorizarse	Ba:lowe:we.
descomponer	(por ejemplo cuando uno se quiebra un hueso) Daku:kul.
descompuesto	Dońra:ni.
desecharse	Ralcheł.
desgajado	Jescho:pa.
desgajar	Jesacho:pa.
desgajar	Latato'lej.
desgajarse	Jeschopa:pa.
desgranar	Mułna.
deshacer algo	Ba:kalomajna.
deshacerse	Ba:kaloma:maj.
deshecho	Raka:ba.
deshierbar	Wajna.
deshojar maíz	Bisa:choł.
desmayarse	Sońte'.
desmontar	Dasa:mo.
desmontar de un animal	Łoḿpoye:łe.
desmoronarlo	Loka:cho.
desnudo	Banne.
despachar a alguien	Jopa:ye.
despachar a varias personas	Joḿkaye:na.
despacio	Ji:bal.
desparramar algo	Rakamocho:na.
desparramarlo	Tamolna.
desparramarse	Mu:masłe.
despedir gas	Rosońkwa.
despejado	(por ejemplo un patio sin árboles) Bancho.
despertador	Tarawamba:ni.
despertar	Ta:ra.
despertarle a alguien	Tama:ye.
despintarse	Ba:lowe:we.
desplumar ave	Puła:mo.
desportillarse	Kańcho:cho.
desportillarse	Kili:liń.
despreciar	Donna.
despreciar	Nanalopa:nas.
desprender algo	Besa:choł.
desprender algo	Besa:łe.
desprenderlo	Besna.
desprenderse	Bescho:łe.
desprenderse	Lo'łe:łe.
desprendido	(por ejemplo una calucha de su cascara) Toschoł.
después	Jayłe.
desquitar	Bawpane:łe.
desquitar algo	Bońcho:na.
destapada la apertura de un recipiente	Kelwa.
destripar	Kola:cho.
desviar la mirada	Noyka:kwa.
de tiempo pasado	Isos.
de toda clase	O:kaka:ra.
detrás de mi cadera	Mosi:si.
de una manera u otra	O'okakawiłna.
de verdad	Choy.
de verdad	Kwajradan.
devolver algo	Chonajna.
devolver un favor	Bawlomajwa.
día	Je:mes.
día del festejo	Chonlo:wes.
día lluvioso	Jemeslu'.
dialogo	Alwa.
dicen	Dela'wa.
diente	Soyła.
dientes limados	Tajła.
difícil	Ba:lomajna.
difícil	Batejasra.
difunto	Kayni.
digno de lastima	Łavo:ni.
dinero	Pola:ta.
discutir	Ba:kawanne:cheł.
disparar con un arma de fuego	Manna.
disparar un tiro	Ma:ni.
distraerse	O:kabaycho.
distraerse a pesar de estar triste	Połkabaycho.
dividido en dos	Alcho:ni.
dizque	Dela'wa.
dizque	Łań.
doblado(a)	Yampiń.
doblar	Yana:ba.
doblés	Łała:kwa.
Dolea	(apellido) Dole:ya.
dolencia enfermedad	Ti:vij.
doler	Tivijni.
doloroso	Diteswiń.
domingo	Lomi:ko.
dominguera	Lomito:ti'.
dónde?	Naya'.
donde el cielo se pinta mañana y tarde	Jela:ba.
dónde es el lugar?	Janwaja'a.
donde sale el sol	Jata'.
donde se junta el fuego	Do:ki.
donde uno duerme	Joro:na.
donde voy	Nenkwa:na.
donde voy	Nenna.
dormilón	Jorojorowamba.
dormir	Jo:ro.
dos	Oyra.
dos chorros	Oycho.
dos personas	O:ye.
dos personas de color	Altu:ne.
dos personas ociosas	Almaro:ni.
dueño	Kaw ninła.
dulce	Ta:doy.
duro	Dińra.
duro	Kurumna.
duro	(de carne) Tachołni.
duro	(de yuca) Tachołpa.
duro como la goma	Danuyni.
echar agua	Yeła:mi.
echar algo en algo	Chama:ye.
echar algo en un líquido	Chamaloł.
echar en algo	(por ejemplo hielo al agua) Yełna.
echarle sal	Busuńna.
echarse a perder sin razón	Ińkaba:cheł.
el	(la) menor (por ejemplo hijo(a) o hermano(a)) Kwaja'pa.
el	(tiempo pasado) Os.
el	(ausente) Usko.
el	(presente) U'ko.
elay	E'a.
el centro del pueblo	Tereslo:los.
el detrás de la casa	Bachinki.
el día anterior	La'je:mes.
el humo	Mu:masłe.
el interior de una casa	Chodo:wi.
el jachi de la harina	Dinra:kwa.
ella	I:ni.
ella	Isne.
ella	(presente) I'ne.
el/la último(a)	Jo:kwan.
ellos	Isko.
ellos son	E'i.
el que enseña	Vatapanchaye:pa.
el que tiene poder para hacerlo	Tenapanłe:pa.
el que va al lugar indicado	Joykwa'a.
el que viene del lugar indicado	Jeykwa'a.
el sembradío que se va sembrar	Wulwanra:ni.
el último	Ya'ko.
embarazada	Ełdimba.
embarazada	Jimo:ba.
embarcado	Amme.
embarcar a alguien	Ama:ye.
embolsado	Amriko:neł.
embriagado(a)	Laya:kwa.
embriagado(a)	Laya:kwa.
embromar	Ruja:ra.
empapar	Pay'na.
empeorado de alguna enfermedad	Kwajpa.
empezar	Ba'wiń.
empleado(a)	China:cho.
empujar	Use:łe.
empujé	Usamo:mo.
enamorar a una mujer	Kweyanti'.
encaramarse	Chajdu'cheł.
éncebar huasca o lazo	Jusa:di.
encerrar algo tapándolo	Poka:choł.
encerrar echando llave	Poka:łe.
encerrarse	Po'łecheł.
encerrarse en un canchón	Vi'cho:łe.
encía	Bałła.
encima de todo	Paspas.
encogerse	Kuḿba:ba.
encogerse	Waykaba:ba.
encogerse	Yaku:kuń.
encomendarse	Dajkwanascheł.
encontrar	Ima'kwa.
encontrar	Mana:ye.
encontrar algo	Chika:ye.
encontrar algo en la calle y llevárselo de paso	Pajasłena.
encontrarse entre varios	Ala'kwa.
encorvado	Yandu'.
encostar	Dita:ve.
encresparse	Chamo:mol.
en donde está la huella	Enbari:na.
endulzar algo	Tadoyna.
enemigo	Alchiwanne.
en este momento	Alkava:ni.
enfadado	Jala:yij.
enfermera	Velaye:pa.
enfocar	Jele:łe.
enfriado	Pa:sul.
enfriar	Pasulni.
enfriar algo	Pasulna.
enfuertarse	Rapisni.
enganchado	Do'cho.
enganchar	Jaje:łe.
engordarse	Mese:ni.
engrapar	(por ejemplo el ganado) Posalobał.
engrosar la yuca	Joḿpa:ni.
enjuagar	Vokolołna.
enjuagarlo por dentro	Vokocho:na.
enlazar algo	Ołna.
enlazar el ganado	Oła:poy.
en lo pando del agua	Tesi:loł.
en oraciones intransitivas	Iń.
enredar algo con otra cosa	Sula:łe.
enredarse en algo	Julłe:łe.
enrojecer	Rapalni.
ensartado	Do'cho.
ensartado	Ołna.
ensatar o enganchar algo	Dokacho.
ensayar el vuelo	Va'kalowiń.
ensayarlo	Opa:na.
enseñar	Vatapancha:ye.
enseñar a alguien	Vata:pa.
enseñar sonidos	Vata:wa.
ensillar caballo	Tompoye:łe.
ensillarlo	Tonamo:si.
enterrado	Wulko.
enterrar	Wula:ko.
enterrarse	Amba:łe.
entonces	Jayłe.
entrar	A:mon.
entre día y noche	Łuvuyni.
entregar en manos propias	Chutatachopanriyasa.
entregarle	Kwajna.
entregarle en la mano a alguien	Chutacho:pa.
entregarse	Umcheł.
entremeterse	Kojkachołe.
entrepierna	Lo:ri.
entreverar agua lentamente	Vokomi:na.
entreverar algo	Posa:kwa.
entreverar con otra clase	Posalobał.
entristecerse	Łavokabaycho.
en vano	Kwajkalo:va.
enviar algo	Uma:ra.
enviar una carta	Uma:beń.
envidiar	Koyi'na.
envolver	Tona:bał.
envolver bien	Pilababał.
envolver en medio de algo	Puya:choł.
equivocarse al hablar	Sankawa:ni.
equivocarse con lo que es	Kema:ye.
erizar del cuerpo	Chamunkaloba:ni.
erutar	Reskwa.
esa	A'ko.
es abuelo	Nono'wawankwa.
escalera	Tolejdi.
escapar algo	Kosi'na.
escapar de la mano una cosa	Tatapanłe.
escases de alimentos	Maw'iwa:wa.
es cierto	Chonlo:maj.
escoba	Pupo:mo.
escoba de jipurí	Pulalayasdi.
escoger	Aje:łe.
escoger	Jote:łe.
escoger a personas	Jońye:na.
escoger a una persona entre varias	Jotaye.
esconder	Kwala:ra.
esconder algo en el monte	Kwala:moł.
escondido(a)	Kwalra.
escozor	Chu:kul.
escribir	Bena:beń.
escritor	Benabeńpa.
escuchar	Owa:na.
escuchar algo que suena de manera despacio	O'o:wa.
escuchare	Palo:to.
escupir	Dotońła.
escurrir	Kota:loł.
esfumarse	Ba:kaloma:maj.
esfumarse	Desayni.
eso	Asko.
eso	Kalru.
espacio abierto	Tańchoł.
espalda	Dudu:du'.
espantajos	En'enye.
espantapájaros	En'en'oj.
espantar algo	Leve:na.
esparcirse	Tamu:mun.
especialmente el cuerpo en una cirugía	Daka:cho.
especie de loritos	Ti'lis.
especie de loros cotorra	Chele:ka.
especie de paja que sirve para techar casa	Kwełris.
especie de papa conocida como gualusa	Bu:tuł.
especie de paraba	Cha:wan.
especie de soga	Davulcho:di.
esperanza vana	Kwajkabaycho.
esperar a alguien o algo	Aya:na.
espesar o calafatear algo	Chuyna.
espesar un alimento echándole algo	Yeła:loł.
espeso	Wayiń.
espesura de bosque	Duḿmo.
espiando	O'ocho:na.
espiar	O'ochołna.
espiar cautelosamente	Dojadoja:łe.
espiar o vigilar a alguien	Pachołna.
espiga de maíz	Kwajta'ła.
espina	Lelejkwa.
espinal	Lelejkwammo.
espinazo	Lelejdu'.
espíritu	Bawrawa:wa.
esponjarse	Chescheł.
esposo(a)	Alwaj.
espuma	Tava:kwa.
esqueleto	Jemnun.
esquina	Tochi:chi.
esquivarse	Uńcho:łe.
es suficiente	Manara'a.
está	Kode.
está	Kolpa.
está	Kolre'e.
está	Kolwa.
está	(cosa o animal con alguien visible) Kopa.
está	(cosa o animal parado visible) Kore'.
está	(cosa o animal fuera de vista) Koro'.
está	(cosa o animal elevado) Kowa.
está	(fuera de vista) Kuro'.
está aquel	Kolde.
estaba	(cosa o animal) Oso'.
estaba el	Uso'.
está capado	Koljoł.
estacar	Tajna.
estacar cuero	Tajabeń.
está cocido	Lovełni.
está él	(parado visible) Kure'.
esta ella	Kinede.
está ella	Kine.
está ella	Kino'.
está fangoso	Pujulni.
está lloviendo	Lu'ti'.
están	Kide.
están	Kilde.
están	Kilpa.
están	Kilwa.
están bien	Je'kaka'is.
estancia	Wa:kawandi.
están ellos	Kipa.
están ellos	Kiro'.
están ideando	Mebaychovałna.
están viniendo	Kila'wa.
estar abrazado	Julłe.
estar abrazado por la cintura	Jułpiń.
estar acarreando agua	Jaka:mi.
estar acomodado(a)	Ajkalo:wes.
estar acostado(a) en el centro del cuarto o la cama	Daytereschoł.
estar acostado después de un castigo	Dayachołwi:teł.
estar acostado marido y mujer	De:łe.
estar acostumbrado	Onra:ni.
estar adormecido(a)	Panuskwa.
estar agachado	Wadulpiń.
estar agarrado	Waypa.
estar agritos	Kamayasna.
estar a la vista	Chondusłe.
estar alegre	Bele:ka.
estar al medio	Terescho:ma.
estar alzando	Peke:łe.
estar amañado	Onkacho:ni.
estar amarillo	Serejni.
estar amarrado	Jamłe.
estar apagado	Ros'i.
estar aplastado	Latosni.
estar apretado	Sińchochołni.
estar ardiendo	Tale:les.
estar arrollado	Pilba.
estar arrollado	Puyba.
estar asutado(a)	Sejka:ye.
estar atrasado	Jumlo.
estar atrasado	Ya'ko.
estar bien	Ya:yu'.
estar bien cocido	Lo've.
estar bien salado	Łomdi.
estar buscando	Sale:łe.
estar cerca	Su:we.
estar colgado en un gancho o clavo	Ołłe.
estar colgado por ejemplo encima de una vara horizontal	Olpiń.
estar compuesto	Ajka:ra.
estar con apetito	Ma'neskwa.
estar concluido un lugar para vivienda	Joywaj.
estar con diarrea	Ba:cho.
estar con flojera	Kwayi:maj.
estar conforme	Mambaycho.
estar con hambre	Maw'inkwa.
estar con los ojos tapado	Muycho:ra.
estar contado	Pa'i.
estar contento	Jayawlo:maj.
estar cortado en varias partes	Tanka:piń.
estar crespo	Mulayni.
estar debajo	Toro'maj.
estar de buen humor	Bele'kabaycho.
estar de mal humor	Jalayikaye:ye.
estar desanimado(a) quedar conforme	Ya:baycho.
estar descocido	Mańdineł.
estar desecho o desatado	Ma'cho.
estar desesperado	Jome:me.
estar desinflado	Yascho.
estar desprendido	Beschoł.
estar distraído	Sankabaycho.
estar doblado	Yamba.
estar dolorido del diente	Tivijsoyła:ni.
estar dormido	Joro:kwa.
estar dulce	Tadoyni.
estar echado de costado	Basto.
estar empinado	Cha'si.
estar encerrado	Di'łe.
estar encerrado	Po'łe.
estar encerrado bajo llave	Tu'łe.
estar en cuclillas	Do'si.
estar en el agua	Tomi:maj.
estar en el campo	Beń'immaj.
estar en el pueblo	Lolosmaj.
estar enfermo	Tera:ni.
estar en fila	Samto:ba.
estar en hamaca	Sele:maj.
estar en hilera	Jeyto:va.
estar enjabonado(a) con jabón	Jawo:kwa.
estar en movimiento	Buka'.
estar enojado	Ba:baycho.
estar enojado	Jala:yij.
estar enojado	Situ:ka.
estar enrredado en algo	Sulłe.
estar entreverado	Poskwa.
estar entumido	Su*mamani.
estar en un logar desconocido	Jolwaj.
estar en venta	Rimłe.
estar errado	Wuykwa.
estar escarmentado	Onijni.
estar esperando	Aya'aya:ni.
estar exprimida una fruta o una caña	Damoyloł.
estar extraviado en el monte	Maykakwanmoł.
estar fatigado	Kawka:ye.
estar fregado(a)	Rujra.
estar frito	Deńchoł.
estar guardado	Ajpa.
estar hediondo	Pusa:ni.
estar hinchado	Wo:tos.
estar húmedo	Tanusni.
estar ideando	Mebaycho.
estar infectada una herida	Deńdeń.
estar jalando	Łowa:piń.
estar ladeado	Basto.
estar liado a algo	Pilłe.
estar liado alrededor de algo	Jaḿłe.
estar liviano	Sadoyni.
estar llena una cosa	Dolra.
estar lleno	Ji:dam.
estar loco	Sabaycho.
estar machucado	Du'cho.
estar mal	Je:ni.
estar manchado	Achichi.
estar mareado	Samayra.
estar mareado	Sara:dal.
estar mojado	Poy'i.
estar mojado	Wa:cho.
estar mojado(a)	Ludayni.
estar molido	Du'na.
estar morado	Rimilni.
estar nublado	Paychi.
estar oscuro	Paya'.
estar o volverse amargo	Sese:ni.
estar parado bajo techo	Enchodowineł.
estar parado en la calle	Enchoradaneł.
estar parado lado a lado	Entomajni.
estar pasando hambre	Maw'i:ti'.
estar peor ya por exagerado	Kwajra:da.
estar perdido	Kwa:le.
estar perdido en el monte	Kwale:moł.
estar pesaroso(a)	Daykabaycho.
estar picante	Vusu'ni.
estar plantado	Cha'poj.
estar por hacer una cosa	Loy.
estar prendido en la planta	Batu'bojełni.
estar preocupado	Rujałni:wa.
estar puesto al fuego	Bańleseł.
estar puesto encima	Bańkwanłe.
estar puesto en su lugar	Batu'ni.
estar pujusó	Mutełni.
estar rallado	Tuł'i.
estar rebatido	Ta'ka:ba.
estar recién enfuertado	Tova'ni.
estar recuperado	Sejawni.
estar resfriado	Paluya:seł.
estar reunidos	Ay:loba.
estar rodeado	Mumele.
estar roto	Ralba.
estar sano	Je'ka:ka'.
estar sentado juntos	Asto'majeł.
estar sentado o echado	Daya'.
estar sin fuerzas	Beytej.
estar sin sangre	Ba:don.
estar sudando	Tayo:ka.
estar suelto	Le:de'.
estar tapada la boca de un objeto	Po'kwa.
estar tapado(a)	(por ejemplo una persona) Ro'bał.
estar tibio	Veyo'ni.
estar torcido	Damoy'i.
estar torrado	Se:den.
estar torrado	Sedenni.
estar triste	Rujkabaycho.
estar vacío	Wascho.
estar vestida de tipoy	Chon'ojeł.
estar vestido(a) de negro	Tun'ojeł.
estar vestido de camiseta	Mariko'ojeł.
estar visible	Dede:ye.
estar vivo	Ite'ni.
estar volcado	Jolcho.
estar volcado	Podońcho.
estar volcado	Volto.
este	Eney.
este	Jata'.
este	(aquí cerca) U:ru.
estera	Powol.
estera pequeña	Powolpiń.
estimar	Juma:ra.
estimar	Kwajesna.
estirar algo	Korońna.
estirar algo	Łowa:piń.
estirarse	De'piń.
estirarse	Koro:doń.
estirarse	Łowłow.
esto	Ayru.
esto	A'ko.
estorbar a alguien	Rujkapa:na.
estornudar	Achiskwa.
estos	I:ri.
estos	Is.
estos(as)	I'ko.
estrella	Didinkwa.
estrujar algo	Jukuy'na.
estrujarse a otra persona	Nu:yeneł.
estudiante	Vańkapawanne.
estudiar	Vańkapa.
estudiar	Vańkapanasna.
es verdad	Chonlo:maj.
evaporarse	Chile:les.
excavarlo	Wo'na.
excremento	Chi'i.
explicarle punto por punto	Kemakemalo:to.
exprimir algo	Roma:loł.
extenderlo	Tamolna.
extender o tender algo que está arrollado	Pasińna.
extrañar	Jome:me.
extrañar a alguien	Jomepa:na.
fabricadora de estera	Powolpa.
fabricar algo	Jisa:na.
fallando la respiración	Yamu:muj.
fallar un tiro	Rujińna.
falta de bebida	Mo:molo:cho.
faltar	Mora:ni.
faltarle	Momoyeskwa.
fangoso	Pu:jul.
fantasma	Jeyra.
farsante	Jo'ka:toł.
feo	Cho'es.
fiebre	Ro:moy.
fiesta	Piyesta.
fila ancha	Powto:va.
filo	Do:jiń.
filo	Pe'res.
filones de altura	Dudu'kwa.
filtro del cigarrillo	Bojchinkwa.
fino	Ji:sim.
fino harinoso	Vuku:ni.
flaco	Be:ye.
flauta	Polawta.
flecha	Jułpa.
flexible	Lede'ni.
flojera	Kwa:yim.
flojo	Beylo:maj.
flor	Morinkwa.
flor de alcornoque	Tipołmo:ri.
flor de algodón	Bujdinmo:ri.
flor del tajibo	Tawułmo:ri.
florecer	Morinti'.
florero con flores	Morinkwawamba.
fonda	(arma primitiva) Maniwammo.
forma de algo	Janlo:wes.
forma de varios colores	Lowe:kwi.
formando corriente	Savawti'.
forzudo	Kwajtej.
fósforo	Paje:la.
foto	Lava:bał.
foto	Lava:bał.
fracasar	Rujlo:maj.
fragancioso	Jo'wes.
francuca	Tambojsi.
frazada	Chanko.
fregar	Ruja:ra.
frente	Be:ra.
frialdad	Paluyres.
friccionar algo	Birińna.
friccionarse	Birińcheł.
frijol	Ma:do.
frio	(ave) I'to:we.
frío	Jilo'.
frío	Pa:luy.
frío	Paluyni.
fritar en manteca o aceite	Deta:choł.
frito de harina	Deńchołba.
fruncirse	Kuḿba:ba.
fruncirse	Sumsum.
fruncirse	Waykaba:ba.
fruta	Baba:kwa.
fruta casi podrida	Rumba.
fruta de motacú	Chujańdi.
fruta de totaí	Purańdi.
fruto	Dodo:kwa.
fruto de coquino	Katena:di.
fruto del mate	Takasba.
fruto del paquió	Vosimdo.
fruto del tarumá	Chekwesła.
fuego	Ve'e.
fuerte	Ra:pis.
fuerzudo	Dińtej.
fumador	Sekaru:pa.
furúnculo	Sin'i.
gajo	Tolejkwa.
gajo con hojas	Lomo:kwa.
galápago	Basworo'no.
gallina	Matawa:re.
gallina con pollitos	Enałe:mo.
gallina jóven	Tolkosmo.
gallo	Torowa:re.
ganadero	Wa:kawandimmajye.
ganar cuando se hace una apuesta	Pa'winłe.
ganarle a alguien	Jula:ra.
gancho	Jajła.
gargajo	Jowo:ba.
garganta	Ełworo:ba.
garganta	(el interior) Taka:ka.
garganta	Woro'.
garrapatilla	Dam'immo.
garza blanca	To'ba.
gas	Ro:so'.
gatear	Welcho.
gato	Mi:chi.
gato montes	Chuyu:wa.
gaveta	Raweta.
gavetillo	Mo'nełkwa.
gaviota	Le:tos.
genital femenino	Buskwa.
gente del agua	Tomimajye.
gentileza	Juyeniwa:nas.
golondrina	Chiki:lo.
golpear algo	Taja:cho.
golpear con un palito	Bayna.
golpearlo con algo	Tore:na.
golpear o tocar algo	Dotojna.
golpearse el antebrazo	Baybakwanyiń.
golpearse en la cabeza	Tajchoba:kwa.
golpear sobre la tierra	Tusulna.
gordo	Me:se.
gordura	Meskwa.
gorgojo	Ku:ła.
gota	Lodinkwa.
gotear	Ło'lo:łe.
gotera	Lorisra.
gracias	Solopa:yi.
grande	Mere'.
granizo	Ilijba.
grano de arroz	Aroso:di.
grano en chala	Batu'mołdi:ni.
granos que salen en la piel	Javułlo.
grasa	Meskwa.
grasa de cerdo	Kochimmes.
grasa de gato montés	Chuyuwanmes.
grasa del manechi	Judimmes.
grasa de tejón	Bichichiḿmames.
grasa de víbora	Mimidimmes.
grasoso	Su'mes.
grasoso	Su'mesni.
grillo	Siwaloto:to.
gritar	Kama:may.
gritar	Wara:day.
gritar de dolor	Waryasna.
gritarle a alguien	Kamayłe:na.
grito	Ka:may.
grosor	Janra.
guajojó	Wa'o'o.
Gualima	(apellido) Wali:ma.
Guanaile	(apellido) Wanayle.
guapurú	Rapu'ła.
guardar algo en un cajón	Ajpa:na.
guardar aparte	Sotajna.
Guasinave	(apellido) Wasina:we.
Guataica	(apellido) Watayka.
guayaba	Pa:di.
guayabal	Padimmo.
guerra	Jarawa:nas.
guineal	Talumre:mo.
guineo	Talummo.
guiñarle el ojo a alguien	Liḿrałe:na.
gusano	Wo:chi.
gusano de donde provienen las moscas	Wo:sana.
gusano verde que come la hoja de tabaco	Olo'tey.
gustarle el sabor	Ma'nespa:na.
haber nacido	Tami:łe.
haberse salvado de un peligro	To'yaj.
había sido	Ji:nana'.
habitante de una casa	Aswa'a.
hablar	Iwa:ni.
hablar bonito	Jiransinełni.
hablar como otro habla	Imkawane:łe.
hablar con energía	Jere:łe.
hablarle	Peńna.
hablarle fuerte a alguien	Jerełna.
hablar por hablar	O:kakapeńna.
hablar por uno mismo	Alwanascheł.
hablarse	Peńcheł.
hace calor	Ewelni.
hace caso	Pe'nira'a.
hace picar	Woje:łe.
hace poco	Jo'mi.
hacer	Jisa:na.
hacer algo	Bisa:pa.
hacer algo así	Jampa.
hacer algo bien	Jayawna.
hacer algo bonito	Jiranna.
hacer algo redondo	Japilna.
hacer algo solo	Jempa.
hacer barro	Bubuńkwanti'.
hacer bulla	Wo'le.
hacer caer	Łoka:łe.
hacer compras	Rimti'.
hacer daño	Rujwil.
hacer de nuevo	Volrada.
hacer el esfuerzo	Dińtełe.
hacer falta	Mora:ni.
hacer frío	Jilo'ni.
hacer gestos	Kuna:nay.
hacer humo en un cuarto	Chumaycho:na.
hacer la venia	Yasba:kwa.
hacerle broma	Bawanłe:na.
hacerle caer	Sula:des.
hacerle caso	Jaywa:na.
hacerle gestos a alguien	Kunayłe:na.
hacerle recuerdo	Jelewa:na.
hacerlo largo	Kulo:wesna.
hacerlo más grande	Mere'na.
hacer lo mismo	Impane:łe.
hacerlo picante	Vusuńna.
hacer lo posible	Dińtejcheł.
hacerlo sonar	Wutusna.
hacer mover algo que está fijo	(por ejemplo un árbol) Liki:na.
hacer objetos de barro	Paya:buń.
hacer olla de barro	Paya:bij.
hacer pan	Pamba:ti'.
hacer pasar por alto	Tojełpojna.
hacer reventar algo	Doposcho:na.
hacer reventar algo	Rała:cho.
hacerse el dormido	Joroka:poj.
hacerse el loco	Sabaychonana'ni.
hacerse el valiente	Darańpojcheł.
hacerse el valiente	Ovenipojcheł.
hacerse el vivo	Paku'kapojcheł.
hacerse masa	Ni'baba.
hacer sentir deseo a alguien	Che'kapojna.
hacerse viejo	Bijawni.
hacer subir a alguien	Selna.
hacer temblar a alguien	Litińpojna.
hacer una flor	Morinti'.
hacer una herida en la cabeza	Tajachoba:kwa.
hacer un montón	Sota'loba:na.
hacer un nudo	Jama:ba.
hacha	Dineła'a.
hacha	Layła.
hacha	Layła.
hacha pequeña	Layła:di.
hacha pequeña	Layła:di.
hachear	Dase:łe.
hachear	Dasna.
hachear	Late:łe.
hachear algo	Lańna.
haciéndolo rebalsar	Pelna.
hallar algo	Kulna.
hallar algo bien	Jayawpojna.
hallar después de haber buacado	Duma:ye.
