anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=green>ESP:</font> arrear\n<font color=orange>ENG:</font> to herd
yatiri	<font color=red>CHP:</font> chirwanu\n<font color=green>ESP:</font> adivinador\n<font color=orange>ENG:</font> diviner
qallu	<font color=red>CHP:</font> chita\n<font color=green>ESP:</font> cría de llama/de oveja\n<font color=orange>ENG:</font> offspring of llama/sheep
uywaña	<font color=red>CHP:</font> chitz\n<font color=green>ESP:</font> criar (animales)\n<font color=orange>ENG:</font> to raise (animals)
wantira, wiphala	<font color=red>CHP:</font> chiwandira\n<font color=green>ESP:</font> bandera blanca utilizada en fiestas\n<font color=orange>ENG:</font> white flag used at fiestas
chiwu	<font color=red>CHP:</font> chiwatu\n<font color=green>ESP:</font> cabra, chivo\n<font color=orange>ENG:</font> goat
ch'iwi, janq'u	<font color=red>CHP:</font> chiwi\n<font color=green>ESP:</font> blanco\n<font color=orange>ENG:</font> white
qhanaña	<font color=red>CHP:</font> chiwz̈quic̈ha\n<font color=green>ESP:</font> amanecer\n<font color=orange>ENG:</font> to dawn
yatiyaña	<font color=red>CHP:</font> chiyanz\n<font color=green>ESP:</font> comunicar mensaje de otro\n<font color=orange>ENG:</font> to communicate message of another person
parlakipaña, ch'axwaña	<font color=red>CHP:</font> chiyaz\n<font color=green>ESP:</font> palabrear\n<font color=orange>ENG:</font> to talk a lot in vain, to chatter
arusiña	<font color=red>CHP:</font> chizinz\n<font color=green>ESP:</font> reprender, amonestar\n<font color=orange>ENG:</font> to reprimand, to admonish
artt'ata	<font color=red>CHP:</font> chiz̈inta\n<font color=green>ESP:</font> amonestación, advertencia\n<font color=orange>ENG:</font> reprimand, warning
phala	<font color=red>CHP:</font> chjajla\n<font color=green>ESP:</font> hilos de adorno en bordes de algunos tejidos\n<font color=orange>ENG:</font> decorative strings on edges of some weaves
thapa t'ampulli	<font color=red>CHP:</font> chjajlka\n<font color=green>ESP:</font> llama lanuda\n<font color=orange>ENG:</font> llama with a lot of wool
sillp'iraña	<font color=red>CHP:</font> chjajpa\n<font color=green>ESP:</font> pelar\n<font color=orange>ENG:</font> to peel
sillp'i	<font color=red>CHP:</font> chjajpi\n<font color=green>ESP:</font> cáscara\n<font color=orange>ENG:</font> shell, peel, husk, rind
tunq tunqu	<font color=red>CHP:</font> chjajrachjajra\n<font color=green>ESP:</font> triquina, triquinosis\n<font color=orange>ENG:</font> trichina, trichinosis
t'iju t'iju	<font color=red>CHP:</font> chjajrchjajrñi\n<font color=green>ESP:</font> mariposa que vive en leñas\n<font color=orange>ENG:</font> butterfly that lives in firewood
p'asp'a innaqa, ch'uñurata, t'aqarata	<font color=red>CHP:</font> chjajri\n<font color=green>ESP:</font> piel resecada\n<font color=orange>ENG:</font> dry skin
qhaqhaña	<font color=red>CHP:</font> chjajtz\n<font color=green>ESP:</font> descolar, despegar\n<font color=orange>ENG:</font> to unglue, to detach
churaña	<font color=red>CHP:</font> chjals\n<font color=green>ESP:</font> dar\n<font color=orange>ENG:</font> to give
uchaña	<font color=red>CHP:</font> chjals\n<font color=green>ESP:</font> colocar\n<font color=orange>ENG:</font> to put, to place
mañaqaña	<font color=red>CHP:</font> chjalz\n<font color=green>ESP:</font> pedir la mano\n<font color=orange>ENG:</font> to propose (marriage)
paytaña	<font color=red>CHP:</font> chjalz\n<font color=green>ESP:</font> unir hilos\n<font color=orange>ENG:</font> to join/to twist threads
chhama	<font color=red>CHP:</font> chjama\n<font color=green>ESP:</font> mal molido\n<font color=orange>ENG:</font> coarsely-milled
jach'a laphi	<font color=red>CHP:</font> chjañi = lapji\n<font color=green>ESP:</font> hoja grande de plantas\n<font color=orange>ENG:</font> big leaf
jaqsuña	<font color=red>CHP:</font> chjatkatz\n<font color=green>ESP:</font> botar\n<font color=orange>ENG:</font> to throw out
jinq'aña	<font color=red>CHP:</font> chjayz\n<font color=green>ESP:</font> contestar descortesmente\n<font color=orange>ENG:</font> to talk back, to respond rudely
thayantata	<font color=red>CHP:</font> chjejchi\n<font color=green>ESP:</font> enfriado\n<font color=orange>ENG:</font> to be cold
wistalla, walqipu	<font color=red>CHP:</font> chjejjkje\n<font color=green>ESP:</font> bolsa de coca\n<font color=orange>ENG:</font> coca bag
thayaña	<font color=red>CHP:</font> chjejz\n<font color=green>ESP:</font> enfriar\n<font color=orange>ENG:</font> to cool off
sist'asiña	<font color=red>CHP:</font> chjekz\n<font color=green>ESP:</font> hartarse de comida\n<font color=orange>ENG:</font> to be stuffed, satisfied (food)
katuña	<font color=red>CHP:</font> chjelinz\n<font color=green>ESP:</font> detener, agarrar\n<font color=orange>ENG:</font> to hold back, to retain
puquña	<font color=red>CHP:</font> chjelinz\n<font color=green>ESP:</font> producir mucho\n<font color=orange>ENG:</font> to produce abundantly
(chip) kimsa	<font color=red>CHP:</font> chjep\n<font color=green>ESP:</font> tres\n<font color=orange>ENG:</font> three
phuqhantata	<font color=red>CHP:</font> chjijpchic̈ha\n<font color=green>ESP:</font> llenado\n<font color=orange>ENG:</font> filled
phuqha	<font color=red>CHP:</font> chjijpi = chjipji\n<font color=green>ESP:</font> lleno\n<font color=orange>ENG:</font> full
phuqhaña	<font color=red>CHP:</font> chjijps\n<font color=green>ESP:</font> llenar\n<font color=orange>ENG:</font> to fill
phuqhantasi	<font color=red>CHP:</font> chjijpsic̈ha\n<font color=green>ESP:</font> llenado de por sí\n<font color=orange>ENG:</font> filled by itself
jat'irasiña	<font color=red>CHP:</font> chjijrs\n<font color=green>ESP:</font> cortarse la piel con cuerda\n<font color=orange>ENG:</font> to cut own skin with rope or thread
ch'akatiya	<font color=red>CHP:</font> chjijru\n<font color=green>ESP:</font> avecilla acuática de color plomo con patas finas\n<font color=orange>ENG:</font> small grayish waterbird with thin feet
muchhuraña	<font color=red>CHP:</font> chjijrz\n<font color=green>ESP:</font> desgranar cereal húmedo\n<font color=orange>ENG:</font> to thresh humid cereal
lluchhuraña	<font color=red>CHP:</font> chjijrz\n<font color=green>ESP:</font> sacar grasa de la tripa\n<font color=orange>ENG:</font> to remove grease from intestines
sataña, yapuchaña	<font color=red>CHP:</font> chjijs\n<font color=green>ESP:</font> sembrar, colocar las semillas\n<font color=orange>ENG:</font> to sow, to plant one by one
ch'ina	<font color=red>CHP:</font> chjijtz\n<font color=green>ESP:</font> ano\n<font color=orange>ENG:</font> anus
ituqaña	<font color=red>CHP:</font> chjijunz\n<font color=green>ESP:</font> bajar algún objeto\n<font color=orange>ENG:</font> to take/to bring down
apaqaña, ayaqaña, isuqaña, saraqaña, iraqaña	<font color=red>CHP:</font> chjijwz\n<font color=green>ESP:</font> bajar\n<font color=orange>ENG:</font> to descend, to take down
saraqaña	<font color=red>CHP:</font> chjijwz̈quiz\n<font color=green>ESP:</font> bajar, descender\n<font color=orange>ENG:</font> to go down, to descend
jant'ukuña	<font color=red>CHP:</font> chjinz\n<font color=green>ESP:</font> tender, extender\n<font color=orange>ENG:</font> to spread out, to hang out
jant'uku	<font color=red>CHP:</font> chjinzkizi\n<font color=green>ESP:</font> cuero tendido\n<font color=orange>ENG:</font> spread out leather
phuqha	<font color=red>CHP:</font> chjipji = chjijpi\n<font color=green>ESP:</font> lleno\n<font color=orange>ENG:</font> full
k'usk'u, sawka, k'uskxayaña	<font color=red>CHP:</font> chjira\n<font color=green>ESP:</font> chistoso, chiste, broma\n<font color=orange>ENG:</font> funny, joke
apaña	<font color=red>CHP:</font> chjitz\n<font color=green>ESP:</font> llevar\n<font color=orange>ENG:</font> to carry
puraka	<font color=red>CHP:</font> chjiwi\n<font color=green>ESP:</font> vientre\n<font color=orange>ENG:</font> belly
riwajaña	<font color=red>CHP:</font> chjiwkatz\n<font color=green>ESP:</font> bajar el precio\n<font color=orange>ENG:</font> to lower the price
chhiya	<font color=red>CHP:</font> chjiya\n<font color=green>ESP:</font> medida del pulgar al dedo mayor\n<font color=orange>ENG:</font> measurement from thumb to middle finger
yatjasiña	<font color=red>CHP:</font> chjiz\n<font color=green>ESP:</font> imitar\n<font color=orange>ENG:</font> to imitate
aycha	<font color=red>CHP:</font> chjizwa\n<font color=green>ESP:</font> carne\n<font color=orange>ENG:</font> meat
chhuqhu	<font color=red>CHP:</font> chjojkjo\n<font color=green>ESP:</font> rectangular, oval, ovalado\n<font color=orange>ENG:</font> rectangular, oval
llukst'aña	<font color=red>CHP:</font> chjojks\n<font color=green>ESP:</font> soltarse, desatarse\n<font color=orange>ENG:</font> to come untied, to break loose
ansusiña, q'alsusiña	<font color=red>CHP:</font> chjojkz\n<font color=green>ESP:</font> desvestirse\n<font color=orange>ENG:</font> to undress
chhuxllu	<font color=red>CHP:</font> chjojllu\n<font color=green>ESP:</font> mazorca\n<font color=orange>ENG:</font> cob (of corn)
chhuxrintata	<font color=red>CHP:</font> chjojri\n<font color=green>ESP:</font> herido, dolorido\n<font color=orange>ENG:</font> wounded, sore
chhuxrintasiña	<font color=red>CHP:</font> chjojritz\n<font color=green>ESP:</font> herirse\n<font color=orange>ENG:</font> to wound oneself
imantaña	<font color=red>CHP:</font> chjojs\n<font color=green>ESP:</font> ocultar\n<font color=orange>ENG:</font> to hide
yaqhataki imaña	<font color=red>CHP:</font> chjojwanz\n<font color=green>ESP:</font> guardar para otro\n<font color=orange>ENG:</font> to save, to watch for another
imaña	<font color=red>CHP:</font> chjojz\n<font color=green>ESP:</font> guardar\n<font color=orange>ENG:</font> to take care of
imantata	<font color=red>CHP:</font> chjojzaca\n<font color=green>ESP:</font> oculto\n<font color=orange>ENG:</font> hidden, secret
jiq'iña, thuskhaña	<font color=red>CHP:</font> chjonanz\n<font color=green>ESP:</font> heder\n<font color=orange>ENG:</font> to stink
ch'arantasiña	<font color=red>CHP:</font> chjooz\n<font color=green>ESP:</font> negrearse con humo\n<font color=orange>ENG:</font> to become black from smoke
qhisimi	<font color=red>CHP:</font> chjowa\n<font color=green>ESP:</font> hollín\n<font color=orange>ENG:</font> soot, ash
jan injasis thaqhaña	<font color=red>CHP:</font> chjujlz\n<font color=green>ESP:</font> buscar a tientas\n<font color=orange>ENG:</font> to grope
jant'a uta	<font color=red>CHP:</font> chjujlla\n<font color=green>ESP:</font> choza\n<font color=orange>ENG:</font> hut, shack, cabin
chhujtu	<font color=red>CHP:</font> chjujtu\n<font color=green>ESP:</font> granos menudos\n<font color=orange>ENG:</font> small grains
chhaxru	<font color=red>CHP:</font> chjujturara\n<font color=green>ESP:</font> granos grandes y pequeños mezclados\n<font color=orange>ENG:</font> small and big grains mixed
umatatayaña	<font color=red>CHP:</font> chjujtz\n<font color=green>ESP:</font> derretir\n<font color=orange>ENG:</font> to melt
jamp'att'aña	<font color=red>CHP:</font> chjulz\n<font color=green>ESP:</font> besar\n<font color=orange>ENG:</font> to kiss
kimsüruta, waruru	<font color=red>CHP:</font> chjunamaj\n<font color=green>ESP:</font> hace tres días\n<font color=orange>ENG:</font> three days ago
chhunkha, t'arwarara	<font color=red>CHP:</font> chjuncja\n<font color=green>ESP:</font> lanudo, velludo, barbón\n<font color=orange>ENG:</font> woolly, hairy
q'apa	<font color=red>CHP:</font> chjuñi\n<font color=green>ESP:</font> generoso\n<font color=orange>ENG:</font> generous
mayst'aña	<font color=red>CHP:</font> chjuuz̈quiz\n<font color=green>ESP:</font> cambiar de dirección\n<font color=orange>ENG:</font> to change direction
anthapiña, jawstapiña, tuwaña	<font color=red>CHP:</font> chjuwanz\n<font color=green>ESP:</font> llamar a la reunión\n<font color=orange>ENG:</font> to gather (for a reunion)
jark'aña	<font color=red>CHP:</font> chjuwanz\n<font color=green>ESP:</font> evitar que animales se acerquen a la chacra\n<font color=orange>ENG:</font> to keep animals away from field, to shoo
paqu chulu	<font color=red>CHP:</font> chocalina\n<font color=green>ESP:</font> Paco chulo (avecita de água)\n<font color=orange>ENG:</font> Puna Plover (small water bird)
saxilla	<font color=red>CHP:</font> chojjza\n<font color=green>ESP:</font> tallo de tola para techo\n<font color=orange>ENG:</font> pole of tola for roof
chuxru	<font color=red>CHP:</font> chojru\n<font color=green>ESP:</font> duro\n<font color=orange>ENG:</font> hard
mujuna	<font color=red>CHP:</font> chojzi cjata\n<font color=green>ESP:</font> círculo de tola del techo\n<font color=orange>ENG:</font> bottom circle of tola that binds arches together
chirimuya	<font color=red>CHP:</font> chojzi kjara = anjil kjara\n<font color=green>ESP:</font> pequeños arcos de tola al norte y sur del techo\n<font color=orange>ENG:</font> small arches of tola on the N. and S. sides of roof
uta mujina	<font color=red>CHP:</font> chojzi z̈oñi\n<font color=green>ESP:</font> arcos de tola del techo\n<font color=orange>ENG:</font> arches for roof
linti	<font color=red>CHP:</font> choko\n<font color=green>ESP:</font> límite de terrenos\n<font color=orange>ENG:</font> boundary marker
jawi, t'arwa	<font color=red>CHP:</font> choma\n<font color=green>ESP:</font> lana\n<font color=orange>ENG:</font> wool
jalluch'illchi	<font color=red>CHP:</font> chomara\n<font color=green>ESP:</font> lloviznoso\n<font color=orange>ENG:</font> drizzly, misty
llawchhi	<font color=red>CHP:</font> chomara\n<font color=green>ESP:</font> mal trenzado, suelto\n<font color=orange>ENG:</font> poorly braided, loose
uywa llaytha	<font color=red>CHP:</font> choña\n<font color=green>ESP:</font> animal sin fuerza\n<font color=orange>ENG:</font> weak animal
suwaraña	<font color=red>CHP:</font> chooz\n<font color=green>ESP:</font> marchitarse\n<font color=orange>ENG:</font> to wither, to wilt
suqa	<font color=red>CHP:</font> chowara\n<font color=green>ESP:</font> ave negra de agua\n<font color=orange>ENG:</font> a black waterbird
chikur uyu	<font color=red>CHP:</font> chucuruyu\n<font color=green>ESP:</font> corral para separar crías de ovejas\n<font color=orange>ENG:</font> corral to separate the offspring of sheep
jinchu jak'alla parlaña	<font color=red>CHP:</font> chuch\n<font color=green>ESP:</font> murmurar\n<font color=orange>ENG:</font> to murmur
ikkhas parlaña	<font color=red>CHP:</font> chuch\n<font color=green>ESP:</font> hablar al dormir\n<font color=orange>ENG:</font> to speak in one's sleep
chuchi qara	<font color=red>CHP:</font> chuchi\n<font color=green>ESP:</font> pajarito negro que vive en tolares\n<font color=orange>ENG:</font> small blackbird that lives in tholares
chuchi	<font color=red>CHP:</font> chuchi\n<font color=green>ESP:</font> color oscuro de llama\n<font color=orange>ENG:</font> dark color of llama
qallu luk'ana	<font color=red>CHP:</font> chul loc'ana\n<font color=green>ESP:</font> dedo meñique\n<font color=orange>ENG:</font> little finger, pinky
qallu	<font color=red>CHP:</font> chula\n<font color=green>ESP:</font> cría\n<font color=orange>ENG:</font> young of animal, offspring
chullpa	<font color=red>CHP:</font> chullpa\n<font color=green>ESP:</font> hombre antiguo\n<font color=orange>ENG:</font> ancient people
chullpa	<font color=red>CHP:</font> chullpa\n<font color=green>ESP:</font> construcción funeraria, chullpa\n<font color=orange>ENG:</font> funeral construcción, tomb
chullpa ch'uqi, inkach'uqi	<font color=red>CHP:</font> chullpi kiza\n<font color=green>ESP:</font> papa silvestre\n<font color=orange>ENG:</font> wild potato
qimalli	<font color=red>CHP:</font> chunca\n<font color=green>ESP:</font> planta que crece en el agua\n<font color=orange>ENG:</font> a waterplant
tiwtira	<font color=red>CHP:</font> chunchura\n<font color=green>ESP:</font> avecilla con mancha negra en el buche\n<font color=orange>ENG:</font> little bird with black spot on crop
chupiqa	<font color=red>CHP:</font> chupica\n<font color=green>ESP:</font> rojo\n<font color=orange>ENG:</font> red
q'illu, churi	<font color=red>CHP:</font> churi\n<font color=green>ESP:</font> amarillo\n<font color=orange>ENG:</font> yellow
q'illu juyra	<font color=red>CHP:</font> churi\n<font color=green>ESP:</font> quinua amarilla\n<font color=orange>ENG:</font> yellowish quinua
churt'aña	<font color=red>CHP:</font> churt'iz\n<font color=green>ESP:</font> dar un puñetazo\n<font color=orange>ENG:</font> to punch
churu pariwana	<font color=red>CHP:</font> churu\n<font color=green>ESP:</font> flamenco pequeño\n<font color=orange>ENG:</font> small flamingo
willi willi	<font color=red>CHP:</font> churu churu\n<font color=green>ESP:</font> moteado, desparramado\n<font color=orange>ENG:</font> in spots, dispersed
wixru	<font color=red>CHP:</font> chutu\n<font color=green>ESP:</font> chueco\n<font color=orange>ENG:</font> crooked
chuwa, palatu	<font color=red>CHP:</font> chuwa\n<font color=green>ESP:</font> plato\n<font color=orange>ENG:</font> bowl
uqhururu	<font color=red>CHP:</font> chuwachuwa\n<font color=green>ESP:</font> planta acuática con hojas flotantes\n<font color=orange>ENG:</font> waterplant with floating leaves
janq'u phuruti	<font color=red>CHP:</font> chuyi\n<font color=green>ESP:</font> tipo de poroto blanco\n<font color=orange>ENG:</font> white beans
ch'axwaña	<font color=red>CHP:</font> ch'aas\n<font color=green>ESP:</font> discutir\n<font color=orange>ENG:</font> to discuss, to argue
ch'aka	<font color=red>CHP:</font> ch'acja = tsjij\n<font color=green>ESP:</font> hueso\n<font color=orange>ENG:</font> bone
ch'axmichasiña	<font color=red>CHP:</font> ch'ajmáz\n<font color=green>ESP:</font> aburrirse de\n<font color=orange>ENG:</font> to become bored with
ch'ama	<font color=red>CHP:</font> ch'ama\n<font color=green>ESP:</font> difícil\n<font color=orange>ENG:</font> difficult
ch'amaka, arqawi	<font color=red>CHP:</font> ch'amaca\n<font color=green>ESP:</font> nube oscura, oscuro con polvo, ventarrón oscuro\n<font color=orange>ENG:</font> dark with dust storm/dark clouds
ch'ama laq'a	<font color=red>CHP:</font> ch'amalak'a\n<font color=green>ESP:</font> sin fuerza, sin ganas\n<font color=orange>ENG:</font> without strength, without energy
inapinik k'utisiña	<font color=red>CHP:</font> ch'aniz\n<font color=green>ESP:</font> discutir sin motivo\n<font color=orange>ENG:</font> to argue without reason
ch'añu	<font color=red>CHP:</font> ch'añu\n<font color=green>ESP:</font> gris\n<font color=orange>ENG:</font> gray
ch'api	<font color=red>CHP:</font> ch'api\n<font color=green>ESP:</font> espina\n<font color=orange>ENG:</font> thorn, splinter
wila thayt'ata, ch'ari	<font color=red>CHP:</font> ch'ari\n<font color=green>ESP:</font> sangre coagulada\n<font color=orange>ENG:</font> coagulated blood
ch'awachaña	<font color=red>CHP:</font> ch'awachas\n<font color=green>ESP:</font> piel dura después contusión\n<font color=orange>ENG:</font> hard skin from bruise
saqañ kaytu	<font color=red>CHP:</font> ch'awara\n<font color=green>ESP:</font> hilo o género para costales\n<font color=orange>ENG:</font> string or fabric for sacks
liq'iña, jununtaña, ch'akuntaña	<font color=red>CHP:</font> ch'awcz\n<font color=green>ESP:</font> clavar\n<font color=orange>ENG:</font> to nail
ch'aska	<font color=red>CHP:</font> ch'azca\n<font color=green>ESP:</font> pelo alborotado\n<font color=orange>ENG:</font> un-kempt hair
ch'iqi	<font color=red>CHP:</font> ch'ekji\n<font color=green>ESP:</font> legaña\n<font color=orange>ENG:</font> eye humor
wasa	<font color=red>CHP:</font> ch'ekjta\n<font color=green>ESP:</font> desierto\n<font color=orange>ENG:</font> desert, wasteland
liq'itataña	<font color=red>CHP:</font> ch'ekz\n<font color=green>ESP:</font> machacar\n<font color=orange>ENG:</font> to crush, to pound, to smash
ch'isiyaña	<font color=red>CHP:</font> ch'ewjcjichi\n<font color=green>ESP:</font> dolor como de punzadas\n<font color=orange>ENG:</font> stabbing pain
wañu uraqi	<font color=red>CHP:</font> ch'icji\n<font color=green>ESP:</font> tierra dura y seca\n<font color=orange>ENG:</font> hard and dry ground
ch'ikita	<font color=red>CHP:</font> ch'icjita\n<font color=green>ESP:</font> muy inteligente\n<font color=orange>ENG:</font> very smart
ch'ich'i, uma laq'ulla	<font color=red>CHP:</font> ch'ichi = squipu\n<font color=green>ESP:</font> pequeño gusano de agua (microbio)\n<font color=orange>ENG:</font> small water worm (microbe)
ch'islli	<font color=red>CHP:</font> ch'ijli = ch'izlli\n<font color=green>ESP:</font> sucio\n<font color=orange>ENG:</font> dirty
ch'illa	<font color=red>CHP:</font> ch'illa\n<font color=green>ESP:</font> cintura\n<font color=orange>ENG:</font> waist, waistline
ch'illkha	<font color=red>CHP:</font> ch'illcja\n<font color=green>ESP:</font> arbusto\n<font color=orange>ENG:</font> bush, shrub
t'una	<font color=red>CHP:</font> ch'iñi\n<font color=green>ESP:</font> menudo\n<font color=orange>ENG:</font> small, tiny
ch'irptapiña, ch'irmiña	<font color=red>CHP:</font> ch'ipch'ipz\n<font color=green>ESP:</font> parpadear\n<font color=orange>ENG:</font> to blink (the eyes)
ch'ipa	<font color=red>CHP:</font> ch'ipja\n<font color=green>ESP:</font> enredado\n<font color=orange>ENG:</font> tangled up, tied up
chinuña, ch'ipaña	<font color=red>CHP:</font> ch'ipz\n<font color=green>ESP:</font> amarrar, enredar\n<font color=orange>ENG:</font> to tie, to tangle
ñaxtayasiña	<font color=red>CHP:</font> ch'irinz\n<font color=green>ESP:</font> asquear\n<font color=orange>ENG:</font> to disgust
ch'ama laq'ayaña	<font color=red>CHP:</font> ch'irsinz\n<font color=green>ESP:</font> desanimar\n<font color=orange>ENG:</font> to discourage
thuqhtaña	<font color=red>CHP:</font> ch'isquiz\n<font color=green>ESP:</font> retoñar\n<font color=orange>ENG:</font> to sprout, to bud
ch'iti, mullija	<font color=red>CHP:</font> ch'iti\n<font color=green>ESP:</font> molleja\n<font color=orange>ENG:</font> gizzard
ch'ijta	<font color=red>CHP:</font> ch'iwjta\n<font color=green>ESP:</font> Llama viento (pájaro pequeño)\n<font color=orange>ENG:</font> Ochre-naped Ground-Tyrant (small gray bird)
chhullunkaya	<font color=red>CHP:</font> ch'iwsi\n<font color=green>ESP:</font> congelado\n<font color=orange>ENG:</font> frozen
thayantaña	<font color=red>CHP:</font> ch'iwz\n<font color=green>ESP:</font> congelar\n<font color=orange>ENG:</font> to freeze
challwa	<font color=red>CHP:</font> ch'iz\n<font color=green>ESP:</font> pez\n<font color=orange>ENG:</font> fish
huayra phisqu, huayra jamachi	<font color=red>CHP:</font> ch'izllanku\n<font color=green>ESP:</font> Pajarito del viento\n<font color=orange>ENG:</font> Bright-rumped Yellow-Finch (small bird, yellow and grayish)
ch'islli	<font color=red>CHP:</font> ch'izlli = ch'ijli\n<font color=green>ESP:</font> sucio\n<font color=orange>ENG:</font> dirty
trapu	<font color=red>CHP:</font> ch'oclu\n<font color=green>ESP:</font> trapo\n<font color=orange>ENG:</font> rag
ch'uxña	<font color=red>CHP:</font> ch'ojjña\n<font color=green>ESP:</font> verde\n<font color=orange>ENG:</font> green
ch'uxu	<font color=red>CHP:</font> ch'ojjo\n<font color=green>ESP:</font> tos\n<font color=orange>ENG:</font> cough
phant'asiña	<font color=red>CHP:</font> ch'okz\n<font color=green>ESP:</font> cubrirse la cabeza con un paño\n<font color=orange>ENG:</font> to cover the head with cloth
wichhu wañata	<font color=red>CHP:</font> ch'ona\n<font color=green>ESP:</font> paja negra\n<font color=orange>ENG:</font> black straw
ch'urawi	<font color=red>CHP:</font> ch'orawi\n<font color=green>ESP:</font> tiempo frio\n<font color=orange>ENG:</font> cold weather
ch'urulla	<font color=red>CHP:</font> ch'oritu\n<font color=green>ESP:</font> diseño, figura en el tejido\n<font color=orange>ENG:</font> design, weaving pattern
pitu	<font color=red>CHP:</font> ch'oru\n<font color=green>ESP:</font> pito, silbato\n<font color=orange>ENG:</font> whistle
jachjasiña	<font color=red>CHP:</font> ch'oyz\n<font color=green>ESP:</font> llorar en empatía\n<font color=orange>ENG:</font> to cry in sympathy
k'arjama	<font color=red>CHP:</font> ch'ucja\n<font color=green>ESP:</font> poco salado\n<font color=orange>ENG:</font> a bit salty
ch'uku	<font color=red>CHP:</font> ch'ucu\n<font color=green>ESP:</font> costura\n<font color=orange>ENG:</font> seam
amuki!	<font color=red>CHP:</font> ch'uj z̈ela\n<font color=green>ESP:</font> ¡cállase!\n<font color=orange>ENG:</font> keep silent!, quiet!
amukt'aña	<font color=red>CHP:</font> ch'ujcje\n<font color=green>ESP:</font> hacer callar, callar\n<font color=orange>ENG:</font> to silence, to quiet
thuru, ch'ullqi	<font color=red>CHP:</font> ch'ujllkje\n<font color=green>ESP:</font> seco y duro (madera, maiz, piedra)\n<font color=orange>ENG:</font> hard and dry (wood, corn, rock)
wich'inka khuchuqaña	<font color=red>CHP:</font> ch'ujtz\n<font color=green>ESP:</font> cortar cola\n<font color=orange>ENG:</font> to cut animal's tail
amuki, ch'ujtata	<font color=red>CHP:</font> ch'uju\n<font color=green>ESP:</font> callado, silencio\n<font color=orange>ENG:</font> silent, quiet, silence
ch'ullphi	<font color=red>CHP:</font> ch'ullpji\n<font color=green>ESP:</font> granos muy duros\n<font color=orange>ENG:</font> very hard grains
ajara	<font color=red>CHP:</font> ch'ullpji\n<font color=green>ESP:</font> tipo de quinua dura\n<font color=orange>ENG:</font> type of hard quinua
ch'ullu, lluch'u	<font color=red>CHP:</font> ch'ullu\n<font color=green>ESP:</font> gorro\n<font color=orange>ENG:</font> cap (clothing)
ch'ulltasiña	<font color=red>CHP:</font> ch'ullz\n<font color=green>ESP:</font> ponerse gorro\n<font color=orange>ENG:</font> to put on a cap
ch'umphi	<font color=red>CHP:</font> ch'umpji\n<font color=green>ESP:</font> color café\n<font color=orange>ENG:</font> brown
ch'umaña	<font color=red>CHP:</font> ch'umz\n<font color=green>ESP:</font> chupar\n<font color=orange>ENG:</font> to suck
ch'uñu uma	<font color=red>CHP:</font> ch'uñ jaru\n<font color=green>ESP:</font> agua en que se han lavado chuños\n<font color=orange>ENG:</font> water in which chuños have been washed
ch'uñu	<font color=red>CHP:</font> ch'uñu\n<font color=green>ESP:</font> chuño, papa deshidratada\n<font color=orange>ENG:</font> dried potato
ch'uñuri	<font color=red>CHP:</font> ch'uñuri\n<font color=green>ESP:</font> helado, muy frio\n<font color=orange>ENG:</font> frozen, freezing, icy
ch'uñuchaña	<font color=red>CHP:</font> ch'uñz\n<font color=green>ESP:</font> hacer chuños\n<font color=orange>ENG:</font> to make dried potatoes
ch'uñur amayuña	<font color=red>CHP:</font> ch'uñz̈quic̈ha\n<font color=green>ESP:</font> sentir frio\n<font color=orange>ENG:</font> to feel the cold
mat'i	<font color=red>CHP:</font> ch'utju\n<font color=green>ESP:</font> ropa apretada\n<font color=orange>ENG:</font> tight clothes
mut'u	<font color=red>CHP:</font> ch'utju\n<font color=green>ESP:</font> animal con cola pequeña\n<font color=orange>ENG:</font> animal with short tail
ch'utu	<font color=red>CHP:</font> ch'utu\n<font color=green>ESP:</font> loma\n<font color=orange>ENG:</font> hillock, knoll
ch'uwachaña	<font color=red>CHP:</font> ch'uuchi = ch'uwanzkatz\n<font color=green>ESP:</font> posarse\n<font color=orange>ENG:</font> to settle (liquid)
lik'i phayaña	<font color=red>CHP:</font> ch'uus\n<font color=green>ESP:</font> cocinar grasa para hacer manteca pura\n<font color=orange>ENG:</font> to cook grease to make pure butter/lard
ch'uwaña	<font color=red>CHP:</font> ch'uuz\n<font color=green>ESP:</font> ordeñar, sacar leche\n<font color=orange>ENG:</font> to milk
ch'uwaña, ch'uwachaña	<font color=red>CHP:</font> ch'uwanz\n<font color=green>ESP:</font> ordeñar, sacar leche (para ayudar a otra persona)\n<font color=orange>ENG:</font> to milk (to help somebody)
ch'uwachaña	<font color=red>CHP:</font> ch'uwanzkatz = ch'uuchi\n<font color=green>ESP:</font> posarse\n<font color=orange>ENG:</font> to settle (liquid)
ch'uwaraña, kulantaña	<font color=red>CHP:</font> ch'uwarz\n<font color=green>ESP:</font> destilar, desaguar\n<font color=orange>ENG:</font> to drain, to distill
k'ara	<font color=red>CHP:</font> ch'uyi\n<font color=green>ESP:</font> salado\n<font color=orange>ENG:</font> salty
ch'akurtaña	<font color=red>CHP:</font> c̈hajcz\n<font color=green>ESP:</font> pegar, golpear\n<font color=orange>ENG:</font> to hit, to beat
jaqurtaña	<font color=red>CHP:</font> c̈hajcz\n<font color=green>ESP:</font> tirar\n<font color=orange>ENG:</font> to throw
