anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=#2E8B57>ESP:</font> arrear\n<font color=#FF8C00>ENG:</font> to herd
janiwa	<font color=red>CHP:</font> inurinti\n<font color=#2E8B57>ESP:</font> ignorante\n<font color=#FF8C00>ENG:</font> ignorant
insinshu	<font color=red>CHP:</font> inzinz̈u\n<font color=#2E8B57>ESP:</font> incienso\n<font color=#FF8C00>ENG:</font> incense
iñarasiña	<font color=red>CHP:</font> iñaráz\n<font color=#2E8B57>ESP:</font> mirarse si se está vestido bien\n<font color=#FF8C00>ENG:</font> to check if one is dressed properly, to primp
iñaraña	<font color=red>CHP:</font> iñarz\n<font color=#2E8B57>ESP:</font> pensar mal al observar\n<font color=#FF8C00>ENG:</font> to have negative thoughts when looking at sth./sb.
iñaraña	<font color=red>CHP:</font> iñarz\n<font color=#2E8B57>ESP:</font> despreciar\n<font color=#FF8C00>ENG:</font> to despise, to disdain
iñisita, chuyma ust'ata	<font color=red>CHP:</font> iñi ziz\n<font color=#2E8B57>ESP:</font> sentirse no tratado bien, resentirse\n<font color=#FF8C00>ENG:</font> to feel poorly treated, to feel hurt
ipala	<font color=red>CHP:</font> ipali\n<font color=#2E8B57>ESP:</font> tía, hermana del padre\n<font color=#FF8C00>ENG:</font> aunt on father's side
ikimuchaña	<font color=red>CHP:</font> iquimutz\n<font color=#2E8B57>ESP:</font> dormir fuera de la casa por algún motivo\n<font color=#FF8C00>ENG:</font> to sleep away from home for some reason
kisiña, isi apsusiña	<font color=red>CHP:</font> ir irz\n<font color=#2E8B57>ESP:</font> ponerse y sacarse la ropa\n<font color=#FF8C00>ENG:</font> to put on and off clothes
ira	<font color=red>CHP:</font> ira\n<font color=#2E8B57>ESP:</font> túnica\n<font color=#FF8C00>ENG:</font> tunic
ira	<font color=red>CHP:</font> ira\n<font color=#2E8B57>ESP:</font> guía de instrumentos musicales\n<font color=#FF8C00>ENG:</font> leading musical instrument
chiqa samka	<font color=red>CHP:</font> irakaz\n<font color=#2E8B57>ESP:</font> sueño que se cumple\n<font color=#FF8C00>ENG:</font> dream which comes true
irantaña	<font color=red>CHP:</font> irantiz\n<font color=#2E8B57>ESP:</font> llegar\n<font color=#FF8C00>ENG:</font> to arrive
janiw saña	<font color=red>CHP:</font> iraquipz\n<font color=#2E8B57>ESP:</font> negar\n<font color=#FF8C00>ENG:</font> to deny
sintisiña	<font color=red>CHP:</font> iraquipz\n<font color=#2E8B57>ESP:</font> resentirse\n<font color=#FF8C00>ENG:</font> to feel resentful/sad
kijpa	<font color=red>CHP:</font> irata\n<font color=#2E8B57>ESP:</font> igual\n<font color=#FF8C00>ENG:</font> equal, alike
tuti	<font color=red>CHP:</font> irinsa\n<font color=#2E8B57>ESP:</font> herencia\n<font color=#FF8C00>ENG:</font> inheritance
irjataña, puriña	<font color=red>CHP:</font> irjatz\n<font color=#2E8B57>ESP:</font> llegar\n<font color=#FF8C00>ENG:</font> to arrive
irjataña	<font color=red>CHP:</font> irjatz\n<font color=#2E8B57>ESP:</font> acertar\n<font color=#FF8C00>ENG:</font> to predict
irjaña	<font color=red>CHP:</font> irjiz\n<font color=#2E8B57>ESP:</font> pegar hasta atemorizar\n<font color=#FF8C00>ENG:</font> to hit a person till frightened
irjt'aña	<font color=red>CHP:</font> irjt'iz\n<font color=#2E8B57>ESP:</font> pegar hasta desmayar\n<font color=#FF8C00>ENG:</font> to beat a person till unconscious
irqi wawa	<font color=red>CHP:</font> irke ocjala\n<font color=#2E8B57>ESP:</font> niño despechado\n<font color=#FF8C00>ENG:</font> child who doesn't nurse anymore
irpaqaña	<font color=red>CHP:</font> irpakz\n<font color=#2E8B57>ESP:</font> separar a un niño de sus padres\n<font color=#FF8C00>ENG:</font> to separate a child from parents
irpaqaña	<font color=red>CHP:</font> irpakz\n<font color=#2E8B57>ESP:</font> raptar a la novia\n<font color=#FF8C00>ENG:</font> to abduct one's fiancée
irpantaña	<font color=red>CHP:</font> irpantiz\n<font color=#2E8B57>ESP:</font> ir a vivir juntos sin registro/sin ritos\n<font color=#FF8C00>ENG:</font> to go live together without registration or ceremony
irpiri	<font color=red>CHP:</font> irpiñi\n<font color=#2E8B57>ESP:</font> guía\n<font color=#FF8C00>ENG:</font> a guide
irpaña	<font color=red>CHP:</font> irpiz\n<font color=#2E8B57>ESP:</font> guiar\n<font color=#FF8C00>ENG:</font> to guide
irpjataña, int'ayaña	<font color=red>CHP:</font> irpjatz\n<font color=#2E8B57>ESP:</font> hacer conocer, presentar\n<font color=#FF8C00>ENG:</font> to introduce, to present
irpsuña	<font color=red>CHP:</font> irpsas\n<font color=#2E8B57>ESP:</font> fugarse para vivir juntos\n<font color=#FF8C00>ENG:</font> to elope
irpsuña	<font color=red>CHP:</font> irpzuz\n<font color=#2E8B57>ESP:</font> separarse luego de fugarse de casa (pareja)\n<font color=#FF8C00>ENG:</font> to separate after having run away from home (couple)
irt'aña, iräña	<font color=red>CHP:</font> irt'iz\n<font color=#2E8B57>ESP:</font> comprar para compartir\n<font color=#FF8C00>ENG:</font> to buy something to share
iru (iru wichhu) (iru lak'utu)	<font color=red>CHP:</font> iru\n<font color=#2E8B57>ESP:</font> tieso, duro\n<font color=#FF8C00>ENG:</font> stiff, hard
awriwu, awayrant'asiña, puncht'asiña	<font color=red>CHP:</font> irz\n<font color=#2E8B57>ESP:</font> abrigo, abrigarse\n<font color=#FF8C00>ENG:</font> coat, to put on a coat
aqaraña, llawraña	<font color=red>CHP:</font> is\n<font color=#2E8B57>ESP:</font> lamer\n<font color=#FF8C00>ENG:</font> to lick
pisi	<font color=red>CHP:</font> iscaso\n<font color=#2E8B57>ESP:</font> escaso\n<font color=#FF8C00>ENG:</font> scarce, limited
sillu	<font color=red>CHP:</font> isñi\n<font color=#2E8B57>ESP:</font> uña\n<font color=#FF8C00>ENG:</font> nail
ispiju	<font color=red>CHP:</font> ispiju\n<font color=#2E8B57>ESP:</font> espejo\n<font color=#FF8C00>ENG:</font> mirror
ispiritu, alma	<font color=red>CHP:</font> ispíritu\n<font color=#2E8B57>ESP:</font> espíritu, alma\n<font color=#FF8C00>ENG:</font> spirit, soul
ispuyla	<font color=red>CHP:</font> ispuyla\n<font color=#2E8B57>ESP:</font> espuela, espolón\n<font color=#FF8C00>ENG:</font> spur (on boots, on birds)
iskin iskina	<font color=red>CHP:</font> isquinatu\n<font color=#2E8B57>ESP:</font> cuadrado\n<font color=#FF8C00>ENG:</font> square
istrinaña, ist'asiña, machaq isi isintasiña	<font color=red>CHP:</font> ist'as\n<font color=#2E8B57>ESP:</font> ponerse ropa nueva\n<font color=#FF8C00>ENG:</font> to put on new clothes
isturyaña	<font color=red>CHP:</font> istutiiz\n<font color=#2E8B57>ESP:</font> estudiar\n<font color=#FF8C00>ENG:</font> to study
ithapallu	<font color=red>CHP:</font> itallapi\n<font color=#2E8B57>ESP:</font> ortiga\n<font color=#FF8C00>ENG:</font> nettle
awatiña	<font color=red>CHP:</font> itchz\n<font color=#2E8B57>ESP:</font> pastear\n<font color=#FF8C00>ENG:</font> to graze
lliju lliju, lliphi lliphi	<font color=red>CHP:</font> itirincu = utjuruncu\n<font color=#2E8B57>ESP:</font> relámpago a la distancia\n<font color=#FF8C00>ENG:</font> far-away lightening
jututu	<font color=red>CHP:</font> ititi\n<font color=#2E8B57>ESP:</font> flamenco grande\n<font color=#FF8C00>ENG:</font> big flamingo
kirkiña	<font color=red>CHP:</font> its\n<font color=#2E8B57>ESP:</font> cantar\n<font color=#FF8C00>ENG:</font> to sing
chala	<font color=red>CHP:</font> itsa\n<font color=#2E8B57>ESP:</font> rastrojo\n<font color=#FF8C00>ENG:</font> stubble
awatiña	<font color=red>CHP:</font> itz\n<font color=#2E8B57>ESP:</font> cuidar\n<font color=#FF8C00>ENG:</font> to take care of
ñuñuyaña	<font color=red>CHP:</font> itz\n<font color=#2E8B57>ESP:</font> dar de mamar\n<font color=#FF8C00>ENG:</font> to let nurse
machura	<font color=red>CHP:</font> iwa\n<font color=#2E8B57>ESP:</font> estéril\n<font color=#FF8C00>ENG:</font> sterile, infertile
chismusa, kuñtu q'ipiña	<font color=red>CHP:</font> iwarz\n<font color=#2E8B57>ESP:</font> chismear\n<font color=#FF8C00>ENG:</font> to gossip
juk'anti	<font color=red>CHP:</font> iya\n<font color=#2E8B57>ESP:</font> más\n<font color=#FF8C00>ENG:</font> more
iyaw siwa	<font color=red>CHP:</font> iyaw cji\n<font color=#2E8B57>ESP:</font> aceptar, estar de acuerdo\n<font color=#FF8C00>ENG:</font> to accept, to agree
aniña	<font color=red>CHP:</font> iz\n<font color=#2E8B57>ESP:</font> hacer el acto sexual\n<font color=#FF8C00>ENG:</font> to have sexual intercourse
ispantaña, sustjaña	<font color=red>CHP:</font> izpantiz\n<font color=#2E8B57>ESP:</font> espantar\n<font color=#FF8C00>ENG:</font> to frighten, to scare
istaka	<font color=red>CHP:</font> iztaca\n<font color=#2E8B57>ESP:</font> palito, estaca\n<font color=#FF8C00>ENG:</font> stick, stake, post
tikantañataki	<font color=red>CHP:</font> iztira\n<font color=#2E8B57>ESP:</font> molde de queso\n<font color=#FF8C00>ENG:</font> cheese mold
yaqhanti ikiña, qhincha jaqi	<font color=red>CHP:</font> iz̈i wiri\n<font color=#2E8B57>ESP:</font> adulterio, fornicario, adúltero\n<font color=#FF8C00>ENG:</font> adultery, fornication, adulterer/adulteress
qhinchachiri	<font color=red>CHP:</font> iz̈i wiri z̈ejlz\n<font color=#2E8B57>ESP:</font> cometer adulterio\n<font color=#FF8C00>ENG:</font> to commit adultery
laka ch'aka	<font color=red>CHP:</font> iz̈ke\n<font color=#2E8B57>ESP:</font> dientes\n<font color=#FF8C00>ENG:</font> teeth
jä	<font color=red>CHP:</font> jaa\n<font color=#2E8B57>ESP:</font> ¡¿cómo?!, ¡¿qué?!\n<font color=#FF8C00>ENG:</font> what?!, hu?!
jakakipan chhuxrintaña	<font color=red>CHP:</font> jacamutz\n<font color=#2E8B57>ESP:</font> herir hasta medio muerto\n<font color=#FF8C00>ENG:</font> to wound almost to death
jakatataña	<font color=red>CHP:</font> jacatatz\n<font color=#2E8B57>ESP:</font> resucitar\n<font color=#FF8C00>ENG:</font> to resurrect, to revive
turyasiña	<font color=red>CHP:</font> jacs\n<font color=#2E8B57>ESP:</font> cortejar\n<font color=#FF8C00>ENG:</font> to woo, to court
jach'iña	<font color=red>CHP:</font> jach'iz\n<font color=#2E8B57>ESP:</font> estornudar\n<font color=#FF8C00>ENG:</font> to sneeze
kunama?	<font color=red>CHP:</font> jajmuz̈t\n<font color=#2E8B57>ESP:</font> ¿porqué?\n<font color=#FF8C00>ENG:</font> why?
jan samaqt'aña	<font color=red>CHP:</font> jajzkatz\n<font color=#2E8B57>ESP:</font> ahogarse\n<font color=#FF8C00>ENG:</font> to drown
qharuru	<font color=red>CHP:</font> jaka\n<font color=#2E8B57>ESP:</font> mañana\n<font color=#FF8C00>ENG:</font> tomorrow
payüruta	<font color=red>CHP:</font> jakataz̈uqui\n<font color=#2E8B57>ESP:</font> pasado mañana\n<font color=#FF8C00>ENG:</font> the day after tomorrow
qhalt'ina	<font color=red>CHP:</font> jakawenz\n<font color=#2E8B57>ESP:</font> en la mañana\n<font color=#FF8C00>ENG:</font> in the morning
kunama?	<font color=red>CHP:</font> jaknuz̈\n<font color=#2E8B57>ESP:</font> ¿cómo?\n<font color=#FF8C00>ENG:</font> how?, in what manner?
kawkins?	<font color=red>CHP:</font> jaknuz̈quin\n<font color=#2E8B57>ESP:</font> ¿por dónde?\n<font color=#FF8C00>ENG:</font> in which direction?
kunamapasa	<font color=red>CHP:</font> jaknuz̈quiztanami\n<font color=#2E8B57>ESP:</font> de todas maneras\n<font color=#FF8C00>ENG:</font> at any rate, anyway, by any means
jaquntaña	<font color=red>CHP:</font> jakuntiz\n<font color=#2E8B57>ESP:</font> botar\n<font color=#FF8C00>ENG:</font> to throw away, to throw out
tumpaña	<font color=red>CHP:</font> jakuntiz\n<font color=#2E8B57>ESP:</font> culpar sin motivo, calumniar\n<font color=#FF8C00>ENG:</font> to accuse without reason, to calumniate
kawksa, kawki?	<font color=red>CHP:</font> jakzi\n<font color=#2E8B57>ESP:</font> donde, ¿dónde?\n<font color=#FF8C00>ENG:</font> where, where?
kawksa?	<font color=red>CHP:</font> jakzilta\n<font color=#2E8B57>ESP:</font> ¿cúal?\n<font color=#FF8C00>ENG:</font> which?
pampach sawuña	<font color=red>CHP:</font> jalantiz\n<font color=#2E8B57>ESP:</font> dos personas tejiendo un telar\n<font color=#FF8C00>ENG:</font> two persons weaving together
pantjasis mantaña	<font color=red>CHP:</font> jalantiz\n<font color=#2E8B57>ESP:</font> entrar en un lugar para escaparse de algo\n<font color=#FF8C00>ENG:</font> to enter some place to escape something
pantjasis mantaña	<font color=red>CHP:</font> jalantiz\n<font color=#2E8B57>ESP:</font> entrar en un sitio equivocado\n<font color=#FF8C00>ENG:</font> to enter a place by mistake
jalaraña, apartaña	<font color=red>CHP:</font> jalarz\n<font color=#2E8B57>ESP:</font> separar, apartar\n<font color=#FF8C00>ENG:</font> to separate
jaljaña	<font color=red>CHP:</font> jaljiz\n<font color=#2E8B57>ESP:</font> partir\n<font color=#FF8C00>ENG:</font> to divide
jaljtaña	<font color=red>CHP:</font> jaljjtiz\n<font color=#2E8B57>ESP:</font> divorciarse, separarse\n<font color=#FF8C00>ENG:</font> to divorce, to separate
jalnaqaña tannaqaña	<font color=red>CHP:</font> jalnakz\n<font color=#2E8B57>ESP:</font> correr de un lugar a otro, inquietarse\n<font color=#FF8C00>ENG:</font> to run from one place to another, to worry
jalt'asiña, jaqt'asiña	<font color=red>CHP:</font> jalt'as\n<font color=#2E8B57>ESP:</font> caer en algún problema sin culpa\n<font color=#FF8C00>ENG:</font> to have problems which are not your fault
iyaña	<font color=red>CHP:</font> jalz\n<font color=#2E8B57>ESP:</font> moler con piedra redonda\n<font color=#FF8C00>ENG:</font> to mill with round stone
taqxataña	<font color=red>CHP:</font> jalz\n<font color=#2E8B57>ESP:</font> atropellar\n<font color=#FF8C00>ENG:</font> to run over
jalsuri, uma jalsu	<font color=red>CHP:</font> jalzuri\n<font color=#2E8B57>ESP:</font> vertiente\n<font color=#FF8C00>ENG:</font> spring (of water)
jalla	<font color=red>CHP:</font> jalla\n<font color=#2E8B57>ESP:</font> así\n<font color=#FF8C00>ENG:</font> so
jalla ukhama	<font color=red>CHP:</font> jalla nuz̈\n<font color=#2E8B57>ESP:</font> es así\n<font color=#FF8C00>ENG:</font> that's the way it is
kanwa	<font color=red>CHP:</font> jallc'a\n<font color=#2E8B57>ESP:</font> débil de salud, delicado\n<font color=#FF8C00>ENG:</font> weak, frail
jiwtawxaru	<font color=red>CHP:</font> jallc'a\n<font color=#2E8B57>ESP:</font> tímido\n<font color=#FF8C00>ENG:</font> timid
jamachaka	<font color=red>CHP:</font> jamachaca\n<font color=#2E8B57>ESP:</font> desconfiado\n<font color=#FF8C00>ENG:</font> distrustful, suspicious
jan machjata, talu	<font color=red>CHP:</font> jamana\n<font color=#2E8B57>ESP:</font> sobrio en la borrachera\n<font color=#FF8C00>ENG:</font> sober
sanuki	<font color=red>CHP:</font> jamana\n<font color=#2E8B57>ESP:</font> persona que se amanece temprano\n<font color=#FF8C00>ENG:</font> early-riser
qunchu	<font color=red>CHP:</font> jamchi\n<font color=#2E8B57>ESP:</font> producto para hacer chicha\n<font color=#FF8C00>ENG:</font> product to make chicha
jamch'iña	<font color=red>CHP:</font> jamchis\n<font color=#2E8B57>ESP:</font> masticar comida para dar a las crías\n<font color=#FF8C00>ENG:</font> to chew food to give to children/offspring
phamilya	<font color=red>CHP:</font> jamilla = pjamilla\n<font color=#2E8B57>ESP:</font> familia\n<font color=#FF8C00>ENG:</font> family
jamasaki	<font color=red>CHP:</font> jamiri\n<font color=#2E8B57>ESP:</font> el que da adivinanzas\n<font color=#FF8C00>ENG:</font> person who tells riddles
jamp'ala lamp'a	<font color=red>CHP:</font> jamp'ali\n<font color=#2E8B57>ESP:</font> ala del sombrero\n<font color=#FF8C00>ENG:</font> brim on hat
jamp'iña, layqaña	<font color=red>CHP:</font> jampiz\n<font color=#2E8B57>ESP:</font> embrujar\n<font color=#FF8C00>ENG:</font> to bewitch, to cast a spell on
qulliri	<font color=red>CHP:</font> jamuziri\n<font color=#2E8B57>ESP:</font> curandero\n<font color=#FF8C00>ENG:</font> traditional healer
jamasat qhanaña	<font color=red>CHP:</font> jamz\n<font color=#2E8B57>ESP:</font> adivinar\n<font color=#FF8C00>ENG:</font> to predict, to guess
apurasiña, jank'achasiña, laqaki	<font color=red>CHP:</font> jananiz\n<font color=#2E8B57>ESP:</font> apurarse\n<font color=#FF8C00>ENG:</font> to hurry
janchi	<font color=red>CHP:</font> janchi\n<font color=#2E8B57>ESP:</font> piel del cuerpo humano\n<font color=#FF8C00>ENG:</font> human skin
jañachu	<font color=red>CHP:</font> janchuri\n<font color=#2E8B57>ESP:</font> animal líder del grupo\n<font color=#FF8C00>ENG:</font> animal that's the leader of the group
janti	<font color=red>CHP:</font> jante\n<font color=#2E8B57>ESP:</font> ¿no cierto?, ¿verdad?, ¿no ve?\n<font color=#FF8C00>ENG:</font> ...isn't it so?
janant k'irsuña	<font color=red>CHP:</font> janziz + janantiz\n<font color=#2E8B57>ESP:</font> cambiar pañales\n<font color=#FF8C00>ENG:</font> to change diapers
jañi jañi	<font color=red>CHP:</font> jañintiz\n<font color=#2E8B57>ESP:</font> gemido de camélidos\n<font color=#FF8C00>ENG:</font> bray of cameloids
yaqha	<font color=red>CHP:</font> jar\n<font color=#2E8B57>ESP:</font> otro tiempo\n<font color=#FF8C00>ENG:</font> another time
khuchi uta	<font color=red>CHP:</font> jara\n<font color=#2E8B57>ESP:</font> chiquero\n<font color=#FF8C00>ENG:</font> pigsty
jaraña	<font color=red>CHP:</font> jaraña\n<font color=#2E8B57>ESP:</font> lugar donde tropas pasan la noche\n<font color=#FF8C00>ENG:</font> place where herds spend the night
jark'asiña, jark'aña	<font color=red>CHP:</font> jarc'az\n<font color=#2E8B57>ESP:</font> proteger\n<font color=#FF8C00>ENG:</font> to protect
jariru, kumpañiri yanapt'iri	<font color=red>CHP:</font> jariru\n<font color=#2E8B57>ESP:</font> acompañante de la tropa que ayuda a cargar y guiar\n<font color=#FF8C00>ENG:</font> person who accompanies a herd to help load and guide
kulirata, tiptata, tiputa	<font color=red>CHP:</font> jarjarz\n<font color=#2E8B57>ESP:</font> estar con rabia/enojado\n<font color=#FF8C00>ENG:</font> to be angry/furious
kallk'u jaqi, jarujaqi	<font color=red>CHP:</font> jarjiz\n<font color=#2E8B57>ESP:</font> ser amargado\n<font color=#FF8C00>ENG:</font> to be bitter
jarqaña	<font color=red>CHP:</font> jarkaizjiiz\n<font color=#2E8B57>ESP:</font> tiempo de monta\n<font color=#FF8C00>ENG:</font> mating period
jariña	<font color=red>CHP:</font> jarkatz\n<font color=#2E8B57>ESP:</font> poner chuño/quinua en el agua para sacar lo amargo\n<font color=#FF8C00>ENG:</font> to put chuño/quinua in water to remove the bitterness
jariña	<font color=red>CHP:</font> jarkatz\n<font color=#2E8B57>ESP:</font> lavar\n<font color=#FF8C00>ENG:</font> to wash
arqawi	<font color=red>CHP:</font> jarkawi\n<font color=#2E8B57>ESP:</font> viento del este\n<font color=#FF8C00>ENG:</font> the east wind
jark'aqasiña, tuwaqasiña	<font color=red>CHP:</font> jark'az\n<font color=#2E8B57>ESP:</font> defenderse\n<font color=#FF8C00>ENG:</font> to defend oneself
jarqayaña, takxaña	<font color=red>CHP:</font> jarkjayz\n<font color=#2E8B57>ESP:</font> monta de los camélidos\n<font color=#FF8C00>ENG:</font> mating of cameloids
jarma	<font color=red>CHP:</font> jarma\n<font color=#2E8B57>ESP:</font> tipo de color oscuro de un animal\n<font color=#FF8C00>ENG:</font> dark color of animal
jarma	<font color=red>CHP:</font> jarma\n<font color=#2E8B57>ESP:</font> mineral\n<font color=#FF8C00>ENG:</font> mineral
jarkaña	<font color=red>CHP:</font> jarq'uiz\n<font color=#2E8B57>ESP:</font> atajar\n<font color=#FF8C00>ENG:</font> to intercept, to halt
xaru	<font color=red>CHP:</font> jaru\n<font color=#2E8B57>ESP:</font> amargo, picante\n<font color=#FF8C00>ENG:</font> bitter, spicy
xaru	<font color=red>CHP:</font> jaru\n<font color=#2E8B57>ESP:</font> bilis\n<font color=#FF8C00>ENG:</font> bile
uknama, ukataypit	<font color=red>CHP:</font> -jaru\n<font color=#2E8B57>ESP:</font> por, por medio de\n<font color=#FF8C00>ENG:</font> by means of
ukjaru	<font color=red>CHP:</font> -jaru\n<font color=#2E8B57>ESP:</font> atrás de\n<font color=#FF8C00>ENG:</font> behind
utachaña khuchitaki	<font color=red>CHP:</font> jarz\n<font color=#2E8B57>ESP:</font> construir chiquero\n<font color=#FF8C00>ENG:</font> to build a pigsty
jariña	<font color=red>CHP:</font> jarz\n<font color=#2E8B57>ESP:</font> poner chuño/quinua en el agua para sacar lo amargo\n<font color=#FF8C00>ENG:</font> to put chuño/quinua in water to remove the bitterness
phatu, ancha aychani	<font color=red>CHP:</font> jata\n<font color=#2E8B57>ESP:</font> (plato de) mucha carne, cuerpo musculoso\n<font color=#FF8C00>ENG:</font> (dish with) a lot of meat, muscular body
aphilaña, arichaña	<font color=red>CHP:</font> jatz\n<font color=#2E8B57>ESP:</font> afilar\n<font color=#FF8C00>ENG:</font> to sharpen
thutha	<font color=red>CHP:</font> jawarcjujzñi\n<font color=#2E8B57>ESP:</font> pequeña mariposa nocturna\n<font color=#FF8C00>ENG:</font> moth
jawasa	<font color=red>CHP:</font> jawaza\n<font color=#2E8B57>ESP:</font> haba\n<font color=#FF8C00>ENG:</font> lima bean, fava bean
q'ichalira	<font color=red>CHP:</font> jawi\n<font color=#2E8B57>ESP:</font> diarrea\n<font color=#FF8C00>ENG:</font> diarrhea
uma irpantaña	<font color=red>CHP:</font> jawiiz\n<font color=#2E8B57>ESP:</font> regar\n<font color=#FF8C00>ENG:</font> to water, to sprinkle water
qhunaña, piqatataña	<font color=red>CHP:</font> jawinz = jawunz\n<font color=#2E8B57>ESP:</font> moler\n<font color=#FF8C00>ENG:</font> to grind
q'iwsa	<font color=red>CHP:</font> jawiri\n<font color=#2E8B57>ESP:</font> cobarde\n<font color=#FF8C00>ENG:</font> cowardly
qichalirinti	<font color=red>CHP:</font> jawiri\n<font color=#2E8B57>ESP:</font> enfermo con diarrea\n<font color=#FF8C00>ENG:</font> having diarrhea
jawq'aña	<font color=red>CHP:</font> jawk'aña\n<font color=#2E8B57>ESP:</font> palo para desgranar (quinua, trigo)\n<font color=#FF8C00>ENG:</font> stick to thresh (quinua, wheat)
sustjaña	<font color=red>CHP:</font> jawkjatz\n<font color=#2E8B57>ESP:</font> dar miedo a alguien, asustar\n<font color=#FF8C00>ENG:</font> to scare
yanapt'aña	<font color=red>CHP:</font> jawkjatz\n<font color=#2E8B57>ESP:</font> ayudar a alguien con diarrea al baño\n<font color=#FF8C00>ENG:</font> to help a person with diarrhea to the bathroom
mayjasiña, waqjasiña	<font color=red>CHP:</font> jawkjatz\n<font color=#2E8B57>ESP:</font> cobrar más a personas ricas\n<font color=#FF8C00>ENG:</font> to charge rich people more
purap phayaña	<font color=red>CHP:</font> jawkt'az\n<font color=#2E8B57>ESP:</font> cocinar juntos\n<font color=#FF8C00>ENG:</font> to cook together
wilanchata	<font color=red>CHP:</font> jawktita\n<font color=#2E8B57>ESP:</font> sacrificio, ya sacrificado\n<font color=#FF8C00>ENG:</font> sacrifice, already sacrificed
wilanchaña	<font color=red>CHP:</font> jawktiz\n<font color=#2E8B57>ESP:</font> sacrificar\n<font color=#FF8C00>ENG:</font> to sacrifice
ithapa, kursuqulla, wich'utak qulla	<font color=red>CHP:</font> jawkulla\n<font color=#2E8B57>ESP:</font> medicina para diarrea\n<font color=#FF8C00>ENG:</font> medicine to treat diarrhea
awllaña	<font color=red>CHP:</font> jawkz\n<font color=#2E8B57>ESP:</font> aullar\n<font color=#FF8C00>ENG:</font> to howl
jawuna	<font color=red>CHP:</font> jawuna\n<font color=#2E8B57>ESP:</font> jabón\n<font color=#FF8C00>ENG:</font> soap
qhunaña, piqatataña	<font color=red>CHP:</font> jawunz = jawinz\n<font color=#2E8B57>ESP:</font> moler\n<font color=#FF8C00>ENG:</font> to grind
qhichalirinti	<font color=red>CHP:</font> jawz\n<font color=#2E8B57>ESP:</font> tener diarrea\n<font color=#FF8C00>ENG:</font> to have diarrhea
jacht'asiña	<font color=red>CHP:</font> jaycht'iñi\n<font color=#2E8B57>ESP:</font> llorar para hacer sentir culpa\n<font color=#FF8C00>ENG:</font> to cry to make someone feel guilty
jacht'aña	<font color=red>CHP:</font> jaycht'iz\n<font color=#2E8B57>ESP:</font> sentirse mal porque otra persona ha hablado mal de él\n<font color=#FF8C00>ENG:</font> to feel bad because someone has said bad things about you
jayra	<font color=red>CHP:</font> jayra\n<font color=#2E8B57>ESP:</font> flojo\n<font color=#FF8C00>ENG:</font> lazy
jayraña	<font color=red>CHP:</font> jayraz\n<font color=#2E8B57>ESP:</font> flojear\n<font color=#FF8C00>ENG:</font> to be lazy
jayri	<font color=red>CHP:</font> jayri\n<font color=#2E8B57>ESP:</font> nueva luna\n<font color=#FF8C00>ENG:</font> new moon
jaytaraña	<font color=red>CHP:</font> jaytarz\n<font color=#2E8B57>ESP:</font> abandonar\n<font color=#FF8C00>ENG:</font> to abandon
janti	<font color=red>CHP:</font> jaz\n<font color=#2E8B57>ESP:</font> ¿...verdad?, ¿...no ve?\n<font color=#FF8C00>ENG:</font> ...no?, ...isn't it so?
jichha	<font color=red>CHP:</font> jaziqui = añz\n<font color=#2E8B57>ESP:</font> ahora\n<font color=#FF8C00>ENG:</font> now
jichätimpu, jichapashpa	<font color=red>CHP:</font> jazta\n<font color=#2E8B57>ESP:</font> reciente\n<font color=#FF8C00>ENG:</font> recent
khitipas	<font color=red>CHP:</font> jecmi\n<font color=#2E8B57>ESP:</font> cualquier\n<font color=#FF8C00>ENG:</font> anyone, anything
khiti, kawkirisa	<font color=red>CHP:</font> jecmi\n<font color=#2E8B57>ESP:</font> alguien\n<font color=#FF8C00>ENG:</font> someone
instaña	<font color=red>CHP:</font> jecz\n<font color=#2E8B57>ESP:</font> aparecer\n<font color=#FF8C00>ENG:</font> to appear
alintata	<font color=red>CHP:</font> jecz̈quiñi\n<font color=#2E8B57>ESP:</font> retoño\n<font color=#FF8C00>ENG:</font> sprout, bud of leaves
jak'aki	<font color=red>CHP:</font> jeecu\n<font color=#2E8B57>ESP:</font> cerca\n<font color=#FF8C00>ENG:</font> near
khumuña	<font color=red>CHP:</font> jeepz\n<font color=#2E8B57>ESP:</font> cargar animal\n<font color=#FF8C00>ENG:</font> to load an animal
jisa	<font color=red>CHP:</font> jeez\n<font color=#2E8B57>ESP:</font> sí\n<font color=#FF8C00>ENG:</font> yes
samaña	<font color=red>CHP:</font> jeja\n<font color=#2E8B57>ESP:</font> respiro\n<font color=#FF8C00>ENG:</font> breath
samarasiña	<font color=red>CHP:</font> jejz\n<font color=#2E8B57>ESP:</font> descansar\n<font color=#FF8C00>ENG:</font> to rest
khumuña, ankasaña	<font color=red>CHP:</font> jepz\n<font color=#2E8B57>ESP:</font> cargar (animal, persona)\n<font color=#FF8C00>ENG:</font> to load (animal, person)
khiti?	<font color=red>CHP:</font> jequi\n<font color=#2E8B57>ESP:</font> ¿quién?\n<font color=#FF8C00>ENG:</font> who?
chinuña	<font color=red>CHP:</font> jeranz\n<font color=#2E8B57>ESP:</font> amarrar\n<font color=#FF8C00>ENG:</font> to tie (up), to fasten
