abajo	Uray.
contento	Kusi sunqu, hawka.
contestar	Kutichiy, rimariy.
contienda	Maqanakuy.
contigo	Qamwan.
continuamente	Pasaqlla.
contorno	Muyuntin, muyuriqnin.
contraerse	Qintikuy.
contumaz	K'ullu sunqu, munasqan ruraq.
convalecer	Allinyay.
convenir	Kamachinakuy, rimanakuy, ninakuy.
conversar	Rimay, parlay.
cooperar	Yanapay, ruraysiy.
copioso	Sinchi, achkha, nanaq.
corazón	Sunqu.
corcovado	Q'umu wasa, muqu wasa.
cornear	Waqray.
corona	Pillu.
corral	Kancha, qincha.
corregir	Wanachiy, anyay.
correo	Chaski, qillqa apaq.
correr	Phaway, kallpay.
corresponder	Kutichiy.
corroer	Kuchkuy.
corromperse	Ismuy, p'uchquyay.
cortar	(objetos compactos): kuchuy.\n(objetos alargados y fibrosos): rutuy.
corteza	Qara.
cosa	Ima.
cosecha	Kusicha, kuhichu, kallchay.
coser	Siray.
cosquilla	Chikuchay.
costado	Waqta, rikra.
costa	(del mar) Mama qucha patan, hatun quchap patan.
costal	Kutama, runku.
costilla	Waqta tullu.
costra	Qara, k'iri.
costura	Sirana, sirasqa.
cotejar	Tinkuchiy.
cotidiano	Sapa p'unchaw.
coz	Hayt'ay.
cráneo	Uman tullu.
creador	Kamaq, paqarichiq, ruraq.
crear	Kamay, paqarichiy.
crecer	Wiñay, miray, hatunyay.
creciente	(luna) Wiñay killa, wiñaq killa.
creer	Iñiy.
crepúsculo	Tutaykuy.
crespo	K'uspa.
cresta	K'akara.
cría	Wawa, uña.
criado	Yana, uywa.
criar	Uyway.
criatura	Llullu wawa, ñuñuq wawa.
criba	Suysuna.
crimen	Hatun hucha.
cristal	Qispi.
crucificar	Chakatay.
crudo	Chawa, mana chayasqa, llullu.
cruzar	Chakay, chakachiy.
cuadrar	Tinkuchiy, kamaylla kamay.
cuál	Mayqan, mayqin.
cuándo	Hayk'ap, imaypacha.
cuánto	Hayk'a.
cuatro	Tawa.
cubrir	(proteger) Qatay, kirpay, p'ampay.
cuclillas	(estar en) Runk'uy, unchuykuy.
cucharón	Wislla.
cuello	Kunka, tunquri.
cuerda	Waskha, q'aytu.
cuerno	Waqra.
cuero	Qara.
cuerpo	Ukhu; aycha; kurku.
cuesta	(arriba): siqana, wichana.\n(abajo): uraykuna.
cueva	Mach'ay.
cuidar	Qhawapay, waqaychay.
culebra	Machaqway.
culén	Wallwa.
culminar	Qispiy.
culo	Siki.
culpa	Hucha.
culpar	Huchachay.
cultivar	Llamk'ay, yapuy.
cumbre	Uma.
cumplir	Hunt'achiy.
cuna	K'iraw.
cuñada	Qhachun ~ qhachuni, llumchuy.
cuñado	Masa.
cuota	Tanta qullqi.
curar	Hampiy, alliyachiy.
curandero	Hampiq.
curvo	Q'iwi.
cuy	Quwi.
chamuscar	Qaspay, kankay.
chancear	Pukllaykachay.
chancro	Wanthi.
chancho	Khuchi.
charco	Huq'u-huq'u; qucha.
charlar	Rimay.
charlatán	Rimaysapa, llumpay rimaq.
chico	Huch'uy, uchuk, taksa.
chicote	Hasut'i, waqtana.
chicha	Aqha.
chichón	Punkisqa.
chismear	Simi apaykachay.
chismoso	Simi apaq, iskay simi.
chiste	Asina.
chocar	Takakuy.
chorrear	Sutuy, phaqchay.
choza	Ch'uklla.
chueco	Wist'u, wiqru.
chupar	Ch'unqay, suquy.
dadivoso	Qukuq, mallichikuq.
danza	Tusuy.
dar	Quy.
debajo	Urapi, ukhupi.
deber	(como tarea): rurana, kamachikuy.\n(como deuda): manukay.
débil	Mana kallpayuq.
decapitar	Uma qhuruy, uman kuchuy.
decena	Chunka.
decir	Niy, rimay.
declarar	Rimariy, willakuy.
decrecer	Huch'uyay, taksayay, uchukyay.
dedo	Ruk'ana, maki pallqan.
deducir	Hurquy, rakiy.
defecar	Akay, hisp'akuy.
defender	Amachay.
defraudar	Qichuy, suway.
deglutir	Millp'uy.
degollar	Nak'ay, sipiy, kunka kuchuy.
dejadez	Qillarikuy.
dejar	Saqiy, kachariy.
delante	Ñawpaq, qaylla.
deleite	Misk'illikuy, kusikuy.
deleznable	Tukukuq, thuñikuq.
delgado	(ser humano): tullu.\n(objeto laminado): llapsa.\n(objeto cilindrico): ñañu, llañu.
deliberar	Yuyay, yuyaykuy.
delicado	Llaqlla.
delicioso	Quchuchikuq, misk'i kusichiq.
delincuente	Huchayuq.
delinquir	Huchallikuy, huchapakuy.
delirar	Musphay, musphaykachay.
delito	Hatun hucha.
demanda	Mañakuy.
demasiado	Ancha, nanaq, llumpay.
demoler	Thunichiy, paskay.
demonio	Supay, awqa.
demora	Unay, unakuy.
demorar	Unaykachiy.
demostrar	Kaqta qhawachiy.
demudarse	Hukyay, hukmanyay.
denegar	Mana munay.
denso	Pipu, sankhu.
dentado	Kiruyuq, kirusapa.
dentro	Ukhu, ukhupi.
denunciar	Willay, yachachiy.
depositar	Waqaychay, churakuy.
depósito	Waqaychana; pirwa, churana.
depredar	Suway, qichuy, waykay.
depurar	Pichapay, ch'uyanchay.
derecha	<span foreground="#660099">Cuz.</span> Paña; <span foreground="#660099">Aya.</span> Alliq.
derogar	Chinkachiy.
derramar	Hich'ay, usuchiy.
derredor	Muyun, muyuriqnin.
derretir	Chulluchiy, yakuyachiy.
derribar	Thuñichiy, kumpay, saqmay.
derrocar	Urmachiy.
derrochar	Qullqi tukuy, wischuy.
derrotar	Atipay, ayqichiy.
derrumbarse	Thunipuy, tiyarquy.
desabrido	Q'ayma, qamya, qhatqi.
desabrigarse	Mana mayt'ukuy.
desacertar	Pantay.
desaguar	Unu chakichiy, yakun hakichiy.
desaliñado	Mana allichakuq.
desalojar	Qarquy.
desamorado	Mana munakuq, mana khuyakuq.
desamparar	Haqiy, saqiy.
desangrar	Yawarchay.
desanimar	Manchachiy.
desanudar	Paskay.
desaparecer	Chinkay.
desasear	Qhillichay, qanrachay.
desatar	Paskay.
desbaratar	Waqllichiy.
descabezar	Uma qhuruy, uma hurquy.
descalzo	Q'ala chaki.
descanso	Samay, samana.
descansar	Samay.
descargar	Paskay, uraykachiy.
descender	Uraykuy.
descifrar	Yacharqapuy, musyay.
descolgar	Uraykachiy.
desconocer	Mana riqsiy, pantay.
desconsolar	Llakichiy, phutichiy.
descontar	Rakiy, hurquy.
descoser	Paskay.
describir	Willay, willakuy.
descubrir	Tariy, rikuchiy.
desdentado	Mana kiruyuq, kirunnaq.
desdicha	Chhiki, llaki.
desdoblar	Mastay.
deseable	Munanalla, munapaslla.
desear	Munay, munapay.
desechar	Wikch'uy, wischuy, mana munay.
desecho	Puchuq, q'upa.
desenredar	Paskay.
desenterrar	Hasp'iy, hurquy.
deseo	Munay, munapayay.
desertor	Ayqikuq.
desgajar	K'allmay, siptiy.
desgarrar	Qhasuy, llik'iy.
desgracia	Llaki, chhiki.
desgranar	Muchhay, iskuy.
desgreñado	T'ampa, champa uma.
deshojar	Tipiy, rapichay.
deshonesto	Map'a, qanra.
desierto	Purun, chunyaq.
desistir	Saqiy.
desleír	Chulluchiy.
desligar	Paskay.
desligarse	Lluchkhakuy, suchuykuy.
deslumbrar	Utirayachiy, ñawi utichiy.
desmayarse	Wañuriy.
desmenuzar	Ñut'uy.
desmochar	Uma mut'uy, qhuruy.
desmoronarse	Thuniy.
desnudar	Llat'anay, chutuy.
desnudo	Llat'an, q'ala.
desobediente	Mana uyakuq, mana kasukuq.
desocupar	Astay, purumay.
desocuparse	Samay, qasikuy.
desolado	Llaki nanasqa, sinchi llakisqa.
desollar	Lluch'uy, llustiy.
desorientarse	Pantay.
despacio	Allillamanta.
despachar	(enviar): kachay, richiy.\n(vender): qhatuy, rantikuy.
desparramar	Usuchiy.
despedazar	Llik'iy.
despedida	Kacharpariy.
despensa	Mikhuy churana wasi.
despeñarse	Qaqapay, kuchpakuy.
desperdiciar	Usuchiy, hich'ay.
despertarse	Rikch'ay.
despiojar	Usachay.
desplegar	Mast'ariy.
desplomarse	Urmay, thuniy.
despoblado	Purun, chunyaq.
despojado	Qichuy.
después	Chaymanta, hinamanta, hinaspa.
despuntado	Mut'u, qhurusqa.
destapar	Kichay.
desterrar	Qarquy.
destetar	Hanuk'ay.
destilar	Sut'uchiy.
destripar	Ch'unchulchay.
destrozar	P'akiy, ch'alluy.
destruir	Chinkachiy.
desunir	Rakiy.
desvariar	Musphay.
desventura	Llaki.
desvergüenza	Mana p'inqakuy.
desvestir	Llat'anay, chutuy.
desviado	Pantasqa.
desyerbar	Quray.
detener	Hark'ay.
detestar	Millay, amiy.
detonar	T'uqyay.
detrás	Qhipa, wasa.
deudo	Ayllu masi, yawarmasi.
deudor	Manu, manukuq.
devolver	Kutichiy, qupuy.
devorar	Millp'urquy.
día	P'unchaw ~ p'unchay.
diablo	Supay, awqa.
dialogar	Rimanakuy.
diarrea	Q'icha.
dicha	Sami, kusikuy.
dichoso	Samiyuq, kusisqalla.
diente	Kiru.
diestra	Paña, alliq maki.
diestro	Yachaq.
diez	Chunka.
difamar	Wasachay, wasanpi rimay.
diferente	Huk, sapaq.
diferir	Qhipachiy, suyachiy.
difícil	Sasa.
difundir	Mirachiy, mismichiy, riqsichiy.
difunto	Aya, wañuq.
digno	Kamaqnin, allin.
dilapidar	Usuchiy.
diligente	K'uchi.
diluido	Chullusqa.
diluir	Chulluchiy.
diluvio	Lluqllay para.
dimanar	Lluqsimuy.
dimensión	Tupu.
diminuto	Huch'uylla, llumpay taksa, akapa.
dinero	Qullqi.
Dios	Yaya.
dirigir	Pusay.
discípulo	Yachakuq.
discurrir	Yuyaymanay.
disecar	Ch'akichiy.
diseminar	Tarpuy, yapuy, maqchiy.
disfrazarse	Saynatakuy.
disgustado	Phiñasqa, amisqa.
disimular	Mana yachaqtukuy.
disipar	Wischuy.
dislocarse	Q'iwikuy.
disminuir	Pisiyay.
disolver	Chulluchiy.
dispersar	Ch'iqichiy.
disputa	Kutipanakuy, ninakuy.
distancia	Karu kay.
distante	Karu.
distinguir	Riqsiy, rikuy.
distinto	Huk niraq, sapaq.
distribuir	Aypuy, rakiy.
divagar	Pantaykachay, musphaykachay.
diversidad	Imaymana, tukuy rikch'aq.
dividir	Rakiy, aypuy.
divieso	Ch'upu.
divisa	Unancha.
divisar	Rikuy, qhaway.
divisible	Rakina, aypuna.
divulgar	Willaykachakuy.
doblar	(tela o papel) Pataray.
doble	(de espesor) Raktha.
doblez	Iskay sunqu, iskay rimay.
docente	Yachachiq.
dócil	Llamp'u sunqu.
docto	Hamawt'a.
doler	Nanay.
dolor	Nanay.
domar	Uywa q'iwikachay, mansay.
donar	Quy.
dónde	Maypi.
dorado	Qurichasqa.
dorar	Qurichay, qurinchay.
dormilón	Puñuy siki.
dormir	Puñuy.
dormitorio	P'uñuna wasi.
dos	iskay.
duda	Tunki.
dueño	Wasiyuq.
dulce	Misk'i.
dulcificar	Misk'iyachiy.
durable	Wiñay kawsaq.
duradero	Takyaq, mana tukuriq.
durar	Takyay, unay kawsay.
duro	Anaq.
ebrio	(estar): machasqa, upyasqa.\n(ser): machaq, upyaq, sinka.
eclipsarse	(el sol): inti wañuy.\n(la luna): killa wañuy.\n(parcialmente): inti unquy, killa unquy.
economizar	Churakuy.
echar	(arrojar): wikch'uy, ch'uqay, wikapay,qarquy.\n(líquido): hich'ay, maqchiy.\n(la culpa): huchachay.\n(vaciar): talliy, hillp'uy.
echarse	(de cubito ventral): thallay, pilatay.\n(de un lado): qichqapakuy.\n(de cubito dorsal): hantarakuy, antarpakuy.
edad	Wata, wiñay.
edificar	Ruray, hatarichiy.
educar	Yachachiy.
efectivamente	Chiqaqmanta, chiqanpi.
efímero	Tukukuq, chinkaqlla.
ejecutar	Ruray, hinay.\n(dar muerte): wañuchiy.
él	Pay.
ella	Pay.
elástico	Chutakuq, wiñariq.
elección	Akllay.
elegir	Akllay, akllakuy.
elevar	Huqariy, hatarichiy.
eliminar	Hurquy, anchuchiy.
embadurnar	Llusiy, llut'ay.
embajador	Kacha; rantin.
embarazada	Chichu, wiksayuq.
embarcación	Wamp'u.
embarrar	Llut'ay, t'uruchay, mituchay.
embellecer	Sumaqyachiy.
emblanquecer	Yuraqyachiy.
emborracharse	Machay, sinkarquy.
embravecer	Phiñayay, phiñatukuy.
embrollar	Pantaykachachiy.
embrujar	Layqay, hampirquy.
embudo	Hillp'una.
embustero	Llulla.
embutir	Winay, sat'iy.
emigrar	Mitmay.
empacharse	Wiksa punkichikuy, saksapakuy.
empalagarse	Amikuy.
empalmar	T'inkiy, kaninachiy.
empañar	Antayachiy, qanrayachiy.
empapar	Huq'uyachiy, nuyuchiy.
emparedar	Pirqay.
emparejar	Kuskachay, masachay.
emparentar	Aylluchakuy.
empedrar	Rumichay.
empeine	(enfermedad) Mirkha.
empellón	Tanqay.
empeñar	Haqikuy, saqikuy.
empezar	Qallariy.
emplear	Rurachiy, llamk'achiy.
empobrecer	Wakchayay.
empollar	Uqllay.
empreñar	Chichuyachiy, wiksayachiy.
empujar	Tanqay.
empuñar	Hap'iy, aptiy.
enano	Umutu, akapalla.
enantes	Ñaqa.
encadenar	Watay, chaqnay, t'inkiy.
encajar	Winay, sat'iy.
encalar	Iskuchay.
encanecer	Suquyay.
encarcelar	Wichq'ay.
encargar	Kunakuy, apachikuy.
encender	Rawrachiy, ruphachiy, ratachiy.
encerrar	Wichq'ay.
encima	Hawapi.
enclenque	Umpu; iqu.
encogerse	Q'intikuy.
encolerizar	Phiñachiy.
encontrar	Tariy, taripay.
encontrarse	Tinkuy, tupay, tinkunakuy.
encorvarse	K'umukuy.
encrucijada	Pallqa.
encubrir	Pakay, p'ampay.
encuentro	Tinkuy, tupay.
endulzar	Misk'ichay.
endurecer	Rumiyachiy.
enemigo	Awqa, chiqniq.
enemistarse	Awqanakuy, phiñanakuy.
enfadar	Phiñarichiy.
enfermar	Unquy.
enfermizo	Unqurayaq; iquyasqa.
enfermo	Unquq.
enflaquecer	Tulluyay; ch'arkiyay.
enfrente	Chimpa, chimpapi.
enfriarse	Chiriyay.
enfurecido	Phiñasqa.
engañar	Llullakuy, pantachiy.
engendrar	Yumay, churiyay.
engordar	Wirayay, puquyay.
engrandecer	Hatunyachiy, wiñachiy, mirachiy.
engrasar	Wirachay.
engrosar	Rakhuyachiy.
engullir	Rakray, millp'uy.
enigma	Watuchina, musyana.
enjuagar	Ch'uyanchay, aywiy.\n(la boca): muqch'ikuy, chumchikuy.
enjundia	Rurun wira.
enjuto	Chakisqa, tulluyasqa.
enlodar	T'uruchay, mituyachiy.
enloquecer	Utiqyay.
enmarañar	Arwiy, t'ampayachiy.
enmienda	Wanakuy.
enmohecerse	Ismurikuy.
enmudecer	Upallay.
ennegrecer	Yanayay.
enojarse	Phiñakuy.
enojo	Phiñachikuq.
enorme	Hatun hatun, hatunkaray.
enredadera	Arwi arwi.
enredarse	Arwikuy, t'ampachikuy.
enriquecerse	Qhapaqyay, apuyay.
enrojecer	Pukayachiy.
enronquecido	Ch'akayasqa.
enroscar	Q'iwiy, arwiy.
ensanchar	Hatunyachiy.
ensangrentar	Yawarchay.
ensayar	Yachachiy, yachaykachiy.
ensebar	Wirachay.
enseña	Unancha.
enseñar	Yachachiy.
ensordecer	Upayachiy.
ensuciar	Qhillichay, qanrachay.
entender	Unanchay, hamut'ay, riqsiy, yachay.
entendimiento	Unanchay, hamut'ay, yuyay.
enternecer	Llakichiy, waqachiy.
enterrar	P'ampay.
entibiar	(de frío a caliente): q'uñirichiy.\n(de caliente a frío): chiriyachiy.
entonces	Chaypacha, chikaqa, hinaptin, hinaptinqa, nispaqa.
entrada	Yaykuna, haykuna, q'asa.
entrañas	Wiksa ukhu.
entrar	Yaykuy, haykuy.
entregar	Chaskichiy, quy.
entretanto	Chaykama.
entreverar	Taqruy, takuy, chapuy.
entristecer	Llakichiy, phutichiy.
entrojar	Pirway, qullqay.
entumirse	Umphuyakuy.
enturbiar	Putkayachiy, qunchuyachiy.
enumerar	Yupay.
en vano	Qasilla, yanqalla, yanqamanta.
envejecer	(el hombre): machuyay.\n(la mujer): payayay.\n(hombre y mujer): yuyaqyay.\n(las cosas): mawk'ayay.
envenenar	Miyuchiy, hampiy.
enviar	Kachay, apachiy.
envidia	Chhikikuy.
envoltorio	Mayt'u, q'ipi.
envolver	Mayt'uy, p'istuy, pintuy.
epidemia	Hatun unquy.
epilepsia	Wañuy unquy.
epístola	Qillqa.
época	Pacha.
equipaje	Q'ipi.
equivocarse	Pantay.
era	(tiempo): wiñay, pacha.
erguirse	Huqarikuy, suniyakuy.
eriazo	Purun pampa, sumaq allpa.
eructar	Hapay, khakyay.
erudito	Hamawt'a.
errado	Pantasqa.
errar	Pantay, musphaykachay.
escabullirse	Chinkariy, lluptikuy.
escalar	Siqay, lluqay.
escalofrío	Chirayay, katkatay.
escampar	Usyariy.
escaparse	Qispikuy, pawariy, lluptikuy.
escarabajo	Aka tanqa.
escarbar	Hasp'iy.
escarcha	Qasa, chullunkuy.
escarmenar	T'isay.
escarmentar	Wanay, wanakuy.
escarpado	Ranra-ranra, rumi-rumi.
escasear	Pisiyay.
escasez	Muchuy, wanay.
escoba	Pichana.
escocer	Siqsiy, ruphay.
escoger	Akllay.
esconder	Pakay, p'ampay.
escondite	Pakakuna, chinkana.
escribir	Qillqay.
escritor	Qillqaq.
escuchar	Uyarikuy.
escudriñar	Maskhaykachay, tapuykachay.
escupir	Thuqay.
escurrir	Ch'umay, sut'uchiy.
escurrirse	Qispikuy, lluptikuy.
ese	Chay.
esa	Chay.
eso	Chay.
esfuerzo	Kallpachakuy.
eslabonado	T'inki-t'inki, t'inkisqa.
esmerarse	Sumaq ruray, allin ruray.
esófago	Tunquri.
espalda	Wasa, qhipa.
espantar	Manchachiy.
esparcir	Ch'iqichiy, mast'ay, maqchiy.
especial	Sumaq, akllasqa.
espejo	Lirpu ~ rirpu, qhawakuna qispi.
espera	Suyay, suyana.
esperar	Suyay, suyakuy.
espeso	Sankhu, pipu.
espía	Qhawaykachaq.
espigar	Parwayay.
espina	Kichka.
espinilla	Chaki sinqa.
esplendor	Llipipiq, k'anchaq.
espontáneamente	Kikillanmanta, munayninmanta.
espulgar	Pikichay.
espuma	Phusuqu.
esputo	Thuqay, llawsa.
esqueleto	Aya tullu, mallki.
esquilar	Rutuy.
esquina	K'uchu, muyuykuna.
estable	Takyaq, kakuq.
establecerse	Tiyapuy, yachakuy.
establo	Kancha.
estaca	Takarpu.
estación	(del año) Mit'a.
estallar	T'uqyay.
estanque	Qucha.
estar	Kachkay.
estatura	Sayay, chhikan.
este	Kay.
esta	Kay.
esto	Kay.
estéril	Qumi, urwa.
estiércol	Wanu, q'awa, taqya.
estimar	Yupaychay, khuyay; chaninchay.
estirar	Chutay, aysay.
estómago	Wiksa.
estorbar	Hark'ay, amachay.
estornudar	Achhiy, hachiy.
estrangular	Siq'uy, sipiy.
estrechar	Mat'iy, kichkichay.
estrella	Quyllur.
estrujar	Q'apiy, llapiy.
estudiante	Yachaq, yachakuq.
estudiar	Yachay.
eterno	Wiñay kaq, wiñay kawsay.
evaporar	Wapsiy.
evasión	Qispikuy.
evidente	Sut'in, kaqlla.
evitar	Anchukuy, asukuy.
examinar	Tapupayay, qhawapayay.
excavar	Hasp'iy.
exceder	Llalliy, yalliy.
excelente	Qullanan, sumaq.
exceptuar	Sapaqchay, rakiy.
excesivo	Achkha, ancha, llumpay.
excluir	Rakiy, akllay.
excremento	Aka, hatun hisp'ay.
exhalación	Samay, wapsiy.
exhibir	Qhawachiy, rikuchiy.
exhortar	Anyay, rimapayay.
exigir	Mañapay.
eximir	Wakichiy.
existente	Kaq, kawsaq.
existir	Kay, kawsay.
exonerar	Wakichiy, saqiy, rakiy.
expatriar	Qarquy.
expectar	Qhaway, rikuy.
expeler	Wikch'uy, wikapay.
experimentar	Yachay, malliy.
expiar	Muchuy.
explicar	Yachachiy, willay.
explorar	Maskhay, tapuykachay.
explosión	T'uqyay.
explotar	Mirachikuy, hurqukuy, qichukuy.
expresar	Rimay, willakuy.
exprimir	Ch'away, q'apiy, llapiy.
expulsar	Qarquy, wischuy.
extender	(algo): mast'ay.\n(la mano): hayway.\n(los brazos): ch'akatakuy.\n(los pies): ichiy, pallqay.\n(el cuerpo): chutakuy, chutapakuy.\n(la ropa al sol): masay.
exterior	Hawan.
exterminar	Qulluchiy, chinkachiy, paqwarichiy.
extinguir	Tukuchiy, wañuchiy.
extraer	Hurquy, chutay.
extranjero	Hawa runa.
extraño	Huk rikch'aq.
extraviarse	Pantapakuy, chinkapakuy.
fabricar	Ruray.
fácil	Ruranalla.
faena	Minka, ayni.
faja	Chumpi.
fajarse	Chumpikuy, watakuy.
falaz	Llullakuq.
falda	(prenda): miqllay, millqay.\n(del cerro): pata,waqta; qhata.
faldear	(un cerro) Kinray.
falso	Llulla, yanqa.
falta	Hucha.
faltar	(escasear): mana kay, muchuy, pisiyay.\n(no asistir): mana riy, mana hamuy.\n(cometer una falta): huchallikuy.
fallecer	Wañuy.
famélico	Yarqasqa.
familia	Ayllu.
famoso	Yachasqa, riqsisqa.
fanfarrón	Rimay siki.
fango	T'uru-t'uru, mitu-mitu.
fantasma	Manchachikuq.
fardo	Q'ipi, palta.
fastidiar	Amichiy, phiñachiy.
fastidioso	Amichikuq, phiñachikuq.
fatigarse	Sayk'urikuy, pisipay.
favor	Yanapay.
favorito	Munasqa.
faz	Uya, rikch'ay.
fecha	P'unchaw, pacha.
felicidad	Kusi sami, kusi kawsay.
felicitar	Napaykuy, rimaykuy.
feliz	Kusi samiyuq, kusi kawsakuq.
femenino	Warmi, china.
fémur	Maman tullu, chaka tullu.
fenecer	Tukukuy, chinkay, wañuy.
feo	Millay.
feraz	Ruruq, miraq.
féretro	Aya wantuna, aya apana.
fermentar	Puquy.
fermento	Qunchu, puquchina.
feroz	Phiña-phiña.
festejar	Yupaychay, kusichiy.
fetidez	Asnay.
feto	Sullu.
fiambre	Quqaw, milkapa.
fiar	Manuy.
fibra	Hank'u.
fiebre	Ruphay unquy.
fiero	Phiña runa.
fierro	Qhillay.
fiesta	Hatun p'unchay.
figura	Rikch'ay, niray.
fila	Siq'i.
filo	Ñawch'i.
filtrar	Sut'uchiy, suysuy.
fin	P'uchukay, tukuynin.
finado	Wañusqa.
fingir	Tukuy.
finito	Tukukuq, p'uchukaq.
fino	Sumaq.
firmar	Suti qillqay, suti churay.
firme	Takyaq.
flaco	Tullu, iqu.
flagelar	Waqtay, hasut'iy.
flauta	Qina, pinkullu.
flecha	Wach'i.
flema	Llawsa, lawsa.
flojera	Qilla kay, qillanakuy.
flojo	(algo suelto) Waya.
flor	T'ika, wayta; sisa.
florecer	T'ikay, sisay.
flotar	Tuytuy, wamp'uy.
fluir	Sutuy, unyay.
fogón	Q'uncha, tullpa.
fondo	Ukhu, ukhun.
forado	Utkhu, uchku.
forastero	Hawa llaqta runa.
forma	Rikch'ay.
fornicador	Wach'uq runa, map'a runa.
forraje	Q'achu, chhalla, qura.
fortalecer	Sinchiyay, kallpanchay.
fortaleza	Pukara.
fortuna	Sami.
forzudo	Kallpayuq, kallpasapa.
fosa	P'ukru, uchku.
fracturar	P'akiy.
fragancia	Q'apay, misk'i asnay.
frágil	P'akinalla.
frangollar	Chhamqay.
frazada	Qata.
fregar	Qaquy, pichay.
freír	Thiqtichiy.
fréjol	Purutu.
frente	Mat'i, urku.
frío	Chiri, alalay.
frontera	Tukuynin, p'uchukaynin.
frotar	Qaquy.
fructífero	Ruruq, wayuq.
fruncir	Sip'uy.
frustrar	Waqllichiy.
fruta	Ruru.
fuego	Nina.
fuelle	Phukuna, wayrachiq.
fuente	Pukyu.
fuera	Hawa.
fuerza	Kallpa.
fuga	Chinkay, qispikuy.
fundar	Tiqsiy, qallarichiy.
fundir	Chulluchiy.
futuro	Hamuq, qhipa hamuq.
gacho	K'umu.
galardonar	Kusinchay, saminchay.
galga	Kumpa rumi, kuchpa.
gallina	Wallpa.
gallinazo	Suyuntuy, ullatu.
gallo	K'anka, utulu.
ganado	Uywa.
ganar	Huñukuy, mirachikuy.
gangoso	Qanqa, qanqa rimaq.
gangrena	ismuy unquy.
garabatear	Siq'iy, yanqata qillqay.
garganta	Kunka, tunquri.
garra	Sillu.
garrapata	Hamak'u, usa.
garrote	Maqana, k'aspi.
garúa	Iphu.
gastar	Tukuy, p'uchukay.
gatear	Rat'ay, lluqaykachay.
gato	(doméstico): misi.\n(montes): usqullu.
gavilán	Anka, waman.
gaviota	Qiwlla ~ qillwa.
gemir	Anchiy, llakikuy.
género	Masi, rikch'aq.
generoso	Qukuq.
gente	Runa.
genuflexión	Qunqurikuy.
germen	Muru.
germinar	Wach'iy, wiñay.
gestación	Wiksayakuy.
gigante	Hatunkaray.
girar	Muyuy.
glotón	Mikhuysapa.
gobernar	Kamachiy.
golpe	Takay.
golpear	Takay, maqay, saqmay.
gordo	Wira, wirasapa.
gorgojo	Puyu, uru.
gorro	Ch'ullu.
gotear	Sut'uy.
gozar	Hat'alliy, kusikuy.
grada	Pata-pata.
grande	Chhika hatun.
granero	Qullqa, pirwa.
granizo	Chikchi, runtu.
grano	Muru.
grasa	Wiswi, map'a.
gratis	Ñanqalla. (yanqalla?)
grato	Misk'i, sumaq.
greda	Llank'i allpa, mitu.
grieta	Raqra.
grillo	Ch'illikutu, chilliku.
gris	Ch'iqchi, muru-muru.
gritar	Qapariy.
grosero	Map'a simi, qanra simi.
grosor	Rakta, rakhu.
grupo	Qutu, suntu.
gruta	Mach'ay.
guapear	Qapariy.
guardar	Waqaychay.
guardia	Waqaychaq.
guarecerse	Qurpakuy.
guerrear	Awqanakuy, maqanakuy.
guía	Pusaq.
gusano	Kuru, uru.
gustar	Malliy, misk'ichikuy.
haber	Kay.
hábil	Yuyayniyuq, umayuq.
habitación	Wasi, tiyana.
habitar	Tiyay, kawsay, yachay.
habituarse	Yachaymanakuy, yachakay.
habla	Rimay, simi, rimaynin.
hablar	Rimay, rimarquy.
hacedor	Kamaq, ruraq.
hacer	Ruray, hinay.
hacinar	Qutuy, arkuy, pirway.
halagar	Waylluy, wayllipay.
halcón	Waman.
hálito	Samay.
hallar	Tariy.
hallazgo	Ñawincha.
hambre	Yarqay, mikhunayay.
hambriento	Yarqasqa.
haragán	Qilla.
harapo	Thanta, latapa.
harina	Hak'u, machka.
hartarse	Saksay, saksaykuy.
harto	Achkha.
hastío	Amiy, millay.
hebra	Q'aytu.
hechizar	Layqay, umuy.
heder	Asnay.
hediondo	Asnaq.
helada	Qasa.
helar	Qasay.
helecho	Raki-raki.
hembra	China.
hemorragia	Yawar unquy.
hemorroide	Uquti unquy.
henchir	Hunt'achiy, winay.
hender	Raqrachiy, ch'iqtay.
hendidura	Raqra.
herida	K'iri.
hermafrodita	Maqlla.
hermana	(de hermana): ñaña.\n(de hermano): pana, pani.
hermano	(de hermano): wawqi.\n(de hermana): tura, turi.
hermoso	Sumaq.
hermosura	Sumaq kay.
hervir	T'impuy.
hez	Qunchu, tallpu.
hiel	Hayaq.
hielo	Qasa; chullunkuy.
hierba	Qura, qhachu.
hierro	Qhillay.
hígado	K'ipchan.
hija	(del padre) Ususi.
hijo	(del padre): churi.\n(de la madre): wawa.
hilar	Puchkhay.
hilo	Q'aytu, watu.
hincar	T'urpuy, tuksiy.
hincharse	Punkiy.
hipo	Hik'i, hikchuy.
hipócrita	Isqay sunqu, pallqa sunqu.
hogar	Wasi.
hoja	Rap'i ~ raphi, rapra.
holgazán	Qilla, purikuq.
hollar	Saruy.
hollejo	Qara.
hollín	Qhichincha, qitya.
hombre	Qhari, runa.
hombro	Rikra.
homenaje	Yupaychay.
homogéneo	Chay rikch'aqlla.
honda	Warak'a.
hondo	Ukhu.
hondón	P'ukru.
hondonada	Wayq'u.
hongo	K'allampa.
honrar	Yupaychay.
hora	Pacha.
